model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
vgg16_bn_ruler95_s1_epoch_015,features.0,0,3,9,9,27,9,160000,5925.925925925926,0.6038115917975716,5.766949946938135,0.30523078831896516,9,0,5.766949946938135,True,1.0,True,0.1111111111111111,True,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444,1.0,True,0.1111111111111111,True,0.6666666666666666,0.7777777777777778,0.5555555555555556,0.5555555555555556,1.0,True,0.3333333333333333,True,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,True,0.6666666666666666,True,1.0,1.0,1.0,1.0,-0.8166666666666667,0.7515262515262515
vgg16_bn_ruler95_s1_epoch_015,features.3,1,9,19,9,81,19,160000,1975.3086419753085,0.7325441925678118,4.9502364878075715,1.0,19,0,4.9502364878075715,True,1.0,True,0.10526315789473684,True,0.47368421052631576,0.6842105263157895,1.0,0.631578947368421,1.0,True,0.21052631578947367,True,0.5789473684210527,0.7894736842105263,1.0,0.7894736842105263,1.0,True,0.47368421052631576,True,0.7894736842105263,0.9473684210526315,1.0,0.9473684210526315,1.0,True,0.8421052631578947,True,0.9473684210526315,1.0,1.0,1.0,0.9070175438596491,0.9654923215898824
vgg16_bn_ruler95_s1_epoch_015,features.7,2,19,39,9,171,39,160000,935.672514619883,0.6925709117278207,5.506550461252176,1.0,39,0,5.506550461252176,True,1.0,True,0.05128205128205128,True,0.41025641025641024,0.6153846153846154,1.0,0.6410256410256411,1.0,True,0.1282051282051282,True,0.5384615384615384,0.7692307692307693,1.0,0.7948717948717948,1.0,True,0.41025641025641024,True,0.7948717948717948,0.9487179487179487,1.0,0.9487179487179487,1.0,True,0.8717948717948718,True,0.9743589743589743,1.0,1.0,1.0,0.8295546558704454,0.9616171070631436
vgg16_bn_ruler95_s1_epoch_015,features.10,3,39,51,9,351,51,160000,455.84045584045583,0.7716584787160742,3.770872040371455,1.0,51,0,3.770872040371455,True,0.9411764705882353,True,0.11764705882352941,True,0.37254901960784315,0.7058823529411765,1.0,0.5882352941176471,0.9803921568627451,True,0.19607843137254902,True,0.5098039215686274,0.8235294117647058,1.0,0.7450980392156863,1.0,True,0.5294117647058824,True,0.7843137254901961,0.9607843137254902,1.0,0.9411764705882353,1.0,True,0.9019607843137255,True,0.9803921568627451,1.0,1.0,1.0,0.9471493212669683,0.9640134865134865
vgg16_bn_ruler95_s1_epoch_015,features.14,4,51,97,9,459,97,160000,348.5838779956427,0.688817902742992,5.5131254208800025,1.0,97,0,5.5131254208800025,True,0.979381443298969,True,0.041237113402061855,True,0.30927835051546393,0.6288659793814433,1.0,0.5567010309278351,0.9896907216494846,True,0.08247422680412371,True,0.4329896907216495,0.7731958762886598,1.0,0.711340206185567,1.0,True,0.31958762886597936,True,0.711340206185567,0.9381443298969072,1.0,0.9278350515463918,1.0,True,0.8144329896907216,True,0.9484536082474226,1.0,1.0,1.0,0.9601567431096149,0.9713128109290674
vgg16_bn_ruler95_s1_epoch_015,features.17,5,97,116,9,873,116,160000,183.27605956471936,0.7465965963507079,4.702642362621092,1.0,116,0,4.702642362621092,True,0.9655172413793104,True,0.05172413793103448,True,0.31896551724137934,0.6982758620689655,1.0,0.5603448275862069,0.9827586206896551,True,0.11206896551724138,True,0.45689655172413796,0.8275862068965517,1.0,0.7241379310344828,1.0,True,0.3879310344827586,True,0.7672413793103449,0.9568965517241379,1.0,0.9310344827586207,1.0,True,0.8620689655172413,True,0.9655172413793104,1.0,1.0,1.0,0.9761734517356707,0.963065074510488
vgg16_bn_ruler95_s1_epoch_015,features.20,6,116,131,9,1044,131,160000,153.25670498084293,0.7822080491619365,4.0591792274149325,1.0,131,0,4.0591792274149325,True,0.9541984732824428,True,0.06870229007633588,True,0.32061068702290074,0.7251908396946565,1.0,0.549618320610687,0.9770992366412213,True,0.1297709923664122,True,0.46564885496183206,0.8473282442748091,1.0,0.7251908396946565,1.0,True,0.44274809160305345,True,0.7862595419847328,0.9618320610687023,1.0,0.9312977099236641,1.0,True,0.8931297709923665,True,0.9694656488549618,1.0,1.0,0.9923664122137404,0.954919126674852,0.9605345547074434
vgg16_bn_ruler95_s1_epoch_015,features.24,7,131,140,9,1179,140,160000,135.70822731128075,0.7521921198770447,4.181067635182514,1.0,140,0,4.181067635182514,True,0.9428571428571428,True,0.04285714285714286,True,0.2785714285714286,0.7285714285714285,1.0,0.4928571428571429,0.9714285714285714,True,0.1,True,0.4142857142857143,0.8428571428571429,1.0,0.6642857142857143,1.0,True,0.37857142857142856,True,0.7357142857142858,0.9642857142857143,1.0,0.9142857142857143,1.0,True,0.8571428571428571,True,0.9642857142857143,1.0,1.0,0.9928571428571429,0.938295685639938,0.9205474527139388
vgg16_bn_ruler95_s1_epoch_015,features.27,8,140,74,9,1260,74,160000,126.98412698412699,0.8646424553676538,2.7542591800919536,1.0,74,0,2.7542591800919536,True,0.8783783783783784,True,0.13513513513513514,True,0.36486486486486486,0.7972972972972973,1.0,0.5135135135135135,0.9459459459459459,True,0.25675675675675674,True,0.5135135135135135,0.8918918918918919,1.0,0.6891891891891891,0.9864864864864865,True,0.6081081081081081,True,0.8108108108108109,0.9864864864864865,1.0,0.918918918918919,1.0,True,0.9324324324324325,True,0.9864864864864865,1.0,1.0,1.0,0.9377711958533875,0.7858284173294448
vgg16_bn_ruler95_s1_epoch_015,features.30,9,74,55,9,666,55,160000,240.24024024024024,0.8706394471032136,2.9467179032507747,1.0,55,0,2.9467179032507747,True,0.9090909090909091,True,0.14545454545454545,True,0.43636363636363634,0.8,1.0,0.5636363636363636,0.9454545454545454,True,0.2727272727272727,True,0.5636363636363636,0.8909090909090909,1.0,0.7090909090909091,1.0,True,0.6181818181818182,True,0.8363636363636363,0.9818181818181818,1.0,0.9272727272727272,1.0,True,0.9272727272727272,True,0.9818181818181818,1.0,1.0,1.0,0.9308802308802311,0.8354001215202196
vgg16_bn_ruler95_s1_epoch_015,features.34,10,55,25,9,495,25,40000,80.8080808080808,0.9173871513163507,1.9851471512625385,1.0,25,0,1.9851471512625385,True,0.8,True,0.32,True,0.52,0.84,1.0,0.6,0.88,True,0.48,True,0.64,0.92,1.0,0.72,1.0,True,0.76,True,0.84,1.0,1.0,0.92,1.0,True,0.96,True,1.0,1.0,1.0,1.0,0.8669230769230768,0.4507126574613841
vgg16_bn_ruler95_s1_epoch_015,features.37,11,25,29,9,225,29,40000,177.77777777777777,0.8468848603066783,2.78777125421239,0.9868783938654143,29,0,2.78777125421239,True,0.896551724137931,True,0.20689655172413793,True,0.4827586206896552,0.7586206896551724,1.0,0.6206896551724138,0.9310344827586207,True,0.3448275862068966,True,0.6206896551724138,0.8620689655172413,1.0,0.7586206896551724,1.0,True,0.6896551724137931,True,0.8275862068965517,1.0,1.0,0.9310344827586207,1.0,True,0.9310344827586207,True,0.9655172413793104,1.0,1.0,1.0,0.8635467980295565,0.5899440781793722
vgg16_bn_ruler95_s1_epoch_015,features.40,12,29,35,9,261,35,40000,153.25670498084293,0.8396359762552174,3.076385889685999,0.7764723477316768,35,0,3.076385889685999,True,0.8,True,0.14285714285714285,True,0.45714285714285713,0.7428571428571429,0.8285714285714286,0.5428571428571428,0.8571428571428571,True,0.2571428571428571,True,0.5428571428571428,0.8571428571428571,1.0,0.6571428571428571,0.9428571428571428,True,0.5714285714285714,True,0.7142857142857143,0.9714285714285714,1.0,0.8,1.0,True,0.8285714285714286,True,0.8857142857142857,1.0,1.0,0.9428571428571428,0.8633053221288516,0.5932174718569386
