model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
vgg16_bn_uniform_s0_epoch_007,features.0,0,3,37,9,27,27,160000,5925.925925925926,0.47691041687186364,16.417089166200434,0.10174359610632172,27,0,16.417089166200434,True,0.7407407407407407,True,0.037037037037037035,True,0.2222222222222222,0.4074074074074074,0.14814814814814814,0.14814814814814814,0.8148148148148148,True,0.037037037037037035,True,0.2962962962962963,0.48148148148148145,0.18518518518518517,0.18518518518518517,0.9259259259259259,True,0.037037037037037035,True,0.37037037037037035,0.7777777777777778,0.37037037037037035,0.37037037037037035,1.0,True,0.07407407407407407,True,0.48148148148148145,0.9629629629629629,0.6666666666666666,0.6666666666666666,-0.021367521367521368,0.7948717948717948
vgg16_bn_uniform_s0_epoch_007,features.3,1,37,37,9,333,37,160000,480.4804804804805,0.8664010817785015,2.6901754285269974,0.9749190495874502,37,0,2.6901754285269974,True,0.7567567567567568,True,0.13513513513513514,True,0.32432432432432434,0.8108108108108109,1.0,0.43243243243243246,0.8648648648648649,True,0.24324324324324326,True,0.43243243243243246,0.8918918918918919,1.0,0.5405405405405406,0.972972972972973,True,0.4864864864864865,True,0.7027027027027027,0.972972972972973,1.0,0.8108108108108109,1.0,True,0.8648648648648649,True,0.9459459459459459,1.0,1.0,0.972972972972973,0.8703176861071598,0.545891284835084
vgg16_bn_uniform_s0_epoch_007,features.7,2,37,75,9,333,75,160000,480.4804804804805,0.7924846934874842,3.8934428672598536,1.0,75,0,3.8934428672598536,True,0.92,True,0.06666666666666667,True,0.30666666666666664,0.7333333333333333,1.0,0.4666666666666667,0.96,True,0.12,True,0.4266666666666667,0.84,1.0,0.6266666666666667,1.0,True,0.38666666666666666,True,0.7333333333333333,0.96,1.0,0.8933333333333333,1.0,True,0.8533333333333334,True,0.96,1.0,1.0,0.9866666666666667,0.823669985775249,0.7486996050231026
vgg16_bn_uniform_s0_epoch_007,features.10,3,75,75,9,675,75,160000,237.03703703703704,0.9055454314774966,2.5929250340810106,1.0,75,0,2.5929250340810106,True,0.8666666666666667,True,0.14666666666666667,True,0.36,0.8133333333333334,1.0,0.48,0.9333333333333333,True,0.25333333333333335,True,0.5066666666666667,0.8933333333333333,1.0,0.6533333333333333,0.9866666666666667,True,0.6,True,0.8266666666666667,0.9866666666666667,1.0,0.9066666666666666,1.0,True,0.9466666666666667,True,0.9866666666666667,1.0,1.0,1.0,0.8763015647226174,0.5988034968404747
vgg16_bn_uniform_s0_epoch_007,features.14,4,75,149,9,675,149,160000,237.03703703703704,0.8213520151530265,3.698204579047494,0.8771062660587647,149,0,3.698204579047494,True,0.912751677852349,True,0.04697986577181208,True,0.24161073825503357,0.7449664429530202,1.0,0.40939597315436244,0.959731543624161,True,0.10067114093959731,True,0.37583892617449666,0.8523489932885906,1.0,0.6040268456375839,0.9932885906040269,True,0.35570469798657717,True,0.7315436241610739,0.9664429530201343,1.0,0.8926174496644296,1.0,True,0.8590604026845637,True,0.959731543624161,1.0,1.0,0.9932885906040269,0.8725231271539997,0.7567485860660936
vgg16_bn_uniform_s0_epoch_007,features.17,5,149,149,9,1341,149,160000,119.31394481730052,0.9172596386609403,2.4884025281866395,1.0,149,0,2.4884025281866395,True,0.8523489932885906,True,0.11409395973154363,True,0.3221476510067114,0.8120805369127517,1.0,0.44966442953020136,0.9261744966442953,True,0.2080536912751678,True,0.5100671140939598,0.8993288590604027,1.0,0.6510067114093959,0.9865771812080537,True,0.610738255033557,True,0.8389261744966443,0.9798657718120806,1.0,0.912751677852349,1.0,True,0.9463087248322147,True,0.9798657718120806,1.0,1.0,0.9932885906040269,0.8928641393070923,0.6065444041756232
vgg16_bn_uniform_s0_epoch_007,features.20,6,149,149,9,1341,149,160000,119.31394481730052,0.9261032045857066,2.294421349678989,1.0,149,0,2.294421349678989,True,0.8389261744966443,True,0.1342281879194631,True,0.35570469798657717,0.8187919463087249,1.0,0.47651006711409394,0.9194630872483222,True,0.2483221476510067,True,0.5436241610738255,0.8993288590604027,1.0,0.6711409395973155,0.9865771812080537,True,0.6711409395973155,True,0.8590604026845637,0.9798657718120806,1.0,0.9194630872483222,1.0,True,0.959731543624161,True,0.9865771812080537,1.0,1.0,0.9932885906040269,0.8707817884999094,0.6159392079301828
vgg16_bn_uniform_s0_epoch_007,features.24,7,149,298,9,1341,298,160000,119.31394481730052,0.8582644544059245,3.582058541147205,0.5512032003642401,298,0,3.582058541147205,True,0.9093959731543624,True,0.030201342281879196,True,0.2348993288590604,0.7583892617449665,1.0,0.37583892617449666,0.9563758389261745,True,0.07046979865771812,True,0.39932885906040266,0.8624161073825504,1.0,0.5939597315436241,0.9932885906040269,True,0.33221476510067116,True,0.7718120805369127,0.9664429530201343,1.0,0.8959731543624161,1.0,True,0.8691275167785235,True,0.9664429530201343,0.9966442953020134,1.0,0.9899328859060402,0.7585515998121775,0.6275860965628653
vgg16_bn_uniform_s0_epoch_007,features.27,8,298,298,9,2682,298,160000,59.65697240865026,0.9355350864187082,2.2458108104537042,0.8598134862771775,298,0,2.2458108104537042,True,0.7986577181208053,True,0.08053691275167785,True,0.2785234899328859,0.8187919463087249,1.0,0.37583892617449666,0.8959731543624161,True,0.17114093959731544,True,0.48322147651006714,0.9026845637583892,1.0,0.6040268456375839,0.9798657718120806,True,0.610738255033557,True,0.8355704697986577,0.9798657718120806,1.0,0.8993288590604027,1.0,True,0.9496644295302014,True,0.9798657718120806,1.0,1.0,0.9899328859060402,0.7794895828161074,0.5049705873041929
vgg16_bn_uniform_s0_epoch_007,features.30,9,298,298,9,2682,298,160000,59.65697240865026,0.9396970089516353,2.1977224784258422,0.7323688245826042,298,0,2.1977224784258422,True,0.7751677852348994,True,0.07718120805369127,True,0.2651006711409396,0.8221476510067114,1.0,0.34563758389261745,0.8825503355704698,True,0.1610738255033557,True,0.4697986577181208,0.9026845637583892,1.0,0.5738255033557047,0.9765100671140939,True,0.5939597315436241,True,0.8322147651006712,0.9798657718120806,1.0,0.889261744966443,1.0,True,0.9463087248322147,True,0.9798657718120806,1.0,1.0,0.9899328859060402,0.767951790128621,0.46333330673260903
