layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,9,1,False,9,0,32.0,32.0,160000,6.536803039326459,1.6261596689733269,0.18068440766370297,2.2972946425044434,0.2552549602782715,1.2933992412035056,0.1437110268003895,,10,9,,9,3,3,6,8,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8888888888888888,17777.777777777777,9.0,10000.0,1.8933992423725567,1.4019802260857475,0.15577558067619415,1.66363839045644,0.18484871005071557,1.2046924733951023,0.13385471926612247,,10.0,9.0,,9.0,2.0,2.0,3.0,3.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,1111.111111111111,0,10.03
features.3,conv,1,19,1,False,19,0,32.0,32.0,160000,4.359384407444533,2.2959646362857034,0.12084024401503701,4.244448837642391,0.22339204408644164,1.5496142571722693,0.08155864511432996,3.285932064546583,10,19,0.9473099568058334,19,6,9,15,18,0.3157894736842105,0.47368421052631576,0.7894736842105263,0.9473684210526315,8421.052631578947,19.0,10000.0,1.143274734674522,1.6059006451606361,0.0845210865874019,2.168917861082231,0.11415357163590689,1.2928075899661038,0.06804250473505809,6.325655375207195,10.0,19.0,0.9649390684294437,19.0,2.0,3.0,5.0,7.0,0.10526315789473684,0.15789473684210525,0.2631578947368421,0.3684210526315789,526.3157894736842,0,10.03
features.7,conv,2,39,1,False,39,0,16.0,16.0,160000,2.2280954539828532,6.2341064445174785,0.15984888319275586,12.64096703027034,0.32412735975052154,2.828338547870777,0.07252150122745582,1.936694681382935,10,39,0.9694494677515721,39,16,23,34,39,0.41025641025641024,0.5897435897435898,0.8717948717948718,1.0,4102.5641025641025,39.0,10000.0,0.5037384409319788,2.5268099704702194,0.06478999924282614,3.5679829147029993,0.09148674140264101,1.7206697305776428,0.04411973668147802,4.510731398305526,10.0,39.0,0.9668676744778684,39.0,3.0,4.0,8.0,18.0,0.07692307692307693,0.10256410256410256,0.20512820512820512,0.46153846153846156,256.4102564102564,0,10.03
features.10,conv,3,51,1,False,51,0,16.0,16.0,160000,1.6850583713398872,10.54709926264427,0.2068058678949857,20.11006461832468,0.39431499251617025,4.214204460554261,0.08263146001086787,1.5207331039991265,10,51,0.9735144899754494,51,25,34,46,51,0.49019607843137253,0.6666666666666666,0.9019607843137255,1.0,3137.2549019607845,51.0,10000.0,0.31015160102653455,2.9727098057638046,0.058288427563996166,4.21415978628459,0.08263058404479588,1.9466803354772804,0.03817020265641726,3.739090368215945,10.0,51.0,0.9625754066142684,51.0,4.0,5.0,11.0,27.0,0.0784313725490196,0.09803921568627451,0.21568627450980393,0.5294117647058824,196.07843137254903,0,10.03
features.14,conv,4,97,1,False,97,0,8.0,8.0,160000,2.015267756499734,11.682345598951008,0.12043655256650523,24.772426711568603,0.25538584238730516,5.424440316486546,0.055922065118418,1.3932627725860862,10,97,0.9813891166722256,97,38,57,85,96,0.3917525773195876,0.5876288659793815,0.8762886597938144,0.9896907216494846,1649.4845360824743,97.0,10000.0,0.317600312723893,3.3084386058036777,0.03410761449282142,4.879314922901226,0.050302215700012635,2.5790759030288104,0.026588411371431035,2.8334881147654176,10.0,97.0,0.9575023815529566,97.0,4.0,7.0,25.0,59.0,0.041237113402061855,0.07216494845360824,0.25773195876288657,0.6082474226804123,103.09278350515464,0,10.03
features.17,conv,5,116,1,False,116,0,8.0,8.0,160000,1.832028768148379,13.496950401690247,0.11635302070422628,31.632130726637147,0.2726907821261823,5.174313073385346,0.04460614718435643,1.2985242613829473,10,116,0.9820447400595979,116,51,73,103,115,0.4396551724137931,0.6293103448275862,0.8879310344827587,0.9913793103448276,1379.3103448275863,116.0,10000.0,0.23688567622907375,3.3611486900978083,0.028975419742222484,5.201198183166438,0.04483791537212447,2.4068794201968355,0.020748960518938236,2.629065227331322,10.0,116.0,0.9621087465103664,116.0,5.0,8.0,31.0,75.0,0.04310344827586207,0.06896551724137931,0.2672413793103448,0.646551724137931,86.20689655172414,0,10.03
features.20,conv,6,131,1,False,131,0,8.0,8.0,160000,1.5109567390968597,10.756896895197865,0.08211371675723561,30.396163797845958,0.23203178471638136,4.113661573825987,0.031401996746763264,1.2401958587616038,10,131,0.9850802722098135,131,57,83,117,130,0.4351145038167939,0.6335877862595419,0.8931297709923665,0.9923664122137404,1221.3740458015268,131.0,10000.0,0.16312866270713472,2.6629747781105575,0.020328051741301964,4.775125000770608,0.0364513358837451,1.7566408772381827,0.013409472345329639,2.493349049929223,10.0,131.0,0.9676665379729974,131.0,5.0,10.0,36.0,88.0,0.03816793893129771,0.07633587786259542,0.2748091603053435,0.6717557251908397,76.33587786259542,0,10.03
features.24,conv,7,140,1,False,140,0,4.0,4.0,160000,2.179432355447068,6.246518842177409,0.04461799172983864,15.1554327664579,0.10825309118898499,3.4542379944546977,0.024673128531819268,1.1321157633841432,10,140,0.9909672377001916,140,35,68,119,138,0.25,0.4857142857142857,0.85,0.9857142857142858,1142.857142857143,140.0,10000.0,0.1933509288439472,2.7429519505406903,0.0195925139324335,6.557648849264777,0.046840348923319834,1.717832332739657,0.012270230948140406,1.7828583080645075,10.0,140.0,0.967787843841726,140.0,11.0,27.0,78.0,126.0,0.07857142857142857,0.19285714285714287,0.5571428571428572,0.9,71.42857142857143,0,10.03
features.27,conv,8,74,1,False,74,0,4.0,4.0,160000,1.9574814004510774,6.523420862235914,0.088154335976161,13.107602503023726,0.17712976355437468,3.861263389588679,0.05217923499444161,1.119926513828401,10,74,0.9899302144899332,74,22,40,65,73,0.2972972972972973,0.5405405405405406,0.8783783783783784,0.9864864864864865,2162.162162162162,74.0,10000.0,0.12847641376673039,2.339244959411453,0.03161141837042504,5.544527386410127,0.07492604576229903,1.5552452091325697,0.02101682715044013,1.8080831413848741,10.0,74.0,0.9705931484708411,74.0,11.0,22.0,50.0,70.0,0.14864864864864866,0.2972972972972973,0.6756756756756757,0.9459459459459459,135.13513513513513,0,10.03
features.30,conv,9,55,1,False,55,0,4.0,4.0,160000,2.000607107432654,5.3265343988829,0.09684607997968908,10.863001062644315,0.19750911022989665,2.801522076135711,0.05093676502064929,1.2665350509730684,10,55,0.9843769398031652,55,16,29,48,55,0.2909090909090909,0.5272727272727272,0.8727272727272727,1.0,2909.090909090909,55.0,10000.0,0.11246789100364034,1.9118265523334037,0.03476048276969825,4.1364241168108675,0.07520771121474304,1.3927792555095355,0.025323259191082463,2.0947144927332033,10.0,55.0,0.9678785326344896,55.0,8.0,15.0,35.0,51.0,0.14545454545454545,0.2727272727272727,0.6363636363636364,0.9272727272727272,181.8181818181818,0,10.03
