layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,47,1,False,27,0,32.0,32.0,160000,25.814094900888378,5.215121838269026,0.11096003911210693,6.842675384473134,0.14558883796751348,3.126854181625582,0.06652881237501237,16.883006275493333,10,47,0.9850602549345087,36,6,8,11,14,0.1276595744680851,0.1702127659574468,0.23404255319148937,0.2978723404255319,3404.255319148936,47.0,10000.0,4.665877908321007,2.387351344104831,0.05079470944903896,2.728020847812189,0.058042996761961466,1.77470480518461,0.03775967670605553,10.522510451755728,10.0,47.0,0.9801115734853306,33.0,3.0,3.0,3.0,6.0,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.1276595744680851,212.7659574468085,30,84.76
features.3,conv,1,64,1,False,64,0,32.0,32.0,160000,33.995520149076675,11.260127321961237,0.17593948940564433,15.863606546992402,0.2478688522967563,6.275657115130977,0.09805714242392151,4.5230688372527466,10,64,0.9611635552937173,64,15,19,29,45,0.234375,0.296875,0.453125,0.703125,2500.0,64.0,10000.0,1.7294539585167226,3.617798234468511,0.05652809741357048,4.663588802257171,0.0728685750352683,2.414248470218334,0.03772263234716147,5.494835188669049,10.0,64.0,0.9779305337365218,64.0,4.0,5.0,10.0,20.0,0.0625,0.078125,0.15625,0.3125,156.25,30,84.76
features.7,conv,2,127,1,False,127,0,16.0,16.0,160000,48.10124588299855,15.319729206077612,0.12062778902423317,25.97543886360157,0.20453101467402812,5.634337892081132,0.04436486529197742,3.2003937658339336,10,127,0.9608014429809353,127,25,35,62,101,0.1968503937007874,0.2755905511811024,0.4881889763779528,0.7952755905511811,1259.8425196850394,127.0,10000.0,5.821630221527299,4.795261314864853,0.03775796310917207,6.9249123368737955,0.054526868794281855,3.006081209731279,0.02366993078528566,4.397767902565972,10.0,127.0,0.9618965204585465,127.0,7.0,9.0,14.0,37.0,0.05511811023622047,0.07086614173228346,0.11023622047244094,0.29133858267716534,78.74015748031496,30,84.76
features.10,conv,3,128,1,False,128,0,16.0,16.0,160000,30.76027056011813,20.531669299915347,0.16040366640558865,32.293654819003585,0.2522941782734655,8.406607268870944,0.06567661928805425,2.623138053262833,10,128,0.9779398795324283,128,30,43,78,117,0.234375,0.3359375,0.609375,0.9140625,1250.0,128.0,10000.0,2.349373030894436,4.913834099487079,0.0383893289022428,8.23419349647709,0.06432963669122727,2.570318334297372,0.020080611986698218,3.5142883561691276,10.0,128.0,0.9787922552946089,128.0,8.0,11.0,25.0,61.0,0.0625,0.0859375,0.1953125,0.4765625,78.125,30,84.76
features.14,conv,4,255,1,False,255,0,8.0,8.0,160000,55.29234111456112,25.723698667232544,0.10087724967542173,48.273825851103354,0.18930912098471903,8.08098075424325,0.031690120604875485,2.4360862961656227,10,255,0.9642622715170179,255,50,74,142,225,0.19607843137254902,0.2901960784313726,0.5568627450980392,0.8823529411764706,627.4509803921569,255.0,10000.0,6.032180266864226,7.432079211473374,0.029145408672444605,12.424289984058534,0.04872270581983739,3.992070786843659,0.015655179556249645,3.2635281719719864,10.0,255.0,0.9590086625707244,255.0,12.0,19.0,49.0,122.0,0.047058823529411764,0.07450980392156863,0.19215686274509805,0.47843137254901963,39.21568627450981,30,84.76
features.17,conv,5,255,1,False,255,0,8.0,8.0,160000,23.35482380546992,26.759749419043736,0.10494019380017151,52.286420781378474,0.2050447873779548,7.874370117668621,0.03087988281438675,2.228085791407034,10,255,0.9742695243691513,255,55,82,160,236,0.21568627450980393,0.3215686274509804,0.6274509803921569,0.9254901960784314,627.4509803921569,255.0,10000.0,2.5032771471019992,7.577250562832904,0.0297147080895408,14.228959795240256,0.05579984233427551,3.51879265241885,0.013799186872230784,2.8583347150422203,10.0,255.0,0.9793881374053711,255.0,15.0,24.0,63.0,153.0,0.058823529411764705,0.09411764705882353,0.24705882352941178,0.6,39.21568627450981,30,84.76
features.20,conv,6,254,1,False,254,0,8.0,8.0,160000,15.64075054816111,34.82695534605312,0.13711399742540598,59.40513546768587,0.23387848609325143,13.620554746870454,0.053624231286891554,2.138926520278565,10,254,0.978544661697315,254,59,88,171,239,0.23228346456692914,0.3464566929133858,0.6732283464566929,0.9409448818897638,629.9212598425197,254.0,10000.0,1.4757208905223202,8.350163030384909,0.032874657599940585,16.17116874893153,0.06366601869658084,3.7291820356757794,0.014681819038093619,2.8157352914856237,10.0,254.0,0.9811014558623947,254.0,18.0,28.0,70.0,163.0,0.07086614173228346,0.11023622047244094,0.2755905511811024,0.6417322834645669,39.37007874015748,30,84.76
features.24,conv,7,504,1,False,504,0,4.0,4.0,160000,22.113060712215034,30.745519782980708,0.06100301544242204,57.549024932749724,0.11418457327926533,9.705457117464741,0.01925685936004909,2.4998954279837675,10,504,0.9816898976512763,504,57,87,199,401,0.1130952380952381,0.17261904761904762,0.3948412698412698,0.7956349206349206,317.46031746031747,504.0,10000.0,4.859957479723482,8.910005453507193,0.017678582249022207,16.169225969984904,0.032081797559493856,4.4262025201771165,0.00878214785749428,2.8598823900932167,10.0,504.0,0.9756066112400461,504.0,16.0,25.0,73.0,225.0,0.031746031746031744,0.0496031746031746,0.14484126984126985,0.44642857142857145,19.841269841269842,30,84.76
features.27,conv,8,486,1,False,486,0,4.0,4.0,160000,8.327788223157548,19.569171611660437,0.040265785209177854,36.49212267001818,0.07508667216053125,7.451769961609028,0.015332860003310756,2.7258672126260532,10,486,0.9924382470498774,486,37,55,121,317,0.07613168724279835,0.11316872427983539,0.24897119341563786,0.6522633744855967,329.2181069958848,486.0,10000.0,2.508371584885097,7.245374899661425,0.014908178805887707,11.327370689370158,0.02330734709746946,4.04244722051703,0.008317792634808703,2.944783959080636,10.0,486.0,0.9938428449012676,486.0,10.0,15.0,32.0,116.0,0.0205761316872428,0.030864197530864196,0.06584362139917696,0.23868312757201646,20.5761316872428,30,84.76
features.30,conv,9,469,1,False,469,0,4.0,4.0,160000,6.524689861075918,26.710155605516192,0.05695129126975734,41.489694441821584,0.08846416725335092,11.699351753234339,0.024945312906683025,3.0504298149700815,10,469,0.9909780815493336,469,37,51,98,252,0.07889125799573561,0.10874200426439233,0.208955223880597,0.5373134328358209,341.1513859275053,469.0,10000.0,1.5068075554379659,7.190677117359211,0.015331934152151836,10.20451864102668,0.02175803548193322,4.250119269768487,0.009062087995241977,3.0888674771995968,10.0,469.0,0.997098783413507,469.0,9.0,11.0,26.0,79.0,0.019189765458422176,0.023454157782515993,0.05543710021321962,0.16844349680170576,21.321961620469082,30,84.76
