layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,47,1,False,27,0,32.0,32.0,160000,6.896601215093646,1.5065605744298431,0.03205448030701794,2.3069154580770648,0.049083307618660955,1.2347204888074585,0.026270648698031033,15.77694853053959,10,47,0.8043087256777597,37,3,4,8,16,0.06382978723404255,0.0851063829787234,0.1702127659574468,0.3404255319148936,3404.255319148936,47.0,10000.0,1.8681791342953216,1.2530703372034242,0.026661071004328175,1.5091897185827359,0.032110419544313526,1.1252423520240147,0.023941326638808824,10.075407167583116,10.0,47.0,0.9666282248692858,35.0,2.0,2.0,3.0,3.0,0.0425531914893617,0.0425531914893617,0.06382978723404255,0.06382978723404255,212.7659574468085,0,10.01
features.3,conv,1,64,1,False,64,0,32.0,32.0,160000,4.183703228977276,2.987876861730334,0.04668557596453647,6.722948272762825,0.10504606676191915,1.7961169659826017,0.028064327593478152,2.1332494919081304,10,64,0.9839283941292932,64,11,19,41,60,0.171875,0.296875,0.640625,0.9375,2500.0,64.0,10000.0,1.0333022444452544,1.7954584054208282,0.02805403758470044,2.5522179401553178,0.03987840531492684,1.3766405130374524,0.021510008016210194,4.327366610863624,10.0,64.0,0.971022273578423,64.0,3.0,3.0,6.0,15.0,0.046875,0.046875,0.09375,0.234375,156.25,0,10.01
features.7,conv,2,127,1,False,127,0,16.0,16.0,160000,3.566941204305255,5.210263674665946,0.041025698225716105,13.84292203771046,0.10899938612370441,2.545082758074901,0.020040021717125205,1.6342666589595343,10,127,0.9852620934274007,127,25,47,94,122,0.1968503937007874,0.3700787401574803,0.7401574803149606,0.9606299212598425,1259.8425196850394,127.0,10000.0,0.8363932820623683,2.19061428642332,0.017248931389159998,3.1123637704237437,0.02450680134191924,1.595505406811557,0.012563034699303598,3.5524633861878523,10.0,127.0,0.9547158409719471,127.0,3.0,4.0,11.0,39.0,0.023622047244094488,0.031496062992125984,0.08661417322834646,0.30708661417322836,78.74015748031496,0,10.01
features.10,conv,3,128,1,False,128,0,16.0,16.0,160000,3.5145069797397674,6.51768906648564,0.05091944583191906,17.200677663845475,0.13438029424879278,3.2733073804427595,0.02557271390970906,1.408526633496668,10,128,0.9899516305524868,128,34,60,105,125,0.265625,0.46875,0.8203125,0.9765625,1250.0,128.0,10000.0,0.7628039543158147,2.477633606064118,0.01935651254737592,3.309053192830037,0.025851978068984663,1.8972731177450428,0.014822446232383147,2.944655582484207,10.0,128.0,0.9651396647423924,128.0,3.0,4.0,12.0,47.0,0.0234375,0.03125,0.09375,0.3671875,78.125,0,10.01
features.14,conv,4,255,1,False,255,0,8.0,8.0,160000,4.9435696900268695,7.7228429581826585,0.030285658659539836,19.050276806304936,0.07470696786786249,3.7170473659248824,0.014576656336960323,1.4115764709452094,10,255,0.985190548484166,255,35,82,186,244,0.13725490196078433,0.3215686274509804,0.7294117647058823,0.9568627450980393,627.4509803921569,255.0,10000.0,0.9392614932722321,2.429150129826574,0.009526078940496369,3.4398389154083424,0.013489564374150362,1.873441047534582,0.007346827637390517,2.6566326798131623,10.0,255.0,0.9582221668157858,255.0,3.0,5.0,23.0,97.0,0.011764705882352941,0.0196078431372549,0.09019607843137255,0.3803921568627451,39.21568627450981,0,10.01
features.17,conv,5,255,1,False,255,0,8.0,8.0,160000,4.764566027057805,8.076218798522227,0.03167144626871461,22.163913144244663,0.08691730644801829,3.65575082150036,0.014336277731373961,1.3244600841198853,10,255,0.9931311653453595,255,48,100,202,248,0.18823529411764706,0.39215686274509803,0.792156862745098,0.9725490196078431,627.4509803921569,255.0,10000.0,0.695389892718432,2.335367331183947,0.00915830325954489,3.530250957161126,0.013844121400631867,1.7417866657259562,0.006830535944023357,2.316434548356039,10.0,255.0,0.9676273260509499,255.0,3.0,6.0,32.0,128.0,0.011764705882352941,0.023529411764705882,0.12549019607843137,0.5019607843137255,39.21568627450981,0,10.01
features.20,conv,6,254,1,False,254,0,8.0,8.0,160000,4.670554539333072,7.142638559770657,0.02812062425106558,21.705629557846045,0.08545523447970883,3.2301544705635417,0.012717143584895833,1.260553632224529,10,254,0.9924151284584984,254,55,110,207,248,0.21653543307086615,0.4330708661417323,0.8149606299212598,0.9763779527559056,629.9212598425197,254.0,10000.0,0.6075841874488992,2.196631262856041,0.00864815457817339,3.4677815591578307,0.013652683303770986,1.612416202040236,0.0063480952836229764,2.2836239398919704,10.0,254.0,0.9618633634604661,254.0,3.0,6.0,36.0,135.0,0.011811023622047244,0.023622047244094488,0.14173228346456693,0.531496062992126,39.37007874015748,0,10.01
features.24,conv,7,504,1,False,504,0,4.0,4.0,160000,6.163265678148433,5.739989938309591,0.011388868925217442,14.024856584579876,0.027827096397975943,3.6454043813545853,0.0072329452011003674,1.2267060607297733,10,504,0.9768949011468979,504,27,105,336,476,0.05357142857142857,0.20833333333333334,0.6666666666666666,0.9444444444444444,317.46031746031747,504.0,10000.0,0.6350176083828007,2.0521529005793138,0.004071731945593877,4.353076002157652,0.00863705555983661,1.471753231601042,0.002920145300795718,1.9523994217583995,10.0,504.0,0.9425804825302153,504.0,5.0,17.0,128.0,340.0,0.00992063492063492,0.03373015873015873,0.25396825396825395,0.6746031746031746,19.841269841269842,0,10.01
features.27,conv,8,486,1,False,486,0,4.0,4.0,160000,5.646374957659025,6.241229838379015,0.01284203670448357,14.518668841638503,0.02987380420090227,4.012951643684786,0.008257102147499558,1.1734138184441423,10,486,0.9852376811018323,486,23,94,331,463,0.047325102880658436,0.1934156378600823,0.6810699588477366,0.9526748971193416,329.2181069958848,486.0,10000.0,0.4280638305212466,1.974116092531863,0.00406196726858408,4.3726036037058975,0.008997126756596497,1.4317352066862956,0.0029459572154039004,1.7775591423511332,10.0,486.0,0.9579361939421074,486.0,6.0,21.0,144.0,364.0,0.012345679012345678,0.043209876543209874,0.2962962962962963,0.7489711934156379,20.5761316872428,0,10.01
features.30,conv,9,469,1,False,469,0,4.0,4.0,160000,5.170051416092864,6.384111096628297,0.013612177178311934,14.225943612286367,0.03033250237161272,3.920338864265282,0.00835893148030977,1.1632869301315394,10,469,0.981560801838387,469,18,80,313,446,0.03837953091684435,0.17057569296375266,0.6673773987206824,0.9509594882729211,341.1513859275053,469.0,10000.0,0.2998805656645567,1.8257665673945533,0.0038928924677922245,4.184204895861501,0.008921545620173776,1.3646400249339063,0.002909680223739672,1.7547905316014027,10.0,469.0,0.9548993984872574,469.0,6.0,24.0,152.0,360.0,0.01279317697228145,0.0511727078891258,0.32409381663113007,0.767590618336887,21.321961620469082,0,10.01
