layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,14,1,False,14,0,32.0,32.0,160000,15.047182455417513,5.230377490067976,0.37359839214771257,6.517361505476852,0.46552582181977514,3.652788609975941,0.26091347214113864,,10,14,,14,6,7,10,12,0.42857142857142855,0.5,0.7142857142857143,0.8571428571428571,11428.57142857143,14.0,10000.0,2.1359859165485853,2.679167031051621,0.19136907364654435,2.9281296737989493,0.2091521195570678,2.0953000454755157,0.14966428896253683,,10.0,14.0,,14.0,3.0,3.0,3.0,7.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.5,714.2857142857143,15,81.17
features.3,conv,1,47,1,False,47,0,32.0,32.0,160000,23.26933886769808,10.035636490841268,0.2135241806561972,13.933936443540546,0.2964667328412882,5.242222048209236,0.11153663932360076,4.778255605288022,10,47,0.9587843733749963,47,13,16,24,36,0.2765957446808511,0.3404255319148936,0.5106382978723404,0.7659574468085106,3404.255319148936,47.0,10000.0,1.2038754372135296,3.412313460108154,0.07260241404485433,4.265208772955167,0.09074912282883334,2.384797582417129,0.050740374093981466,7.092422396139132,10.0,47.0,0.9819178463467373,47.0,4.0,4.0,8.0,15.0,0.0851063829787234,0.0851063829787234,0.1702127659574468,0.3191489361702128,212.7659574468085,15,81.17
features.7,conv,2,107,1,False,107,0,16.0,16.0,160000,44.81929988653263,14.149907878874727,0.1322421297091096,24.00265380831835,0.2243238673674612,5.357550118090789,0.05007056185131579,2.953440508979277,10,107,0.9734783350558567,107,23,32,58,93,0.21495327102803738,0.29906542056074764,0.5420560747663551,0.8691588785046729,1495.3271028037384,107.0,10000.0,5.222682695379333,4.587757945987168,0.04287624248586138,6.972646169779887,0.06516491747457838,2.5184715975675536,0.023537117734276202,4.547040256561634,10.0,107.0,0.971765567036939,107.0,7.0,9.0,14.0,33.0,0.06542056074766354,0.08411214953271028,0.1308411214953271,0.308411214953271,93.45794392523365,15,81.17
features.10,conv,3,121,1,False,121,0,16.0,16.0,160000,35.330855790566446,19.883187507804426,0.16432386370086302,30.90612159786415,0.2554224925443318,8.947328032954287,0.07394485977648171,2.5049281749987418,10,121,0.9857678330875533,121,29,41,78,113,0.2396694214876033,0.33884297520661155,0.6446280991735537,0.9338842975206612,1322.314049586777,121.0,10000.0,2.9507354391058422,5.746564146191672,0.047492265671005555,8.89374745706885,0.07350204509974256,2.9864168627184084,0.024681131096846352,3.5946349956647987,10.0,121.0,0.9774680067012301,121.0,8.0,10.0,24.0,57.0,0.06611570247933884,0.08264462809917356,0.19834710743801653,0.47107438016528924,82.64462809917356,15,81.17
features.14,conv,4,238,1,False,238,0,8.0,8.0,160000,60.145898579661726,26.287037084009512,0.11044973564709878,45.07947326604248,0.1894095515379936,9.847466469662413,0.04137590953639669,2.368348728464955,10,238,0.9829433317889362,238,44,66,136,215,0.18487394957983194,0.2773109243697479,0.5714285714285714,0.9033613445378151,672.2689075630252,238.0,10000.0,6.941109057581575,7.80220883197883,0.03278239005033122,12.282982686064003,0.05160917094984875,4.138031011979165,0.017386684924282206,3.240163631637625,10.0,238.0,0.9654804080514444,238.0,11.0,17.0,44.0,113.0,0.046218487394957986,0.07142857142857142,0.18487394957983194,0.47478991596638653,42.016806722689076,15,81.17
features.17,conv,5,247,1,False,247,0,8.0,8.0,160000,53.217203468823016,29.118468222160704,0.11788853531239152,51.41318012813344,0.20815052683454835,11.216847465433995,0.04541233791673682,2.1123287853150114,10,247,0.9883942582967198,247,51,79,165,234,0.20647773279352227,0.31983805668016196,0.6680161943319838,0.9473684210526315,647.7732793522267,247.0,10000.0,6.010385059851202,8.229315526640583,0.03331706690947604,14.300508679510793,0.05789679627332305,3.998591703245084,0.016188630377510463,2.833194499428631,10.0,247.0,0.9852459012510439,247.0,14.0,22.0,57.0,147.0,0.05668016194331984,0.08906882591093117,0.23076923076923078,0.5951417004048583,40.48582995951417,15,81.17
features.20,conv,6,249,1,False,249,0,8.0,8.0,160000,52.84556877494383,31.416735127553746,0.12617162701828813,53.583216143211786,0.2151936391293646,12.23627372427772,0.04914166154328401,2.0736497579553017,10,249,0.991592155922866,249,52,81,171,237,0.20883534136546184,0.3253012048192771,0.6867469879518072,0.9518072289156626,642.570281124498,249.0,10000.0,5.563266546457059,8.215186037461399,0.03299271500988513,15.085219183316667,0.06058320957155288,3.797225621146816,0.0152499020929591,2.7785611481554504,10.0,249.0,0.9881837419427463,249.0,15.0,24.0,61.0,157.0,0.060240963855421686,0.0963855421686747,0.24497991967871485,0.6305220883534136,40.16064257028113,15,81.17
features.24,conv,7,456,1,False,456,0,4.0,4.0,160000,85.45435215572189,32.09524117042071,0.0703843008123261,59.496312602186634,0.13047436974163737,11.337765309821222,0.02486352041627461,2.1289568913370487,10,456,0.9928244980882878,456,59,93,245,414,0.12938596491228072,0.20394736842105263,0.5372807017543859,0.9078947368421053,350.87719298245617,456.0,10000.0,17.574686853777308,8.558743275043637,0.018769173848779908,15.60075720870247,0.034212186861189625,4.183300756186976,0.009173905167076703,2.4682907108700425,10.0,456.0,0.9809415199506513,456.0,15.0,24.0,86.0,265.0,0.03289473684210526,0.05263157894736842,0.18859649122807018,0.581140350877193,21.92982456140351,15,81.17
features.27,conv,8,376,1,False,376,0,4.0,4.0,160000,85.26346019814615,25.175795956470285,0.06695690413954863,48.05303620956613,0.1278006282169312,9.463121193680749,0.025167875515108375,2.020761835817875,10,376,0.9951923026508153,376,49,80,220,351,0.13031914893617022,0.2127659574468085,0.5851063829787234,0.9335106382978723,425.531914893617,376.0,10000.0,22.66375834538689,7.005785043997402,0.018632407031907983,11.443937594602263,0.030436004240963464,3.6098019303747737,0.009600537048869078,2.2328180001892863,10.0,376.0,0.9917939108056758,376.0,10.0,15.0,49.0,216.0,0.026595744680851064,0.0398936170212766,0.13031914893617022,0.574468085106383,26.595744680851062,15,81.17
features.30,conv,9,261,1,False,261,0,4.0,4.0,160000,80.82200501834626,25.987353215346534,0.09956840312393309,44.0203356939443,0.16866029001511224,10.365167453711527,0.03971328526326255,2.257036644831138,10,261,0.9924596163730957,261,41,62,148,242,0.15708812260536398,0.23754789272030652,0.5670498084291188,0.9272030651340997,613.0268199233717,261.0,10000.0,19.11559357410647,6.075124280140169,0.023276338238084938,9.555429205714596,0.0366108398686383,3.1645277444075215,0.012124627373208895,2.320383386242267,10.0,261.0,0.9947511856294287,261.0,8.0,12.0,37.0,149.0,0.03065134099616858,0.04597701149425287,0.1417624521072797,0.5708812260536399,38.31417624521073,15,81.17
