layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,37,1,False,27,0,32.0,32.0,160000,12.07725353624654,2.5830501857090704,0.06981216718132623,4.050340118943307,0.10946865186333263,1.6963676164245869,0.045847773416880726,14.322245151712423,10,37,0.7581906632468074,32,5,6,9,13,0.13513513513513514,0.16216216216216217,0.24324324324324326,0.35135135135135137,4324.324324324324,37.0,10000.0,2.527438136941328,1.3574571039118584,0.03668802983545563,1.7012973561371536,0.04598100962532847,1.174694350187419,0.03174849595101133,11.444838610956678,10.0,37.0,0.9764998124723355,29.0,2.0,2.0,3.0,5.0,0.05405405405405406,0.05405405405405406,0.08108108108108109,0.13513513513513514,270.27027027027026,3,68.19
features.3,conv,1,37,1,False,37,0,32.0,32.0,160000,34.89371263040861,8.519136565003462,0.23024693418928277,13.25999309071564,0.35837819164096324,3.9863047276333936,0.10773796561171334,2.7389746903333867,10,37,0.9935438969021713,37,13,17,29,36,0.35135135135135137,0.4594594594594595,0.7837837837837838,0.972972972972973,4324.324324324324,37.0,10000.0,3.7692700826825263,3.084377996254021,0.08336156746632489,4.185429246222744,0.11311970935737145,2.048718125552071,0.05537076015005597,4.904537133942925,10.0,37.0,0.9886024288718459,37.0,4.0,5.0,9.0,18.0,0.10810810810810811,0.13513513513513514,0.24324324324324326,0.4864864864864865,270.27027027027026,3,68.19
features.7,conv,2,75,1,False,75,0,16.0,16.0,160000,52.74063734002894,12.55339882333782,0.1673786509778376,22.154721635058053,0.2953962884674407,5.4454775744623,0.07260636765949734,2.1081986539989996,10,75,0.9910937603379677,75,24,35,59,73,0.32,0.4666666666666667,0.7866666666666666,0.9733333333333334,2133.3333333333335,75.0,10000.0,6.9531635166765335,4.454291646635729,0.05939055528847639,6.142984924881393,0.08190646566508523,3.0125979156533984,0.04016797220871198,4.103085708614088,10.0,75.0,0.9773858884360416,75.0,6.0,7.0,14.0,32.0,0.08,0.09333333333333334,0.18666666666666668,0.4266666666666667,133.33333333333334,3,68.19
features.10,conv,3,75,1,False,75,0,16.0,16.0,160000,56.99578804532426,16.716130812629114,0.22288174416838819,28.833080595478684,0.38444107460638244,6.860061527412318,0.09146748703216424,1.62032995056954,10,75,0.9911874024564556,75,33,47,67,74,0.44,0.6266666666666667,0.8933333333333333,0.9866666666666667,2133.3333333333335,75.0,10000.0,7.514747505508583,4.682307355474984,0.06243076473966646,7.215569653422488,0.0962075953789665,2.598785838094711,0.03465047784126281,3.292276953844544,10.0,75.0,0.978123828164774,75.0,7.0,9.0,20.0,47.0,0.09333333333333334,0.12,0.26666666666666666,0.6266666666666667,133.33333333333334,3,68.19
features.14,conv,4,149,1,False,149,0,8.0,8.0,160000,143.57014423946194,16.891364146782003,0.1133648600455168,34.34499293143843,0.23050330826468748,6.2510606204057755,0.041953426982589095,1.7188982280744065,10,149,0.9956135683922542,149,42,69,121,145,0.28187919463087246,0.46308724832214765,0.8120805369127517,0.9731543624161074,1073.8255033557048,149.0,10000.0,21.221901086032954,5.609833085743053,0.037649886481496996,8.669359901388718,0.05818362349925314,3.203155082137051,0.021497685115013765,2.955333982799043,10.0,149.0,0.9659034198005125,149.0,7.0,11.0,33.0,83.0,0.04697986577181208,0.0738255033557047,0.2214765100671141,0.5570469798657718,67.11409395973155,3,68.19
features.17,conv,5,149,1,False,149,0,8.0,8.0,160000,161.87647812609234,22.960162184800218,0.1540950482201357,45.15999295511745,0.30308720104105674,8.097739322693556,0.05434724377646682,1.4740291659662887,10,149,0.9975745973311311,149,58,88,132,147,0.38926174496644295,0.5906040268456376,0.8859060402684564,0.9865771812080537,1073.8255033557048,149.0,10000.0,22.66490920225797,6.555947105317906,0.043999645002133596,10.657844895925622,0.07152916037533975,3.5799007854847105,0.02402617976835376,2.5078129958020954,10.0,149.0,0.9768080519713379,149.0,9.0,16.0,49.0,109.0,0.06040268456375839,0.10738255033557047,0.3288590604026846,0.7315436241610739,67.11409395973155,3,68.19
features.20,conv,6,149,1,False,149,0,8.0,8.0,160000,162.34245868105944,27.494761361731367,0.18452859974316355,52.13403647589286,0.34989286225431454,9.597753146230517,0.06441445064584239,1.4078580079530556,10,149,0.9964394107180582,149,66,96,134,148,0.4429530201342282,0.6442953020134228,0.8993288590604027,0.9932885906040269,1073.8255033557048,149.0,10000.0,21.08894124218664,7.051659733283529,0.047326575391164624,12.152750052982439,0.0815620808924996,3.7081936732189487,0.024887205860529858,2.508036147910115,10.0,149.0,0.9696685556431631,149.0,12.0,20.0,58.0,114.0,0.08053691275167785,0.1342281879194631,0.38926174496644295,0.7651006711409396,67.11409395973155,3,68.19
features.24,conv,7,298,1,False,298,0,4.0,4.0,160000,310.4503906993053,14.638236981989731,0.049121600610703794,41.11814632311652,0.1379803567889816,6.198378672885867,0.02079992843250291,1.456267426066281,10,298,0.993196469040353,298,74,134,241,290,0.2483221476510067,0.44966442953020136,0.8087248322147651,0.9731543624161074,536.9127516778524,298.0,10000.0,46.6259693065702,7.543058042822645,0.025312275311485388,14.510790565745365,0.04869392807297102,4.058183350082125,0.013618064933161492,2.1365624394317853,10.0,298.0,0.9577441501862404,298.0,16.0,36.0,119.0,234.0,0.053691275167785234,0.12080536912751678,0.39932885906040266,0.785234899328859,33.557046979865774,3,68.19
features.27,conv,8,298,1,False,298,0,4.0,4.0,160000,293.2072786305307,21.39626318486309,0.07179954088880232,56.34989910392318,0.18909362115410464,8.142243974499603,0.02732296635738122,1.310775182420507,10,298,0.997456506894266,298,99,165,259,294,0.33221476510067116,0.5536912751677853,0.8691275167785235,0.9865771812080537,536.9127516778524,298.0,10000.0,47.95398319042502,7.187019136477058,0.0241175138807955,14.265943542317594,0.04787229376616642,3.719054482829422,0.012480048600098732,1.8714714903965577,10.0,298.0,0.9744719414428603,298.0,16.0,37.0,137.0,254.0,0.053691275167785234,0.12416107382550336,0.4597315436241611,0.8523489932885906,33.557046979865774,3,68.19
features.30,conv,9,298,1,False,298,0,4.0,4.0,160000,297.72481787436425,23.565816333520843,0.0790799205822847,60.627964335550644,0.20344954475016994,8.789787467832948,0.029495931100110565,1.3047072358894731,10,298,0.9973741404266491,298,104,170,261,294,0.348993288590604,0.5704697986577181,0.8758389261744967,0.9865771812080537,536.9127516778524,298.0,10000.0,50.28093403501969,7.048669087201022,0.023653251970473226,13.377843406465114,0.04489209196800374,3.8416391601168645,0.01289140657757337,1.8590550196193665,10.0,298.0,0.9689962453796545,298.0,13.0,34.0,130.0,250.0,0.0436241610738255,0.11409395973154363,0.436241610738255,0.8389261744966443,33.557046979865774,3,68.19
