layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,64,1,False,27,0,32.0,32.0,160000,36.905803374149066,4.719135703347418,0.07373649536480341,6.474924454969442,0.10117069460889754,2.714138101961009,0.04240840784314077,15.078751966127982,10,64,0.9626360873454975,44,6,8,12,15,0.09375,0.125,0.1875,0.234375,2500.0,64.0,10000.0,8.648540988758814,2.353358644217882,0.03677122881590441,2.667242553406592,0.041675664896978,1.7796021136316305,0.027806283025494226,8.858261152957958,10.0,64.0,0.9486161874837149,41.0,3.0,3.0,3.0,6.0,0.046875,0.046875,0.046875,0.09375,156.25,70,61.68
features.3,conv,1,64,1,False,64,0,32.0,32.0,160000,59.42840213888978,11.660841475817728,0.182200648059652,16.380652098085424,0.25594768903258475,5.77270889543707,0.09019857649120422,4.408810237427593,10,64,0.9705038034212077,64,15,18,29,47,0.234375,0.28125,0.453125,0.734375,2500.0,64.0,10000.0,3.4896822127623772,3.4499268229589592,0.05390510660873374,4.492762508630397,0.07019941419734996,2.2712351784383618,0.0354880496630994,5.305602838595659,10.0,64.0,0.9652184473358121,64.0,4.0,5.0,9.0,21.0,0.0625,0.078125,0.140625,0.328125,156.25,70,61.68
features.7,conv,2,128,1,False,128,0,16.0,16.0,160000,90.19244238130453,15.995408331132596,0.12496412758697341,26.11863454928527,0.20405183241629118,6.343195638356153,0.04955621592465745,3.3075430053644213,10,128,0.955182325314674,128,25,35,60,99,0.1953125,0.2734375,0.46875,0.7734375,1250.0,128.0,10000.0,11.23602943080719,5.615645311866234,0.04387222899895495,8.088032066894726,0.06318775052261505,2.9758010678548623,0.023248445842616112,4.610630064896079,10.0,128.0,0.9629982956020405,128.0,7.0,10.0,14.0,36.0,0.0546875,0.078125,0.109375,0.28125,78.125,70,61.68
features.10,conv,3,128,1,False,128,0,16.0,16.0,160000,53.968574622764145,22.160341426240265,0.17312766739250207,33.48638828517602,0.26161240847793765,8.986996735406029,0.0702109119953596,2.7541052497609746,10,128,0.9762463784526175,128,30,41,75,115,0.234375,0.3203125,0.5859375,0.8984375,1250.0,128.0,10000.0,4.557911230671122,4.802077969300952,0.03751623413516369,8.003323074043161,0.0625259615159622,2.529788678637427,0.0197639740518549,3.5835523866868595,10.0,128.0,0.9783035251663718,128.0,8.0,11.0,24.0,58.0,0.0625,0.0859375,0.1875,0.453125,78.125,70,61.68
features.14,conv,4,256,1,False,256,0,8.0,8.0,160000,120.52396445366088,28.87124914732295,0.11277831698173027,51.00694484560829,0.19924587830315738,9.524072017032646,0.03720340631653377,2.55838756543057,10,256,0.9581142940161295,256,51,73,136,221,0.19921875,0.28515625,0.53125,0.86328125,625.0,256.0,10000.0,15.83961346088255,9.073083880250286,0.03544173390722768,14.790635672035812,0.05777592059388989,4.448411945896278,0.017376609163657335,3.4423026881896495,10.0,256.0,0.9648989707215715,256.0,13.0,19.0,47.0,116.0,0.05078125,0.07421875,0.18359375,0.453125,39.0625,70,61.68
features.17,conv,5,256,1,False,256,0,8.0,8.0,160000,66.05005442751818,25.909601131993313,0.10120937942184888,50.86349204822874,0.19868551581339353,7.7607928538628554,0.03031559708540178,2.293479845936215,10,256,0.9710713511523301,256,54,79,154,234,0.2109375,0.30859375,0.6015625,0.9140625,625.0,256.0,10000.0,7.882686897509388,8.905211285480327,0.03478598158390753,16.490869122655297,0.06441745751037226,3.912582946599132,0.01528352713515286,2.946153389193407,10.0,256.0,0.981165906748224,256.0,16.0,25.0,64.0,153.0,0.0625,0.09765625,0.25,0.59765625,39.0625,70,61.68
features.20,conv,6,256,1,False,256,0,8.0,8.0,160000,59.25819766997293,35.855817236005905,0.14006178607814807,62.478100849469605,0.24405508144324065,12.299258788336518,0.04804397964193952,2.1147840763896246,10,256,0.9732407599343188,256,63,93,175,242,0.24609375,0.36328125,0.68359375,0.9453125,625.0,256.0,10000.0,5.853146547225107,12.399252969221676,0.04843458191102217,22.069033668679797,0.08620716276828046,5.723110659876839,0.0223559010151439,2.8499945060328336,10.0,256.0,0.9775919068929109,256.0,22.0,36.0,81.0,175.0,0.0859375,0.140625,0.31640625,0.68359375,39.0625,70,61.68
features.24,conv,7,512,1,False,512,0,4.0,4.0,160000,100.11378573772596,46.6040810818029,0.0910235958628963,95.16924790857867,0.1858774373214427,10.572981086274945,0.020650353684130752,2.238990106446084,10,512,0.959386215789182,512,97,144,290,457,0.189453125,0.28125,0.56640625,0.892578125,312.5,512.0,10000.0,21.047269183150544,19.118356191545967,0.03734053943661322,34.752839091235614,0.06787663885006956,7.504852774514066,0.014657915575222785,2.7851288450819007,10.0,512.0,0.9706518518414832,512.0,33.0,53.0,140.0,317.0,0.064453125,0.103515625,0.2734375,0.619140625,19.53125,70,61.68
features.27,conv,8,512,1,False,512,0,4.0,4.0,160000,39.430722055194,45.901958614324016,0.0896522629186016,89.55831697328381,0.17491858783844494,11.362088527995365,0.022191579156240947,2.1221033422695945,10,512,0.9785219073354641,512,88,137,304,471,0.171875,0.267578125,0.59375,0.919921875,312.5,512.0,10000.0,10.229801279092326,21.462495409008245,0.04191893634571923,36.374273518037185,0.07104350296491638,8.944078839539019,0.017468903983474646,2.6041605506484036,10.0,512.0,0.9880880753781003,512.0,33.0,50.0,138.0,343.0,0.064453125,0.09765625,0.26953125,0.669921875,19.53125,70,61.68
features.30,conv,9,512,1,False,512,0,4.0,4.0,160000,38.489022472900594,42.10353320922225,0.0822334632992622,91.71859066548383,0.1791378723935231,9.4017157970716,0.018362726166155467,2.0531486270412933,10,512,0.9779722538114468,512,95,149,321,476,0.185546875,0.291015625,0.626953125,0.9296875,312.5,512.0,10000.0,9.662397785986201,22.878489621944535,0.04468455004286042,38.429255328340176,0.0750571393131644,9.595686670115695,0.018741575527569717,2.612253247174026,10.0,512.0,0.9882598246984525,512.0,35.0,52.0,142.0,347.0,0.068359375,0.1015625,0.27734375,0.677734375,19.53125,70,61.68
