layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,64,1,False,27,0,32.0,32.0,160000,5.339106233987246,1.9497463097421293,0.03046478608972077,3.140849791861481,0.04907577799783564,1.4268763721343525,0.022294943314599257,15.153091635326316,10,64,0.8694956929206445,46,4,5,10,17,0.0625,0.078125,0.15625,0.265625,2500.0,64.0,10000.0,1.8805948066215068,1.6063972114236227,0.025099956428494104,1.9239739790407344,0.030062093422511475,1.3131372069716027,0.020517768858931293,8.29618155485857,10.0,64.0,0.9281121533204112,43.0,2.0,2.0,3.0,3.0,0.03125,0.03125,0.046875,0.046875,156.25,0,1.01
features.3,conv,1,64,1,False,64,0,32.0,32.0,160000,3.560099592854033,3.790262151371818,0.059222846115184656,8.378881468533953,0.130920022945843,2.0910872621082865,0.03267323847044198,2.0543449034492367,10,64,0.9860578453979147,64,12,21,44,61,0.1875,0.328125,0.6875,0.953125,2500.0,64.0,10000.0,1.0844821666565683,2.2967523358763393,0.0358867552480678,3.309382934000401,0.05170910834375626,1.6005186513797753,0.02500810392780899,3.887977991155665,10.0,64.0,0.9804407797161403,64.0,3.0,4.0,7.0,17.0,0.046875,0.0625,0.109375,0.265625,156.25,0,1.01
features.7,conv,2,128,1,False,128,0,16.0,16.0,160000,3.16993485193609,6.85801824362625,0.05357826752833008,17.435777768174546,0.13621701381386364,3.00515261917515,0.02347775483730586,1.7084408210127269,10,128,0.989480756898336,128,27,49,96,123,0.2109375,0.3828125,0.75,0.9609375,1250.0,128.0,10000.0,0.8766352793893714,2.6553627433264912,0.020745021432238213,3.9894327937440752,0.031167443701125588,1.7672860585939252,0.01380692233276504,3.5876775869962274,10.0,128.0,0.9614485557991679,128.0,4.0,5.0,12.0,40.0,0.03125,0.0390625,0.09375,0.3125,78.125,0,1.01
features.10,conv,3,128,1,False,128,0,16.0,16.0,160000,2.8134707644524495,8.50717235361795,0.06646228401264023,23.018067943096504,0.17982865580544144,3.4407269864250014,0.026880679581445324,1.4296115357543306,10,128,0.9904081780804346,128,41,66,108,126,0.3203125,0.515625,0.84375,0.984375,1250.0,128.0,10000.0,0.6630858221506231,2.525538676042565,0.01973077090658254,4.008037574118335,0.03131279354779949,1.70198686734842,0.013296772401159531,3.0224734611319715,10.0,128.0,0.9668229471028671,128.0,4.0,6.0,16.0,55.0,0.03125,0.046875,0.125,0.4296875,78.125,0,1.01
features.14,conv,4,256,1,False,256,0,8.0,8.0,160000,3.396666519021234,9.318012845281732,0.036398487676881766,26.34071976283808,0.10289343657358625,3.9837132170233676,0.01556137975399753,1.38631382195186,10,256,0.9839092781672742,256,56,108,202,248,0.21875,0.421875,0.7890625,0.96875,625.0,256.0,10000.0,0.6483368024718347,2.4465902961731243,0.009556993344426267,4.3576266307956155,0.017021979026545373,1.6471909040856907,0.006434339469084729,2.6433035327146386,10.0,256.0,0.9589060972546747,256.0,4.0,8.0,35.0,116.0,0.015625,0.03125,0.13671875,0.453125,39.0625,0,1.01
features.17,conv,5,256,1,False,256,0,8.0,8.0,160000,2.8081552257516864,9.995543535735328,0.039045091936466124,31.22739949280557,0.12198202926877176,4.122049625161815,0.01610175634828834,1.267780328252983,10,256,0.9901084126695122,256,74,129,216,251,0.2890625,0.50390625,0.84375,0.98046875,625.0,256.0,10000.0,0.40593879601177435,2.480541582156217,0.009689615555297723,4.688279407005039,0.018313591433613434,1.651329255009311,0.006450504902380121,2.3361258428866214,10.0,256.0,0.9675071859812991,256.0,5.0,10.0,47.0,147.0,0.01953125,0.0390625,0.18359375,0.57421875,39.0625,0,1.01
features.20,conv,6,256,1,False,256,0,8.0,8.0,160000,2.68680815499649,8.74708467103073,0.03416829949621379,29.524219764949365,0.11532898345683346,3.604379358464289,0.01407960686900113,1.202230844171534,10,256,0.9890860264854607,256,79,135,219,252,0.30859375,0.52734375,0.85546875,0.984375,625.0,256.0,10000.0,0.3445679262681826,2.3247488667686587,0.009081050260815073,4.413718654306668,0.01724108849338542,1.5897448930325897,0.0062099409884085535,2.3236838073761676,10.0,256.0,0.9628502244554727,256.0,5.0,10.0,49.0,150.0,0.01953125,0.0390625,0.19140625,0.5859375,39.0625,0,1.01
features.24,conv,7,512,1,False,512,0,4.0,4.0,160000,3.7686823295705523,6.056643522273227,0.011829381879439896,16.203126305617054,0.03164673106565831,3.9029664197421297,0.007622981288558847,1.1722400260935186,10,512,0.9761043979080634,512,44,144,368,489,0.0859375,0.28125,0.71875,0.955078125,312.5,512.0,10000.0,0.42751189216475144,2.0377612388474247,0.003980002419623876,4.807581508854588,0.009389807634481617,1.4488964152395927,0.0028298758110148294,1.932158294673974,10.0,512.0,0.9465805065816126,512.0,7.0,24.0,146.0,362.0,0.013671875,0.046875,0.28515625,0.70703125,19.53125,0,1.01
features.27,conv,8,512,1,False,512,0,4.0,4.0,160000,3.2579894678111803,6.504567346110718,0.012704233097872495,16.563224818162613,0.032350048472973854,4.294007871844021,0.008386734124695353,1.115146234122439,10,512,0.9846846646737147,512,37,139,375,493,0.072265625,0.271484375,0.732421875,0.962890625,312.5,512.0,10000.0,0.2795437180508206,1.8221732394854346,0.0035589321083699895,4.4674490905303985,0.008725486504942185,1.3582717093689707,0.002652874432361271,1.7892475012170899,10.0,512.0,0.9583229944239361,512.0,8.0,28.0,165.0,392.0,0.015625,0.0546875,0.322265625,0.765625,19.53125,0,1.01
features.30,conv,9,512,1,False,512,0,4.0,4.0,160000,2.831517940386286,6.2609869702489,0.012228490176267382,15.170283164095391,0.02962945930487381,3.7366688910998715,0.007298181427929437,1.0952254245442004,10,512,0.9804760098998959,512,26,120,364,491,0.05078125,0.234375,0.7109375,0.958984375,312.5,512.0,10000.0,0.1764538445286751,1.7559268399727608,0.0034295446093217984,4.439901460381378,0.00867168253980738,1.3303288847466417,0.0025982986030207845,1.7794134441529765,10.0,512.0,0.9541597584428125,512.0,9.0,35.0,178.0,400.0,0.017578125,0.068359375,0.34765625,0.78125,19.53125,0,1.01
