layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,8,1,False,8,0,32.0,32.0,160000,6.793125199935382,1.862730375849714,0.23284129698121425,2.4626461899188157,0.30783077373985196,1.4307516738662995,0.17884395923328744,,10,8,,8,2,3,5,7,0.25,0.375,0.625,0.875,20000.0,8.0,10000.0,2.6402583850979386,1.8317952039649152,0.2289744004956144,2.117672053707805,0.26470900671347564,1.4569528357441934,0.18211910446802418,,10.0,8.0,,8.0,2.0,2.0,3.0,3.0,0.25,0.25,0.375,0.375,1250.0,1,16.51
features.3,conv,1,20,1,False,20,0,32.0,32.0,160000,7.908349581346511,3.5133608418245443,0.17566804209122722,5.537478752261999,0.2768739376130999,2.1831691165276634,0.10915845582638317,2.8284264870345655,10,20,0.9786973999444649,20,6,9,16,20,0.3,0.45,0.8,1.0,8000.0,20.0,10000.0,3.083869746868155,2.2178533338075725,0.11089266669037863,2.9054011810414604,0.14527005905207302,1.5988202788760628,0.07994101394380314,5.9885497895317155,10.0,20.0,0.9835080215989537,20.0,3.0,4.0,5.0,7.0,0.15,0.2,0.25,0.35,500.0,1,16.51
features.7,conv,2,36,1,False,36,0,16.0,16.0,160000,25.386143141050905,5.289675064410144,0.14693541845583732,9.83590027390567,0.2732194520529353,2.738799208792372,0.07607775579978811,2.2192946578878523,10,36,0.9841715004013085,36,12,18,29,35,0.3333333333333333,0.5,0.8055555555555556,0.9722222222222222,4444.444444444444,36.0,10000.0,9.623519598454603,2.6410579968189904,0.07336272213386084,3.619778888753379,0.10054941357648275,1.8142701155401884,0.050396392098338565,4.7508409064255375,10.0,36.0,0.9762333599974425,36.0,4.0,4.0,8.0,15.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.4166666666666667,277.77777777777777,1,16.51
features.10,conv,3,44,1,False,44,0,16.0,16.0,160000,31.82880471137304,6.81714258806395,0.15493505881963524,14.109465762210407,0.3206696764138729,3.064874800898654,0.06965624547496942,1.5634600190262435,10,44,0.9671628278264031,44,20,28,39,44,0.45454545454545453,0.6363636363636364,0.8863636363636364,1.0,3636.3636363636365,44.0,10000.0,10.551081492556936,2.830754536830631,0.06433533038251434,4.283043833548736,0.09734190530792582,1.8550830619284349,0.0421609786801917,4.4380679829443075,10.0,44.0,0.9743820586986198,44.0,4.0,6.0,12.0,24.0,0.09090909090909091,0.13636363636363635,0.2727272727272727,0.5454545454545454,227.27272727272728,1,16.51
features.14,conv,4,79,1,False,79,0,8.0,8.0,160000,63.482897360048305,11.748997899087422,0.14872149239351168,22.87867126216738,0.28960343369832126,4.996046406217794,0.06324109374959233,1.6292974858188136,10,79,0.9839186144363614,79,29,44,68,78,0.3670886075949367,0.5569620253164557,0.8607594936708861,0.9873417721518988,2025.3164556962026,79.0,10000.0,18.86742436230087,3.851004449696915,0.04874689176831538,5.761470549244574,0.07293000695246296,2.4137207937266196,0.03055342776869139,3.206797638278294,10.0,79.0,0.973491755801942,79.0,5.0,7.0,18.0,45.0,0.06329113924050633,0.08860759493670886,0.22784810126582278,0.569620253164557,126.58227848101266,1,16.51
features.17,conv,5,89,1,False,89,0,8.0,8.0,160000,69.96135930732326,15.729588362210926,0.1767369478900104,31.97854566890434,0.35930950189780153,5.739163282542917,0.0644849807027294,1.3404503670216605,10,89,0.9876242204370803,89,43,60,81,88,0.48314606741573035,0.6741573033707865,0.9101123595505618,0.9887640449438202,1797.752808988764,89.0,10000.0,18.12040338859264,4.663109207587839,0.052394485478515045,7.370865702479395,0.08281871575819545,2.68481857000796,0.03016650078660629,2.8788427677703905,10.0,89.0,0.970295849735057,89.0,6.0,11.0,28.0,62.0,0.06741573033707865,0.12359550561797752,0.3146067415730337,0.6966292134831461,112.35955056179775,1,16.51
features.20,conv,6,101,1,False,101,0,8.0,8.0,160000,80.3727125851521,18.579986834281215,0.1839602656859526,37.4437995348019,0.37073068846338514,7.002680113597215,0.06933346647125956,1.2732538203238175,10,101,0.9934917847221589,101,51,70,93,100,0.504950495049505,0.693069306930693,0.9207920792079208,0.9900990099009901,1584.1584158415842,101.0,10000.0,20.49122045486753,5.039441331351084,0.049895458726248364,7.958709906001677,0.07879910798021462,3.025679199272632,0.029957219794778535,2.8398274596506616,10.0,101.0,0.9690384563478972,101.0,7.0,12.0,33.0,70.0,0.06930693069306931,0.1188118811881188,0.32673267326732675,0.693069306930693,99.00990099009901,1,16.51
features.24,conv,7,159,1,False,159,0,4.0,4.0,160000,167.07108687404295,11.438134728763064,0.07193795426895008,28.553892720377966,0.1795842309457734,4.64575511535773,0.029218585631180693,1.3981319488130948,10,159,0.9936052120417027,159,49,82,135,156,0.3081761006289308,0.5157232704402516,0.8490566037735849,0.9811320754716981,1006.2893081761006,159.0,10000.0,43.658981479453246,4.010227504243635,0.02522155663046311,7.661840367614213,0.048187675268013916,2.2406788403248474,0.014092319750470738,2.206450129338919,10.0,159.0,0.9727554291470595,159.0,8.0,15.0,57.0,122.0,0.050314465408805034,0.09433962264150944,0.3584905660377358,0.7672955974842768,62.893081761006286,1,16.51
features.27,conv,8,162,1,False,162,0,4.0,4.0,160000,126.28143049107969,17.026084883403797,0.10509928940372715,39.904752501077226,0.24632563272269892,6.223859278660709,0.03841888443617721,1.3132299580592586,10,162,0.9961069100182728,162,63,97,144,160,0.3888888888888889,0.5987654320987654,0.8888888888888888,0.9876543209876543,987.6543209876543,162.0,10000.0,29.180317701650853,4.138761017495533,0.025547907515404523,8.653463331164136,0.053416440315828005,2.2434591195405247,0.013848513083583485,2.090367649067278,10.0,162.0,0.9787269796250903,162.0,10.0,20.0,68.0,134.0,0.06172839506172839,0.12345679012345678,0.41975308641975306,0.8271604938271605,61.72839506172839,1,16.51
features.30,conv,9,188,1,False,188,0,4.0,4.0,160000,119.97619329321871,22.69509609117247,0.1207185962296408,51.96975118168179,0.2764348467110733,7.766502386368676,0.04131118290621636,1.303896460512496,10,188,0.9936904986978569,188,79,117,168,186,0.42021276595744683,0.6223404255319149,0.8936170212765957,0.9893617021276596,851.063829787234,188.0,10000.0,22.518265651127148,4.9790614359984415,0.026484369340417244,10.385327937833823,0.05524110605230757,2.5691553995590026,0.013665720210420227,2.0985028774695307,10.0,188.0,0.9743392348155371,188.0,12.0,25.0,81.0,156.0,0.06382978723404255,0.13297872340425532,0.4308510638297872,0.8297872340425532,53.191489361702125,1,16.51
