layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,8,1,False,8,0,32.0,32.0,160000,6.693830785069533,1.4780489664576064,0.1847561208072008,2.065400340033344,0.258175042504168,1.2258592032033848,0.1532324004004231,,10,8,,8,2,3,6,7,0.25,0.375,0.75,0.875,20000.0,8.0,10000.0,2.462038391494219,1.3257626797752589,0.16572033497190736,1.5908319033026868,0.19885398791283584,1.163027853484348,0.1453784816855435,,10.0,8.0,,8.0,2.0,2.0,3.0,3.0,0.25,0.25,0.375,0.375,1250.0,0,0.88
features.3,conv,1,20,1,False,20,0,32.0,32.0,160000,4.508143517889037,2.634782180048943,0.13173910900244715,4.340909097998703,0.21704545489993515,1.7230567280518592,0.08615283640259296,2.662150130697255,10,20,0.9432577238617953,20,5,7,14,19,0.25,0.35,0.7,0.95,8000.0,20.0,10000.0,1.526579566014034,1.9466501159049405,0.09733250579524702,2.4917600716460657,0.12458800358230329,1.4618588501826975,0.07309294250913487,5.961092066359473,10.0,20.0,0.9836708275927745,20.0,3.0,3.0,4.0,7.0,0.15,0.15,0.2,0.35,500.0,0,0.88
features.7,conv,2,36,1,False,36,0,16.0,16.0,160000,2.2900909611029334,4.755474527645968,0.13209651465683245,9.426550715243808,0.2618486309789947,2.4439068825453822,0.06788630229292729,1.9501105403653434,10,36,0.9734543452777754,36,12,19,30,36,0.3333333333333333,0.5277777777777778,0.8333333333333334,1.0,4444.444444444444,36.0,10000.0,0.628620200544999,2.3727250804049365,0.06590903001124823,3.1321882066476374,0.08700522796243437,1.6898097123453988,0.04693915867626108,4.564636034798469,10.0,36.0,0.9662546813651727,36.0,3.0,3.0,7.0,17.0,0.08333333333333333,0.08333333333333333,0.19444444444444445,0.4722222222222222,277.77777777777777,0,0.88
features.10,conv,3,44,1,False,44,0,16.0,16.0,160000,2.2702854324645787,5.4786248168384475,0.124514200382692,11.416499676592315,0.2594659017407344,2.6585346951148847,0.060421243070792836,1.6839990221933498,10,44,0.9868080116460975,44,16,24,38,44,0.36363636363636365,0.5454545454545454,0.8636363636363636,1.0,3636.3636363636365,44.0,10000.0,0.5187817634211986,2.0978214255898826,0.04767775967249733,2.838790823168466,0.06451797325382878,1.5458993954104494,0.035134077168419306,3.994422953121094,10.0,44.0,0.9778488510877712,44.0,3.0,3.0,8.0,21.0,0.06818181818181818,0.06818181818181818,0.18181818181818182,0.4772727272727273,227.27272727272728,0,0.88
features.14,conv,4,79,1,False,79,0,8.0,8.0,160000,2.5531349136235906,7.559595003300749,0.09569107599114872,16.736784657584128,0.21185803364030542,3.404649586316039,0.043096830206532134,1.59935886647254,10,79,0.9866839610666737,79,25,40,66,78,0.31645569620253167,0.5063291139240507,0.8354430379746836,0.9873417721518988,2025.3164556962026,79.0,10000.0,0.49677284663887394,2.0979360622513474,0.026556152686725915,3.214909176340041,0.04069505286506381,1.5195068577187714,0.0192342640217566,3.0466974373020523,10.0,79.0,0.9700509403118386,79.0,3.0,5.0,16.0,43.0,0.0379746835443038,0.06329113924050633,0.20253164556962025,0.5443037974683544,126.58227848101266,0,0.88
features.17,conv,5,89,1,False,89,0,8.0,8.0,160000,2.450730029815684,7.8363748823969885,0.08804915598198863,18.697267545159576,0.21008165781078175,3.3450728404320946,0.03758508809474263,1.4769229059523805,10,89,0.986610015814796,89,30,48,76,88,0.33707865168539325,0.5393258426966292,0.8539325842696629,0.9887640449438202,1797.752808988764,89.0,10000.0,0.41396502075871333,1.994244401012001,0.022407240460809,3.1292892777379517,0.03516055368244889,1.4710681421408642,0.01652885552967263,2.7671019765046903,10.0,89.0,0.9763511776741998,89.0,3.0,5.0,18.0,51.0,0.033707865168539325,0.056179775280898875,0.20224719101123595,0.5730337078651685,112.35955056179775,0,0.88
features.20,conv,6,101,1,False,101,0,8.0,8.0,160000,2.247136597513804,10.10063040380098,0.10000624162179189,23.96256043066507,0.2372530735709413,4.279559552249575,0.04237187675494629,1.401890043307561,10,101,0.9863216238625221,101,39,59,88,100,0.38613861386138615,0.5841584158415841,0.8712871287128713,0.9900990099009901,1584.1584158415842,101.0,10000.0,0.3066376541923166,2.2489707388032047,0.022267037017853514,3.5839787528350087,0.03548493814688127,1.5988294525057205,0.01582999457926456,2.6658496266634653,10.0,101.0,0.9759836084124375,101.0,3.0,6.0,22.0,61.0,0.0297029702970297,0.0594059405940594,0.21782178217821782,0.6039603960396039,99.00990099009901,0,0.88
features.24,conv,7,159,1,False,159,0,4.0,4.0,160000,3.193194927766545,6.803041370769658,0.04278642371553244,15.635032096288398,0.09833353519678238,4.276329437787028,0.026895153696773758,1.2907760109649082,10,159,0.9882133592201977,159,30,64,126,155,0.18867924528301888,0.4025157232704403,0.7924528301886793,0.9748427672955975,1006.2893081761006,159.0,10000.0,0.41336826311773517,2.0735310353656184,0.013041075694123386,4.064008345765482,0.02555980091676404,1.4835508671959008,0.009330508598716357,1.996293361374587,10.0,159.0,0.9572219902321469,159.0,5.0,13.0,58.0,125.0,0.031446540880503145,0.08176100628930817,0.36477987421383645,0.7861635220125787,62.893081761006286,0,0.88
features.27,conv,8,162,1,False,162,0,4.0,4.0,160000,3.322905641016896,6.316689655846736,0.038991911455844054,13.937192908005086,0.08603205498768572,3.777414894731538,0.023317375893404556,1.2651820401904823,10,162,0.9892482437308142,162,24,58,126,158,0.14814814814814814,0.35802469135802467,0.7777777777777778,0.9753086419753086,987.6543209876543,162.0,10000.0,0.28484228503365766,1.9428202084749153,0.01199271733626491,4.091320767444173,0.02525506646570477,1.4129818742439542,0.008722110334839224,1.963634342928323,10.0,162.0,0.9648982245178809,162.0,6.0,15.0,62.0,131.0,0.037037037037037035,0.09259259259259259,0.38271604938271603,0.808641975308642,61.72839506172839,0,0.88
features.30,conv,9,188,1,False,188,0,4.0,4.0,160000,2.7461310489895463,6.596272842250258,0.03508655767154392,14.437237998253662,0.07679381913964714,3.7793201261980136,0.02010276662871284,1.287295317353607,10,188,0.9830869764699133,188,22,60,141,181,0.11702127659574468,0.3191489361702128,0.75,0.9627659574468085,851.063829787234,188.0,10000.0,0.21106023294974027,1.6855242086137319,0.008965554301136871,3.4371288160404547,0.01828260008532157,1.306917836227189,0.006951690618229729,1.9923454461636567,10.0,188.0,0.9631058413606217,188.0,5.0,13.0,63.0,145.0,0.026595744680851064,0.06914893617021277,0.3351063829787234,0.7712765957446809,53.191489361702125,0,0.88
features.34,conv,10,160,1,False,160,0,2.0,2.0,40000,2.2838830466800695,3.6291100296713483,0.02268193768544593,6.085791406855929,0.03803619629284956,2.581640519330256,0.0161352532458141,1.0609837601948726,10,160,0.9847108774722855,160,4,22,104,152,0.025,0.1375,0.65,0.95,250.0,160.0,10000.0,0.19890126518338602,1.9944359771123672,0.012465224856952294,5.722769730905644,0.03576731081816027,1.4188908773131381,0.008868067983207113,1.3943174239621665,10.0,160.0,0.9483064518926295,160.0,20.0,49.0,112.0,152.0,0.125,0.30625,0.7,0.95,62.5,0,0.88
features.37,conv,11,194,1,False,194,0,2.0,2.0,40000,1.2578133207796467,3.3318866770108992,0.01717467359283969,5.143399890513409,0.02651237056965675,2.451769486999875,0.01263798704639111,1.2114313600433446,10,194,0.9647466894197282,194,4,11,98,175,0.020618556701030927,0.05670103092783505,0.5051546391752577,0.9020618556701031,206.18556701030928,194.0,10000.0,0.07024103415383061,2.0814245310709136,0.010728992428200586,6.295769204669215,0.03245241858076915,1.4493479633163948,0.007470865790290695,1.8273254860867305,10.0,194.0,0.905252373440186,194.0,23.0,50.0,114.0,171.0,0.11855670103092783,0.25773195876288657,0.5876288659793815,0.8814432989690721,51.54639175257732,0,0.88
features.40,conv,12,249,1,False,249,0,2.0,2.0,40000,0.5315402661914813,3.4375537755695458,0.01380543684967689,5.231523508610344,0.021010134572732306,2.564676085964497,0.010299903959696774,1.2999023473752824,10,249,0.9557699035295006,249,3,12,112,218,0.012048192771084338,0.04819277108433735,0.4497991967871486,0.8755020080321285,160.6425702811245,249.0,10000.0,0.026965639385588176,2.1430716403456174,0.00860671341504264,6.825847209074856,0.027413041000300627,1.4703915736388304,0.005905187042726226,2.080228233074214,10.0,249.0,0.9103573802066032,249.0,27.0,54.0,125.0,207.0,0.10843373493975904,0.21686746987951808,0.5020080321285141,0.8313253012048193,40.16064257028113,0,0.88
classifier,linear,13,100,1,False,100,0,,,10000,0.01406788672091609,1.8445983236068455,0.018445983236068456,4.645399691858618,0.04645399691858618,1.3631541575674657,0.013631541575674658,1.7032982119240108,10,100,0.9278218478860716,100,14,31,66,93,0.14,0.31,0.66,0.93,100.0,,,,,,,,,,,,,,,,,,,,,,,,0,0.88
features.0,conv,0,8,1,False,8,0,32.0,32.0,160000,11.60638541040397,1.5164800893182304,0.1895600111647788,2.0692230967779137,0.2586528870972392,1.2465565707819344,0.1558195713477418,,10,8,,8,2,3,5,7,0.25,0.375,0.625,0.875,20000.0,8.0,10000.0,4.478363212763772,1.4543544552707002,0.18179430690883752,1.7573040515006555,0.21966300643758194,1.2290980960975906,0.15363726201219882,,10.0,8.0,,8.0,2.0,2.0,3.0,3.0,0.25,0.25,0.375,0.375,1250.0,1,16.16
features.3,conv,1,20,1,False,20,0,32.0,32.0,160000,10.237194055015836,3.156077176033889,0.15780385880169445,4.764476052634879,0.23822380263174395,2.129879551192075,0.10649397755960374,2.782734031389905,10,20,0.9770917880726315,20,5,7,14,19,0.25,0.35,0.7,0.95,8000.0,20.0,10000.0,4.05785568009842,2.5912446692364752,0.12956223346182377,3.1192362203732276,0.15596181101866138,2.130094709742103,0.10650473548710515,5.380831795678763,10.0,20.0,0.9879110328036247,20.0,3.0,4.0,5.0,6.0,0.15,0.2,0.25,0.3,500.0,1,16.16
features.7,conv,2,36,1,False,36,0,16.0,16.0,160000,25.289374473535528,4.623442570107942,0.12842896028077616,8.504835227571819,0.23624542298810608,3.016192334914917,0.08378312041430325,2.295685202615579,10,36,0.9745703785343729,36,11,17,28,35,0.3055555555555556,0.4722222222222222,0.7777777777777778,0.9722222222222222,4444.444444444444,36.0,10000.0,9.707859874281267,2.549429961124023,0.07081749892011174,3.307450680444334,0.09187363001234261,2.0043432706302617,0.055676201961951714,4.959688231374331,10.0,36.0,0.9766454263922887,36.0,3.0,4.0,8.0,15.0,0.08333333333333333,0.1111111111111111,0.2222222222222222,0.4166666666666667,277.77777777777777,1,16.16
features.10,conv,3,44,1,False,44,0,16.0,16.0,160000,35.3877238610945,5.682066566850402,0.12913787651932732,11.453577526958439,0.26030858015814634,3.0216749743788784,0.0686744312358836,1.6999889045416965,10,44,0.9705117517914438,44,17,25,38,44,0.38636363636363635,0.5681818181818182,0.8636363636363636,1.0,3636.3636363636365,44.0,10000.0,12.281943555266288,2.642151561843199,0.06004889913279998,3.6276590522715777,0.08244679664253586,1.9448686488328817,0.04420156020074731,4.088841748622521,10.0,44.0,0.9631502386122552,44.0,3.0,5.0,10.0,24.0,0.06818181818181818,0.11363636363636363,0.22727272727272727,0.5454545454545454,227.27272727272728,1,16.16
features.14,conv,4,79,1,False,79,0,8.0,8.0,160000,68.19188801808825,9.352420163363416,0.11838506535903058,19.20275936734035,0.24307290338405504,4.504392121555492,0.05701762179184167,1.735370387042291,10,79,0.9902054252070396,79,25,40,65,78,0.31645569620253167,0.5063291139240507,0.8227848101265823,0.9873417721518988,2025.3164556962026,79.0,10000.0,22.06870454441355,3.1596817381486413,0.039995971368970144,4.561829263531487,0.05774467422191756,2.281736280526995,0.02888273772818981,3.2559545737093183,10.0,79.0,0.9731886408309982,79.0,4.0,6.0,16.0,42.0,0.05063291139240506,0.0759493670886076,0.20253164556962025,0.5316455696202531,126.58227848101266,1,16.16
features.17,conv,5,89,1,False,89,0,8.0,8.0,160000,75.48498050638055,12.207098354246774,0.13715840847468286,26.618140920602006,0.2990802350629439,5.1973851227162955,0.0583975856484977,1.4400242768555254,10,89,0.9938124769681937,89,38,55,79,88,0.42696629213483145,0.6179775280898876,0.8876404494382022,0.9887640449438202,1797.752808988764,89.0,10000.0,22.146303271145474,3.540764175741586,0.039783867143163884,5.539744577729468,0.06224432109808391,2.3944038479758922,0.026903414022201037,2.9217408282625152,10.0,89.0,0.9730370515925166,89.0,5.0,9.0,24.0,57.0,0.056179775280898875,0.10112359550561797,0.2696629213483146,0.6404494382022472,112.35955056179775,1,16.16
features.20,conv,6,101,1,False,101,0,8.0,8.0,160000,83.73041477528028,17.757235456202384,0.17581421243764736,36.02096914099359,0.35664325882171877,6.595804937754478,0.06530499938370771,1.3470400612608502,10,101,0.9921904730207024,101,48,67,92,100,0.4752475247524752,0.6633663366336634,0.9108910891089109,0.9900990099009901,1584.1584158415842,101.0,10000.0,20.737141375322253,4.302741412331165,0.042601400122090745,6.961574818449825,0.06892648335098836,2.6455597601367113,0.026193660991452587,2.8434423862210783,10.0,101.0,0.9729930016393867,101.0,7.0,11.0,31.0,69.0,0.06930693069306931,0.10891089108910891,0.3069306930693069,0.6831683168316832,99.00990099009901,1,16.16
features.24,conv,7,159,1,False,159,0,4.0,4.0,160000,172.05748449577885,13.226866753378358,0.08318784121621609,30.770335819628702,0.19352412465175284,5.922571595336745,0.03724887795809274,1.4069684182326547,10,159,0.9932511116506545,159,50,83,135,156,0.31446540880503143,0.5220125786163522,0.8490566037735849,0.9811320754716981,1006.2893081761006,159.0,10000.0,38.13665077711012,4.661566579296762,0.02931802880060857,8.50423611263113,0.05348576171466119,2.6913215654596523,0.016926550726161334,2.18298890455658,10.0,159.0,0.9695954235390368,159.0,9.0,18.0,63.0,126.0,0.05660377358490566,0.11320754716981132,0.39622641509433965,0.7924528301886793,62.893081761006286,1,16.16
