layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,48,1,False,27,0,32.0,32.0,160000,6.2966485729014,1.645150673943017,0.034273972373812855,2.5340718551874724,0.05279316364973901,1.29947279543254,0.027072349904844584,14.913810041393376,10,48,0.8085529245031197,37,3,5,9,16,0.0625,0.10416666666666667,0.1875,0.3333333333333333,3333.3333333333335,48.0,10000.0,2.3240189454004185,1.5210604462980963,0.031688759297877005,1.8229656171307684,0.03797845035689101,1.266649802846208,0.026388537559296002,9.22650677724951,10.0,48.0,0.950572749940048,34.0,2.0,2.0,3.0,3.0,0.041666666666666664,0.041666666666666664,0.0625,0.0625,208.33333333333334,0,1.06
features.3,conv,1,64,1,False,64,0,32.0,32.0,160000,4.734914494282247,2.8775134718124917,0.04496114799707018,5.980558668469239,0.09344622919483186,1.7787805393092615,0.02779344592670721,2.140252318870339,10,64,0.9852416379630248,64,8,15,38,59,0.125,0.234375,0.59375,0.921875,2500.0,64.0,10000.0,1.5654259830973951,1.9959436066870615,0.031186618854485336,2.8033077819394747,0.04380168409280429,1.4693853147897538,0.022959145543589903,4.117459984085432,10.0,64.0,0.966358647712878,64.0,3.0,3.0,6.0,13.0,0.046875,0.046875,0.09375,0.203125,156.25,0,1.06
features.7,conv,2,127,1,False,127,0,16.0,16.0,160000,3.8725205524558195,5.4026342494492425,0.042540427161017656,13.165497731695902,0.10366533647004647,2.6354444947567766,0.020751531454777768,1.692709896113754,10,127,0.9900396335944374,127,21,40,90,121,0.16535433070866143,0.31496062992125984,0.7086614173228346,0.952755905511811,1259.8425196850394,127.0,10000.0,1.1844656107448401,2.4382040936423657,0.019198457430254848,3.5052518801635175,0.027600408505224546,1.6881299549842368,0.013292361850269581,3.6199643283606107,10.0,127.0,0.9560875140682817,127.0,3.0,5.0,10.0,36.0,0.023622047244094488,0.03937007874015748,0.07874015748031496,0.28346456692913385,78.74015748031496,0,1.06
features.10,conv,3,128,1,False,128,0,16.0,16.0,160000,2.472458117635713,9.276727204024047,0.07247443128143786,22.881343775124286,0.17876049824315848,4.0164630532418775,0.03137861760345217,1.4426894456869674,10,128,0.9910977545303568,128,38,64,107,126,0.296875,0.5,0.8359375,0.984375,1250.0,128.0,10000.0,0.604948933377512,2.9747104609373776,0.023239925476073262,4.288196728119522,0.03350153693843377,2.026134169349583,0.015829173198043618,3.0628085317769527,10.0,128.0,0.9601488627089594,128.0,4.0,6.0,15.0,53.0,0.03125,0.046875,0.1171875,0.4140625,78.125,0,1.06
features.14,conv,4,255,1,False,255,0,8.0,8.0,160000,2.903060489444319,9.709243154822287,0.038075463352244265,25.893384351707446,0.10154268373218607,4.207067892216208,0.016498305459671403,1.3993381323067369,10,255,0.9873346799654898,255,52,103,199,247,0.20392156862745098,0.403921568627451,0.7803921568627451,0.9686274509803922,627.4509803921569,255.0,10000.0,0.5784565253934119,2.8310153992899028,0.011102021173685894,4.594637589431177,0.018018186625220305,1.955835900148012,0.007669944706462792,2.6750742814128454,10.0,255.0,0.9602765190209582,255.0,4.0,8.0,33.0,113.0,0.01568627450980392,0.03137254901960784,0.12941176470588237,0.44313725490196076,39.21568627450981,0,1.06
features.17,conv,5,255,1,False,255,0,8.0,8.0,160000,2.9670352321593456,8.50013275424188,0.03333385393820345,25.469606946979685,0.09988081155678308,3.661436105679113,0.014358572963447502,1.2880798234222635,10,255,0.9922351744840422,255,60,116,209,249,0.23529411764705882,0.4549019607843137,0.8196078431372549,0.9764705882352941,627.4509803921569,255.0,10000.0,0.47623746017412943,2.502988767744,0.00981564222644706,4.305933162510673,0.01688601240200264,1.726738496527654,0.006771523515794722,2.35099072933699,10.0,255.0,0.9694404373434006,255.0,4.0,8.0,39.0,137.0,0.01568627450980392,0.03137254901960784,0.15294117647058825,0.5372549019607843,39.21568627450981,0,1.06
features.20,conv,6,255,1,False,255,0,8.0,8.0,160000,2.3613793420143256,9.168252122827324,0.035953929893440484,29.122515965210813,0.11420594496161103,3.870670950226876,0.015179101765595593,1.2233327645743362,10,255,0.9898363513957672,255,74,130,216,250,0.2901960784313726,0.5098039215686274,0.8470588235294118,0.9803921568627451,627.4509803921569,255.0,10000.0,0.2911148153973206,2.4830096276248987,0.009737292657352544,4.66276262407813,0.018285343623835805,1.6699346533136727,0.0065487633463281285,2.3716536677886824,10.0,255.0,0.9613986811260427,255.0,5.0,11.0,52.0,149.0,0.0196078431372549,0.043137254901960784,0.20392156862745098,0.5843137254901961,39.21568627450981,0,1.06
features.24,conv,7,510,1,False,510,0,4.0,4.0,160000,2.7430266454655063,6.875360084624432,0.013481098205145944,19.236050932778024,0.03771774692701573,4.3324013908772026,0.008494904687994515,1.2014481142849567,10,510,0.977133810117253,510,53,156,372,489,0.10392156862745099,0.3058823529411765,0.7294117647058823,0.9588235294117647,313.72549019607845,510.0,10000.0,0.29105314755326595,2.366699961975677,0.004640588160736621,5.916621920263444,0.01160121945149695,1.5774536024989323,0.003093046279409671,1.9593505797272845,10.0,510.0,0.9479246349088345,510.0,10.0,32.0,158.0,370.0,0.0196078431372549,0.06274509803921569,0.30980392156862746,0.7254901960784313,19.607843137254903,0,1.06
features.27,conv,8,510,1,False,510,0,4.0,4.0,160000,2.405816025096094,7.198369249595145,0.014114449509010089,19.28817434721697,0.03781994970042543,4.244601110813324,0.008322747276104558,1.1191506857719244,10,510,0.9848883699948588,510,48,156,384,493,0.09411764705882353,0.3058823529411765,0.7529411764705882,0.9666666666666667,313.72549019607845,510.0,10000.0,0.18268161881060282,2.193807548058101,0.004301583427564904,5.951240245591748,0.011669098520768133,1.5019984644192732,0.002945095028273085,1.7932576764181767,10.0,510.0,0.9598983841877364,510.0,12.0,41.0,189.0,407.0,0.023529411764705882,0.0803921568627451,0.37058823529411766,0.7980392156862746,19.607843137254903,0,1.06
features.30,conv,9,510,1,False,510,0,4.0,4.0,160000,1.8586281025873388,7.749971148804817,0.015196021860401601,20.16021107748545,0.039529825642128334,4.555725575008304,0.008932795245114322,1.0993459771275458,10,510,0.9795917027367533,510,46,156,385,493,0.09019607843137255,0.3058823529411765,0.7549019607843137,0.9666666666666667,313.72549019607845,510.0,10000.0,0.11602235322004066,2.009514963070603,0.003940225417785497,5.660099051082601,0.011098233433495296,1.4281187951195127,0.0028002329316068877,1.7672205723329821,10.0,510.0,0.9557115559604983,510.0,14.0,49.0,203.0,415.0,0.027450980392156862,0.09607843137254903,0.3980392156862745,0.8137254901960784,19.607843137254903,0,1.06
