layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,48,1,False,27,0,32.0,32.0,160000,44.62612024647456,4.732980214170957,0.09860375446189494,6.5122594116121295,0.1356720710752527,2.7175382023304193,0.05661537921521707,16.954717947672282,10,48,0.9797295910382161,37,6,8,12,14,0.125,0.16666666666666666,0.25,0.2916666666666667,3333.3333333333335,48.0,10000.0,10.298603763118066,2.3212306367852027,0.04835897159969172,2.6429449943350174,0.0550613540486462,1.7568184187627949,0.036600383724224896,11.54871815767317,10.0,48.0,0.983052213419857,33.0,3.0,3.0,3.0,6.0,0.0625,0.0625,0.0625,0.125,208.33333333333334,40,55.74
features.3,conv,1,64,1,False,64,0,32.0,32.0,160000,85.00180002878224,11.423719374735795,0.1784956152302468,16.103112748479802,0.2516111366949969,5.7621049800438895,0.09003289031318577,4.344419140472725,10,64,0.963919925809711,64,14,19,30,47,0.21875,0.296875,0.46875,0.734375,2500.0,64.0,10000.0,5.199265627092249,3.8067572783108687,0.059480582473607324,4.776989722814814,0.07464046441898146,2.614577197284143,0.040852768707564734,5.531341071998742,10.0,64.0,0.9643207946554245,64.0,4.0,5.0,9.0,19.0,0.0625,0.078125,0.140625,0.296875,156.25,40,55.74
features.7,conv,2,127,1,False,127,0,16.0,16.0,160000,117.59606835620676,16.376492851280013,0.12894876260850405,26.56911928803194,0.20920566368529087,6.386699796581455,0.05028897477623193,3.350097276159832,10,127,0.9548885829189506,127,26,35,59,97,0.2047244094488189,0.2755905511811024,0.4645669291338583,0.7637795275590551,1259.8425196850394,127.0,10000.0,15.622758826410447,6.096091409455587,0.04800071975949281,8.429757664574149,0.06637604460294605,3.244831784125864,0.025549856567920186,4.5924306084493125,10.0,127.0,0.9661679720879633,127.0,8.0,10.0,14.0,35.0,0.06299212598425197,0.07874015748031496,0.11023622047244094,0.2755905511811024,78.74015748031496,40,55.74
features.10,conv,3,128,1,False,128,0,16.0,16.0,160000,71.28334981492031,23.531403893824216,0.18383909292050168,34.43608560678206,0.2690319188029848,10.684253184375612,0.08347072800293447,2.742264469721606,10,128,0.9762475445819923,128,30,42,76,116,0.234375,0.328125,0.59375,0.90625,1250.0,128.0,10000.0,5.844618090278199,6.845313976544851,0.05347901544175665,10.006806734005794,0.07817817760942027,3.8090148766172325,0.02975792872357213,3.6912639535633014,10.0,128.0,0.9848836826711285,128.0,9.0,12.0,25.0,59.0,0.0703125,0.09375,0.1953125,0.4609375,78.125,40,55.74
features.14,conv,4,255,1,False,255,0,8.0,8.0,160000,153.27019063202434,27.86882856703455,0.10928952379229236,50.300587792573864,0.19725720702970143,8.638089476102044,0.033874860690596253,2.573925080516156,10,255,0.958119214229301,255,51,72,135,219,0.2,0.2823529411764706,0.5294117647058824,0.8588235294117647,627.4509803921569,255.0,10000.0,20.971775258999255,10.348286529177669,0.04058151580069674,15.728504547940164,0.06168040999192221,5.101197729658767,0.02000469697905399,3.485423548076638,10.0,255.0,0.964322518523086,255.0,13.0,19.0,46.0,114.0,0.050980392156862744,0.07450980392156863,0.1803921568627451,0.4470588235294118,39.21568627450981,40,55.74
features.17,conv,5,255,1,False,255,0,8.0,8.0,160000,80.36932714268492,27.783984801986147,0.10895680314504372,51.081199612995945,0.20031842985488607,9.2287645096666,0.03619123337124157,2.3347466795704612,10,255,0.9713734673437875,255,53,77,150,231,0.20784313725490197,0.30196078431372547,0.5882352941176471,0.9058823529411765,627.4509803921569,255.0,10000.0,10.201433319542772,10.741787595693262,0.04212465723801279,18.165903985310873,0.07123883915808185,4.707500644749128,0.018460786842153444,3.0156980547404726,10.0,255.0,0.9820200855580938,255.0,17.0,25.0,62.0,149.0,0.06666666666666667,0.09803921568627451,0.24313725490196078,0.5843137254901961,39.21568627450981,40,55.74
features.20,conv,6,255,1,False,255,0,8.0,8.0,160000,80.33761024062015,34.942935070721774,0.13703111792439912,59.5215393657115,0.23341780143416274,12.435138480173332,0.04876524894185621,2.1953869063060427,10,255,0.9760134758543134,255,59,87,167,239,0.23137254901960785,0.3411764705882353,0.6549019607843137,0.9372549019607843,627.4509803921569,255.0,10000.0,8.778936877966991,12.884445936759384,0.05052723896768386,21.947780657291215,0.08606972806780869,5.603039961520706,0.021972705731453747,2.9409303970675675,10.0,255.0,0.9810719746388282,255.0,21.0,32.0,75.0,165.0,0.08235294117647059,0.12549019607843137,0.29411764705882354,0.6470588235294118,39.21568627450981,40,55.74
features.24,conv,7,510,1,False,510,0,4.0,4.0,160000,119.59666529498307,41.733113398435336,0.0818296341145791,83.75582874811613,0.16422711519238456,10.199245607575955,0.01999852079916854,2.3321129643347853,10,510,0.9650191357403449,510,85,126,263,443,0.16666666666666666,0.24705882352941178,0.515686274509804,0.8686274509803922,313.72549019607845,510.0,10000.0,26.7756209412098,16.224639373199537,0.031813018378822625,29.286553239288413,0.057424614194683164,6.771566162383152,0.0132775807105552,2.8408635631284507,10.0,510.0,0.9715647705651169,510.0,28.0,45.0,121.0,292.0,0.054901960784313725,0.08823529411764706,0.2372549019607843,0.5725490196078431,19.607843137254903,40,55.74
features.27,conv,8,510,1,False,510,0,4.0,4.0,160000,51.915637625981155,40.661788898221076,0.07972899783964917,76.12054349421568,0.14925596763571702,11.192725966433436,0.021946521502810658,2.2870488460461695,10,510,0.9813801399270027,510,73,110,256,449,0.14313725490196078,0.21568627450980393,0.5019607843137255,0.8803921568627451,313.72549019607845,510.0,10000.0,14.608874871056328,17.413819921551287,0.03414474494421821,29.32314892261594,0.05749637043650184,7.64268976019912,0.014985666196468864,2.731050344763594,10.0,510.0,0.9898788319502695,510.0,27.0,39.0,103.0,294.0,0.052941176470588235,0.07647058823529412,0.2019607843137255,0.5764705882352941,19.607843137254903,40,55.74
features.30,conv,9,510,1,False,510,0,4.0,4.0,160000,49.8267252356322,39.75109100483712,0.07794331569575906,79.1931851875117,0.15528075526963078,10.078346032684506,0.019761462809185306,2.2498594406539167,10,510,0.9781458330947798,510,79,120,269,454,0.15490196078431373,0.23529411764705882,0.5274509803921569,0.8901960784313725,313.72549019607845,510.0,10000.0,13.428960361347558,18.16463297868314,0.03561692740918263,30.286679032135062,0.05938564516104914,7.654191926023029,0.015008219462790252,2.760933385430418,10.0,510.0,0.9903176545977316,510.0,27.0,39.0,101.0,290.0,0.052941176470588235,0.07647058823529412,0.1980392156862745,0.5686274509803921,19.607843137254903,40,55.74
