layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,15,1,False,15,0,32.0,32.0,160000,32.807778440754596,4.217785607999243,0.28118570719994956,5.964922313097237,0.3976614875398158,2.375139145849409,0.15834260972329392,,10,15,,15,6,7,10,12,0.4,0.4666666666666667,0.6666666666666666,0.8,10666.666666666666,15.0,10000.0,8.409485870589968,2.310801314260188,0.15405342095067923,2.6387595542325792,0.17591730361550528,1.7271630312024877,0.11514420208016585,,10.0,15.0,,14.0,3.0,3.0,3.0,5.0,0.2,0.2,0.2,0.3333333333333333,666.6666666666666,60,59.45
features.3,conv,1,48,1,False,48,0,32.0,32.0,160000,71.34491095065371,11.210020973958777,0.23354210362414118,15.281813508577878,0.3183711147620391,5.670886344763153,0.11814346551589901,4.992937727031402,10,48,0.9464767342442403,48,14,17,25,36,0.2916666666666667,0.3541666666666667,0.5208333333333334,0.75,3333.3333333333335,48.0,10000.0,3.8492603305480335,3.339969520858816,0.06958269835122534,4.264266639365169,0.08883888832010768,2.3042680217671374,0.04800558378681536,7.12667396917852,10.0,48.0,0.9689393949712658,48.0,4.0,5.0,8.0,15.0,0.08333333333333333,0.10416666666666667,0.16666666666666666,0.3125,208.33333333333334,60,59.45
features.7,conv,2,101,1,False,101,0,16.0,16.0,160000,112.12970021021303,15.35295312538756,0.15200943688502533,24.507011216215055,0.24264367540806986,6.341510425690747,0.06278723193753215,3.2672057522653914,10,101,0.953375729362874,101,23,32,53,83,0.22772277227722773,0.31683168316831684,0.5247524752475248,0.8217821782178217,1584.1584158415842,101.0,10000.0,14.35536569726899,5.537156779718195,0.0548233344526554,7.7614109171370975,0.07684565264492176,3.071841557817343,0.030414272849676665,4.733672082067386,10.0,101.0,0.9698754290626501,101.0,7.0,9.0,13.0,31.0,0.06930693069306931,0.0891089108910891,0.12871287128712872,0.3069306930693069,99.00990099009901,60,59.45
features.10,conv,3,116,1,False,116,0,16.0,16.0,160000,68.14247781854569,22.09248016578338,0.1904524152222705,32.5644870798285,0.2807283368950733,9.408247737100528,0.0811055839405218,2.7920350059297028,10,116,0.9755237072412,116,29,40,70,105,0.25,0.3448275862068966,0.603448275862069,0.9051724137931034,1379.3103448275863,116.0,10000.0,5.757731439518037,5.701055866192345,0.049147033329244354,8.65758056022793,0.0746343151743787,3.014825763558049,0.025989877272052146,3.742310963894104,10.0,116.0,0.9799218683160473,116.0,8.0,11.0,21.0,52.0,0.06896551724137931,0.09482758620689655,0.1810344827586207,0.4482758620689655,86.20689655172414,60,59.45
features.14,conv,4,226,1,False,226,0,8.0,8.0,160000,138.82656775901583,27.21220237860601,0.12040797512657526,48.80174857231559,0.2159369405854672,8.49898606420777,0.03760613302746801,2.529852972099755,10,226,0.9561612511528391,226,49,70,128,198,0.2168141592920354,0.30973451327433627,0.5663716814159292,0.8761061946902655,707.9646017699115,226.0,10000.0,18.63950822593338,9.539883297950848,0.04221187299978251,15.018634602408529,0.0664541354088873,4.49787536080986,0.01990210336641531,3.4718821815172682,10.0,226.0,0.9676363770460199,226.0,13.0,18.0,45.0,107.0,0.05752212389380531,0.07964601769911504,0.19911504424778761,0.47345132743362833,44.24778761061947,60,59.45
features.17,conv,5,238,1,False,238,0,8.0,8.0,160000,76.4277407275835,26.7958085066146,0.11258743070006134,49.64384315319715,0.20858757627393762,8.584903454488382,0.03607102291801841,2.3029868622232743,10,238,0.9704874741209435,238,51,76,145,218,0.21428571428571427,0.31932773109243695,0.6092436974789915,0.9159663865546218,672.2689075630252,238.0,10000.0,9.231133889836974,10.055246017470107,0.04224893284651306,17.637358125652987,0.07410654674644113,4.277931943599254,0.01797450396470275,3.017999935329976,10.0,238.0,0.9801413284323724,238.0,16.0,25.0,62.0,143.0,0.06722689075630252,0.10504201680672269,0.2605042016806723,0.6008403361344538,42.016806722689076,60,59.45
features.20,conv,6,244,1,False,244,0,8.0,8.0,160000,77.46719802261606,32.618741950422894,0.13368336864927416,57.20594454245733,0.2344505923871202,11.243969934131409,0.04608184399234184,2.165639134845164,10,244,0.9726173948783116,244,58,85,162,229,0.23770491803278687,0.3483606557377049,0.6639344262295082,0.9385245901639344,655.7377049180328,244.0,10000.0,7.926946307056388,12.004251730666992,0.04919775299453685,21.088319056569993,0.08642753711709014,5.04163702371213,0.020662446818492334,2.932836886496115,10.0,244.0,0.9783232184264982,244.0,20.0,33.0,74.0,161.0,0.08196721311475409,0.13524590163934427,0.30327868852459017,0.6598360655737705,40.98360655737705,60,59.45
features.24,conv,7,466,1,False,466,0,4.0,4.0,160000,101.91496069364567,47.41985748781244,0.10175935083221554,91.2295236051933,0.19577150988238903,11.554527399903115,0.024795123175757758,2.235065909702072,10,466,0.9603942566798436,466,91,136,270,419,0.19527896995708155,0.2918454935622318,0.5793991416309013,0.8991416309012875,343.3476394849785,466.0,10000.0,21.450335994088064,18.872558626930505,0.040499052847490356,33.36560733560571,0.07160001574164315,8.181116710109626,0.017556044442295336,2.7819759322966986,10.0,466.0,0.9716943174528655,466.0,32.0,51.0,132.0,295.0,0.06866952789699571,0.10944206008583691,0.2832618025751073,0.6330472103004292,21.459227467811157,60,59.45
features.27,conv,8,481,1,False,481,0,4.0,4.0,160000,49.040937657013004,46.07031970270084,0.0957802904422055,83.93242885494668,0.17449569408512822,12.9292783043781,0.026879996474798544,2.1957822904890376,10,481,0.9781979366429778,481,80,123,273,437,0.16632016632016633,0.25571725571725573,0.5675675675675675,0.9085239085239085,332.64033264033264,481.0,10000.0,12.593201136790332,20.280681625490324,0.04216357926297365,33.61442002579834,0.06988444911808386,9.441595115547033,0.019629095874318155,2.667995870705824,10.0,481.0,0.9882246467655411,481.0,30.0,45.0,122.0,311.0,0.062370062370062374,0.09355509355509356,0.25363825363825365,0.6465696465696466,20.79002079002079,60,59.45
features.30,conv,9,489,1,False,489,0,4.0,4.0,160000,46.38506247005412,41.31676637074348,0.08449236476634658,85.71206285390649,0.17528029213477808,9.856467121986146,0.020156374482589254,2.1063805476146764,10,489,0.9777652623669941,489,88,137,296,451,0.17995910020449898,0.28016359918200406,0.6053169734151329,0.9222903885480572,327.19836400817996,489.0,10000.0,11.229924847939916,21.567511146799912,0.04410533976850698,35.49376797557552,0.072584392588089,10.392195411910048,0.02125193335768926,2.662107661096007,10.0,489.0,0.9889270556632053,489.0,32.0,47.0,127.0,319.0,0.065439672801636,0.09611451942740286,0.25971370143149286,0.6523517382413088,20.449897750511248,60,59.45
