layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,60,1,False,27,0,32.0,32.0,160000,45.89214007760787,4.56199234967342,0.07603320582789033,6.351113496923897,0.10585189161539829,2.6083463703049383,0.043472439505082304,15.220143482460806,10,60,0.9701429147457767,43,6,8,11,14,0.1,0.13333333333333333,0.18333333333333332,0.23333333333333334,2666.6666666666665,60.0,10000.0,10.76255908770638,2.351356426992507,0.03918927378320845,2.670670571507993,0.04451117619179988,1.7643992649217712,0.029406654415362853,9.059144162883452,10.0,60.0,0.9199093159864661,40.0,3.0,3.0,3.0,6.0,0.05,0.05,0.05,0.1,166.66666666666666,40,54.28
features.3,conv,1,60,1,False,60,0,32.0,32.0,160000,87.01407024129666,11.316011515763675,0.1886001919293946,15.687498068697415,0.26145830114495694,5.789906015129147,0.09649843358548578,4.291498758213988,10,60,0.9650251826386335,60,14,18,29,45,0.23333333333333334,0.3,0.48333333333333334,0.75,2666.6666666666665,60.0,10000.0,5.599501287106474,3.6084998152307994,0.06014166358717999,4.641201460264612,0.07735335767107686,2.372458462398381,0.03954097437330635,5.250056364665621,10.0,60.0,0.9779751586576365,60.0,4.0,5.0,9.0,19.0,0.06666666666666667,0.08333333333333333,0.15,0.31666666666666665,166.66666666666666,40,54.28
features.7,conv,2,120,1,False,120,0,16.0,16.0,160000,123.48602505300839,16.400215051420894,0.13666845876184078,26.30630156657024,0.21921917972141866,6.424531979276961,0.053537766493974674,3.3065325751929286,10,120,0.9553367554986328,120,25,35,58,95,0.20833333333333334,0.2916666666666667,0.48333333333333334,0.7916666666666666,1333.3333333333333,120.0,10000.0,16.695622236480162,6.007216721939758,0.05006013934949798,8.270748460091639,0.068922903834097,3.303020640939792,0.0275251720078316,4.596227624875144,10.0,120.0,0.9703798842385544,120.0,7.0,10.0,14.0,34.0,0.058333333333333334,0.08333333333333333,0.11666666666666667,0.2833333333333333,83.33333333333333,40,54.28
features.10,conv,3,120,1,False,120,0,16.0,16.0,160000,73.44649155291208,20.59382156998609,0.17161517974988408,31.99597176258827,0.2666330980215689,7.966880080728028,0.06639066733940023,2.698803373997843,10,120,0.9761369425712922,120,30,41,73,109,0.25,0.3416666666666667,0.6083333333333333,0.9083333333333333,1333.3333333333333,120.0,10000.0,6.481452146227447,5.348003689011845,0.04456669740843204,8.625296197035563,0.07187746830862969,2.7400117167519724,0.022833430972933104,3.63078428496543,10.0,120.0,0.9822469240425722,120.0,8.0,11.0,24.0,56.0,0.06666666666666667,0.09166666666666666,0.2,0.4666666666666667,83.33333333333333,40,54.28
features.14,conv,4,240,1,False,240,0,8.0,8.0,160000,162.28286176619562,26.500231459713333,0.1104176310821389,47.591760015444535,0.19829900006435222,8.600946071468535,0.03583727529778556,2.55803998960208,10,240,0.9597474154874301,240,48,69,129,207,0.2,0.2875,0.5375,0.8625,666.6666666666666,240.0,10000.0,21.00481173307873,8.761083637490016,0.0365045151562084,14.679511203045477,0.061164630012689486,3.9242878736824154,0.01635119947367673,3.48205522051855,10.0,240.0,0.9654284482192914,240.0,13.0,19.0,46.0,111.0,0.05416666666666667,0.07916666666666666,0.19166666666666668,0.4625,41.666666666666664,40,54.28
features.17,conv,5,240,1,False,240,0,8.0,8.0,160000,80.49501815328726,24.83095369335409,0.10346230705564204,48.127548698625056,0.20053145291093774,7.5500724157171115,0.03145863506548797,2.3366942871935446,10,240,0.9723570168469888,240,51,74,143,219,0.2125,0.30833333333333335,0.5958333333333333,0.9125,666.6666666666666,240.0,10000.0,10.150006023883128,8.499322897688964,0.035413845407037355,15.908458146783037,0.06628524227826266,3.6489184579554426,0.015203826908147677,3.016437573448313,10.0,240.0,0.9821569822946657,240.0,16.0,23.0,59.0,141.0,0.06666666666666667,0.09583333333333334,0.24583333333333332,0.5875,41.666666666666664,40,54.28
features.20,conv,6,240,1,False,240,0,8.0,8.0,160000,76.1004117517115,32.81717520126019,0.1367382300052508,56.66348781123773,0.23609786588015721,11.49092996680053,0.04787887486166888,2.1890160470730087,10,240,0.9753408439777457,240,56,83,159,225,0.23333333333333334,0.3458333333333333,0.6625,0.9375,666.6666666666666,240.0,10000.0,8.29805955590008,11.264320540936868,0.046934668920570285,19.890250022029996,0.08287604175845832,5.1376535417613285,0.021406889757338867,2.934151346635552,10.0,240.0,0.9810752425559296,240.0,19.0,31.0,71.0,157.0,0.07916666666666666,0.12916666666666668,0.29583333333333334,0.6541666666666667,41.666666666666664,40,54.28
features.24,conv,7,480,1,False,480,0,4.0,4.0,160000,100.83107889504188,46.512955945083235,0.09690199155225673,87.20495457544041,0.1816769886988342,12.098382694799346,0.02520496394749864,2.30060029100131,10,480,0.9624923881386305,480,86,128,261,423,0.17916666666666667,0.26666666666666666,0.54375,0.88125,333.3333333333333,480.0,10000.0,22.6308834011842,16.529295125945936,0.03443603151238737,30.021517465171158,0.06254482805243991,6.856270845498427,0.01428389759478839,2.829518904185725,10.0,480.0,0.9711912358091588,480.0,28.0,45.0,122.0,286.0,0.058333333333333334,0.09375,0.25416666666666665,0.5958333333333333,20.833333333333332,40,54.28
features.27,conv,8,480,1,False,480,0,4.0,4.0,160000,48.89423368309362,39.83695232018455,0.08299365066705115,74.44474595307487,0.15509322073557266,11.262683182972825,0.023463923297860054,2.2949884930123883,10,480,0.9798645305670046,480,72,108,245,424,0.15,0.225,0.5104166666666666,0.8833333333333333,333.3333333333333,480.0,10000.0,14.01104267502522,16.41847839097163,0.03420516331452423,28.115152829460964,0.05857323506137701,6.830411974339675,0.01423002494654099,2.7430117542399395,10.0,480.0,0.989860622739868,480.0,26.0,38.0,99.0,279.0,0.05416666666666667,0.07916666666666666,0.20625,0.58125,20.833333333333332,40,54.28
features.30,conv,9,480,1,False,480,0,4.0,4.0,160000,50.65898405788787,37.46214165782944,0.07804612845381134,76.24722909984979,0.1588483939580204,9.362670235614313,0.019505562990863153,2.2496249910812844,10,480,0.9776696439125874,480,77,116,257,429,0.16041666666666668,0.24166666666666667,0.5354166666666667,0.89375,333.3333333333333,480.0,10000.0,13.738128690250276,17.845451811747015,0.03717802460780628,29.56938280406076,0.061602880841793245,7.48520581511375,0.01559417878148698,2.770204879621255,10.0,480.0,0.990827004573486,480.0,27.0,38.0,99.0,277.0,0.05625,0.07916666666666666,0.20625,0.5770833333333333,20.833333333333332,40,54.28
