layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,60,1,False,27,0,32.0,32.0,160000,5.615882009145637,1.6869071881424815,0.028115119802374692,2.693929286141929,0.044898821435698816,1.3130507682967107,0.021884179471611847,15.253945454186066,10,60,0.8604972106149404,43,3,5,10,17,0.05,0.08333333333333333,0.16666666666666666,0.2833333333333333,2666.6666666666665,60.0,10000.0,1.953898309170061,1.3926950195526115,0.02321158365921019,1.6855357973646092,0.028092263289410155,1.196921930305208,0.019948698838420136,8.217609247774433,10.0,60.0,0.939762227638474,42.0,2.0,2.0,3.0,3.0,0.03333333333333333,0.03333333333333333,0.05,0.05,166.66666666666666,0,1.01
features.3,conv,1,60,1,False,60,0,32.0,32.0,160000,3.7309889107927474,2.8072568165756517,0.04678761360959419,6.5887783227866485,0.10981297204644415,1.716903137517564,0.0286150522919594,2.054875426089919,10,60,0.9872111481380977,60,11,19,41,57,0.18333333333333332,0.31666666666666665,0.6833333333333333,0.95,2666.6666666666665,60.0,10000.0,1.1972563850815112,1.763149067718824,0.029385817795313733,2.607370205808582,0.0434561700968097,1.3527274950155477,0.022545458250259127,3.850298619145039,10.0,60.0,0.976666044332399,60.0,3.0,4.0,6.0,15.0,0.05,0.06666666666666667,0.1,0.25,166.66666666666666,0,1.01
features.7,conv,2,120,1,False,120,0,16.0,16.0,160000,3.7260929326424637,4.6687601087881765,0.03890633423990147,12.781253577175328,0.10651044647646106,2.2973548445822494,0.01914462370485208,1.6509115965003789,10,120,0.9864988950817525,120,22,42,88,115,0.18333333333333332,0.35,0.7333333333333333,0.9583333333333334,1333.3333333333333,120.0,10000.0,1.097724098739611,1.8803565498333676,0.015669637915278065,2.8925232255262685,0.024104360212718903,1.4077643866907588,0.011731369889089656,3.6064368238511673,10.0,120.0,0.9581006782258208,120.0,3.0,4.0,10.0,35.0,0.025,0.03333333333333333,0.08333333333333333,0.2916666666666667,83.33333333333333,0,1.01
features.10,conv,3,120,1,False,120,0,16.0,16.0,160000,3.9775905807691565,5.562918280921063,0.04635765234100886,15.889697032941127,0.13241414194117607,2.557553687260257,0.021312947393835477,1.45090458752803,10,120,0.9913030936714687,120,31,55,98,118,0.25833333333333336,0.4583333333333333,0.8166666666666667,0.9833333333333333,1333.3333333333333,120.0,10000.0,1.054380653888586,1.872430387318435,0.015603586560986957,2.849349795719099,0.02374458163099249,1.4131822101686975,0.011776518418072479,3.066484896034485,10.0,120.0,0.9660081950954351,120.0,3.0,4.0,12.0,44.0,0.025,0.03333333333333333,0.1,0.36666666666666664,83.33333333333333,0,1.01
features.14,conv,4,240,1,False,240,0,8.0,8.0,160000,4.286380167151463,8.415448652592422,0.03506436938580176,22.43266301052234,0.09346942921050976,3.678353454010292,0.015326472725042884,1.4271549749812713,10,240,0.985221484511301,240,44,90,183,232,0.18333333333333332,0.375,0.7625,0.9666666666666667,666.6666666666666,240.0,10000.0,0.9199219986819234,2.058290756565908,0.008576211485691284,3.408988883698087,0.014204120348742029,1.4975464545141095,0.00623977689380879,2.68353109247577,10.0,240.0,0.9619509665533854,240.0,3.0,6.0,26.0,97.0,0.0125,0.025,0.10833333333333334,0.4041666666666667,41.666666666666664,0,1.01
features.17,conv,5,240,1,False,240,0,8.0,8.0,160000,3.174715993524879,10.0282590943866,0.0417844128932775,29.508533387963066,0.1229522224498461,4.079152384503756,0.01699646826876565,1.295602866291456,10,240,0.9911382608150193,240,65,117,200,235,0.2708333333333333,0.4875,0.8333333333333334,0.9791666666666666,666.6666666666666,240.0,10000.0,0.4996050564750448,2.1139390281163695,0.008808079283818207,3.7793291096895807,0.015747204623706587,1.5136681539381729,0.006306950641409054,2.3567461172938646,10.0,240.0,0.9672838157971556,240.0,4.0,8.0,39.0,132.0,0.016666666666666666,0.03333333333333333,0.1625,0.55,41.666666666666664,0,1.01
features.20,conv,6,240,1,False,240,0,8.0,8.0,160000,3.05879104532081,8.374403999321203,0.034893349997171676,28.53539661038674,0.11889748587661142,3.395274838901528,0.014146978495423033,1.2151732871529617,10,240,0.991133695419469,240,73,127,205,236,0.30416666666666664,0.5291666666666667,0.8541666666666666,0.9833333333333333,666.6666666666666,240.0,10000.0,0.4518485751532159,1.7902630344841548,0.007459429310350645,3.2588302368955406,0.013578459320398086,1.3604745103110754,0.005668643792962814,2.3065336074596803,10.0,240.0,0.9648670221123418,240.0,4.0,8.0,42.0,137.0,0.016666666666666666,0.03333333333333333,0.175,0.5708333333333333,41.666666666666664,0,1.01
features.24,conv,7,480,1,False,480,0,4.0,4.0,160000,4.231090076530656,6.253502550932223,0.013028130314442131,16.589497148810633,0.034561452393355487,3.8817357780152277,0.008086949537531725,1.1992065324255021,10,480,0.9763669014980038,480,42,134,343,458,0.0875,0.2791666666666667,0.7145833333333333,0.9541666666666667,333.3333333333333,480.0,10000.0,0.5803996454654236,1.6818417795538254,0.0035038370407371364,3.5540813854071662,0.007404336219598263,1.3062721456483348,0.002721400303434031,1.949439891644253,10.0,480.0,0.9462836514498938,480.0,5.0,16.0,120.0,323.0,0.010416666666666666,0.03333333333333333,0.25,0.6729166666666667,20.833333333333332,0,1.01
features.27,conv,8,480,1,False,480,0,4.0,4.0,160000,3.3814672734984046,7.139527190650137,0.014874014980521119,18.94952624932774,0.03947817968609946,4.302526857904493,0.00896359762063436,1.1341369829013856,10,480,0.9850477270685689,480,46,147,360,464,0.09583333333333334,0.30625,0.75,0.9666666666666667,333.3333333333333,480.0,10000.0,0.32740016603659583,1.742131473516406,0.0036294405698258456,4.063901471224567,0.008466461398384516,1.3276092956836136,0.0027658526993408618,1.789564514426736,10.0,480.0,0.9574100871044458,480.0,7.0,25.0,152.0,366.0,0.014583333333333334,0.052083333333333336,0.31666666666666665,0.7625,20.833333333333332,0,1.01
features.30,conv,9,480,1,False,480,0,4.0,4.0,160000,2.430161980147789,7.760383889416042,0.01616746643628342,19.981580741264928,0.0416282932109686,4.616459869581516,0.009617624728294825,1.1163795070048703,10,480,0.9810061865552708,480,44,147,362,464,0.09166666666666666,0.30625,0.7541666666666667,0.9666666666666667,333.3333333333333,480.0,10000.0,0.19803857175788278,1.651833050738259,0.0034413188557047064,3.8844202579427725,0.008092542204047443,1.2897262337649185,0.0026869296536769136,1.7690049620323107,10.0,480.0,0.9515856683001024,480.0,7.0,29.0,163.0,372.0,0.014583333333333334,0.06041666666666667,0.33958333333333335,0.775,20.833333333333332,0,1.01
