epoch,lr,train_loss,top1,top5,seconds,img_per_s
1,0.10000,4.9167,21.864,45.628,1114,1150
2,0.10000,3.5115,31.034,57.044,1125,1139
3,0.10000,3.1045,39.456,66.266,1115,1149
4,0.10000,2.9211,38.444,65.274,809,1584
5,0.10000,2.8099,40.672,67.628,558,2295
6,0.10000,2.7388,44.240,70.906,621,2063
7,0.10000,2.6936,45.278,72.144,554,2311
8,0.10000,2.6549,44.696,71.450,619,2070
9,0.10000,2.6300,44.328,70.906,556,2303
10,0.10000,2.6062,45.146,71.578,611,2096
11,0.10000,2.5903,45.944,72.482,553,2318
12,0.10000,2.5716,44.870,70.818,620,2066
13,0.10000,2.5619,45.344,71.908,556,2305
14,0.10000,2.5529,45.212,71.702,619,2071
15,0.10000,2.5372,47.660,74.046,552,2321
16,0.10000,2.5316,48.396,75.116,625,2050
17,0.10000,2.5226,47.634,73.772,558,2297
18,0.10000,2.5187,47.726,73.988,612,2093
19,0.10000,2.5080,48.454,74.434,558,2296
20,0.10000,2.5056,47.786,73.800,618,2074
21,0.10000,2.4978,48.666,75.198,551,2325
22,0.10000,2.4961,45.506,71.740,602,2129
23,0.10000,2.4897,48.190,74.632,548,2336
24,0.10000,2.4871,46.712,73.152,548,2338
25,0.10000,2.4826,47.786,74.400,556,2304
26,0.10000,2.4794,48.446,74.716,550,2330
27,0.10000,2.4777,48.280,74.882,609,2102
28,0.10000,2.4757,47.594,74.144,554,2311
29,0.10000,2.4699,48.130,74.392,587,2184
30,0.10000,2.4662,47.754,73.844,550,2327
31,0.01000,1.9478,62.018,84.478,568,2255
32,0.01000,1.8305,62.988,85.144,612,2093
33,0.01000,1.7845,63.508,85.636,549,2331
34,0.01000,1.7553,63.708,85.756,547,2344
35,0.01000,1.7372,64.216,86.072,552,2321
36,0.01000,1.7254,64.170,85.944,614,2085
37,0.01000,1.7160,64.044,85.792,551,2325
38,0.01000,1.7114,64.042,85.752,638,2007
39,0.01000,1.7067,64.160,85.874,561,2285
40,0.01000,1.7055,64.226,86.068,635,2017
41,0.01000,1.7042,64.084,85.954,557,2300
42,0.01000,1.7064,63.454,85.826,632,2027
43,0.01000,1.7072,63.838,85.884,553,2317
44,0.01000,1.7061,63.614,85.746,638,2008
45,0.01000,1.7050,64.018,85.636,553,2316
46,0.01000,1.7071,63.592,85.480,621,2063
47,0.01000,1.7070,63.458,85.602,554,2310
48,0.01000,1.7078,63.914,86.054,637,2010
49,0.01000,1.7060,62.996,85.200,554,2312
50,0.01000,1.7050,63.592,85.740,612,2092
51,0.01000,1.7052,63.666,85.612,560,2289
52,0.01000,1.6999,63.548,85.682,615,2082
53,0.01000,1.7023,63.592,85.612,561,2282
54,0.01000,1.6968,63.484,85.622,609,2104
55,0.01000,1.6975,63.198,85.346,555,2306
56,0.01000,1.6928,63.394,85.368,570,2247
57,0.01000,1.6900,63.176,85.096,540,2372
58,0.01000,1.6901,63.060,85.508,572,2240
59,0.01000,1.6874,63.568,85.648,548,2337
60,0.01000,1.6884,62.442,84.892,548,2336
61,0.00100,1.4962,67.520,88.074,553,2318
62,0.00100,1.4525,67.904,88.172,616,2078
63,0.00100,1.4285,68.022,88.220,550,2330
64,0.00100,1.4198,68.280,88.570,614,2086
65,0.00100,1.4104,68.340,88.474,550,2328
66,0.00100,1.4026,68.284,88.448,601,2133
67,0.00100,1.3956,68.334,88.556,556,2305
68,0.00100,1.3890,68.420,88.584,600,2135
69,0.00100,1.3828,68.778,88.680,556,2302
70,0.00100,1.3785,68.612,88.706,609,2103
71,0.00100,1.3735,68.632,88.718,555,2308
72,0.00100,1.3724,68.548,88.808,618,2074
73,0.00100,1.3691,68.754,88.756,557,2300
74,0.00100,1.3650,68.752,88.778,610,2099
75,0.00100,1.3588,68.528,88.704,556,2303
76,0.00100,1.3566,68.860,88.782,575,2228
77,0.00100,1.3529,68.734,88.692,555,2307
78,0.00100,1.3503,68.802,88.800,607,2111
79,0.00100,1.3471,68.794,88.724,554,2314
80,0.00100,1.3452,68.970,88.794,584,2193
81,0.00100,1.3435,68.880,88.678,555,2309
82,0.00100,1.3399,68.910,88.776,605,2117
83,0.00100,1.3382,69.044,88.872,562,2281
84,0.00100,1.3381,68.778,88.716,561,2284
85,0.00100,1.3348,68.998,88.784,619,2070
86,0.00100,1.3326,68.854,88.786,559,2292
87,0.00100,1.3298,68.932,88.832,615,2084
88,0.00100,1.3288,68.964,88.762,559,2291
89,0.00100,1.3242,68.992,88.826,587,2181
90,0.00100,1.3235,69.142,88.830,557,2301
