epoch,lr,train_loss,top1,top5,seconds,img_per_s
1,0.10000,4.9096,21.756,45.312,662,1936
2,0.10000,3.5163,32.816,59.164,605,2116
3,0.10000,3.1025,38.734,65.234,588,2178
4,0.10000,2.9156,39.006,65.388,594,2156
5,0.10000,2.8053,40.934,67.570,588,2177
6,0.10000,2.7338,42.138,68.942,640,2002
7,0.10000,2.6892,45.048,72.098,586,2186
8,0.10000,2.6488,42.154,68.672,596,2149
9,0.10000,2.6232,43.790,70.374,638,2008
10,0.10000,2.6016,43.626,70.016,598,2142
11,0.10000,2.5850,45.580,72.242,640,2002
12,0.10000,2.5654,45.410,72.004,599,2138
13,0.10000,2.5570,47.466,73.754,596,2148
14,0.10000,2.5466,47.544,73.880,605,2116
15,0.10000,2.5317,46.736,73.172,598,2141
16,0.10000,2.5242,47.260,73.678,641,2000
17,0.10000,2.5163,47.070,73.442,603,2126
18,0.10000,2.5119,40.896,67.844,670,1913
19,0.10000,2.5023,48.914,74.892,602,2128
20,0.10000,2.4990,47.886,74.030,640,2000
21,0.10000,2.4919,48.122,74.594,595,2152
22,0.10000,2.4904,47.106,73.632,647,1981
23,0.10000,2.4839,48.396,74.368,599,2138
24,0.10000,2.4808,48.134,74.460,660,1941
25,0.10000,2.4749,45.426,71.828,595,2154
26,0.10000,2.4724,48.116,74.468,648,1975
27,0.10000,2.4699,48.696,75.238,591,2169
28,0.10000,2.4690,47.750,73.820,642,1995
29,0.10000,2.4625,46.964,73.064,592,2166
30,0.10000,2.4606,49.694,75.948,658,1946
31,0.01000,1.9427,62.232,84.626,589,2174
32,0.01000,1.8254,62.892,85.128,591,2169
33,0.01000,1.7796,63.662,85.516,596,2151
34,0.01000,1.7513,63.762,85.640,648,1976
35,0.01000,1.7343,64.112,85.888,599,2138
36,0.01000,1.7213,64.272,85.838,644,1988
37,0.01000,1.7124,63.924,85.840,598,2144
38,0.01000,1.7069,63.914,85.706,631,2029
39,0.01000,1.7039,63.982,85.714,615,2084
40,0.01000,1.7024,64.138,85.928,616,2081
41,0.01000,1.7003,63.520,85.620,615,2084
42,0.01000,1.7029,63.910,85.866,595,2153
43,0.01000,1.7030,63.442,85.522,643,1994
44,0.01000,1.7027,63.596,85.496,587,2181
45,0.01000,1.7009,63.768,85.594,650,1972
46,0.01000,1.7039,64.192,85.750,585,2189
47,0.01000,1.7029,63.804,85.748,629,2036
48,0.01000,1.7032,63.924,85.808,602,2129
49,0.01000,1.7033,63.236,85.276,606,2115
50,0.01000,1.7003,63.742,85.706,599,2137
51,0.01000,1.7018,62.576,85.026,648,1977
52,0.01000,1.6980,63.944,85.846,597,2144
53,0.01000,1.6985,63.502,85.450,596,2149
54,0.01000,1.6927,64.066,85.754,601,2131
55,0.01000,1.6945,63.698,85.564,632,2027
56,0.01000,1.6893,63.658,85.474,601,2130
57,0.01000,1.6870,63.656,85.518,620,2066
58,0.01000,1.6880,63.606,85.674,596,2150
59,0.01000,1.6846,63.086,85.364,637,2011
60,0.01000,1.6852,62.138,84.924,592,2163
61,0.00100,1.4940,68.004,87.982,587,2182
62,0.00100,1.4501,68.108,88.200,639,2004
63,0.00100,1.4257,68.268,88.290,591,2168
64,0.00100,1.4178,68.480,88.528,625,2050
65,0.00100,1.4088,68.540,88.416,586,2186
66,0.00100,1.4006,68.572,88.564,588,2179
67,0.00100,1.3938,68.754,88.582,637,2012
68,0.00100,1.3859,68.778,88.530,587,2184
69,0.00100,1.3819,68.898,88.666,666,1925
70,0.00100,1.3776,68.890,88.684,594,2158
71,0.00100,1.3726,68.864,88.678,645,1987
72,0.00100,1.3701,68.842,88.698,592,2165
73,0.00100,1.3681,69.118,88.736,589,2175
74,0.00100,1.3636,68.824,88.690,595,2153
75,0.00100,1.3577,68.998,88.686,653,1960
76,0.00100,1.3542,68.940,88.722,591,2166
77,0.00100,1.3514,69.030,88.674,636,2014
78,0.00100,1.3496,69.028,88.730,610,2102
79,0.00100,1.3460,69.036,88.744,613,2090
80,0.00100,1.3434,69.012,88.750,639,2005
81,0.00100,1.3412,68.958,88.816,603,2125
82,0.00100,1.3390,69.246,88.828,626,2048
83,0.00100,1.3366,69.164,88.840,589,2176
84,0.00100,1.3366,69.072,88.776,612,2093
85,0.00100,1.3337,69.038,88.704,587,2184
86,0.00100,1.3310,69.236,88.838,655,1956
87,0.00100,1.3293,68.928,88.634,402,3188
88,0.00100,1.3271,69.064,88.728,360,3559
89,0.00100,1.3238,69.016,88.850,358,3576
90,0.00100,1.3234,69.176,88.846,361,3553
