epoch,lr,train_loss,top1,top5,seconds,img_per_s
1,0.10000,4.9223,20.160,43.070,642,1996
2,0.10000,3.5414,33.534,59.854,570,2246
3,0.10000,3.1262,34.718,61.098,569,2251
4,0.10000,2.9364,38.706,65.072,629,2038
5,0.10000,2.8264,42.494,69.504,567,2259
6,0.10000,2.7592,41.310,68.528,596,2150
7,0.10000,2.7078,43.442,70.310,567,2259
8,0.10000,2.6711,43.838,70.652,595,2153
9,0.10000,2.6435,45.418,72.198,568,2257
10,0.10000,2.6210,45.060,72.068,605,2117
11,0.10000,2.6019,46.644,73.460,566,2262
12,0.10000,2.5883,46.432,73.016,587,2183
13,0.10000,2.5734,45.170,71.762,566,2262
14,0.10000,2.5602,47.492,73.926,608,2108
15,0.10000,2.5540,48.246,74.194,567,2258
16,0.10000,2.5434,44.224,70.750,623,2055
17,0.10000,2.5360,43.860,70.358,567,2259
18,0.10000,2.5254,48.424,74.974,583,2196
19,0.10000,2.5219,46.716,72.520,568,2256
20,0.10000,2.5135,46.486,73.244,573,2236
21,0.10000,2.5101,47.830,74.352,568,2254
22,0.10000,2.5056,45.416,72.066,616,2080
23,0.10000,2.4996,48.340,75.008,568,2253
24,0.10000,2.4950,48.714,74.906,589,2173
25,0.10000,2.4912,46.914,73.446,568,2255
26,0.10000,2.4874,49.190,75.054,575,2229
27,0.10000,2.4874,48.420,74.534,569,2253
28,0.10000,2.4794,48.578,74.564,618,2074
29,0.10000,2.4777,49.708,75.448,571,2242
30,0.10000,2.4752,49.154,75.550,571,2244
31,0.01000,1.9583,61.928,84.588,585,2190
32,0.01000,1.8357,63.088,85.144,625,2049
33,0.01000,1.7887,63.344,85.320,568,2255
34,0.01000,1.7628,63.564,85.534,592,2162
35,0.01000,1.7416,63.648,85.496,566,2262
36,0.01000,1.7328,64.198,85.914,594,2158
37,0.01000,1.7234,64.218,86.026,570,2248
38,0.01000,1.7171,63.372,85.504,626,2046
39,0.01000,1.7145,63.646,85.740,570,2248
40,0.01000,1.7137,62.902,85.082,628,2040
41,0.01000,1.7127,63.496,85.576,570,2249
42,0.01000,1.7143,63.884,85.824,584,2194
43,0.01000,1.7123,63.372,85.566,578,2217
44,0.01000,1.7113,62.458,84.854,652,1964
45,0.01000,1.7140,63.138,85.360,568,2255
46,0.01000,1.7145,63.772,85.438,659,1945
47,0.01000,1.7149,63.316,85.558,572,2239
48,0.01000,1.7119,63.122,85.514,573,2236
49,0.01000,1.7098,63.472,85.744,575,2226
50,0.01000,1.7103,62.878,84.882,639,2006
51,0.01000,1.7103,63.358,85.432,569,2251
52,0.01000,1.7086,62.916,85.200,624,2054
53,0.01000,1.7053,63.684,85.620,572,2241
54,0.01000,1.7014,63.448,85.474,652,1964
55,0.01000,1.7004,63.104,85.314,568,2256
56,0.01000,1.7010,63.616,85.518,618,2072
57,0.01000,1.6953,63.932,85.880,575,2226
58,0.01000,1.6954,63.438,85.566,638,2007
59,0.01000,1.6958,63.016,85.254,569,2252
60,0.01000,1.6919,63.766,85.636,570,2249
61,0.00100,1.5029,67.554,88.014,571,2245
62,0.00100,1.4558,67.906,88.174,640,2003
63,0.00100,1.4396,68.156,88.234,568,2255
64,0.00100,1.4253,68.102,88.346,617,2076
65,0.00100,1.4156,68.194,88.490,568,2256
66,0.00100,1.4079,68.272,88.472,575,2229
67,0.00100,1.4027,68.318,88.584,573,2237
68,0.00100,1.3952,68.204,88.444,644,1989
69,0.00100,1.3885,68.358,88.542,566,2262
70,0.00100,1.3864,68.360,88.548,617,2077
71,0.00100,1.3793,68.562,88.654,568,2256
72,0.00100,1.3758,68.606,88.622,625,2051
73,0.00100,1.3738,68.652,88.674,568,2257
74,0.00100,1.3701,68.472,88.612,625,2051
75,0.00100,1.3656,68.686,88.584,568,2257
76,0.00100,1.3641,68.444,88.622,637,2010
77,0.00100,1.3589,68.582,88.736,567,2260
78,0.00100,1.3560,68.794,88.746,623,2055
79,0.00100,1.3557,68.626,88.790,576,2222
80,0.00100,1.3502,68.644,88.674,567,2261
81,0.00100,1.3467,68.808,88.826,622,2061
82,0.00100,1.3457,68.760,88.834,567,2258
83,0.00100,1.3455,68.710,88.726,610,2101
84,0.00100,1.3427,68.576,88.662,567,2259
85,0.00100,1.3389,68.612,88.638,613,2089
86,0.00100,1.3386,68.754,88.750,569,2250
87,0.00100,1.3379,68.722,88.740,619,2071
88,0.00100,1.3355,68.624,88.618,569,2252
89,0.00100,1.3314,68.808,88.696,581,2204
90,0.00100,1.3301,68.584,88.700,576,2226
