layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
conv1,conv,0,39,1,False,27.0,0,32.0,32.0,160000,8.84066051902398,4.820423869863398,0.12360061204777943,5.922075963589495,0.15184810163049986,3.134041325398411,0.08036003398457464,16.47088718885179,10,39,0.9615434016840331,32,5,7,9,12,0.1282051282051282,0.1794871794871795,0.23076923076923078,0.3076923076923077,4102.5641025641025,39.0,10000.0,1.73271626121083,2.5589993303169205,0.0656153674440236,2.828263939939711,0.07251958820358234,1.931829266841777,0.049534083765173764,11.321552071239179,10.0,39.0,0.9574855104822907,30.0,3.0,3.0,3.0,6.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,256.4102564102564,100,94.77
layer1.0.conv1,conv,1,62,1,False,62.0,0,32.0,32.0,160000,1.0722169465114868,9.507328212476933,0.15334400342704732,14.56626718670369,0.2349397933339305,4.520914427012493,0.07291797462923376,4.966233365732236,10,62,0.9384065131986656,62,14,18,28,42,0.22580645161290322,0.2903225806451613,0.45161290322580644,0.6774193548387096,2580.6451612903224,62.0,10000.0,0.10282547842540919,3.5019471277323944,0.05648301818923217,4.529016739249138,0.07304865708466352,2.426107141207115,0.03913076034205024,6.540339885484278,10.0,62.0,0.9786854616911299,62.0,4.0,5.0,10.0,18.0,0.06451612903225806,0.08064516129032258,0.16129032258064516,0.2903225806451613,161.29032258064515,100,94.77
layer1.0.conv2,conv,2,64,1,False,64.0,0,32.0,32.0,160000,0.9408188219193756,11.73232852146954,0.18331763314796157,16.477255496714992,0.25745711713617175,5.969871915015234,0.09327924867211303,3.687419891202793,10,64,0.9699089189381198,64,14,19,33,53,0.21875,0.296875,0.515625,0.828125,2500.0,64.0,10000.0,0.025779929260376918,3.853342366994583,0.06020847448429036,5.694483937355592,0.08897631152118113,2.368004083193,0.037000063799890626,4.620705044738033,10.0,64.0,0.9539913016172045,64.0,5.0,7.0,15.0,31.0,0.078125,0.109375,0.234375,0.484375,156.25,100,94.77
layer1.0.downsample.0,conv,3,64,1,False,39.0,0,32.0,32.0,160000,0.2550358551775136,5.273464043254925,0.0823978756758582,6.798682179183992,0.10622940904974988,3.4780791502949997,0.05434498672335937,12.693534603487754,10,64,0.9003747049880693,51,6,8,10,16,0.09375,0.125,0.15625,0.25,2500.0,64.0,10000.0,0.03241457705666138,2.8805464469281863,0.04500853823325291,3.691272011679734,0.057676125182495847,2.0066212767375973,0.03135345744902496,12.153666869150994,10.0,64.0,0.890187406971939,50.0,3.0,4.0,7.0,13.0,0.046875,0.0625,0.109375,0.203125,156.25,100,94.77
layer1.0,block,4,64,1,False,,0,32.0,32.0,160000,1.8422130627538649,13.458055615399854,0.2102821189906227,23.31766061860802,0.3643384471657503,5.456177368853682,0.08525277138833878,2.957239654042627,10,64,0.28220985856461345,64,25,34,52,62,0.390625,0.53125,0.8125,0.96875,2500.0,64.0,10000.0,0.07512518569699023,6.526977652239873,0.10198402581624802,10.654917560545249,0.1664830868835195,3.3028192365474065,0.05160655057105323,3.9476730528669988,10.0,64.0,0.3490966480076749,63.0,10.0,16.0,31.0,53.0,0.15625,0.25,0.484375,0.828125,156.25,100,94.77
layer1.1.conv1,conv,5,62,1,False,62.0,0,32.0,32.0,160000,6.293981310641071,7.51667942408416,0.12123676490458322,11.81649526468833,0.19058863330142467,3.966307869337236,0.06397270756995542,3.2614087750427463,10,62,0.9644271533799083,62,11,17,32,51,0.1774193548387097,0.27419354838709675,0.5161290322580645,0.8225806451612904,2580.6451612903224,62.0,10000.0,0.06599382794598495,2.6073524377053747,0.042054071575893144,5.089574504370892,0.08208991136082085,1.660443824091767,0.026781352001480112,4.552255154233661,10.0,62.0,0.9568394770660302,62.0,7.0,10.0,19.0,35.0,0.11290322580645161,0.16129032258064516,0.3064516129032258,0.5645161290322581,161.29032258064515,100,94.77
layer1.1.conv2,conv,6,64,1,False,64.0,0,32.0,32.0,160000,0.7063069621824842,11.880032099488412,0.18562550155450644,18.794766333154513,0.29366822395553926,5.443580662113149,0.08505594784551795,3.0623169543051785,10,64,0.9456978449779349,64,18,25,42,57,0.28125,0.390625,0.65625,0.890625,2500.0,64.0,10000.0,0.04278307442447021,2.83205607652685,0.04425087619573203,4.106971453888527,0.06417142896700824,1.8914737730643405,0.02955427770413032,4.712192960683376,10.0,64.0,0.966330252343769,64.0,4.0,5.0,10.0,23.0,0.0625,0.078125,0.15625,0.359375,156.25,100,94.77
layer1.1,block,7,64,1,False,,0,32.0,32.0,160000,1.9615138282037048,26.902080186424513,0.420345002912883,38.38273589745497,0.5997302483977339,10.647926550507478,0.16637385235167934,1.546042939987589,10,64,0.9734750918623327,64,38,47,60,64,0.59375,0.734375,0.9375,1.0,2500.0,64.0,10000.0,0.12236118279192529,6.812512070550396,0.10644550110234993,11.610576415638167,0.18141525649434637,3.2676135132856134,0.05105646114508771,2.72006902372802,10.0,64.0,0.9919608597155122,64.0,11.0,17.0,36.0,57.0,0.171875,0.265625,0.5625,0.890625,156.25,100,94.77
layer2.0.conv1,conv,8,127,1,False,127.0,0,16.0,16.0,160000,5.832508587358772,17.99013755799208,0.14165462644088253,26.856501738996787,0.21146851762989596,8.285747593921911,0.0652421070387552,3.1480239358027666,10,127,0.9739151185893995,127,24,33,61,102,0.1889763779527559,0.25984251968503935,0.48031496062992124,0.8031496062992126,1259.8425196850394,127.0,10000.0,0.5053935259936502,5.160396192137145,0.040633040882969644,8.268661648045267,0.0651075720318525,2.710156936063184,0.0213398183941983,4.3322153426745045,10.0,127.0,0.9859445369244109,127.0,8.0,11.0,20.0,42.0,0.06299212598425197,0.08661417322834646,0.15748031496062992,0.33070866141732286,78.74015748031496,100,94.77
layer2.0.conv2,conv,9,128,1,False,128.0,0,16.0,16.0,160000,2.0571379719010587,27.79070998827154,0.2171149217833714,42.400584588404776,0.3312545670969123,13.03513885436711,0.10183702229974305,2.3676444209020073,10,128,0.9566281180236249,128,40,56,91,121,0.3125,0.4375,0.7109375,0.9453125,1250.0,128.0,10000.0,0.12877045569912085,6.726998399182729,0.05255467499361507,11.477836823615323,0.08967060018449471,3.1735878886574045,0.024793655380135973,3.5710445005373375,10.0,128.0,0.9805383312526221,128.0,11.0,15.0,33.0,70.0,0.0859375,0.1171875,0.2578125,0.546875,78.125,100,94.77
