layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
conv1,conv,0,39,1,False,27.0,0,32.0,32.0,160000,5.631945835607228,1.6709743930599068,0.04284549725794633,2.6612451829820336,0.0682370559738983,1.3052237091319698,0.033467274593127434,15.00122168003293,10,39,0.7459793360613968,34,3,5,9,16,0.07692307692307693,0.1282051282051282,0.23076923076923078,0.41025641025641024,4102.5641025641025,39.0,10000.0,1.549508719663087,1.3877836297646402,0.035584195634990774,1.683028334665255,0.04315457268372449,1.1942545943423422,0.03062191267544467,10.915989199470802,10.0,39.0,0.9753666474337426,30.0,2.0,2.0,3.0,4.0,0.05128205128205128,0.05128205128205128,0.07692307692307693,0.10256410256410256,256.4102564102564,0,10.0
layer1.0.conv1,conv,1,62,1,False,62.0,0,32.0,32.0,160000,3.8495718554005833,3.1631700692855254,0.05101887208525041,6.955115336553484,0.11217927962183039,1.8776465850057242,0.030284622338802004,2.1381051073239954,10,62,0.9697617526712649,62,11,19,41,58,0.1774193548387097,0.3064516129032258,0.6612903225806451,0.9354838709677419,2580.6451612903224,62.0,10000.0,0.9614099285082031,1.9180979468334758,0.03093706365860445,2.6919974995637905,0.04341931450909339,1.4380079694476195,0.023193676926574508,4.584853008507542,10.0,62.0,0.9682041335228916,62.0,3.0,3.0,6.0,15.0,0.04838709677419355,0.04838709677419355,0.0967741935483871,0.24193548387096775,161.29032258064515,0,10.0
layer1.0.conv2,conv,2,64,1,False,64.0,0,32.0,32.0,160000,3.4574811806832884,4.204430203437061,0.06569422192870408,9.45079147863738,0.14766861685370905,2.308465276010272,0.0360697699376605,1.6432086732263034,10,64,0.9788586660195707,64,16,28,51,63,0.25,0.4375,0.796875,0.984375,2500.0,64.0,10000.0,0.825200207793263,2.259046854671697,0.03529760710424527,3.0734146829500677,0.04802210442109481,1.6280465536152,0.0254382274002375,3.749084297041854,10.0,64.0,0.9612565933390911,64.0,3.0,4.0,7.0,22.0,0.046875,0.0625,0.109375,0.34375,156.25,0,10.0
layer1.0.downsample.0,conv,3,64,1,False,39.0,0,32.0,32.0,160000,4.201922597392409,2.544756267013379,0.03976181667208405,4.490214976356813,0.0701596090055752,1.688677385874612,0.026385584154290813,11.998451815547355,10,64,0.6411388525327613,51,6,9,19,31,0.09375,0.140625,0.296875,0.484375,2500.0,64.0,10000.0,1.0881721865882428,2.0619818094385427,0.03221846577247723,2.7890062411261565,0.043578222517596195,1.5250193793171585,0.0238284278018306,9.764946256127333,10.0,64.0,0.7448256370185882,51.0,3.0,3.0,6.0,13.0,0.046875,0.046875,0.09375,0.203125,156.25,0,10.0
layer1.0,block,4,64,1,False,,0,32.0,32.0,160000,3.024782728499366,3.9270979755177517,0.06136090586746487,8.067303591598462,0.12605161861872596,2.3115319445869447,0.03611768663417101,2.8258138509741495,10,64,0.647892553869547,64,13,22,43,55,0.203125,0.34375,0.671875,0.859375,2500.0,64.0,10000.0,0.7175105496864451,2.628159344172447,0.041064989752694486,3.3760289383006556,0.052750452160947744,1.9783364044117533,0.030911506318933645,3.833217213627172,10.0,64.0,0.7740517101661566,64.0,3.0,4.0,8.0,26.0,0.046875,0.0625,0.125,0.40625,156.25,0,10.0
layer1.1.conv1,conv,5,62,1,False,62.0,0,32.0,32.0,160000,6.276363918659981,4.461652227708207,0.07196213270497108,9.856866153034119,0.1589817121457116,2.394923714467997,0.03862780184625802,1.6112434875174564,10,62,0.9791189896040292,62,16,27,50,61,0.25806451612903225,0.43548387096774194,0.8064516129032258,0.9838709677419355,2580.6451612903224,62.0,10000.0,1.3574515163798544,2.480727327360178,0.040011731086454484,3.2920788722211802,0.05309804632614807,1.7875986038927423,0.028832235546657134,3.99867491575507,10.0,62.0,0.961124581222099,62.0,3.0,4.0,8.0,23.0,0.04838709677419355,0.06451612903225806,0.12903225806451613,0.3709677419354839,161.29032258064515,0,10.0
layer1.1.conv2,conv,6,64,1,False,64.0,0,32.0,32.0,160000,5.810153865711621,4.030202607902167,0.06297191574847136,9.888790976769405,0.15451235901202195,2.1489637443125797,0.03357755850488406,1.531894288039958,10,64,0.9810239788091402,64,18,31,53,63,0.28125,0.484375,0.828125,0.984375,2500.0,64.0,10000.0,1.1708605015246445,1.9468705560924642,0.030419852438944753,2.685807941086835,0.0419657490794818,1.4759463161930384,0.023061661190516225,4.083298263694188,10.0,64.0,0.9566023844357465,64.0,2.0,3.0,9.0,24.0,0.03125,0.046875,0.140625,0.375,156.25,0,10.0
layer1.1,block,7,64,1,False,,0,32.0,32.0,160000,5.4590436022927475,4.058857924832177,0.06341965507550276,9.32966677619059,0.14577604337797798,2.220282783118095,0.03469191848622023,2.9897032514876734,10,64,0.6312195075817426,64,16,26,45,55,0.25,0.40625,0.703125,0.859375,2500.0,64.0,10000.0,1.209911561427822,2.1135395673419937,0.03302405573971865,2.891639025567447,0.04518185977449136,1.5749800330465202,0.02460906301635188,4.0384685335999855,10.0,64.0,0.7661910279737415,64.0,3.0,3.0,9.0,28.0,0.046875,0.046875,0.140625,0.4375,156.25,0,10.0
layer2.0.conv1,conv,8,127,1,False,127.0,0,16.0,16.0,160000,10.794039750380684,5.296342784001422,0.04170348648820017,13.352270716993182,0.10513598989758412,2.6470429043921815,0.020842857514899067,1.6804921878683403,10,127,0.9783297458414448,127,24,45,92,121,0.1889763779527559,0.3543307086614173,0.7244094488188977,0.952755905511811,1259.8425196850394,127.0,10000.0,2.1297975700360348,2.2197103991912837,0.017478034639301445,3.024268420601949,0.023813137170094086,1.6710477434765292,0.013157856247846687,2.955072528238965,10.0,127.0,0.9814309634465866,127.0,3.0,4.0,11.0,41.0,0.023622047244094488,0.031496062992125984,0.08661417322834646,0.3228346456692913,78.74015748031496,0,10.0
layer2.0.conv2,conv,9,128,1,False,128.0,0,16.0,16.0,160000,11.54103995009731,6.085680286430986,0.047544377237742075,16.50770480057414,0.12896644375448546,2.790073917182717,0.021797452477989976,1.406429166456832,10,128,0.9903060070955344,128,33,59,105,125,0.2578125,0.4609375,0.8203125,0.9765625,1250.0,128.0,10000.0,2.1242836695494614,1.9552477123012395,0.015275372752353434,2.683500144929911,0.02096484488226493,1.5029716400356883,0.011741965937778815,2.962617355228826,10.0,128.0,0.9721180336303759,128.0,2.0,3.0,11.0,43.0,0.015625,0.0234375,0.0859375,0.3359375,78.125,0,10.0
