layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,64,1,False,27,0,32.0,32.0,160000,22.309420903638337,5.002743223303741,0.07816786286412096,6.468445745330374,0.1010694647707871,3.0533150567324614,0.04770804776144471,12.829921320634629,10,64,0.9795508297522119,41,6,8,10,12,0.09375,0.125,0.15625,0.1875,2500.0,64.0,10000.0,4.017593113478406,2.2609594757435603,0.03532749180849313,2.62012592045881,0.040939467507168904,1.6954956907331151,0.026492120167704924,7.7623339065412775,10.0,64.0,0.9795585126849976,41.0,3.0,3.0,3.0,6.0,0.046875,0.046875,0.046875,0.09375,156.25,100,82.34
features.3,conv,1,64,1,False,64,0,32.0,32.0,160000,32.30082243510597,9.742326216735599,0.15222384713649373,13.433163388340647,0.2098931779428226,5.326447846424772,0.08322574760038706,4.297328626868878,10,64,0.9879920572516663,64,12,15,25,44,0.1875,0.234375,0.390625,0.6875,2500.0,64.0,10000.0,2.2353279785549423,3.451545647104327,0.05393040073600511,4.321025449729439,0.06751602265202249,2.2902621631118856,0.03578534629862321,4.970599369461661,10.0,64.0,0.9877479494144962,64.0,4.0,4.0,8.0,16.0,0.0625,0.0625,0.125,0.25,156.25,100,82.34
features.7,conv,2,128,1,False,128,0,16.0,16.0,160000,34.33291076027612,14.116687745256284,0.11028662300981472,23.52522876635913,0.1837908497371807,5.4167043565713335,0.04231800278571354,3.1676297164472755,10,128,0.9845990470240408,128,22,31,56,102,0.171875,0.2421875,0.4375,0.796875,1250.0,128.0,10000.0,4.256446056656602,4.671488618779848,0.03649600483421756,6.663742569513785,0.05206048882432644,2.837672366191081,0.02216931536086782,4.387737485377199,10.0,128.0,0.970360722854664,128.0,7.0,8.0,13.0,32.0,0.0546875,0.0625,0.1015625,0.25,78.125,100,82.34
features.10,conv,3,128,1,False,128,0,16.0,16.0,160000,26.87872421649209,20.43512334368425,0.1596494011225332,31.527132613650622,0.24630572354414548,8.292763943973135,0.06478721831229012,2.588728878339867,10,128,0.9894339856240684,128,28,40,78,118,0.21875,0.3125,0.609375,0.921875,1250.0,128.0,10000.0,2.6366485239331823,5.615428433408518,0.043870534636004044,8.624670923465022,0.06738024158957048,2.9243600373121157,0.022846562791500904,3.548871009646045,10.0,128.0,0.9829037468516164,128.0,8.0,10.0,22.0,56.0,0.0625,0.078125,0.171875,0.4375,78.125,100,82.34
features.14,conv,4,256,1,False,256,0,8.0,8.0,160000,46.00922646412421,28.707222588924054,0.11213758823798459,47.597158685808246,0.18592640111643846,9.651259159566699,0.03770023109205742,2.508326452433691,10,256,0.9833187875068459,256,44,64,133,225,0.171875,0.25,0.51953125,0.87890625,625.0,256.0,10000.0,5.670303153699515,9.045629513087745,0.035334490285499,13.526940557457877,0.05283961155256983,4.91536641603887,0.019200650062651835,3.3233155809102364,10.0,256.0,0.9648497461868262,256.0,11.0,17.0,44.0,113.0,0.04296875,0.06640625,0.171875,0.44140625,39.0625,100,82.34
features.17,conv,5,256,1,False,256,0,8.0,8.0,160000,29.15911447980181,32.97341491903288,0.12880240202747217,57.09654880139349,0.22303339375544332,10.642004604923105,0.04157033048798088,2.1415920421421704,10,256,0.9872932058264192,256,55,83,172,242,0.21484375,0.32421875,0.671875,0.9453125,625.0,256.0,10000.0,3.33373396423412,10.135461161719293,0.03959164516296599,16.931924845075525,0.06614033142607627,5.02647104302143,0.01963465251180246,2.8119080835841075,10.0,256.0,0.9813441303509121,256.0,15.0,25.0,67.0,160.0,0.05859375,0.09765625,0.26171875,0.625,39.0625,100,82.34
features.20,conv,6,256,1,False,256,0,8.0,8.0,160000,22.721711607900968,39.34367484146139,0.15368622984945857,64.18277201319115,0.25071395317652795,15.916961292210829,0.06217563004769855,2.042378337396434,10,256,0.9873323559986497,256,61,93,184,245,0.23828125,0.36328125,0.71875,0.95703125,625.0,256.0,10000.0,2.30316654919051,10.762611538895367,0.04204145132381003,19.238493059024957,0.07515036351181624,5.103651209118905,0.01993613753562072,2.7437241007224284,10.0,256.0,0.9810417711008319,256.0,19.0,31.0,79.0,175.0,0.07421875,0.12109375,0.30859375,0.68359375,39.0625,100,82.34
features.24,conv,7,512,1,False,512,0,4.0,4.0,160000,35.71316602750585,34.587660511743714,0.06755402443699944,65.39027693666165,0.12771538464191728,11.074396611797274,0.02162968088241655,2.154370917112622,10,512,0.9912866415150892,512,64,102,265,460,0.125,0.19921875,0.517578125,0.8984375,312.5,512.0,10000.0,8.040316986020066,9.589396017365322,0.018729289096416645,17.52193028815453,0.034222520094051814,4.770517145934056,0.009317416300652453,2.5674276657328843,10.0,512.0,0.9778457919483579,512.0,17.0,28.0,96.0,284.0,0.033203125,0.0546875,0.1875,0.5546875,19.53125,100,82.34
features.27,conv,8,512,1,False,512,0,4.0,4.0,160000,47.37475687237583,26.481621845620523,0.051721917667227585,50.62600497153284,0.09887891596002508,9.863236836934128,0.01926413444713697,2.0152010748062708,10,512,0.9936774427509649,512,50,82,260,467,0.09765625,0.16015625,0.5078125,0.912109375,312.5,512.0,10000.0,13.239787372957354,8.449773137139927,0.01650346315847642,13.71644440227335,0.026789930473190136,4.298376302681567,0.008395266216174936,2.3074270843450506,10.0,512.0,0.9902913429564312,512.0,12.0,17.0,59.0,263.0,0.0234375,0.033203125,0.115234375,0.513671875,19.53125,100,82.34
features.30,conv,9,512,1,False,512,0,4.0,4.0,160000,51.49253243854072,30.36436452419151,0.059305399461311546,51.63869426630238,0.10085682473887184,12.278038860825434,0.023980544650049677,2.142077069818957,10,512,0.9905755589369108,512,46,70,222,453,0.08984375,0.13671875,0.43359375,0.884765625,312.5,512.0,10000.0,11.75670345504951,7.575484081954843,0.014795867347568053,11.860603685155647,0.023165241572569623,4.1986498587803815,0.008200488005430433,2.3084737169698846,10.0,512.0,0.9904535047237817,512.0,10.0,15.0,51.0,243.0,0.01953125,0.029296875,0.099609375,0.474609375,19.53125,100,82.34
