arm,label,K,seed,p,d,last,acc,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12
c10_full,"CIFAR-10, 50k",10,0,0.6732141448287259,0.5208333333333334,168.0,,47,64,127,128,255,255,254,504,486,469,347,285,168
c10_full,"CIFAR-10, 50k",10,1,0.6744842875597168,0.5201822916666666,164.0,,47,64,127,128,255,255,255,504,484,471,352,283,164
c10_full,"CIFAR-10, 50k",10,2,0.6735761018982139,0.5227864583333334,168.0,,49,64,127,128,255,255,255,504,483,470,348,287,168
c10_pc640,"CIFAR-10, 6.4k",10,0,0.832615801479957,0.744140625,267.0,81.91,54,63,127,128,254,255,255,507,504,500,469,407,267
c10_pc640,"CIFAR-10, 6.4k",10,1,0.8355149886619375,0.7473958333333334,268.0,81.91,55,63,127,127,255,255,255,507,504,501,471,409,268
c10_pc640,"CIFAR-10, 6.4k",10,2,0.8319501426712418,0.7428385416666666,267.0,82.34,54,63,127,128,255,255,255,507,504,500,469,405,267
c100_k13,"CIFAR-100, 13 classes",13,0,0.878647341224137,0.8274739583333334,348.0,82.38461538461539,54,63,127,127,254,255,255,507,505,502,479,444,348
c100_k13,"CIFAR-100, 13 classes",13,1,0.8782983209893138,0.8268229166666666,349.0,80.84615384615384,55,63,126,128,255,255,255,507,505,502,479,442,349
c100_k13,"CIFAR-100, 13 classes",13,2,0.8800039104387329,0.8294270833333334,350.0,81.3076923076923,54,63,127,127,255,255,255,507,505,502,480,444,350
c100_k20,"CIFAR-100, 20 classes",20,0,0.9174370932539925,0.8873697916666666,405.0,81.95,53,63,127,128,255,255,255,508,507,505,487,471,405
c100_k20,"CIFAR-100, 20 classes",20,1,0.9193175151200714,0.8919270833333334,408.0,82.35,53,63,127,128,255,255,255,508,506,504,488,474,408
c100_k20,"CIFAR-100, 20 classes",20,2,0.9179390141960482,0.8893229166666666,405.0,82.3,54,63,127,128,255,255,255,508,506,504,488,473,405
c100_k50,"CIFAR-100, 50 classes",50,0,0.9763073381090485,0.9739583333333334,486.0,79.26,52,63,127,128,255,255,255,509,509,509,505,505,486
c100_k50,"CIFAR-100, 50 classes",50,1,0.9779757466139924,0.9759114583333334,488.0,78.88,51,63,127,128,255,255,255,510,509,509,506,505,488
c100_k50,"CIFAR-100, 50 classes",50,2,0.9786091546789003,0.9765625,488.0,78.94,49,64,127,128,255,255,255,510,509,509,506,506,488
c100_k100,"CIFAR-100, 100 classes",100,0,0.98945150935034,0.9921875,505.0,,48,64,127,128,255,255,255,510,510,510,509,510,505
c100_k100,"CIFAR-100, 100 classes",100,1,0.9892481851760704,0.9921875,504.0,,47,64,127,128,255,255,255,509,510,510,510,510,504
c100_k100,"CIFAR-100, 100 classes",100,2,0.9895658284350076,0.9928385416666666,505.0,,47,64,127,128,255,255,255,509,510,510,510,510,505
