layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,64,1,False,27,0,32.0,32.0,160000,8.216548055181063,4.7450338736309785,0.07414115427548404,6.225637112743035,0.09727557988660993,2.8841224166341464,0.04506441275990854,12.474077125446007,10,64,0.9669169990948988,42,6,8,10,12,0.09375,0.125,0.15625,0.1875,2500.0,64.0,10000.0,1.5463935042131765,2.2820077406554837,0.03565637094774193,2.648779029832995,0.041387172341140546,1.692236023593902,0.02644118786865472,6.622744547740686,10.0,64.0,0.969661257335614,40.0,3.0,3.0,3.0,6.0,0.046875,0.046875,0.046875,0.09375,156.25,780,83.89
features.3,conv,1,64,1,False,64,0,32.0,32.0,160000,3.265999136919992,10.066083211381619,0.1572825501778378,13.984122211526271,0.218501909555098,5.161737282240169,0.08065214503500263,4.99488583593634,10,64,0.974632200477949,64,13,16,25,39,0.203125,0.25,0.390625,0.609375,2500.0,64.0,10000.0,0.22562281907498916,3.3706650650218526,0.05266664164096645,4.13929680584663,0.0646765125913536,2.2683954603767122,0.03544367906838613,5.640435837880127,10.0,64.0,0.9800690433382853,64.0,4.0,4.0,7.0,15.0,0.0625,0.0625,0.109375,0.234375,156.25,780,83.89
features.7,conv,2,128,1,False,128,0,16.0,16.0,160000,4.992226611653251,14.05422361947052,0.10979862202711343,22.489759427529606,0.17570124552757505,5.586766716826703,0.043646614975208615,3.6730043367974234,10,128,0.9691837920734433,128,21,28,49,87,0.1640625,0.21875,0.3828125,0.6796875,1250.0,128.0,10000.0,0.586697948635293,4.81689671139195,0.03763200555774961,6.769199014563359,0.05288436730127624,2.927037375010642,0.02286747949227064,4.737940931417374,10.0,128.0,0.9667153048051307,128.0,7.0,8.0,13.0,30.0,0.0546875,0.0625,0.1015625,0.234375,78.125,780,83.89
features.10,conv,3,128,1,False,128,0,16.0,16.0,160000,3.1129618217204165,20.64384435662429,0.16128003403612726,30.897108238111848,0.2413836581102488,8.698200291181552,0.06795468977485587,2.831593330375745,10,128,0.9812141116079113,128,27,38,71,113,0.2109375,0.296875,0.5546875,0.8828125,1250.0,128.0,10000.0,0.2459526212774162,6.03877275656118,0.04717791216063422,8.834257088104305,0.06901763350081488,3.270631545588989,0.025551808949913976,3.72485512755337,10.0,128.0,0.9797846816934557,128.0,8.0,10.0,22.0,54.0,0.0625,0.078125,0.171875,0.421875,78.125,780,83.89
features.14,conv,4,256,1,False,256,0,8.0,8.0,160000,6.352479748746132,30.070916916590406,0.11746451920543127,53.00878318267881,0.2070655593073391,8.979422283499293,0.03507586829491911,2.544296192311738,10,256,0.9629376325639285,256,51,73,139,223,0.19921875,0.28515625,0.54296875,0.87109375,625.0,256.0,10000.0,0.7434340961590221,9.26955434023389,0.036209196641538634,14.833154166500988,0.05794200846289448,4.519287640987582,0.017653467347607744,3.3753419817484653,10.0,256.0,0.9652476561889816,256.0,13.0,19.0,48.0,119.0,0.05078125,0.07421875,0.1875,0.46484375,39.0625,780,83.89
features.17,conv,5,256,1,False,256,0,8.0,8.0,160000,2.806700597184716,29.50911937265568,0.11526999754943625,59.79222895122408,0.23356339434071907,7.775978310983862,0.03037491527728071,2.1448319939639755,10,256,0.9707765492027749,256,62,91,173,241,0.2421875,0.35546875,0.67578125,0.94140625,625.0,256.0,10000.0,0.32511173989008546,10.463547543288167,0.0408732325909694,18.383620064191597,0.07181101587574842,4.633850372641168,0.018100978018129564,2.847327672463433,10.0,256.0,0.9788817250856141,256.0,17.0,28.0,71.0,164.0,0.06640625,0.109375,0.27734375,0.640625,39.0625,780,83.89
features.20,conv,6,256,1,False,256,0,8.0,8.0,160000,1.671448995185599,48.13757286970644,0.18803739402229078,78.24950830712966,0.30566214182472523,19.096021461268897,0.07459383383308163,1.9337320402660692,10,256,0.9747616609360602,256,76,112,197,247,0.296875,0.4375,0.76953125,0.96484375,625.0,256.0,10000.0,0.18940397967749273,12.225677397504564,0.0477565523340022,23.025181253227625,0.08994211427042041,4.871200438073178,0.01902812671122335,2.7316448778147957,10.0,256.0,0.9768963814858187,256.0,24.0,38.0,91.0,185.0,0.09375,0.1484375,0.35546875,0.72265625,39.0625,780,83.89
features.24,conv,7,512,1,False,512,0,4.0,4.0,160000,2.6911496020242125,37.997405907589794,0.07421368341326132,77.77744670586569,0.15190907559739392,10.64133851905277,0.02078386429502494,2.215886564489289,10,512,0.9714743023016639,512,82,128,278,453,0.16015625,0.25,0.54296875,0.884765625,312.5,512.0,10000.0,0.7014575910850261,11.44462168540049,0.022352776729297832,21.96735643705036,0.04290499304111398,4.85564229566458,0.009483676358719884,2.7321207778109082,10.0,512.0,0.9701970095990492,512.0,22.0,35.0,110.0,286.0,0.04296875,0.068359375,0.21484375,0.55859375,19.53125,780,83.89
features.27,conv,8,512,1,False,512,0,4.0,4.0,160000,0.7394708506935304,20.117085702869836,0.03929118301341765,41.710442682682434,0.08146570836461413,6.600514349152244,0.012891629588187977,2.469331867419043,10,512,0.9857630008628919,512,45,71,178,390,0.087890625,0.138671875,0.34765625,0.76171875,312.5,512.0,10000.0,0.23684079652375073,8.678429324997605,0.016950057275385948,14.996690535878813,0.029290411202888306,3.850860563736561,0.007521212038547971,2.866046724897157,10.0,512.0,0.985761676159954,512.0,14.0,20.0,53.0,190.0,0.02734375,0.0390625,0.103515625,0.37109375,19.53125,780,83.89
features.30,conv,9,512,1,False,512,0,4.0,4.0,160000,0.38699560727632737,24.22809126106068,0.04732049074425914,40.1548681750586,0.07842747690441133,8.612937189402684,0.016822142948052118,2.997215180921151,10,512,0.9860581117754106,512,36,51,111,283,0.0703125,0.099609375,0.216796875,0.552734375,312.5,512.0,10000.0,0.08357331552257101,5.162342893525468,0.010082700963916929,8.944658190150625,0.01747003552763794,2.643624837002963,0.005163329759771412,3.1440636029279316,10.0,512.0,0.9838127693106721,512.0,8.0,12.0,34.0,110.0,0.015625,0.0234375,0.06640625,0.21484375,19.53125,780,83.89
features.34,conv,10,512,1,False,512,0,2.0,2.0,40000,0.2678589353780649,16.071567386672232,0.0313897800520942,21.654264622866634,0.042293485591536395,8.322425669054779,0.016254737634872615,3.657643985747306,10,512,0.9574918986506727,512,20,25,34,40,0.0390625,0.048828125,0.06640625,0.078125,78.125,512.0,10000.0,0.03081222073354117,3.0655235707940243,0.005987350724207079,5.0650003195168365,0.009892578749056321,1.8728815942266046,0.003657971863723837,3.2114234107221584,10.0,512.0,0.9892963854235945,512.0,6.0,7.0,12.0,36.0,0.01171875,0.013671875,0.0234375,0.0703125,19.53125,780,83.89
features.37,conv,11,512,1,False,512,0,2.0,2.0,40000,0.07761770019822037,16.736414362946448,0.03268830930262978,24.053982073772424,0.046980433737836766,6.419815339399587,0.012538701834764819,4.795491428609817,10,512,0.9662679575229285,512,23,28,36,40,0.044921875,0.0546875,0.0703125,0.078125,78.125,512.0,10000.0,0.01613498565014239,1.8512448518369524,0.0036157126012440477,3.113589893967296,0.006081230261654875,1.3756669483763853,0.0026868495085476275,4.14735471755105,10.0,512.0,0.9713298149149181,466.0,5.0,6.0,9.0,11.0,0.009765625,0.01171875,0.017578125,0.021484375,19.53125,780,83.89
features.40,conv,12,512,1,False,512,0,2.0,2.0,40000,0.0770253191195864,30.87634104247126,0.06030535359857668,35.09086386461021,0.06853684348556682,14.147680105676136,0.027632187706398702,6.184813463092768,10,512,0.9770242434758191,457,32,36,39,40,0.0625,0.0703125,0.076171875,0.078125,78.125,512.0,10000.0,0.015578605480937336,8.863058577898785,0.017310661284958565,9.12586314920143,0.017823951463284044,6.610454634634507,0.012911044208270522,4.822046069936512,10.0,512.0,0.981544009653061,390.0,8.0,9.0,9.0,11.0,0.015625,0.017578125,0.017578125,0.021484375,19.53125,780,83.89
classifier,linear,13,10,1,False,10,0,,,10000,72.40475555489427,8.066792909189848,0.8066792909189848,8.549907267498092,0.8549907267498092,4.858789935875881,0.48587899358758807,,10,10,,10,8,9,9,9,0.8,0.9,0.9,0.9,1000.0,,,,,,,,,,,,,,,,,,,,,,,,780,83.89
