layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,180.09919119534695,4.640203246047493,0.07250317571949208,6.913665745437145,0.10802602727245539,2.813017212857149,0.043953393950892955,7.8239954891894445,10,64,0.5291459319820367,63,6,9,18,29,0.09375,0.140625,0.28125,0.453125,1,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,180.09919119534695,4.640203246047493,0.07250317571949208,6.913665745437145,0.10802602727245539,2.813017212857149,0.043953393950892955,7.8239954891894445,10,64,0.5291459319820367,63,6,9,18,29,0.09375,0.140625,0.28125,0.453125,2,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,180.09919119534695,4.640203246047493,0.07250317571949208,6.913665745437145,0.10802602727245539,2.813017212857149,0.043953393950892955,7.8239954891894445,10,64,0.5291459319820367,63,6,9,18,29,0.09375,0.140625,0.28125,0.453125,5,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,192.65685803340557,5.099005678093131,0.07967196372020517,7.578017452235142,0.11840652269117409,2.9094688186820084,0.04546045029190638,7.542552251256592,10,64,0.5262865661607324,63,7,10,20,31,0.109375,0.15625,0.3125,0.484375,10,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,189.1750553958693,4.93246319865408,0.07706973747897,7.21826963985682,0.11278546312276282,2.8733594581452833,0.04489624153352005,7.428794176907503,10,64,0.5257186561253597,63,6,9,19,31,0.09375,0.140625,0.296875,0.484375,25,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,180.07280947552906,4.928738474201803,0.07701153865940318,7.378087370562543,0.11528261516503974,2.7826520676271542,0.043478938556674285,6.169161584300902,10,64,0.9108770862670739,63,7,10,20,31,0.109375,0.15625,0.3125,0.484375,50,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,175.77861602621408,4.7473462642158095,0.07417728537837202,7.26245436474807,0.11347584944918859,2.6541969259479496,0.04147182696793671,7.349434182702385,10,64,0.5257364564212701,63,7,10,20,31,0.109375,0.15625,0.3125,0.484375,100,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,173.89835853514887,4.653937712323072,0.072717776755048,7.0925212907105575,0.11082064516735246,2.6230897668362263,0.040985777606816036,6.1466974422965945,10,64,0.9116756003747145,63,6,9,19,31,0.09375,0.140625,0.296875,0.484375,250,resnet50
bn1,bn,1,64,1,False,64.0,0,112.0,112.0,512,5.127330219209078,5.633208648012248,0.08801888512519138,9.588454431995936,0.1498196004999365,2.823043716776907,0.04411005807463917,8.384706622469542,10,64,0.5882635191829748,63,10,14,22,32,0.15625,0.21875,0.34375,0.5,1,resnet50
bn1,bn,1,64,1,False,64.0,0,112.0,112.0,512,5.127330219209078,5.633208648012248,0.08801888512519138,9.588454431995936,0.1498196004999365,2.823043716776907,0.04411005807463917,8.384706622469542,10,64,0.5882635191829748,63,10,14,22,32,0.15625,0.21875,0.34375,0.5,2,resnet50
bn1,bn,1,64,1,False,64.0,0,112.0,112.0,512,5.127330219209078,5.633208648012248,0.08801888512519138,9.588454431995936,0.1498196004999365,2.823043716776907,0.04411005807463917,8.384706622469542,10,64,0.5882635191829748,63,10,14,22,32,0.15625,0.21875,0.34375,0.5,5,resnet50
bn1,bn,1,64,1,False,64.0,0,112.0,112.0,1024,5.705342392709994,6.395522423353564,0.09993003786489944,10.86628976020915,0.16978577750326798,3.0063632503337874,0.04697442578646543,8.212878951954139,10,64,0.5723111324387617,63,11,16,24,33,0.171875,0.25,0.375,0.515625,10,resnet50
bn1,bn,1,64,1,False,64.0,0,112.0,112.0,2048,5.509308758180286,6.112707862761377,0.09551106035564652,10.782967771693796,0.16848387143271557,2.8595316038300282,0.04468018130984419,6.919600070050928,10,64,0.9055676864246698,63,12,16,24,33,0.1875,0.25,0.375,0.515625,25,resnet50
bn1,bn,1,64,1,False,64.0,0,112.0,112.0,3584,5.332291950160219,6.383269091933876,0.09973857956146681,11.111465261259275,0.17361664470717617,2.942047229253088,0.0459694879570795,6.888191897592784,10,64,0.9054131009515654,63,12,16,24,34,0.1875,0.25,0.375,0.53125,50,resnet50
bn1,bn,1,64,1,False,64.0,0,112.0,112.0,6656,5.213634192521184,6.298530370662706,0.09841453704160479,11.144818137740986,0.1741377834022029,2.8963977182275396,0.045256214347305306,8.157866992405848,10,64,0.5494889830123355,63,12,17,24,34,0.1875,0.265625,0.375,0.53125,100,resnet50
bn1,bn,1,64,1,False,64.0,0,112.0,112.0,16384,5.0736093584463,6.136891153905017,0.09588892427976589,10.941701527558592,0.170964086368103,2.8374290452625437,0.044334828832227245,8.139725482631864,10,64,0.5518569989030266,63,12,16,24,34,0.1875,0.25,0.375,0.53125,250,resnet50
relu,act,2,64,1,False,,0,112.0,112.0,512,2.8248304868164364,7.520204640468581,0.11750319750732158,14.446997157291548,0.22573433058268044,3.5051377531427783,0.05476777739285591,3.0193269605317536,10,64,0.8726466652981448,63,17,25,41,55,0.265625,0.390625,0.640625,0.859375,1,resnet50
relu,act,2,64,1,False,,0,112.0,112.0,512,2.8248304868164364,7.520204640468581,0.11750319750732158,14.446997157291548,0.22573433058268044,3.5051377531427783,0.05476777739285591,3.0193269605317536,10,64,0.8726466652981448,63,17,25,41,55,0.265625,0.390625,0.640625,0.859375,2,resnet50
relu,act,2,64,1,False,,0,112.0,112.0,512,2.8248304868164364,7.520204640468581,0.11750319750732158,14.446997157291548,0.22573433058268044,3.5051377531427783,0.05476777739285591,3.0193269605317536,10,64,0.8726466652981448,63,17,25,41,55,0.265625,0.390625,0.640625,0.859375,5,resnet50
relu,act,2,64,1,False,,0,112.0,112.0,1024,3.1177241132096443,9.096329343602921,0.14213014599379564,17.05058579554326,0.26641540305536343,3.8328790023649986,0.0598887344119531,2.8362859253159396,10,64,0.8514459263817693,63,20,28,44,56,0.3125,0.4375,0.6875,0.875,10,resnet50
relu,act,2,64,1,False,,0,112.0,112.0,2048,3.0668648660181628,8.89283165014306,0.13895049453348532,17.015296838891437,0.2658640131076787,3.6969952943954683,0.05776555147492919,4.259405721473686,10,64,0.20440611602758751,63,20,29,45,57,0.3125,0.453125,0.703125,0.890625,25,resnet50
relu,act,2,64,1,False,,0,112.0,112.0,3584,2.93669257369986,9.186944679681638,0.1435460106200256,17.468174072001524,0.2729402198750238,3.754103109423923,0.0586578610847488,2.761161450867109,10,64,0.8553504918490796,63,20,29,45,57,0.3125,0.453125,0.703125,0.890625,50,resnet50
relu,act,2,64,1,False,,0,112.0,112.0,6656,2.868857910445505,9.119931623893576,0.14249893162333713,17.525641744545823,0.2738381522585285,3.7245702326281793,0.0581964098848153,4.25095534172638,10,64,0.20210558604932405,63,21,29,45,57,0.328125,0.453125,0.703125,0.890625,100,resnet50
relu,act,2,64,1,False,,0,112.0,112.0,16384,2.7965939744406216,8.872553049723324,0.13863364140192694,17.247426531777364,0.2694910395590213,3.6462058115586715,0.05697196580560424,4.253038386051109,10,64,0.1993413102654451,63,21,29,45,57,0.328125,0.453125,0.703125,0.890625,250,resnet50
layer1.0.conv1,conv,3,64,1,False,64.0,0,56.0,56.0,512,3.7434629386185287,4.096308320723074,0.06400481751129804,6.794613870374533,0.10616584172460208,2.331471051641307,0.03642923518189542,11.339945811082373,10,64,0.403576668180853,59,7,11,17,31,0.109375,0.171875,0.265625,0.484375,1,resnet50
layer1.0.conv1,conv,3,64,1,False,64.0,0,56.0,56.0,512,3.7434629386185287,4.096308320723074,0.06400481751129804,6.794613870374533,0.10616584172460208,2.331471051641307,0.03642923518189542,11.339945811082373,10,64,0.403576668180853,59,7,11,17,31,0.109375,0.171875,0.265625,0.484375,2,resnet50
layer1.0.conv1,conv,3,64,1,False,64.0,0,56.0,56.0,512,3.7434629386185287,4.096308320723074,0.06400481751129804,6.794613870374533,0.10616584172460208,2.331471051641307,0.03642923518189542,11.339945811082373,10,64,0.403576668180853,59,7,11,17,31,0.109375,0.171875,0.265625,0.484375,5,resnet50
layer1.0.conv1,conv,3,64,1,False,64.0,0,56.0,56.0,1024,4.307078771397096,4.101452859051572,0.06408520092268082,6.974116697413432,0.10897057339708488,2.289564818990888,0.035774450296732624,11.170229416242403,10,64,0.4065432257653845,59,8,11,18,32,0.125,0.171875,0.28125,0.5,10,resnet50
layer1.0.conv1,conv,3,64,1,False,64.0,0,56.0,56.0,2048,4.1339803671286095,4.410682421524766,0.06891691283632446,7.210732764499086,0.11266769944529823,2.4707061891723607,0.038604784205818136,11.136407842370938,10,64,0.4068624530653644,59,8,11,18,32,0.125,0.171875,0.28125,0.5,25,resnet50
layer1.0.conv1,conv,3,64,1,False,64.0,0,56.0,56.0,3584,4.008632671729256,4.441184382712277,0.06939350597987932,7.2757176159473484,0.11368308774917732,2.4741502618871976,0.03865859784198746,10.09429944781352,10,64,0.39657006014239693,59,8,11,18,32,0.125,0.171875,0.28125,0.5,50,resnet50
layer1.0.conv1,conv,3,64,1,False,64.0,0,56.0,56.0,6656,4.060765814542235,4.445494450196749,0.06946085078432421,7.288083690325094,0.1138763076613296,2.472800057548859,0.03863750089920092,10.060572730972515,10,64,0.3980664761036715,59,8,11,18,32,0.125,0.171875,0.28125,0.5,100,resnet50
layer1.0.conv1,conv,3,64,1,False,64.0,0,56.0,56.0,16384,3.846142987444545,4.456874303371226,0.0696386609901754,7.279999716515749,0.11374999557055858,2.490490409376668,0.03891391264651044,11.188294324330679,10,64,0.39983404920629695,59,8,11,18,32,0.125,0.171875,0.28125,0.5,250,resnet50
layer1.0.bn1,bn,4,64,1,False,64.0,0,56.0,56.0,512,2.909295205267442,4.9292007422159445,0.07701876159712413,7.956450366139283,0.12431953697092629,2.5932335017682684,0.040519273465129194,9.477591616646418,10,64,0.3800877649949468,59,8,11,18,31,0.125,0.171875,0.28125,0.484375,1,resnet50
layer1.0.bn1,bn,4,64,1,False,64.0,0,56.0,56.0,512,2.909295205267442,4.9292007422159445,0.07701876159712413,7.956450366139283,0.12431953697092629,2.5932335017682684,0.040519273465129194,9.477591616646418,10,64,0.3800877649949468,59,8,11,18,31,0.125,0.171875,0.28125,0.484375,2,resnet50
layer1.0.bn1,bn,4,64,1,False,64.0,0,56.0,56.0,512,2.909295205267442,4.9292007422159445,0.07701876159712413,7.956450366139283,0.12431953697092629,2.5932335017682684,0.040519273465129194,9.477591616646418,10,64,0.3800877649949468,59,8,11,18,31,0.125,0.171875,0.28125,0.484375,5,resnet50
layer1.0.bn1,bn,4,64,1,False,64.0,0,56.0,56.0,1024,3.407891402492767,4.556819706402372,0.07120030791253706,7.807704161991024,0.12199537753110976,2.396039635068066,0.037438119297938534,7.735161564241599,10,64,0.47549982806876323,59,8,11,19,32,0.125,0.171875,0.296875,0.5,10,resnet50
layer1.0.bn1,bn,4,64,1,False,64.0,0,56.0,56.0,2048,3.309174250437151,4.782864302316664,0.07473225472369788,8.059923003715502,0.12593629693305472,2.5091458021241766,0.03920540315819026,9.609349240858153,10,64,0.3536831093722229,59,8,12,19,33,0.125,0.1875,0.296875,0.515625,25,resnet50
layer1.0.bn1,bn,4,64,1,False,64.0,0,56.0,56.0,3584,3.2650453575216476,4.952312100536454,0.07737987657088209,8.258741543555264,0.129042836618051,2.583144207496955,0.04036162824213992,10.767097312981576,10,64,0.365807513368269,59,9,12,19,33,0.140625,0.1875,0.296875,0.515625,50,resnet50
layer1.0.bn1,bn,4,64,1,False,64.0,0,56.0,56.0,6656,3.333718221493191,5.007625691987469,0.0782441514373042,8.307844859836726,0.12981007593494884,2.608548135018334,0.04075856460966147,11.220572785745132,10,64,0.3455750100554351,59,9,12,19,33,0.140625,0.1875,0.296875,0.515625,100,resnet50
layer1.0.bn1,bn,4,64,1,False,64.0,0,56.0,56.0,16384,3.144257077575656,5.035955035795686,0.07868679743430759,8.351890839994478,0.13049829437491373,2.602262389499756,0.04066034983593369,11.34072828204441,10,64,0.33525688902952455,59,9,12,19,33,0.140625,0.1875,0.296875,0.515625,250,resnet50
layer1.0.relu,act,5,64,1,False,,0,56.0,56.0,512,0.5739974790123344,5.073503906732368,0.07927349854269325,11.01043836987899,0.17203809952935922,2.6738830816746115,0.041779423151165805,5.922190762137799,10,64,0.1722064750550124,59,17,25,42,55,0.265625,0.390625,0.65625,0.859375,1,resnet50
layer1.0.relu,act,5,64,1,False,,0,56.0,56.0,512,0.5739974790123344,5.073503906732368,0.07927349854269325,11.01043836987899,0.17203809952935922,2.6738830816746115,0.041779423151165805,5.922190762137799,10,64,0.1722064750550124,59,17,25,42,55,0.265625,0.390625,0.65625,0.859375,2,resnet50
layer1.0.relu,act,5,64,1,False,,0,56.0,56.0,512,0.5739974790123344,5.073503906732368,0.07927349854269325,11.01043836987899,0.17203809952935922,2.6738830816746115,0.041779423151165805,5.922190762137799,10,64,0.1722064750550124,59,17,25,42,55,0.265625,0.390625,0.65625,0.859375,5,resnet50
layer1.0.relu,act,5,64,1,False,,0,56.0,56.0,1024,0.6453926028858825,5.290072916585139,0.0826573893216428,11.319634053829912,0.17686928209109237,2.855405822170613,0.04461571597141583,5.742320276823346,10,64,0.16554408520447383,59,17,26,44,56,0.265625,0.40625,0.6875,0.875,10,resnet50
layer1.0.relu,act,5,64,1,False,,0,56.0,56.0,2048,0.6363079822915311,5.315680142805779,0.0830575022313403,11.394290824074947,0.17803579412617104,2.8259806964302725,0.04415594838172301,7.335517721726035,10,64,0.18375609039009322,59,17,26,44,56,0.265625,0.40625,0.6875,0.875,25,resnet50
layer1.0.relu,act,5,64,1,False,,0,56.0,56.0,3584,0.6140407243007602,5.3930102438609016,0.08426578506032659,11.672644467795097,0.1823850698092984,2.8184258360628096,0.0440379036884814,8.68611913041748,10,64,0.20682981735256012,59,18,27,44,56,0.28125,0.421875,0.6875,0.875,50,resnet50
layer1.0.relu,act,5,64,1,False,,0,56.0,56.0,6656,0.6202673673848934,5.5167224691476076,0.08619878858043137,11.914467974949202,0.1861635621085813,2.862571154037111,0.04472767428182986,8.550650691794743,10,64,0.20789455875770047,59,18,27,45,56,0.28125,0.421875,0.703125,0.875,100,resnet50
