layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,176.40643650205965,4.71440498345049,0.0736625778664139,7.143233367014111,0.11161302135959549,2.6682310643520504,0.04169111038050079,6.158643002505352,10,64,0.9115571530649279,63,6,9,19,31,0.09375,0.140625,0.296875,0.484375,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.09375,0.140625,0.296875,0.484375,1.0,6400.0,42.95068320194224,2.74563729818291,0.042900582784107966,2.8683478502404545,0.0448179351600071,2.197429946853951,0.03433484291959298,8.836894320536699,10.0,64.0,0.7912907410280028,51.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
bn1,bn,1,64,1,False,64.0,0,112.0,112.0,102400,5.081016181786967,6.208515517619097,0.09700805496279839,11.007007955796851,0.1719844993093258,2.8697183529198806,0.044839349264373135,6.888790126600903,10,64,0.9052408457728761,63,12,17,24,34,0.1875,0.265625,0.375,0.53125,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.1875,0.265625,0.375,0.53125,1.0,6400.0,0.8611730043698093,2.563935618994121,0.04006149404678314,2.7710730289180936,0.04329801607684521,1.9388366284784069,0.030294322319975107,8.944984866046566,10.0,64.0,0.7356479032398457,52.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
relu,act,2,64,1,False,,0,112.0,112.0,102400,2.7778858705854015,8.836191898599816,0.13806549841562213,17.115551011198033,0.26743048454996926,3.6716644005759664,0.057369756258999476,2.709966369834757,10,64,0.8487641617690443,63,21,29,45,57,0.328125,0.453125,0.703125,0.890625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.4985578964560842,3.2792149810199,0.05123773407843594,4.130003510091763,0.0645313048451838,2.45019646813043,0.03828431981453797,4.0894252835498275,10.0,64.0,0.9539625493512861,63.0,3.0,5.0,11.0,27.0,0.046875,0.078125,0.171875,0.421875,100.0,True
layer1.0.conv1,conv,3,64,1,False,64.0,0,56.0,56.0,102400,3.80821655719887,4.459251659579809,0.06967580718093451,7.284226424514756,0.11381603788304306,2.4925207067523822,0.03894563604300597,10.086311057301247,10,64,0.3937990513591202,59,8,11,18,32,0.125,0.171875,0.28125,0.5,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.125,0.171875,0.28125,0.5,1.0,6400.0,0.7281527778683711,2.479309231800658,0.03873920674688528,3.5684279973079547,0.05575668745793679,1.76634879368265,0.027599199901291407,11.474143903119348,10.0,64.0,0.4551605790568175,59.0,4.0,5.0,10.0,16.0,0.0625,0.078125,0.15625,0.25,100.0,True
layer1.0.bn1,bn,4,64,1,False,64.0,0,56.0,56.0,102400,3.116168031886496,5.006544510895395,0.07822725798274055,8.348884181542994,0.13045131533660928,2.583828060316348,0.040372313442442936,8.89260946283208,10,64,0.42905251833299485,59,9,12,20,33,0.140625,0.1875,0.3125,0.515625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.140625,0.1875,0.3125,0.515625,1.0,6400.0,0.5180461403507209,2.4078591372090266,0.03762279901889104,3.873715208299133,0.06052680012967395,1.6285498824361413,0.025446091913064708,8.073777869030742,10.0,64.0,0.6169038788101857,59.0,4.0,7.0,11.0,18.0,0.0625,0.109375,0.171875,0.28125,100.0,True
layer1.0.relu,act,5,64,1,False,,0,56.0,56.0,102400,0.5974483620696869,5.456476340743209,0.08525744282411264,11.875454102738642,0.18555397035529128,2.8281290925967304,0.04418951707182391,3.873893615898116,10,64,0.15362424246204398,59,18,28,45,56,0.28125,0.4375,0.703125,0.875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.12201663752319693,2.9232239910205333,0.04567537485969583,4.637233396481312,0.0724567718200205,2.075175825018099,0.032424622265907796,6.612158544384772,10.0,64.0,0.2211694892012871,59.0,5.0,9.0,20.0,42.0,0.078125,0.140625,0.3125,0.65625,100.0,True
layer1.0.conv2,conv,6,64,1,False,64.0,0,56.0,56.0,102400,2.0690914870045076,4.984569337487569,0.07788389589824327,9.325366418480815,0.14570885028876274,2.513643610601538,0.03927568141564903,7.616597218846099,10,64,0.31620695823543155,61,11,15,25,45,0.171875,0.234375,0.390625,0.703125,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.171875,0.234375,0.390625,0.703125,1.0,6400.0,0.41204202667936424,2.3064656201233,0.03603852531442656,3.4070218582353013,0.053234716534926584,1.6500915811308252,0.025782680955169144,9.433840300036154,10.0,64.0,0.4328861978610572,61.0,4.0,5.0,10.0,19.0,0.0625,0.078125,0.15625,0.296875,100.0,True
layer1.0.bn2,bn,7,64,1,False,64.0,0,56.0,56.0,102400,1.8796412264588371,8.16981361343293,0.12765333770988954,13.054397269883287,0.20397495734192636,4.107778238238581,0.06418403497247782,8.503997322819275,10,64,0.21489677292850806,61,13,17,29,47,0.203125,0.265625,0.453125,0.734375,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.203125,0.265625,0.453125,0.734375,1.0,6400.0,0.33098591764981095,3.031978716703,0.04737466744848438,4.27698512743207,0.0668278926161261,2.3966984881417934,0.03744841387721552,9.777320102322099,10.0,64.0,0.31196353917520236,61.0,4.0,6.0,11.0,22.0,0.0625,0.09375,0.171875,0.34375,100.0,True
layer1.0.relu,act,8,64,1,False,,1,56.0,56.0,102400,0.9373113199774645,5.6295418859590844,0.0879615919681107,12.970581506605294,0.20266533604070772,2.578244685367885,0.0402850732088732,5.790672520749492,10,64,0.110255072438605,60,18,24,42,56,0.28125,0.375,0.65625,0.875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.18488787514627755,2.439606312852472,0.03811884863831987,4.0493425535743075,0.06327097739959855,1.6825859084488497,0.026290404819513277,4.427595519872746,10.0,64.0,0.37655907465121785,60.0,5.0,8.0,18.0,40.0,0.078125,0.125,0.28125,0.625,100.0,True
layer1.0.conv3,conv,9,256,1,False,64.0,0,56.0,56.0,102400,1.5587384725427993,1.7794851693692142,0.006951113942848493,3.446291143352593,0.013462074778721066,1.3420341243001113,0.00524232079804731,11.81511007643146,10,256,0.7531696085460564,143,6,10,18,29,0.0234375,0.0390625,0.0703125,0.11328125,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],400.0,True,0.09375,0.15625,0.28125,0.453125,0.25,6400.0,0.40154053299978276,1.3139404026709676,0.005132579697933467,1.7945040930337681,0.007009781613413157,1.1515876786425678,0.004498389369697531,10.846863187558974,10.0,256.0,0.7424485357234305,141.0,2.0,3.0,7.0,16.0,0.0078125,0.01171875,0.02734375,0.0625,25.0,False
