layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,7.426265696023542,1.931232123273064,0.030175501926141626,3.2396887507568244,0.05062013673057538,1.4306084282935334,0.02235325669208646,3.6777783211576485,10,64,0.9325037467186277,64,4,7,18,38,0.0625,0.109375,0.28125,0.59375,1,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,7.426265696023542,1.931232123273064,0.030175501926141626,3.2396887507568244,0.05062013673057538,1.4306084282935334,0.02235325669208646,3.6777783211576485,10,64,0.9325037467186277,64,4,7,18,38,0.0625,0.109375,0.28125,0.59375,2,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,7.426265696023542,1.931232123273064,0.030175501926141626,3.2396887507568244,0.05062013673057538,1.4306084282935334,0.02235325669208646,3.6777783211576485,10,64,0.9325037467186277,64,4,7,18,38,0.0625,0.109375,0.28125,0.59375,5,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,7.653033420761299,1.9208284294109053,0.030012944209545395,3.422963637635604,0.053483806838056314,1.4143687398999414,0.022099511560936584,3.4232613957257327,10,64,0.9235564566671367,64,4,8,22,42,0.0625,0.125,0.34375,0.65625,10,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,7.689689639377165,1.8595932417148906,0.029056144401795166,3.247386172522858,0.050740408945669654,1.389423512718197,0.02170974238622183,3.323237729246196,10,64,0.925605716166935,64,4,7,21,42,0.0625,0.109375,0.328125,0.65625,25,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,7.382215416688691,1.8174825709460503,0.028398165171032035,3.233005544091473,0.05051571162642927,1.3682835642042661,0.021379430690691658,3.2764568394910567,10,64,0.9241980371325399,64,4,7,22,43,0.0625,0.109375,0.34375,0.671875,50,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,7.444847351577893,1.7613821642304583,0.02752159631610091,3.1046231157341952,0.0485097361833468,1.3446217317804299,0.021009714559069217,3.248797836153272,10,64,0.9226387393947557,64,4,7,22,43,0.0625,0.109375,0.34375,0.671875,100,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,7.458746853801674,1.7510485638801174,0.027360133810626835,3.0374293248883975,0.04745983320138121,1.341712442660674,0.02096425691657303,3.2454970805048133,10,64,0.9210604165551698,64,4,7,21,43,0.0625,0.109375,0.328125,0.671875,250,resnet50_random
bn1,bn,1,64,1,False,64.0,0,112.0,112.0,512,8.05858414793668,1.8611728848062723,0.029080826325098005,2.9935362188775416,0.04677400341996159,1.4042858067160333,0.02194196572993802,3.6345074101723744,10,64,0.9336799230445136,64,3,6,17,37,0.046875,0.09375,0.265625,0.578125,1,resnet50_random
bn1,bn,1,64,1,False,64.0,0,112.0,112.0,512,8.05858414793668,1.8611728848062723,0.029080826325098005,2.9935362188775416,0.04677400341996159,1.4042858067160333,0.02194196572993802,3.6345074101723744,10,64,0.9336799230445136,64,3,6,17,37,0.046875,0.09375,0.265625,0.578125,2,resnet50_random
