layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,7.448726685870364,1.7804658359949137,0.027819778687420527,3.0982051983048207,0.04840945622351282,1.354553472500286,0.021164898007816967,3.241014226116567,10,64,0.9227668007999618,64,4,7,21,43,0.0625,0.109375,0.328125,0.671875,resnet50_random,random_init(seed=0),imagenet_val[6400],1600.0,True,0.0625,0.109375,0.328125,0.671875,1.0,6400.0,2.068439054229267,1.6429216627991376,0.025670650981236526,1.9679310895334001,0.030748923273959377,1.3306745500665398,0.020791789844789684,6.634816392305719,10.0,64.0,0.9831337004742075,52.0,2.0,2.0,3.0,3.0,0.03125,0.03125,0.046875,0.046875,100.0,True
bn1,bn,1,64,1,False,64.0,0,112.0,112.0,102400,7.460721922619768,1.7785695123742606,0.027790148630847823,3.096475454719194,0.04838242897998741,1.3535918684299029,0.021149872944217232,3.2484588566652115,10,64,0.9234188790740749,64,4,7,21,43,0.0625,0.109375,0.328125,0.671875,resnet50_random,random_init(seed=0),imagenet_val[6400],1600.0,True,0.0625,0.109375,0.328125,0.671875,1.0,6400.0,2.068418340444028,1.642921663024689,0.025670650984760766,1.9679311015565035,0.030748923461820368,1.3306745499613384,0.020791789843145912,6.526745546959251,10.0,64.0,0.9868454531038793,53.0,2.0,2.0,3.0,3.0,0.03125,0.03125,0.046875,0.046875,100.0,True
relu,act,2,64,1,False,,0,112.0,112.0,102400,2.4467495418500986,2.952024793279777,0.04612538739499652,6.2424019443380665,0.09753753038028229,1.8073045883283292,0.028239134192630144,1.7189982694827761,10,64,0.9939471591948051,64,9,18,44,61,0.140625,0.28125,0.6875,0.953125,resnet50_random,random_init(seed=0),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.6576081280260885,2.530756658165719,0.03954307278383936,3.5497688060774664,0.05546513759496041,1.7149257821151385,0.02679571534554904,3.4216724877384754,10.0,64.0,0.9932516011301243,64.0,3.0,5.0,7.0,13.0,0.046875,0.078125,0.109375,0.203125,100.0,True
layer1.0.conv1,conv,3,64,1,False,64.0,0,56.0,56.0,102400,6.590442225151506,2.8294920437778237,0.044210813184028495,5.264056919492514,0.08225088936707053,1.7774397027679496,0.027772495355749213,3.6933892156488337,10,64,0.7336752962454622,64,6,11,28,47,0.09375,0.171875,0.4375,0.734375,resnet50_random,random_init(seed=0),imagenet_val[6400],1600.0,True,0.09375,0.171875,0.4375,0.734375,1.0,6400.0,1.8639625433820473,2.5578291015315364,0.03996607971143026,3.6358836517096815,0.056810682057963774,1.7166235084473374,0.026822242319489646,4.6984733768717435,10.0,64.0,0.8394511244243077,64.0,4.0,5.0,7.0,17.0,0.0625,0.078125,0.109375,0.265625,100.0,True
layer1.0.bn1,bn,4,64,1,False,64.0,0,56.0,56.0,102400,6.571244992254174,2.837138219670704,0.04433028468235475,5.283359270693032,0.08255248860457863,1.7799432008550597,0.02781161251336031,3.693483780974211,10,64,0.733733622611316,64,6,11,28,47,0.09375,0.171875,0.4375,0.734375,resnet50_random,random_init(seed=0),imagenet_val[6400],1600.0,True,0.09375,0.171875,0.4375,0.734375,1.0,6400.0,1.863943877361829,2.5578291064778425,0.03996607978871629,3.635883676006151,0.056810682437596106,1.716623510570851,0.026822242352669546,4.696949911248917,10.0,64.0,0.8400221748142926,64.0,4.0,5.0,7.0,17.0,0.0625,0.078125,0.109375,0.265625,100.0,True
layer1.0.relu,act,5,64,1,False,,0,56.0,56.0,102400,2.722165293341937,3.5316211153177495,0.055181579926839835,6.69578744893211,0.10462167888956422,2.069748490974967,0.03233982017148386,4.000496186295799,10,64,0.5992774619740301,64,8,15,35,51,0.125,0.234375,0.546875,0.796875,resnet50_random,random_init(seed=0),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.7926640525304626,2.846812430716664,0.044481444229947875,4.0955680312613865,0.06399325048845916,1.8561946519841726,0.029003041437252696,4.931560550244525,10.0,64.0,0.6849067643411121,64.0,4.0,5.0,9.0,27.0,0.0625,0.078125,0.140625,0.421875,100.0,True
layer1.0.conv2,conv,6,64,1,False,64.0,0,56.0,56.0,102400,5.013004147045967,4.619866869765525,0.07218541984008633,10.290943339825338,0.1607959896847709,2.3918013847516812,0.03737189663674502,1.6693974444064812,10,64,0.9935343625094855,64,15,27,51,63,0.234375,0.421875,0.796875,0.984375,resnet50_random,random_init(seed=0),imagenet_val[6400],1600.0,True,0.234375,0.421875,0.796875,0.984375,1.0,6400.0,1.3564512211390478,2.7602273389968275,0.04312855217182543,4.068254341370875,0.06356647408391992,1.8059793608442507,0.028218427513191417,4.313323746007776,10.0,64.0,0.9473224029146395,64.0,4.0,5.0,9.0,24.0,0.0625,0.078125,0.140625,0.375,100.0,True
layer1.0.bn2,bn,7,64,1,False,64.0,0,56.0,56.0,102400,5.025214629521764,4.644248087439061,0.07256637636623532,10.346450466816185,0.1616632885440029,2.399482673280915,0.037491916770014296,1.6774086718629933,10,64,0.9937854588466708,64,15,27,51,63,0.234375,0.421875,0.796875,0.984375,resnet50_random,random_init(seed=0),imagenet_val[6400],1600.0,True,0.234375,0.421875,0.796875,0.984375,1.0,6400.0,1.3564376425266524,2.760227356432735,0.04312855244426148,4.06825442524069,0.06356647539438579,1.805979367479953,0.028218427616874264,4.313294651067606,10.0,64.0,0.9473273746723128,64.0,4.0,5.0,9.0,24.0,0.0625,0.078125,0.140625,0.375,100.0,True
layer1.0.relu,act,8,64,1,False,,1,56.0,56.0,102400,2.3663161771852397,4.943217999951975,0.07723778124924961,10.260156494647916,0.16031494522887368,2.7261899046355276,0.04259671725993012,2.616676753729113,10,64,0.7345558396499416,64,15,26,44,57,0.234375,0.40625,0.6875,0.890625,resnet50_random,random_init(seed=0),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.6376179323167985,2.8370561905209764,0.044329002976890255,4.103384453420747,0.06411538208469918,1.9266170040318196,0.03010339068799718,3.9065223002042506,10.0,64.0,0.8355524640726129,64.0,4.0,6.0,11.0,29.0,0.0625,0.09375,0.171875,0.453125,100.0,True
layer1.0.conv3,conv,9,256,1,False,64.0,0,56.0,56.0,102400,5.021830752841985,4.7255969620984715,0.018459363133197154,9.482991130127171,0.03704293410205926,2.698796623608813,0.010542174310971925,10.081678488059671,10,256,0.8354440563911546,157,13,23,41,55,0.05078125,0.08984375,0.16015625,0.21484375,resnet50_random,random_init(seed=0),imagenet_val[6400],400.0,True,0.203125,0.359375,0.640625,0.859375,0.25,6400.0,1.3505728244971753,2.8566749248034267,0.011158886425013385,4.05286431238537,0.01583150122025535,1.9659535922376317,0.007679506219678249,8.898996496588095,10.0,256.0,0.8855867549009592,158.0,4.0,5.0,10.0,27.0,0.015625,0.01953125,0.0390625,0.10546875,25.0,False
