layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,102400,37.48932734447532,4.676573658771431,0.0730714634183036,5.099058130465126,0.0796727832885176,3.5474406619913377,0.05542876034361465,22.649128451077953,10,64,0.8767642733667095,32,5,5,6,8,0.078125,0.078125,0.09375,0.125,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.18518518518518517,0.18518518518518517,0.2222222222222222,0.2962962962962963,0.421875,6400.0,6.319335191506991,2.8599987370086546,0.04468748026576023,2.9363168574511036,0.045879950897673494,2.320186243355123,0.036252910052423794,17.516746098867443,10.0,64.0,0.8243952505665333,28.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
features.1,bn,1,64,1,False,27.0,0,224.0,224.0,102400,4.146989175872907,3.4780542453105343,0.0543445975829771,4.745658365934965,0.07415091196773382,2.1047319836421052,0.032886437244407894,28.768280992963682,10,64,0.7864735754456103,32,5,6,8,8,0.078125,0.09375,0.125,0.125,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.18518518518518517,0.2222222222222222,0.2962962962962963,0.2962962962962963,0.421875,6400.0,0.6296168859779622,2.0127642776504704,0.0314494418382886,2.3870419252865043,0.03729753008260163,1.5139564721539234,0.023655569877405053,24.981652458084582,10.0,64.0,0.7270372558548219,27.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
features.2,act,2,64,1,False,,0,224.0,224.0,102400,1.2902071709756453,6.341123107736252,0.09908004855837894,9.191671403784662,0.14361986568413534,3.181278631812497,0.04970747862207026,30.494629481494204,10,64,0.3587236358000584,43,9,11,15,24,0.140625,0.171875,0.234375,0.375,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.10911043071595476,4.621506456594011,0.07221103838428142,6.151674479731802,0.0961199137458094,3.030310864580316,0.047348607259067435,30.485403671620567,10.0,64.0,0.39792270066738533,43.0,5.0,7.0,13.0,24.0,0.078125,0.109375,0.203125,0.375,100.0,True
features.3,conv,3,64,1,False,64.0,0,224.0,224.0,102400,15.940044437794715,9.61938011707598,0.1503028143293122,12.873443336470618,0.2011475521323534,6.088742703718182,0.0951366047455966,6.474119173188123,10,64,0.4391016331552129,63,11,14,24,41,0.171875,0.21875,0.375,0.640625,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.171875,0.21875,0.375,0.640625,1.0,6400.0,1.732704390732415,2.8743326983834616,0.04491144841224159,3.5740545660965246,0.0558446025952582,2.171731748351369,0.03393330856799014,10.002188079891445,10.0,64.0,0.7055147309808069,62.0,3.0,4.0,6.0,13.0,0.046875,0.0625,0.09375,0.203125,100.0,True
features.4,bn,4,64,1,False,64.0,0,224.0,224.0,102400,6.107176223250063,10.603199551901918,0.16567499299846747,14.933575484158869,0.23333711693998233,6.129122566814485,0.09576754010647633,7.895027718482708,10,64,0.33147618523453914,62,14,18,27,41,0.21875,0.28125,0.421875,0.640625,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.21875,0.28125,0.421875,0.640625,1.0,6400.0,0.5547795057957592,4.001600883227633,0.06252501380043177,4.860410779367966,0.07594391842762446,3.028552374528481,0.047321130852007516,9.98477218304099,10.0,64.0,0.6686768063999278,62.0,4.0,5.0,8.0,15.0,0.0625,0.078125,0.125,0.234375,100.0,True
features.5,act,5,64,1,False,,0,224.0,224.0,102400,1.9336804480367304,15.733888760663572,0.2458420118853683,24.136971375913966,0.3771401777486557,8.660800072919765,0.13532500113937132,2.361747075709646,10,64,0.9143708656412256,62,25,33,48,60,0.390625,0.515625,0.75,0.9375,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.27528241124112934,3.709904187292184,0.05796725292644037,5.483813708995829,0.08568458920305982,2.680401630196891,0.04188127547182642,7.149405061937822,10.0,64.0,0.24970185819794177,62.0,5.0,7.0,18.0,37.0,0.078125,0.109375,0.28125,0.578125,100.0,True
features.7,conv,6,128,1,False,128.0,0,112.0,112.0,102400,23.66369017943532,11.994623304454665,0.09370799456605207,21.14534570554007,0.1651980133245318,4.835082739307239,0.03777408390083781,8.683804997023211,10,128,0.4783972135956096,118,22,30,51,83,0.171875,0.234375,0.3984375,0.6484375,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[6400],800.0,True,0.171875,0.234375,0.3984375,0.6484375,1.0,6400.0,2.630891933656665,3.145709642458122,0.024575856581704077,5.154364234299626,0.04026847058046583,1.889222660926305,0.014759552038486758,11.365530240577074,10.0,128.0,0.6077233564006073,109.0,6.0,7.0,12.0,22.0,0.046875,0.0546875,0.09375,0.171875,50.0,True
features.8,bn,7,128,1,False,128.0,0,112.0,112.0,102400,11.689146437587631,9.837861934463307,0.07685829636299459,18.666723693964073,0.14583377885909432,4.012960037451214,0.03135125029258761,11.880126383466909,10,128,0.40336144760100867,110,21,30,50,79,0.1640625,0.234375,0.390625,0.6171875,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[6400],800.0,True,0.1640625,0.234375,0.390625,0.6171875,1.0,6400.0,1.1499413872021267,1.9607485312974344,0.015318347900761206,3.442064117544008,0.026891125918312563,1.4203186684479305,0.011096239597249457,13.095085191261177,10.0,128.0,0.49162047638325435,107.0,5.0,7.0,11.0,22.0,0.0390625,0.0546875,0.0859375,0.171875,50.0,True
features.9,act,8,128,1,False,,0,112.0,112.0,102400,1.893690168771897,37.15062283288019,0.29023924088187647,53.781593480518865,0.42016869906655363,16.155552455719796,0.1262152535603109,11.47277552432964,10,128,0.24055980622883666,106,53,67,89,101,0.4140625,0.5234375,0.6953125,0.7890625,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[6400],800.0,True,,,,,,6400.0,0.073865343425672,6.627892224373764,0.05178040800292003,12.643119667573796,0.09877437240292028,3.0700704167252955,0.02398492513066637,13.219908041146716,10.0,128.0,0.2506578330079722,105.0,13.0,22.0,49.0,89.0,0.1015625,0.171875,0.3828125,0.6953125,50.0,True
features.10,conv,9,128,1,False,128.0,0,112.0,112.0,102400,12.358811137154774,26.579102421456422,0.2076492376676283,40.70480808225749,0.31800631314263667,11.349306782334514,0.08866645923698839,4.3781551895934605,10,128,0.2753128180038614,125,38,51,82,114,0.296875,0.3984375,0.640625,0.890625,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[6400],800.0,True,0.296875,0.3984375,0.640625,0.890625,1.0,6400.0,0.6285052732679688,3.98775661549976,0.031154348558591876,7.010896682633037,0.0547726303330706,2.176849401780679,0.017006635951411556,6.441912194654516,10.0,128.0,0.4650530110665154,123.0,7.0,10.0,19.0,43.0,0.0546875,0.078125,0.1484375,0.3359375,50.0,True
