layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,51200,177.5732879010734,4.624581110766196,0.07225907985572182,7.17794109939595,0.11215532967806172,2.5944676126303223,0.040538556447348786,7.237677004023919,10,64,0.51419862570492,63,7,10,20,31,0.109375,0.15625,0.3125,0.484375,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[3200],800.0,True,0.109375,0.15625,0.3125,0.484375,1.0,3200.0,34.85620517145602,2.412276368110181,0.037691818251721576,2.6326131523052303,0.04113458050476922,1.898959185613639,0.02967123727521311,8.024851766075422,10.0,64.0,0.7735201181232992,54.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,50.0,True
bn1,bn,1,64,1,False,64.0,0,112.0,112.0,51200,5.216450307855688,6.1473147512235355,0.09605179298786774,11.04823883122733,0.17262873173792703,2.8432588377502146,0.0444259193398471,6.734370184270061,10,64,0.9092406838733712,63,12,17,24,34,0.1875,0.265625,0.375,0.53125,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[3200],800.0,True,0.1875,0.265625,0.375,0.53125,1.0,3200.0,0.7065993132784714,2.2691886955411444,0.03545607336783038,2.5369805618789023,0.03964032127935785,1.750472633504815,0.027351134898512736,8.65155174389124,10.0,64.0,0.7389999214698009,52.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,50.0,True
relu,act,2,64,1,False,,0,112.0,112.0,51200,2.822738784904134,8.780890287177337,0.1372014107371459,17.27130180444358,0.26986409069443096,3.6109302009508113,0.056420784389856427,2.729899410572685,10,64,0.8510747104782963,63,21,29,45,57,0.328125,0.453125,0.703125,0.890625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[3200],800.0,True,,,,,,3200.0,0.4058304649060741,2.8936665810119737,0.04521354032831209,3.756445991810118,0.05869446862203309,2.1179195132598205,0.033092492394684696,5.395853611199985,10.0,64.0,0.3616751154772673,63.0,3.0,4.0,10.0,26.0,0.046875,0.0625,0.15625,0.40625,50.0,True
layer1.0.conv1,conv,3,64,1,False,64.0,0,56.0,56.0,51200,4.013423048566027,4.555782823506357,0.07118410661728683,7.425072061008713,0.11601675095326114,2.5254360931027358,0.039459938954730246,11.204174385563617,10,64,0.401385544130194,59,8,11,18,32,0.125,0.171875,0.28125,0.5,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[3200],800.0,True,0.125,0.171875,0.28125,0.5,1.0,3200.0,0.6043614290540894,2.52065540887373,0.03938524076365203,3.554777051076851,0.055543391423075794,1.8132826868448533,0.028332541981950832,11.40668832863645,10.0,64.0,0.4491275468398842,59.0,4.0,5.0,9.0,16.0,0.0625,0.078125,0.140625,0.25,50.0,True
layer1.0.bn1,bn,4,64,1,False,64.0,0,56.0,56.0,51200,3.2564161221784578,5.165694752733103,0.08071398051145473,8.524042686590615,0.13318816697797836,2.66885515274595,0.04170086176165547,12.34455890733453,10,64,0.3610128590788517,59,9,12,19,33,0.140625,0.1875,0.296875,0.515625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[3200],800.0,True,0.140625,0.1875,0.296875,0.515625,1.0,3200.0,0.42558921348803475,2.455182002879189,0.03836221879498733,3.8768707452358595,0.060576105394310305,1.6562686657411014,0.02587919790220471,9.843996311770892,10.0,64.0,0.4150276917980704,59.0,4.0,6.0,10.0,18.0,0.0625,0.09375,0.15625,0.28125,50.0,True
layer1.0.relu,act,5,64,1,False,,0,56.0,56.0,51200,0.6195826563844246,5.563523898831022,0.08693006091923472,12.067034852457262,0.18854741956964471,2.8745018134773224,0.04491409083558316,7.204405472344577,10,64,0.17929081718147,59,18,28,45,56,0.28125,0.4375,0.703125,0.875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[3200],800.0,True,,,,,,3200.0,0.10305570648192407,2.7970262382471915,0.04370353497261237,4.403826497362819,0.06880978902129405,1.9736318887395288,0.030837998261555137,7.845657950128583,10.0,64.0,0.23828714809609053,59.0,5.0,8.0,19.0,42.0,0.078125,0.125,0.296875,0.65625,50.0,True
layer1.0.conv2,conv,6,64,1,False,64.0,0,56.0,56.0,51200,2.136451609137495,5.0779202630461695,0.0793425041100964,9.465486043222185,0.14789821942534664,2.5424911112782675,0.03972642361372293,7.61139945639123,10,64,0.31568783530934974,61,11,15,25,46,0.171875,0.234375,0.390625,0.71875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[3200],800.0,True,0.171875,0.234375,0.390625,0.71875,1.0,3200.0,0.3547841362629983,2.223197748844905,0.03473746482570164,3.2952633610598507,0.05148849001656017,1.598622769017269,0.024978480765894828,9.409766735741961,10.0,64.0,0.43118178187211875,61.0,3.0,5.0,10.0,19.0,0.046875,0.078125,0.15625,0.296875,50.0,True
layer1.0.bn2,bn,7,64,1,False,64.0,0,56.0,56.0,51200,1.9489311558799585,8.448003287237134,0.1320000513630802,13.323115637598491,0.20817368183747642,4.182465523417844,0.06535102380340381,6.879524931948353,10,64,0.19615636769818856,61,13,17,29,47,0.203125,0.265625,0.453125,0.734375,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[3200],800.0,True,0.203125,0.265625,0.453125,0.734375,1.0,3200.0,0.2801939165351979,2.9930521071270797,0.04676643917386062,4.193626297162815,0.06552541089316899,2.278019933736031,0.03559406146462549,11.206584821840567,10.0,64.0,0.3174691023334253,61.0,4.0,6.0,11.0,21.0,0.0625,0.09375,0.171875,0.328125,50.0,True
layer1.0.relu,act,8,64,1,False,,1,56.0,56.0,51200,0.9654780465545044,5.712305392979144,0.08925477176529913,13.14017040213755,0.2053151625333992,2.5958910276864664,0.04056079730760104,7.1735212262799966,10,64,0.1453580463823676,60,18,24,42,56,0.28125,0.375,0.65625,0.875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[3200],800.0,True,,,,,,3200.0,0.15919248193033614,2.3172913602717244,0.036207677504245694,3.856814349031349,0.06026272420361483,1.61569151468053,0.02524517991688328,6.66863344779132,10.0,64.0,0.22536595199545362,60.0,5.0,7.0,17.0,39.0,0.078125,0.109375,0.265625,0.609375,50.0,True
layer1.0.conv3,conv,9,256,1,False,64.0,0,56.0,56.0,51200,1.5945071734492242,1.7955345541231933,0.007013806852043724,3.4923452296612947,0.013641973553364432,1.3482815419285574,0.0052667247731584274,11.599077409827988,10,256,0.7515011702401462,144,6,10,18,29,0.0234375,0.0390625,0.0703125,0.11328125,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[3200],200.0,True,0.09375,0.15625,0.28125,0.453125,0.25,3200.0,0.35570119223011637,1.2861311182365547,0.005023949680611542,1.7353989495033393,0.006778902146497419,1.138395937084386,0.0044468591292358825,10.914129938704443,10.0,256.0,0.723568591794829,141.0,2.0,2.0,7.0,15.0,0.0078125,0.0078125,0.02734375,0.05859375,12.5,False
layer1.0.bn3,bn,10,256,1,False,64.0,0,56.0,56.0,51200,6.793588931870586,2.2162450251090267,0.008657207129332135,4.545902127365625,0.01775743018502197,1.509403020456871,0.005896105548659652,14.186378274213427,10,256,0.6165567444669378,135,7,12,19,30,0.02734375,0.046875,0.07421875,0.1171875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[3200],200.0,True,0.109375,0.1875,0.296875,0.46875,0.25,3200.0,1.4309005000101607,1.4316270813684076,0.005592293286595342,2.026462898925879,0.007915870698929215,1.2070266497997644,0.00471494785078033,13.826309373690519,10.0,256.0,0.6083076685774771,134.0,2.0,3.0,8.0,17.0,0.0078125,0.01171875,0.03125,0.06640625,12.5,False
layer1.0.downsample.0,conv,11,256,1,False,64.0,0,56.0,56.0,51200,10.793590429922366,5.061309166533575,0.019770738931771777,8.08159283223712,0.03156872200092625,3.0015977327930314,0.011724991143722779,12.015651256583746,10,256,0.7208160478149608,144,8,12,23,41,0.03125,0.046875,0.08984375,0.16015625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[3200],200.0,True,0.125,0.1875,0.359375,0.640625,0.25,3200.0,2.2646517988716974,3.7590194132407766,0.014683669582971784,4.761548163713905,0.01859979751450744,2.5466976935763346,0.009948037865532557,10.99167927497498,10.0,256.0,0.7050354393681609,146.0,4.0,5.0,9.0,19.0,0.015625,0.01953125,0.03515625,0.07421875,12.5,False
layer1.0.downsample.1,bn,12,256,1,False,64.0,0,56.0,56.0,51200,15.901143571119196,4.995617496326411,0.019514130845025044,9.251656564468488,0.03613928345495503,2.7034111682546795,0.010560199875994842,14.549648683043682,10,256,0.5950994185460711,144,11,16,28,43,0.04296875,0.0625,0.109375,0.16796875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[3200],200.0,True,0.171875,0.25,0.4375,0.671875,0.25,3200.0,2.9137482535963124,3.1684363963797315,0.012376704673358326,4.682262409080382,0.01829008753547024,2.0526214755659744,0.008018052638929588,14.06116306194892,10.0,256.0,0.5821545927753953,146.0,5.0,6.0,12.0,22.0,0.01953125,0.0234375,0.046875,0.0859375,12.5,False
