layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112,112,51200,177.5732879010734,4.624581110766196,0.07225907985572182,7.17794109939595,0.11215532967806172,2.5944676126303223,0.040538556447348786,7.237677004023919,10,64,0.51419862570492,63,7,10,20,31,0.109375,0.15625,0.3125,0.484375,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],800.0,True,0.109375,0.15625,0.3125,0.484375,1.0,3200,34.85620517145602,2.412276368110181,0.037691818251721576,2.6326131523052303,0.04113458050476922,1.898959185613639,0.02967123727521311,8.024851766075422,10,64,0.7735201181232992,54,3,3,3,3,0.046875,0.046875,0.046875,0.046875,50.0,True
bn1,bn,1,64,1,False,64.0,0,112,112,51200,5.216508506338428,6.147387187244237,0.0960529248006912,11.048353947744044,0.17263053043350068,2.8432805145720383,0.0444262580401881,8.064499154852143,10,64,0.5256663720931285,63,12,17,24,34,0.1875,0.265625,0.375,0.53125,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],800.0,True,0.1875,0.265625,0.375,0.53125,1.0,3200,0.7066023187631593,2.269190025697753,0.03545609415152739,2.5369816934270144,0.0396403389597971,1.750473981618842,0.027351155962794405,8.550003959872097,10,64,0.756575884623403,53,3,3,3,3,0.046875,0.046875,0.046875,0.046875,50.0,True
relu,act,2,64,1,False,,0,112,112,51200,2.8227685397892683,8.7809864741979,0.13720291365934217,17.27145750545326,0.2698665235227072,3.610955979662396,0.056421187182224934,2.7299025150007727,10,64,0.8510752302079152,63,21,29,45,57,0.328125,0.453125,0.703125,0.890625,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],800.0,True,,,,,,3200,0.40583232892195603,2.8936720719053217,0.04521362612352065,3.756458763759113,0.05869466818373614,2.117921833792717,0.033092528653011204,4.1169906792899855,10,64,0.9320883820726369,63,3,4,10,26,0.046875,0.0625,0.15625,0.40625,50.0,True
layer1.0.conv1,conv,3,64,1,False,64.0,0,56,56,51200,4.0134794895654915,4.555774469015058,0.07118397607836029,7.425076636439543,0.11601682244436785,2.5254261741064132,0.03945978397041271,11.165935909360494,10,64,0.4031623811534176,59,8,11,18,32,0.125,0.171875,0.28125,0.5,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],800.0,True,0.125,0.171875,0.28125,0.5,1.0,3200,0.6043706491355757,2.52064979509784,0.03938515304840375,3.554778339945617,0.05554341156165027,1.8132738559775956,0.02833240399964993,11.46986211143214,10,64,0.4461618782358311,59,4,5,9,16,0.0625,0.078125,0.140625,0.25,50.0,True
layer1.0.bn1,bn,4,64,1,False,64.0,0,56,56,51200,3.257223102583306,5.166256657447375,0.08072276027261524,8.524840510127843,0.13320063297074755,2.6690695498917507,0.041704211717058605,10.35350841668971,10,64,0.40154944961819594,59,9,12,19,33,0.140625,0.1875,0.296875,0.515625,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],800.0,True,0.140625,0.1875,0.296875,0.515625,1.0,3200,0.4256851810155404,2.455397646818108,0.03836558823153294,3.8772291457972368,0.060581705403081824,1.656363979933269,0.025880687186457328,11.591472873048513,10,64,0.45591319537217956,59,4,6,10,18,0.0625,0.09375,0.15625,0.28125,50.0,True
layer1.0.relu,act,5,64,1,False,,0,56,56,51200,0.6197793086276869,5.564950623791832,0.08695235349674738,12.069693647065579,0.18858896323539967,2.8749757243414837,0.04492149569283568,8.556059712148986,10,64,0.20516191922118165,59,18,28,45,56,0.28125,0.4375,0.703125,0.875,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],800.0,True,,,,,,3200,0.1030784569517917,2.7973060367300007,0.04370790682390626,4.404469405391712,0.0688198344592455,1.9737601725856297,0.030840002696650465,6.543136383912839,10,64,0.22001547348952877,59,5,8,19,42,0.078125,0.125,0.296875,0.65625,50.0,True
layer1.0.conv2,conv,6,64,1,False,64.0,0,56,56,51200,2.1368247812093606,5.078149248013517,0.0793460820002112,9.466026408452654,0.14790666263207272,2.542560172959572,0.03972750270249331,7.611299818490904,10,64,0.3156792365699923,61,11,15,25,46,0.171875,0.234375,0.390625,0.71875,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],800.0,True,0.171875,0.234375,0.390625,0.71875,1.0,3200,0.35484470060030776,2.223271579568268,0.03473861843075419,3.2954322905009086,0.0514911295390767,1.5986567739379642,0.02497901209278069,9.401108259938825,10,64,0.4318183019011669,61,3,5,10,19,0.046875,0.078125,0.15625,0.296875,50.0,True
layer1.0.bn2,bn,7,64,1,False,64.0,0,56,56,51200,1.950294867311317,8.449607431806292,0.13202511612197332,13.325554585789257,0.20821179040295715,4.1833745748476705,0.06536522773199485,8.023992493579163,10,64,0.3194869330359206,61,13,17,29,47,0.203125,0.265625,0.453125,0.734375,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],800.0,True,0.203125,0.265625,0.453125,0.734375,1.0,3200,0.2803919228326969,2.99353741040526,0.046774022037582186,4.194416429035914,0.06553775670368615,2.2785406386201315,0.035602197478439554,9.690790380454406,10,64,0.4218739589545688,61,4,6,11,21,0.0625,0.09375,0.171875,0.328125,50.0,True
layer1.0.relu,act,8,64,1,False,,1,56,56,51200,0.9660089910293643,5.714236812666093,0.0892849501979077,13.144563732270248,0.20538380831672262,2.5964199708155644,0.040569062043993194,6.213332701379319,10,64,0.1817741717490321,60,18,24,42,56,0.28125,0.375,0.65625,0.875,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],800.0,True,,,,,,3200,0.1592703173335682,2.317791714995853,0.0362154955468102,3.8578954675375634,0.06027961668027443,1.6159135692032736,0.02524864951880115,5.177716528518966,10,64,0.22866514550482786,60,5,7,17,39,0.078125,0.109375,0.265625,0.609375,50.0,True
layer1.0.conv3,conv,9,256,1,False,64.0,0,56,56,51200,1.5950979438482304,1.79572385041639,0.007014546290689023,3.4930208770608804,0.013644612801019064,1.3483541864531268,0.0052670085408325264,11.424067969225007,10,256,0.7486608249505602,144,6,10,18,29,0.0234375,0.0390625,0.0703125,0.11328125,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],200.0,True,0.09375,0.15625,0.28125,0.453125,0.25,3200,0.3558237998079089,1.286195001517447,0.0050241992246775275,1.7355769821626454,0.006779597586572834,1.1384252539858122,0.004446973648382079,10.384331139543756,10,256,0.7536227364378215,142,2,2,7,15,0.0078125,0.0078125,0.02734375,0.05859375,12.5,False
layer1.0.bn3,bn,10,256,1,False,64.0,0,56,56,51200,6.806652637876658,2.2181655149856603,0.008664709042912735,4.551019307954484,0.017777419171697204,1.5101068762656924,0.005898854985412861,12.83983339027609,10,256,0.7438091297809506,135,7,12,19,30,0.02734375,0.046875,0.07421875,0.1171875,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],200.0,True,0.109375,0.1875,0.296875,0.46875,0.25,3200,1.4333221165708518,1.4322323466259703,0.0055946576040076966,2.027693152328969,0.007920676376285036,1.2073099593842944,0.0047160545288449,11.834495048582847,10,256,0.7341005392098896,134,2,3,8,17,0.0078125,0.01171875,0.03125,0.06640625,12.5,False
layer1.0.downsample.0,conv,11,256,1,False,64.0,0,56,56,51200,10.793688422241814,5.061325814480861,0.019770803962815862,8.081621636265137,0.03156883451666069,3.0016188459651367,0.011725073617051315,11.754563259345513,10,256,0.7254467195782565,146,8,12,23,41,0.03125,0.046875,0.08984375,0.16015625,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],200.0,True,0.125,0.1875,0.359375,0.640625,0.25,3200,2.2646676345434855,3.7590286023328776,0.014683705477862803,4.761559386402616,0.018599841353135218,2.5467111982022557,0.009948090617977561,11.020601420101293,10,256,0.7074769450092884,147,4,5,9,19,0.015625,0.01953125,0.03515625,0.07421875,12.5,False
layer1.0.downsample.1,bn,12,256,1,False,64.0,0,56,56,51200,15.906575574664927,4.996116202280469,0.01951607891515808,9.252894260718756,0.03614411820593264,2.7035809057015197,0.010560862912896561,12.497953630885274,10,256,0.7212932872379345,144,11,16,28,43,0.04296875,0.0625,0.109375,0.16796875,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],200.0,True,0.171875,0.25,0.4375,0.671875,0.25,3200,2.914617860774778,3.168528937039146,0.012377066160309164,4.682446425990725,0.01829080635152627,2.052671141481748,0.008018246646413077,11.885838250654677,10,256,0.6841383804895285,147,5,6,12,22,0.01953125,0.0234375,0.046875,0.0859375,12.5,False
layer1.0.relu,act,13,256,1,False,,2,56,56,51200,4.418520350437759,22.91054329144404,0.08949430973220328,42.34486365609283,0.16540962365661263,8.87532782487731,0.03466924931592699,5.687888041730673,10,256,0.18984362818695022,231,46,77,152,209,0.1796875,0.30078125,0.59375,0.81640625,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],200.0,True,,,,,,3200,0.5721550997314688,7.7691467977229305,0.030348229678605197,12.807046809871828,0.05002752660106183,4.45285224338203,0.017393954075711055,6.317666110737384,10,256,0.2841380417294368,230,12,19,47,123,0.046875,0.07421875,0.18359375,0.48046875,12.5,False
layer1.0,block,14,256,1,False,,0,56,56,51200,4.395413823460663,22.998106735653682,0.0898363544361472,42.395155498977935,0.16560607616788256,9.003605466169521,0.03517033385222469,5.265310481005003,10,256,0.20885706315860875,230,47,77,152,209,0.18359375,0.30078125,0.59375,0.81640625,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],200.0,True,,,,,,3200,0.5721550997314688,7.7691467977229305,0.030348229678605197,12.807046809871828,0.05002752660106183,4.45285224338203,0.017393954075711055,6.317666110737384,10,256,0.2841380417294368,230,12,19,47,123,0.046875,0.07421875,0.18359375,0.48046875,12.5,False
layer1.1.conv1,conv,15,64,1,False,64.0,0,56,56,51200,1.7619880854473826,6.792237102136437,0.10612870472088183,10.745654022561727,0.16790084410252698,3.4989545034596783,0.05467116411655747,8.552480061428492,10,64,0.3102646494682674,60,10,15,27,45,0.15625,0.234375,0.421875,0.703125,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],800.0,True,0.15625,0.234375,0.421875,0.703125,1.0,3200,0.17395357840897863,2.780093287875365,0.043438957623052575,4.820032816861176,0.07531301276345588,1.7663078410268247,0.027598560016044136,9.3375207857696,10,64,0.3330600050520841,60,6,8,17,32,0.09375,0.125,0.265625,0.5,50.0,True
layer1.1.bn1,bn,16,64,1,False,64.0,0,56,56,51200,2.7607221295963402,6.6164326545368946,0.10338176022713898,10.816381343574024,0.16900595849334413,3.236376587250331,0.05056838417578642,8.918976541866773,10,64,0.3050230508274575,60,11,15,27,45,0.171875,0.234375,0.421875,0.703125,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],800.0,True,0.171875,0.234375,0.421875,0.703125,1.0,3200,0.29613971711348014,2.5056270409794363,0.03915042251530369,4.519980296874104,0.07062469213865788,1.6398067258678437,0.025621980091685058,9.29789989018793,10,64,0.341187413390332,60,6,8,16,31,0.09375,0.125,0.25,0.484375,50.0,True
layer1.1.relu,act,17,64,1,False,,0,56,56,51200,0.6339017659370358,13.435715891976635,0.20993306081213492,23.439198727294254,0.3662374801139727,5.473657974275708,0.08552590584805794,3.6109016905873528,10,64,0.1211647262677823,60,26,37,52,59,0.40625,0.578125,0.8125,0.921875,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],800.0,True,,,,,,3200,0.052730625711709445,6.179653074283923,0.0965570792856863,9.87321879028551,0.1542690435982111,3.610738005223079,0.05641778133161061,6.3178000702703105,10,64,0.17649486710770723,60,10,16,33,53,0.15625,0.25,0.515625,0.828125,50.0,True
layer1.1.conv2,conv,18,64,1,False,64.0,0,56,56,51200,0.9071002002240207,19.619298344490197,0.3065515366326593,27.44859801279112,0.42888434394986125,10.226196375319804,0.15978431836437193,2.647565161384846,10,64,0.9483055914046084,64,25,33,49,61,0.390625,0.515625,0.765625,0.953125,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],800.0,True,0.390625,0.515625,0.765625,0.953125,1.0,3200,0.07105098678664849,4.863513418564575,0.07599239716507149,7.239367087915048,0.11311511074867263,3.0128611220187858,0.04707595503154353,4.615221569912072,10,64,0.971322870022119,64,7,10,18,34,0.109375,0.15625,0.28125,0.53125,50.0,True
layer1.1.bn2,bn,19,64,1,False,64.0,0,56,56,51200,2.4683866191494017,19.104453820707,0.2985070909485469,27.563732254059126,0.43068331646967384,8.427839809087265,0.13168499701698852,2.698142387290592,10,64,0.9418137723878295,64,25,33,49,61,0.390625,0.515625,0.765625,0.953125,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],800.0,True,0.390625,0.515625,0.765625,0.953125,1.0,3200,0.2078834957208044,4.860531562008768,0.075945805656387,7.33810976713343,0.11465796511145984,2.9247424688885144,0.04569910107638304,4.740535072754288,10,64,0.9728763763277719,64,7,10,18,33,0.109375,0.15625,0.28125,0.515625,50.0,True
layer1.1.relu,act,20,64,1,False,,1,56,56,51200,0.8624987357633997,25.79932565493904,0.4031144633584225,36.06187699959598,0.5634668281186872,11.070133067513632,0.1729708291799005,1.7791671509366542,10,64,0.960830803325122,64,34,44,58,64,0.53125,0.6875,0.90625,1.0,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],800.0,True,,,,,,3200,0.06257367393176838,5.4619682475667455,0.0853432538682304,8.963921689645545,0.14006127640071164,3.085634593169115,0.04821304051826742,2.67786934297047,10,64,0.9877762923155743,64,9,14,32,56,0.140625,0.21875,0.5,0.875,50.0,True
layer1.1.conv3,conv,21,256,1,False,64.0,0,56,56,51200,0.3840084827461295,13.62100905944226,0.05320706663844633,20.824481596836236,0.08134563123764155,5.3164787640251445,0.02076749517197322,11.120179961473138,10,256,0.8351099054913561,153,19,25,39,56,0.07421875,0.09765625,0.15234375,0.21875,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],200.0,True,0.296875,0.390625,0.609375,0.875,0.25,3200,0.03426012155381194,2.9702058532866857,0.011602366614401116,5.003902581831976,0.019546494460281155,1.8835503116165868,0.007357618404752292,11.454991966199438,10,256,0.8478864338311836,144,5,8,18,38,0.01953125,0.03125,0.0703125,0.1484375,12.5,False
layer1.1.bn3,bn,22,256,1,False,64.0,0,56,56,51200,3.001014028475095,16.61573329116024,0.06490520816859469,22.426158997325654,0.08760218358330334,8.017219076319176,0.03131726201687178,13.15360015159803,10,256,0.850212333334167,134,19,25,39,55,0.07421875,0.09765625,0.15234375,0.21484375,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],200.0,True,0.296875,0.390625,0.609375,0.859375,0.25,3200,0.21094495660877485,3.8107559376237132,0.01488576538134263,6.272475193802119,0.02450185622578953,2.271311836349498,0.008872311860740226,13.359022285748447,10,256,0.8452039271225864,127,6,10,21,39,0.0234375,0.0390625,0.08203125,0.15234375,12.5,False
layer1.1.relu,act,23,256,1,False,,2,56,56,51200,5.497213138307997,35.350613832290826,0.13808833528238604,61.61792563955473,0.24069502202951065,15.159573926670081,0.059217085651055004,2.7680311029897604,10,256,0.20750118891693514,248,66,104,183,231,0.2578125,0.40625,0.71484375,0.90234375,tvdet:fasterrcnn_resnet50_fpn,torchvision/fasterrcnn_resnet50_fpn.DEFAULT (backbone.body),imagenet_val[3200],200.0,True,,,,,,3200,0.5518924457925771,8.930234835087367,0.03488372982456003,15.342177182692973,0.059930379619894426,4.750492164192727,0.01855661001637784,3.8309751622783423,10,256,0.28325357081852287,248,15,24,61,154,0.05859375,0.09375,0.23828125,0.6015625,12.5,False
