layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112,112,512,183.63743929480682,4.5571245792941015,0.07120507155147034,7.130926290586585,0.11142072329041539,2.5199276088337816,0.03937386888802784,7.486208174183963,10,64,0.5223795550656236,63,7,10,19,30,0.109375,0.15625,0.296875,0.46875,1,tvdet:maskrcnn_resnet50_fpn
conv1,conv,0,64,1,False,64.0,0,112,112,512,183.63743929480682,4.5571245792941015,0.07120507155147034,7.130926290586585,0.11142072329041539,2.5199276088337816,0.03937386888802784,7.486208174183963,10,64,0.5223795550656236,63,7,10,19,30,0.109375,0.15625,0.296875,0.46875,2,tvdet:maskrcnn_resnet50_fpn
conv1,conv,0,64,1,False,64.0,0,112,112,512,183.63743929480682,4.5571245792941015,0.07120507155147034,7.130926290586585,0.11142072329041539,2.5199276088337816,0.03937386888802784,7.486208174183963,10,64,0.5223795550656236,63,7,10,19,30,0.109375,0.15625,0.296875,0.46875,5,tvdet:maskrcnn_resnet50_fpn
conv1,conv,0,64,1,False,64.0,0,112,112,1024,175.44594661635674,4.6103676126713085,0.0720369939479892,7.166991741094955,0.11198424595460867,2.553705628056947,0.039901650438389794,7.367472843169207,10,64,0.5404681079043641,63,7,10,19,30,0.109375,0.15625,0.296875,0.46875,10,tvdet:maskrcnn_resnet50_fpn
conv1,conv,0,64,1,False,64.0,0,112,112,2048,181.61671780885158,4.615125232280344,0.07211133175438038,7.167071566999476,0.11198549323436681,2.5741045831299894,0.040220384111406084,7.41061014794022,10,64,0.5122835991492969,63,7,10,19,31,0.109375,0.15625,0.296875,0.484375,25,tvdet:maskrcnn_resnet50_fpn
conv1,conv,0,64,1,False,64.0,0,112,112,3584,180.19149076998707,4.6184091240091325,0.0721626425626427,7.140920367289588,0.1115768807388998,2.5936257920011307,0.04052540300001767,6.088568838383088,10,64,0.9167059835432692,63,7,10,19,31,0.109375,0.15625,0.296875,0.484375,50,tvdet:maskrcnn_resnet50_fpn
conv1,conv,0,64,1,False,64.0,0,112,112,6656,178.67281718415924,4.546239501638383,0.07103499221309974,7.054107435779425,0.11022042868405352,2.5704831864079782,0.04016379978762466,7.342369575675645,10,64,0.4973932342938169,63,7,10,19,31,0.109375,0.15625,0.296875,0.484375,100,tvdet:maskrcnn_resnet50_fpn
conv1,conv,0,64,1,False,64.0,0,112,112,16384,177.71013928597557,4.6752983286109515,0.07305153638454612,7.230725651114221,0.1129800882986597,2.6400507652219027,0.04125079320659223,7.294048095445619,10,64,0.509211776993404,63,7,10,20,31,0.109375,0.15625,0.3125,0.484375,250,tvdet:maskrcnn_resnet50_fpn
bn1,bn,1,64,1,False,64.0,0,112,112,512,5.26456127334714,5.543196186822892,0.08661244041910769,9.968286101065509,0.15575447032914858,2.6591416275271174,0.04154908793011121,6.895590392762948,10,64,0.9128942810037525,63,11,15,23,33,0.171875,0.234375,0.359375,0.515625,1,tvdet:maskrcnn_resnet50_fpn
bn1,bn,1,64,1,False,64.0,0,112,112,512,5.26456127334714,5.543196186822892,0.08661244041910769,9.968286101065509,0.15575447032914858,2.6591416275271174,0.04154908793011121,6.895590392762948,10,64,0.9128942810037525,63,11,15,23,33,0.171875,0.234375,0.359375,0.515625,2,tvdet:maskrcnn_resnet50_fpn
bn1,bn,1,64,1,False,64.0,0,112,112,512,5.26456127334714,5.543196186822892,0.08661244041910769,9.968286101065509,0.15575447032914858,2.6591416275271174,0.04154908793011121,6.895590392762948,10,64,0.9128942810037525,63,11,15,23,33,0.171875,0.234375,0.359375,0.515625,5,tvdet:maskrcnn_resnet50_fpn
bn1,bn,1,64,1,False,64.0,0,112,112,1024,4.96791687693708,5.4680853268622505,0.08543883323222266,10.03699212359711,0.15682800193120483,2.619578293010005,0.040930910828281326,6.900677469452535,10,64,0.9119091000719489,63,11,16,23,33,0.171875,0.25,0.359375,0.515625,10,tvdet:maskrcnn_resnet50_fpn
bn1,bn,1,64,1,False,64.0,0,112,112,2048,5.105156129103453,5.585531641454014,0.08727393189771897,10.273716070515464,0.16052681360180412,2.6555923827592727,0.041493630980613636,6.808810754797585,10,64,0.9084185080108341,63,12,16,24,34,0.1875,0.25,0.375,0.53125,25,tvdet:maskrcnn_resnet50_fpn
bn1,bn,1,64,1,False,64.0,0,112,112,3584,5.111278763172688,5.98777019758736,0.0935589093373025,10.795555566113897,0.16868055572052965,2.793509702839494,0.04364858910686709,8.090226694324178,10,64,0.5386166635963952,63,12,16,24,34,0.1875,0.25,0.375,0.53125,50,tvdet:maskrcnn_resnet50_fpn
bn1,bn,1,64,1,False,64.0,0,112,112,6656,5.135683164590295,5.942412725795776,0.092850198840559,10.738524094553563,0.16778943897739942,2.782420709500747,0.043475323585949174,6.7758882621917325,10,64,0.9102564703975927,63,12,16,24,34,0.1875,0.25,0.375,0.53125,100,tvdet:maskrcnn_resnet50_fpn
bn1,bn,1,64,1,False,64.0,0,112,112,16384,5.220664750676118,6.334547369950998,0.09897730265548435,11.216573626353991,0.1752589629117811,2.919508747021378,0.04561732417220903,7.984733431411411,10,64,0.5576685423541389,63,12,17,24,34,0.1875,0.265625,0.375,0.53125,250,tvdet:maskrcnn_resnet50_fpn
relu,act,2,64,1,False,,0,112,112,512,3.1133459405189865,9.395786220704261,0.14680915969850408,16.807197733475085,0.2626124645855482,3.93207175892642,0.06143862123322531,4.540093392680411,10,64,0.22363644347073408,63,18,26,42,55,0.28125,0.40625,0.65625,0.859375,1,tvdet:maskrcnn_resnet50_fpn
relu,act,2,64,1,False,,0,112,112,512,3.1133459405189865,9.395786220704261,0.14680915969850408,16.807197733475085,0.2626124645855482,3.93207175892642,0.06143862123322531,4.540093392680411,10,64,0.22363644347073408,63,18,26,42,55,0.28125,0.40625,0.65625,0.859375,2,tvdet:maskrcnn_resnet50_fpn
