layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,142.72289114315686,16.524505434775513,0.2581953974183674,21.615911254203297,0.3377486133469265,9.226402282427703,0.14416253566293286,5.979906557633583,10,64,0.40101374629210196,63,19,24,33,47,0.296875,0.375,0.515625,0.734375,1,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,142.72289114315686,16.524505434775513,0.2581953974183674,21.615911254203297,0.3377486133469265,9.226402282427703,0.14416253566293286,5.979906557633583,10,64,0.40101374629210196,63,19,24,33,47,0.296875,0.375,0.515625,0.734375,2,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,142.72289114315686,16.524505434775513,0.2581953974183674,21.615911254203297,0.3377486133469265,9.226402282427703,0.14416253566293286,5.979906557633583,10,64,0.40101374629210196,63,19,24,33,47,0.296875,0.375,0.515625,0.734375,5,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,143.96509081556547,16.58993158675564,0.25921768104305687,21.77277322924042,0.3401995817068816,9.163098551794423,0.14317341487178786,5.938977379331622,10,64,0.39671475057852734,63,19,24,33,47,0.296875,0.375,0.515625,0.734375,10,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,143.73733136097613,16.75799468805413,0.26184366700084577,21.937455418480596,0.3427727409137593,9.606739256757114,0.1501053008868299,5.920576663191291,10,64,0.3958117641528691,63,19,24,33,48,0.296875,0.375,0.515625,0.75,25,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,143.0020094990591,16.869439879764606,0.26358499812132197,22.042421396813985,0.3444128343252185,9.604916039126062,0.15007681311134471,5.935701206911334,10,64,0.3893312676209806,63,19,24,33,48,0.296875,0.375,0.515625,0.75,50,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,142.76683267353133,16.91979281692912,0.2643717627645175,22.08173523532551,0.3450271130519611,9.6715257889926,0.15111759045300938,5.907572916782736,10,64,0.3962727464118966,63,19,24,33,48,0.296875,0.375,0.515625,0.75,100,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,142.11120087277203,16.973994556399088,0.26521866494373575,22.13959726966512,0.3459312073385175,9.805391648096563,0.1532092445015088,5.910174569302228,10,64,0.39319062855903375,63,19,24,33,48,0.296875,0.375,0.515625,0.75,250,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,512,6.685289685805774,14.828119309745752,0.23168936421477737,21.453275721607767,0.33520743315012136,6.906281221195536,0.10791064408118024,6.064734047191416,10,64,0.28307411643373326,60,21,27,37,47,0.328125,0.421875,0.578125,0.734375,1,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,512,6.685289685805774,14.828119309745752,0.23168936421477737,21.453275721607767,0.33520743315012136,6.906281221195536,0.10791064408118024,6.064734047191416,10,64,0.28307411643373326,60,21,27,37,47,0.328125,0.421875,0.578125,0.734375,2,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,512,6.685289685805774,14.828119309745752,0.23168936421477737,21.453275721607767,0.33520743315012136,6.906281221195536,0.10791064408118024,6.064734047191416,10,64,0.28307411643373326,60,21,27,37,47,0.328125,0.421875,0.578125,0.734375,5,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,1024,6.728665220967587,14.756625631880809,0.23057227549813764,21.479302112233754,0.3356140955036524,6.643067087231397,0.10379792323799057,9.011530946434792,10,64,0.2710017282632331,60,21,27,37,47,0.328125,0.421875,0.578125,0.734375,10,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,2048,6.822895452946157,14.607378870873475,0.22824029485739805,21.435999825908358,0.3349374972798181,6.372103167278541,0.09956411198872721,7.714611939210208,10,64,0.28003345921650846,61,21,27,37,47,0.328125,0.421875,0.578125,0.734375,25,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,3584,6.804214542115409,14.714927346140481,0.22992073978344502,21.504890700717507,0.33601391719871104,6.451730089660786,0.10080828265094978,7.752121684493986,10,64,0.27740579573372215,61,21,27,37,48,0.328125,0.421875,0.578125,0.75,50,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,6656,6.785330225535828,14.569115172085546,0.22764242456383665,21.47207652627277,0.335501195723012,6.233459004277563,0.09739779694183692,7.5910491768919215,10,64,0.2910414916235049,61,21,27,37,48,0.328125,0.421875,0.578125,0.75,100,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,16384,6.773839664308045,14.418338965922093,0.2252865463425327,21.3942671512856,0.3342854242388375,6.070818078060531,0.0948565324696958,5.990786948253043,10,64,0.3536127631200079,61,21,27,37,48,0.328125,0.421875,0.578125,0.75,250,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,1.9743669223178912,8.01723579769215,0.12526930933893984,11.618847180091475,0.1815444871889293,4.463428181624032,0.0697410653378755,12.562566062549962,10,64,0.4129527409015241,59,11,16,26,37,0.171875,0.25,0.40625,0.578125,1,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,1.9743669223178912,8.01723579769215,0.12526930933893984,11.618847180091475,0.1815444871889293,4.463428181624032,0.0697410653378755,12.562566062549962,10,64,0.4129527409015241,59,11,16,26,37,0.171875,0.25,0.40625,0.578125,2,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,1.9743669223178912,8.01723579769215,0.12526930933893984,11.618847180091475,0.1815444871889293,4.463428181624032,0.0697410653378755,12.562566062549962,10,64,0.4129527409015241,59,11,16,26,37,0.171875,0.25,0.40625,0.578125,5,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,2.0343298849074425,7.841032495302124,0.12251613273909569,11.44524790622154,0.17883199853471157,4.289600628501895,0.06702500982034211,11.497436676695273,10,64,0.40133689411526097,59,11,16,25,37,0.171875,0.25,0.390625,0.578125,10,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,2048,2.0980216587076437,7.800625045776158,0.12188476634025247,11.354832115001747,0.1774192517969023,4.330914696448412,0.06767054213200643,10.438691562597205,10,64,0.3905259177740602,59,11,16,25,37,0.171875,0.25,0.390625,0.578125,25,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,3584,2.1244128832211513,7.706070545221865,0.12040735226909165,11.265230860920443,0.17601923220188193,4.207739544134808,0.06574593037710638,10.539650622495964,10,64,0.38382328606908034,59,11,16,25,37,0.171875,0.25,0.390625,0.578125,50,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,6656,2.1221374034426335,7.697617930630491,0.12027528016610142,11.293623479254993,0.17646286686335927,4.150574559471896,0.06485272749174838,10.422728860558408,10,64,0.38857258850759024,59,11,16,25,37,0.171875,0.25,0.390625,0.578125,100,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,16384,2.115878937524503,7.680426669570271,0.12000666671203548,11.280178535197422,0.17625278961245971,4.14079070484133,0.06469985476314578,10.468557823010931,10,64,0.386669809545362,59,11,16,25,37,0.171875,0.25,0.390625,0.578125,250,resnet50
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,512,0.30718063991828803,6.095025468972851,0.0952347729527008,10.87806483467276,0.16996976304176187,2.9086850108390343,0.04544820329435991,36.66973494608571,10,64,0.37997382793660806,44,12,16,26,35,0.1875,0.25,0.40625,0.546875,1,resnet50
