layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,141.85566744575488,16.997946123033838,0.2655929081724037,22.166396234733053,0.34634994116770396,9.777575751344672,0.1527746211147605,5.892635524911216,10,64,0.39724017713209425,63,19,24,33,48,0.296875,0.375,0.515625,0.75,resnet50,ResNet50_Weights.IMAGENET1K_V1,gaussian,1600.0,True,0.296875,0.375,0.515625,0.75,1.0,6400.0,0.009507928782878716,3.3968126772510985,0.053075198082048414,4.420602403426954,0.06907191255354615,2.1651789413242852,0.03383092095819196,6.014160480756711,10.0,64.0,0.9511185316672166,63.0,4.0,5.0,8.0,19.0,0.0625,0.078125,0.125,0.296875,100.0,True
relu,act,1,64,1,False,,0,112.0,112.0,102400,6.765330774601637,14.524899134117046,0.22695154897057884,21.485788383719168,0.335715443495612,6.127969072228073,0.09574951675356363,6.739894808742825,10,64,0.3919038827110686,63,21,27,37,48,0.328125,0.421875,0.578125,0.75,resnet50,ResNet50_Weights.IMAGENET1K_V1,gaussian,1600.0,True,,,,,,6400.0,0.00037865423515411365,9.980012105259837,0.15593768914468495,15.587007156748355,0.24354698682419304,5.36359086622147,0.08380610728471047,6.864839171999222,10.0,64.0,0.4112908811501823,63.0,16.0,22.0,34.0,46.0,0.25,0.34375,0.53125,0.71875,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,102400,2.137421603505026,7.651300583201591,0.11955157161252486,11.234598350259816,0.17554059922280962,4.123561516484496,0.06443064869507024,10.445181404028386,10,64,0.3878592868956948,59,11,16,25,37,0.171875,0.25,0.390625,0.578125,resnet50,ResNet50_Weights.IMAGENET1K_V1,gaussian,1600.0,True,0.171875,0.25,0.390625,0.578125,1.0,6400.0,0.001897708610355235,7.482076245351355,0.11690744133361493,10.511677235223317,0.16424495680036433,4.302529710887516,0.06722702673261743,11.506528152289489,10.0,64.0,0.3956865656750439,59.0,9.0,13.0,24.0,37.0,0.140625,0.203125,0.375,0.578125,100.0,True
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,102400,0.3031462868650092,5.886216093045636,0.09197212645383807,10.838345752953545,0.16934915238989914,2.8035187684004503,0.043804980756257036,25.78822091025905,10,64,0.38383403917319825,51,13,17,27,36,0.203125,0.265625,0.421875,0.5625,resnet50,ResNet50_Weights.IMAGENET1K_V1,gaussian,1600.0,True,,,,,,6400.0,0.00024565989302207096,5.434339838758773,0.08491155998060583,9.396077673973545,0.14681371365583665,2.7424025426273726,0.0428500397285527,18.28960579235743,10.0,64.0,0.3370719413625308,56.0,10.0,14.0,24.0,34.0,0.15625,0.21875,0.375,0.53125,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,102400,0.5798449463414976,6.549248202458171,0.10233200316340892,11.325439688108808,0.17695999512670013,3.1776516657250484,0.04965080727695388,7.269305641863412,10,64,0.2980659664958232,61,12,17,30,49,0.1875,0.265625,0.46875,0.765625,resnet50,ResNet50_Weights.IMAGENET1K_V1,gaussian,1600.0,True,0.1875,0.265625,0.46875,0.765625,1.0,6400.0,0.000486532172344946,3.063254651165106,0.04786335392445478,5.057581579308259,0.07902471217669155,1.8785979398365626,0.02935309280994629,8.3051744659418,10.0,64.0,0.3603368609609712,61.0,5.0,7.0,15.0,29.0,0.078125,0.109375,0.234375,0.453125,100.0,True
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,102400,0.29474986535590453,8.10103988355057,0.12657874818047765,13.806032214320474,0.2157192533487574,3.695686336570254,0.05774509900891022,12.05463100976571,10,64,0.23302041620014735,55,14,20,33,45,0.21875,0.3125,0.515625,0.703125,resnet50,ResNet50_Weights.IMAGENET1K_V1,gaussian,1600.0,True,,,,,,6400.0,0.00018743298384653253,4.113064625047288,0.06426663476636388,6.828420911010134,0.10669407673453335,2.522380789184385,0.039412199831006016,12.117719893619427,10.0,64.0,0.2541830144997699,57.0,7.0,12.0,27.0,42.0,0.109375,0.1875,0.421875,0.65625,100.0,True
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,102400,0.1734885965055639,6.845791962962788,0.02674137485532339,10.46760754266697,0.04088909196354285,3.4067099993366456,0.013307460934908772,12.61042531457969,10,256,0.7509130403245236,137,10,13,21,32,0.0390625,0.05078125,0.08203125,0.125,resnet50,ResNet50_Weights.IMAGENET1K_V1,gaussian,400.0,True,0.15625,0.203125,0.328125,0.5,0.25,6400.0,8.740309494461657e-05,4.392176647776132,0.017156940030375517,6.434908882156789,0.025136362820924955,2.709047789155056,0.010582217926386937,12.24262860431284,10.0,256.0,0.7796341260921008,144.0,6.0,9.0,18.0,30.0,0.0234375,0.03515625,0.0703125,0.1171875,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,3.818955279587837,13.046893495391858,0.050964427716374446,18.87713144652733,0.07373879471299738,6.2467075497639,0.024401201366265234,13.527085258331768,10,256,0.7550361118503778,144,17,23,35,48,0.06640625,0.08984375,0.13671875,0.1875,resnet50,ResNet50_Weights.IMAGENET1K_V1,gaussian,400.0,True,0.265625,0.359375,0.546875,0.75,0.25,6400.0,0.003409562283772346,12.489859766206173,0.048788514711742864,17.600720977431283,0.06875281631809095,6.430751548763597,0.0251201232373578,13.196724331797894,10.0,256.0,0.7694419272655199,156.0,16.0,21.0,33.0,46.0,0.0625,0.08203125,0.12890625,0.1796875,25.0,False
layer1.0.relu,act,8,256,1,False,,2,56.0,56.0,102400,2.9220695543504394,19.57654155231712,0.07647086543873875,31.913185603883083,0.12466088126516829,8.55309613346727,0.03341053177135652,8.768051678623074,10,256,0.2821548075160355,216,30,44,94,147,0.1171875,0.171875,0.3671875,0.57421875,resnet50,ResNet50_Weights.IMAGENET1K_V1,gaussian,400.0,True,,,,,,6400.0,0.0023135983944734687,14.450564873422321,0.05644751903680594,21.86181124104141,0.085397700160318,7.740881739554101,0.03023781929513321,8.325628794583968,10.0,256.0,0.318178247885912,222.0,19.0,29.0,71.0,133.0,0.07421875,0.11328125,0.27734375,0.51953125,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,2.9153076010880072,19.563751055036427,0.07642090255873604,31.913287403652493,0.12466127892051755,8.556535889036022,0.03342396831654696,8.23432971985166,10,256,0.29323684517854554,214,30,45,94,147,0.1171875,0.17578125,0.3671875,0.57421875,resnet50,ResNet50_Weights.IMAGENET1K_V1,gaussian,400.0,True,,,,,,6400.0,0.0023135983944734687,14.450564873422321,0.05644751903680594,21.86181124104141,0.085397700160318,7.740881739554101,0.03023781929513321,8.325628794583968,10.0,256.0,0.318178247885912,222.0,19.0,29.0,71.0,133.0,0.07421875,0.11328125,0.27734375,0.51953125,25.0,False
