layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,5.814171852664238,40.23397618954673,0.6286558779616677,48.339912798443734,0.7553111374756833,21.0372431831243,0.3287069247363172,1.415405830216144,10,64,0.8890992059015341,64,43,50,60,64,0.671875,0.78125,0.9375,1.0,1,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,5.814171852664238,40.23397618954673,0.6286558779616677,48.339912798443734,0.7553111374756833,21.0372431831243,0.3287069247363172,1.415405830216144,10,64,0.8890992059015341,64,43,50,60,64,0.671875,0.78125,0.9375,1.0,2,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,5.814171852664238,40.23397618954673,0.6286558779616677,48.339912798443734,0.7553111374756833,21.0372431831243,0.3287069247363172,1.415405830216144,10,64,0.8890992059015341,64,43,50,60,64,0.671875,0.78125,0.9375,1.0,5,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,5.8122030785907715,42.27898218018967,0.6606090965654636,49.84057344439174,0.7787589600686209,22.187055445875423,0.3466727413418035,1.3470732649182204,10,64,0.8866859888016013,64,44,51,60,64,0.6875,0.796875,0.9375,1.0,10,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,5.831741076406111,43.05769495777177,0.672776483715184,50.44224909550435,0.7881601421172555,22.493796568875506,0.3514655713886798,1.311045293158102,10,64,0.8836096980502626,64,44,51,61,64,0.6875,0.796875,0.953125,1.0,25,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,5.799016349753352,43.725709993014995,0.6832142186408593,50.90921052811821,0.795456414501847,22.797672183782232,0.3562136278715974,1.2969297450944635,10,64,0.8836925426292237,64,44,51,61,64,0.6875,0.796875,0.953125,1.0,50,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,5.821850406119056,43.81992122680346,0.684686269168804,51.00354720301211,0.7969304250470642,22.520825256142015,0.351887894627219,1.2896550310641257,10,64,0.882588317645937,64,44,52,61,64,0.6875,0.8125,0.953125,1.0,100,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,5.812473039719759,44.033680275480805,0.6880262543043876,51.140316070237105,0.7990674385974548,23.080395149268742,0.3606311742073241,1.2849502862456978,10,64,0.8822643899707276,64,44,52,61,64,0.6875,0.8125,0.953125,1.0,250,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,512,1.9954329507458235,45.65308835471949,0.7133295055424921,52.93426097064744,0.8270978276663663,24.090511567143917,0.3764142432366237,1.0561513251875834,10,64,0.9390926011873061,64,47,54,62,64,0.734375,0.84375,0.96875,1.0,1,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,512,1.9954329507458235,45.65308835471949,0.7133295055424921,52.93426097064744,0.8270978276663663,24.090511567143917,0.3764142432366237,1.0561513251875834,10,64,0.9390926011873061,64,47,54,62,64,0.734375,0.84375,0.96875,1.0,2,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,512,1.9954329507458235,45.65308835471949,0.7133295055424921,52.93426097064744,0.8270978276663663,24.090511567143917,0.3764142432366237,1.0561513251875834,10,64,0.9390926011873061,64,47,54,62,64,0.734375,0.84375,0.96875,1.0,5,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,1024,1.970749632535484,48.46150766943138,0.7572110573348653,54.96370728739295,0.8588079263655148,24.39688804185496,0.38120137565398377,0.9304112468992083,10,64,0.9399383148969433,64,49,56,62,64,0.765625,0.875,0.96875,1.0,10,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,2048,1.9881539167234052,49.90220906798751,0.7797220166873049,55.903092130259004,0.873485814535297,26.882203400249068,0.4200344281288917,0.8747928244639374,10,64,0.9379971779322683,64,50,56,63,64,0.78125,0.875,0.984375,1.0,25,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,3584,1.9880711941187885,50.484442432549635,0.788819413008588,56.26841359252037,0.8791939623831307,27.121644618649253,0.42377569716639457,0.852718014479603,10,64,0.9375571204337502,64,50,56,63,64,0.78125,0.875,0.984375,1.0,50,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,6656,1.986943028798013,50.747742799398054,0.7929334812405946,56.44869546038354,0.8820108665684928,27.4368304124214,0.4287004751940844,0.8393940788671878,10,64,0.9391910778502376,64,50,56,63,64,0.78125,0.875,0.984375,1.0,100,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,16384,1.9857711532750921,51.07633381435565,0.798067715849307,56.66687118076524,0.8854198621994569,27.44367066181124,0.4288073540908006,0.8259200506659761,10,64,0.9399746905124006,64,50,57,63,64,0.78125,0.890625,0.984375,1.0,250,resnet50_random
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,4.21121605128458,27.22575471484075,0.4254024174193867,34.76078612595804,0.5431372832180944,13.190519968794087,0.2061018745124076,3.384598698022443,10,64,0.68188156606971,64,31,37,48,57,0.484375,0.578125,0.75,0.890625,1,resnet50_random
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,4.21121605128458,27.22575471484075,0.4254024174193867,34.76078612595804,0.5431372832180944,13.190519968794087,0.2061018745124076,3.384598698022443,10,64,0.68188156606971,64,31,37,48,57,0.484375,0.578125,0.75,0.890625,2,resnet50_random
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,4.21121605128458,27.22575471484075,0.4254024174193867,34.76078612595804,0.5431372832180944,13.190519968794087,0.2061018745124076,3.384598698022443,10,64,0.68188156606971,64,31,37,48,57,0.484375,0.578125,0.75,0.890625,5,resnet50_random
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,4.214438192970761,28.03108381734468,0.4379856846460106,35.52933405173088,0.555145844558295,13.693889908710942,0.21396702982360846,3.346370172125478,10,64,0.6754131635616261,64,31,37,48,57,0.484375,0.578125,0.75,0.890625,10,resnet50_random
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,2048,4.213665325364594,28.161792148473847,0.44002800231990385,35.7279982875008,0.5582499732422,13.411774672833719,0.20955897926302686,3.3249090047136987,10,64,0.6742195405625527,64,31,37,48,57,0.484375,0.578125,0.75,0.890625,25,resnet50_random
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,3584,4.201954738793312,28.508018965505364,0.4454377963360213,35.98008379575367,0.5621888093086511,13.894278309030655,0.217098098578604,3.319462993352101,10,64,0.6733935954570205,64,31,38,48,57,0.484375,0.59375,0.75,0.890625,50,resnet50_random
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,6656,4.199873735689535,28.645413038415974,0.4475845787252496,36.094420862997914,0.5639753259843424,13.97272076433611,0.21832376194275172,3.3080116363205847,10,64,0.6716446584462762,64,31,38,48,57,0.484375,0.59375,0.75,0.890625,100,resnet50_random
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,16384,4.202038659622738,28.61355824115996,0.4470868475181244,36.112692851719046,0.5642608258081101,13.936545585682024,0.21775852477628163,3.303474465823814,10,64,0.6703976424638904,64,32,38,48,57,0.5,0.59375,0.75,0.890625,250,resnet50_random
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,512,2.0206021058216868,21.39713989548627,0.33433031086697296,27.678418052470533,0.4324752820698521,9.7996726693979,0.1531198854593422,10.0909398679175,10,64,0.16301347945075217,54,24,30,40,48,0.375,0.46875,0.625,0.75,1,resnet50_random
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,512,2.0206021058216868,21.39713989548627,0.33433031086697296,27.678418052470533,0.4324752820698521,9.7996726693979,0.1531198854593422,10.0909398679175,10,64,0.16301347945075217,54,24,30,40,48,0.375,0.46875,0.625,0.75,2,resnet50_random
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,512,2.0206021058216868,21.39713989548627,0.33433031086697296,27.678418052470533,0.4324752820698521,9.7996726693979,0.1531198854593422,10.0909398679175,10,64,0.16301347945075217,54,24,30,40,48,0.375,0.46875,0.625,0.75,5,resnet50_random
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,1024,2.063610106990611,21.842651411610714,0.3412914283064174,28.00987379308239,0.43765427801691237,10.424627975535607,0.16288481211774386,16.48755949816517,10,64,0.23142464039260868,56,24,30,40,48,0.375,0.46875,0.625,0.75,10,resnet50_random
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,2048,2.0756158640743223,21.612056746065385,0.33768838665727163,27.933290690545633,0.4364576670397755,10.107482361158105,0.1579294118930954,14.934832638997204,10,64,0.20428405528010307,56,24,30,40,48,0.375,0.46875,0.625,0.75,25,resnet50_random
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,3584,2.070091250611291,21.708567085616632,0.3391963607127599,28.025957070493536,0.4379055792264615,10.182580418366188,0.15910281903697168,15.05465565126695,10,64,0.20677469802166715,56,24,30,40,48,0.375,0.46875,0.625,0.75,50,resnet50_random
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,6656,2.0663760212450075,21.849189151357496,0.3413935804899609,28.116216237757655,0.43931587871496336,10.41684237191706,0.16276316206120406,11.486912242293478,10,64,0.20915346146756675,57,24,30,40,48,0.375,0.46875,0.625,0.75,100,resnet50_random
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,16384,2.076148723877128,21.96519216402215,0.3432061275628461,28.231227091014194,0.4411129232970968,10.57803229755773,0.16528175464933953,7.970654427160983,10,64,0.3035187732544098,58,24,30,40,48,0.375,0.46875,0.625,0.75,250,resnet50_random
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,512,4.625320695850947,29.118885184549328,0.45498258100858324,42.84336024871403,0.6694275038861567,9.442546760800637,0.14753979313750995,1.2463242987795522,10,64,0.9189783921128609,64,43,51,61,64,0.671875,0.796875,0.953125,1.0,1,resnet50_random
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,512,4.625320695850947,29.118885184549328,0.45498258100858324,42.84336024871403,0.6694275038861567,9.442546760800637,0.14753979313750995,1.2463242987795522,10,64,0.9189783921128609,64,43,51,61,64,0.671875,0.796875,0.953125,1.0,2,resnet50_random
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,512,4.625320695850947,29.118885184549328,0.45498258100858324,42.84336024871403,0.6694275038861567,9.442546760800637,0.14753979313750995,1.2463242987795522,10,64,0.9189783921128609,64,43,51,61,64,0.671875,0.796875,0.953125,1.0,5,resnet50_random
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,1024,4.591084471366523,30.265727191351292,0.47290198736486394,44.06363747192457,0.6884943354988214,10.22420400795233,0.15975318762425517,1.1535213644521976,10,64,0.93052996515713,64,44,52,61,64,0.6875,0.8125,0.953125,1.0,10,resnet50_random
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,2048,4.654948028614799,29.569768057126513,0.46202762589260177,43.991615340603886,0.6873689896969357,9.647600610748157,0.15074375954293995,1.0927159452418855,10,64,0.929433530187471,64,44,52,61,64,0.6875,0.8125,0.953125,1.0,25,resnet50_random
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,3584,4.6265775184683084,30.377759208607987,0.4746524876344998,44.606524291178715,0.6969769420496674,10.064215131077123,0.15725336142308005,1.077908449853896,10,64,0.9268582628639377,64,45,53,61,64,0.703125,0.828125,0.953125,1.0,50,resnet50_random
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,6656,4.610044084796596,30.768449135395304,0.48075701774055163,44.91352549564318,0.7017738358694247,10.091020575784334,0.15767219649663022,1.07001741879884,10,64,0.9260963194082554,64,45,53,61,64,0.703125,0.828125,0.953125,1.0,100,resnet50_random
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,16384,4.606162850135208,30.983742665812482,0.48412097915332003,45.1126081458446,0.7048845022788218,10.219431525736386,0.15967861758963103,1.0618330556575584,10,64,0.925597433112299,64,45,53,62,64,0.703125,0.828125,0.96875,1.0,250,resnet50_random
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,512,2.0265679231948726,23.08046179404484,0.36063221553195063,30.690158579360137,0.47953372780250214,9.686573856384998,0.1513527165060156,4.126530371870951,10,64,0.7537245011279794,63,28,33,41,53,0.4375,0.515625,0.640625,0.828125,1,resnet50_random
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,512,2.0265679231948726,23.08046179404484,0.36063221553195063,30.690158579360137,0.47953372780250214,9.686573856384998,0.1513527165060156,4.126530371870951,10,64,0.7537245011279794,63,28,33,41,53,0.4375,0.515625,0.640625,0.828125,2,resnet50_random
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,512,2.0265679231948726,23.08046179404484,0.36063221553195063,30.690158579360137,0.47953372780250214,9.686573856384998,0.1513527165060156,4.126530371870951,10,64,0.7537245011279794,63,28,33,41,53,0.4375,0.515625,0.640625,0.828125,5,resnet50_random
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,1024,2.033601148008512,23.504502454779363,0.36725785085592755,31.266243646306044,0.48853505697353194,9.531973212701466,0.1489370814484604,4.198139556914055,10,64,0.7030383441649348,64,29,33,41,54,0.453125,0.515625,0.640625,0.84375,10,resnet50_random
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,2048,2.047770184967611,23.568790741845188,0.36826235534133106,31.402587490720922,0.4906654295425144,9.481261573129158,0.1481447120801431,4.117302924386354,10,64,0.687698635080001,64,29,33,42,54,0.453125,0.515625,0.65625,0.84375,25,resnet50_random
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,3584,2.045380867787758,23.642901508959202,0.36942033607748753,31.467909027608,0.491686078556375,9.457386106409693,0.14777165791265146,3.914306707423557,10,64,0.7710419567305324,64,29,33,42,54,0.453125,0.515625,0.65625,0.84375,50,resnet50_random
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,6656,2.0616720468706484,23.518298116945136,0.36747340807726775,31.42381394317907,0.49099709286217297,9.41962673867949,0.14718166779186703,3.9451973378302054,10,64,0.75530388639382,64,29,33,42,54,0.453125,0.515625,0.65625,0.84375,100,resnet50_random
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,16384,2.0585029566363997,23.70073664775459,0.37032401012116545,31.581203524118525,0.49345630506435195,9.537308982526998,0.14902045285198434,3.9474770278319955,10,64,0.7478313977356177,64,29,34,42,54,0.453125,0.53125,0.65625,0.84375,250,resnet50_random
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,512,4.16914686884526,20.956704115190494,0.08186212544996287,28.306778752324686,0.1105733545012683,9.912574588048537,0.0387209944845646,9.235052937120766,10,256,0.8720688359868111,159,26,31,40,51,0.1015625,0.12109375,0.15625,0.19921875,1,resnet50_random
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,512,4.16914686884526,20.956704115190494,0.08186212544996287,28.306778752324686,0.1105733545012683,9.912574588048537,0.0387209944845646,9.235052937120766,10,256,0.8720688359868111,159,26,31,40,51,0.1015625,0.12109375,0.15625,0.19921875,2,resnet50_random
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,1536,4.173419337399645,21.551475166093795,0.08418544986755389,28.9777172606768,0.11319420804951875,10.147624187766999,0.03963915698346484,9.58168998858106,10,256,0.8680449484604871,161,27,32,40,52,0.10546875,0.125,0.15625,0.203125,5,resnet50_random
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,2560,4.186220226250247,21.54318111478849,0.08415305122964253,29.076378764947105,0.11357960455057463,9.440667629588832,0.036877607928081375,9.726993835976256,10,256,0.863572132465875,160,27,32,40,53,0.10546875,0.125,0.15625,0.20703125,10,resnet50_random
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,6656,4.205924573530823,21.462148381563626,0.08383651711548291,29.08715175800597,0.11362168655471082,9.173247210312654,0.035832996915283806,10.089488320949936,10,256,0.8596961069013371,159,27,32,40,53,0.10546875,0.125,0.15625,0.20703125,25,resnet50_random
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,12800,4.204189343484344,21.337793769733327,0.08335075691302081,29.10160486548378,0.11367814400579601,8.910201077491875,0.03480547295895264,10.298994877938195,10,256,0.8549407076053037,157,27,32,41,53,0.10546875,0.125,0.16015625,0.20703125,50,resnet50_random
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,25600,4.213672339904152,21.256539608426348,0.08303335784541542,29.065649001245916,0.11353769141111686,8.867131454407629,0.0346372322437798,10.512521649359813,10,256,0.8519326477627659,157,27,32,41,53,0.10546875,0.125,0.16015625,0.20703125,100,resnet50_random
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,64000,4.199713080751662,21.44098733187243,0.08375385676512669,29.173811882112012,0.11396020266450005,8.990288778009846,0.03511831553910096,10.838886157536704,10,256,0.8490456241035336,156,27,32,41,53,0.10546875,0.125,0.16015625,0.20703125,250,resnet50_random
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,512,4.380808123925615,40.31291180396672,0.157472311734245,49.29886219286323,0.192573680440872,17.64773833494971,0.06893647787089731,9.696326209525136,10,256,0.7848504325415836,162,45,52,61,64,0.17578125,0.203125,0.23828125,0.25,1,resnet50_random
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,512,4.380808123925615,40.31291180396672,0.157472311734245,49.29886219286323,0.192573680440872,17.64773833494971,0.06893647787089731,9.696326209525136,10,256,0.7848504325415836,162,45,52,61,64,0.17578125,0.203125,0.23828125,0.25,2,resnet50_random
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,1536,4.2805157063300925,43.366293347486405,0.16939958338861877,51.65927564729744,0.20179404549725563,19.100141753203815,0.0746099287234524,10.071095476076303,10,256,0.7805860339973905,163,47,54,62,64,0.18359375,0.2109375,0.2421875,0.25,5,resnet50_random
