layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,5.823585574721752,44.139605025262966,0.6896813285197338,51.21646291729117,0.8002572330826745,23.088678334806527,0.360760598981352,1.2813434634139216,10,64,0.8799463841968034,64,44,52,61,64,0.6875,0.8125,0.953125,1.0,resnet50_random,random_init(seed=0),gaussian,1600.0,True,0.6875,0.8125,0.953125,1.0,1.0,6400.0,0.00043703880395826373,9.88186661789129,0.15440416590455142,11.321109192074868,0.1768923311261698,6.541748390090964,0.10221481859517131,3.940826196890231,10.0,64.0,0.8779112005094616,64.0,10.0,11.0,12.0,36.0,0.15625,0.171875,0.1875,0.5625,100.0,True
relu,act,1,64,1,False,,0,112.0,112.0,102400,1.9825484941838738,51.23926215715254,0.8006134712055084,56.75037625972897,0.8867246290582651,27.813987157979668,0.4345935493434323,0.8266105819000019,10,64,0.9398297089015192,64,50,57,63,64,0.78125,0.890625,0.984375,1.0,resnet50_random,random_init(seed=0),gaussian,1600.0,True,,,,,,6400.0,0.000153833882586435,16.793781253931495,0.2624028320926796,26.887350030341064,0.42011484422407913,8.795309511362566,0.1374267111150401,0.8699750421504153,10.0,64.0,0.7001286569076768,64.0,37.0,49.0,61.0,64.0,0.578125,0.765625,0.953125,1.0,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,102400,4.193151024207567,28.67255516210014,0.44800867440781467,36.166604308318135,0.5651031923174709,14.010802729437298,0.21891879264745778,3.3016981906006544,10,64,0.6697213329136043,64,32,38,48,57,0.5,0.59375,0.75,0.890625,resnet50_random,random_init(seed=0),gaussian,1600.0,True,0.5,0.59375,0.75,0.890625,1.0,6400.0,0.003215814088403126,25.545577717735178,0.39914965183961215,33.801824418523594,0.5281535065394312,12.48638058568501,0.19509969665132829,3.3464495714360933,10.0,64.0,0.6752391298454321,64.0,31.0,37.0,48.0,57.0,0.484375,0.578125,0.75,0.890625,100.0,True
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,102400,2.070464927866976,21.99518189640801,0.34367471713137515,28.259626797283527,0.4415566687075551,10.432437400235344,0.16300683437867725,8.79297073556234,10,64,0.3579589507748495,61,24,30,40,48,0.375,0.46875,0.625,0.75,resnet50_random,random_init(seed=0),gaussian,1600.0,True,,,,,,6400.0,0.0015803730403618457,19.40131442682649,0.30314553791916393,25.603800068986267,0.4000593760779104,9.640730880965508,0.15063642001508606,7.742741785652983,10.0,64.0,0.6135664873649083,64.0,23.0,28.0,38.0,47.0,0.359375,0.4375,0.59375,0.734375,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,102400,4.589566835293168,31.38605735373729,0.49040714615214515,45.38414937268812,0.7091273339482519,10.384861879124012,0.16226346686131268,1.0535233582797485,10,64,0.925110815254264,64,45,53,62,64,0.703125,0.828125,0.96875,1.0,resnet50_random,random_init(seed=0),gaussian,1600.0,True,0.703125,0.828125,0.96875,1.0,1.0,6400.0,0.002908839491966473,15.824024097150097,0.24725037651797027,21.44470712809535,0.3350735488764898,7.927887115327075,0.12387323617698555,3.935872679432634,10.0,64.0,0.9623329467931583,64.0,18.0,24.0,36.0,53.0,0.28125,0.375,0.5625,0.828125,100.0,True
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,102400,2.0562178237407562,23.938747976658338,0.3740429371352865,31.704150587456702,0.495377352929011,9.68457678897257,0.15132151232769642,3.981452071236863,10,64,0.7520836892451352,64,29,34,42,54,0.453125,0.53125,0.65625,0.84375,resnet50_random,random_init(seed=0),gaussian,1600.0,True,,,,,,6400.0,0.001333899812862537,12.876916784421054,0.20120182475657897,18.802406202015188,0.2937875969064873,6.438413346794179,0.10060020854365904,4.10748010903694,10.0,64.0,0.8619191483111543,64.0,17.0,22.0,37.0,52.0,0.265625,0.34375,0.578125,0.8125,100.0,True
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,102400,4.194216445408269,21.494982637164675,0.08396477592642451,29.201104007512242,0.1140668125293447,9.025199851361348,0.03525468691938027,11.016576803195289,10,256,0.8457393397823723,154,27,32,41,53,0.10546875,0.125,0.16015625,0.20703125,resnet50_random,random_init(seed=0),gaussian,400.0,True,0.421875,0.5,0.640625,0.828125,0.25,6400.0,0.0026856546590070802,12.788915237550668,0.0499567001466823,18.220377490189737,0.07117334957105366,6.4042199045525425,0.02501648400215837,10.657231328379261,10.0,256.0,0.8594072081924545,168.0,16.0,21.0,35.0,51.0,0.0625,0.08203125,0.13671875,0.19921875,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,4.255662497510731,45.13941805274965,0.1763258517685533,52.9435828575369,0.20681087053725353,20.356032709755983,0.07951575277248431,11.696495190973895,10,256,0.7582110481086004,149,48,54,62,64,0.1875,0.2109375,0.2421875,0.25,resnet50_random,random_init(seed=0),gaussian,400.0,True,0.75,0.84375,0.96875,1.0,0.25,6400.0,0.0032551936816405213,38.04509975909561,0.14861367093396724,48.578300871950475,0.18975898778105654,15.324927544265162,0.05986299821978579,11.65677142507931,10.0,256.0,0.7733582064496805,165.0,46.0,53.0,61.0,64.0,0.1796875,0.20703125,0.23828125,0.25,25.0,False
layer1.0.relu,act,8,256,1,False,,2,56.0,56.0,102400,3.7925197311591172,43.44703656564261,0.16971498658454146,68.2483674136397,0.2665951852095301,14.50652678286692,0.05666612024557391,4.310489790198267,10,256,0.24861120802418024,251,63,84,144,193,0.24609375,0.328125,0.5625,0.75390625,resnet50_random,random_init(seed=0),gaussian,400.0,True,,,,,,6400.0,0.0026199650897824668,25.77732124733553,0.10069266112240441,42.71104241003721,0.16684000941420785,10.140066712871624,0.03960963559715478,3.8518453779632726,10.0,256.0,0.6587970566054608,254.0,41.0,55.0,118.0,182.0,0.16015625,0.21484375,0.4609375,0.7109375,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,3.7829911749739273,43.66406222597352,0.17056274307020905,68.40047615085201,0.2671893599642657,14.608557061838791,0.05706467602280778,4.218702937713868,10,256,0.22910978497959622,248,63,84,144,193,0.24609375,0.328125,0.5625,0.75390625,resnet50_random,random_init(seed=0),gaussian,400.0,True,,,,,,6400.0,0.0026199650897824668,25.77732124733553,0.10069266112240441,42.71104241003721,0.16684000941420785,10.140066712871624,0.03960963559715478,3.8518453779632726,10.0,256.0,0.6587970566054608,254.0,41.0,55.0,118.0,182.0,0.16015625,0.21484375,0.4609375,0.7109375,25.0,False
