layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,314.86349688864084,3.484542513206038,0.05444597676884434,6.620266020648242,0.10344165657262878,2.0638929922768425,0.032248328004325665,6.385800576589526,10,64,0.4398649540893983,63,9,14,25,37,0.140625,0.21875,0.390625,0.578125,1,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,314.86349688864084,3.484542513206038,0.05444597676884434,6.620266020648242,0.10344165657262878,2.0638929922768425,0.032248328004325665,6.385800576589526,10,64,0.4398649540893983,63,9,14,25,37,0.140625,0.21875,0.390625,0.578125,2,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,314.86349688864084,3.484542513206038,0.05444597676884434,6.620266020648242,0.10344165657262878,2.0638929922768425,0.032248328004325665,6.385800576589526,10,64,0.4398649540893983,63,9,14,25,37,0.140625,0.21875,0.390625,0.578125,5,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,318.07091108018585,3.4445685651267977,0.05382138383010621,6.5739673931697755,0.10271824051827774,2.048775305053814,0.03201211414146585,6.4170861128852374,10,64,0.41588593608140834,63,9,14,25,37,0.140625,0.21875,0.390625,0.578125,10,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,310.259010797151,3.5414237830732334,0.05533474661051927,6.73381139105428,0.10521580298522312,2.097019760036792,0.03276593375057488,6.380706685169891,10,64,0.4203891792814325,63,9,14,25,38,0.140625,0.21875,0.390625,0.59375,25,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,310.2054110259838,3.521684791449672,0.055026324866401126,6.705624733883453,0.10477538646692895,2.086808792719655,0.032606387386244606,6.316979661943952,10,64,0.43258936456910824,63,9,14,25,38,0.140625,0.21875,0.390625,0.59375,50,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,312.0501214145057,3.5319736576562906,0.05518708840087954,6.680972459936498,0.10439019468650779,2.1018757253088443,0.03284180820795069,6.324469607785843,10,64,0.4293450322185979,63,9,14,25,38,0.140625,0.21875,0.390625,0.59375,100,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,310.7844149929535,3.5119037353781084,0.054873495865282944,6.664552203290996,0.10413362817642181,2.0895330287504383,0.0326489535742256,6.291928263384083,10,64,0.4369666788815054,63,9,14,25,38,0.140625,0.21875,0.390625,0.59375,250,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,512,5.768065671398217,9.017171262676897,0.1408933009793265,17.401990199598025,0.27190609686871914,3.7080595701030608,0.057938430782860324,4.534904864814769,10,64,0.2274118401324915,63,20,27,43,56,0.3125,0.421875,0.671875,0.875,1,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,512,5.768065671398217,9.017171262676897,0.1408933009793265,17.401990199598025,0.27190609686871914,3.7080595701030608,0.057938430782860324,4.534904864814769,10,64,0.2274118401324915,63,20,27,43,56,0.3125,0.421875,0.671875,0.875,2,resnet50
