layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,306.3969491432464,3.5559383615692766,0.055561536899519946,6.756185246581479,0.10556539447783561,2.1061637252030216,0.03290880820629721,6.3698254205738545,10,64,0.413743109600058,63,9,14,25,38,0.140625,0.21875,0.390625,0.59375,resnet50,ResNet50_Weights.IMAGENET1K_V1,synthetic,1600.0,True,0.140625,0.21875,0.390625,0.59375,1.0,6400.0,0.002821901127008233,4.647512800507205,0.07261738750792508,6.282988021865781,0.09817168784165282,2.7484777831994305,0.0429449653624911,6.790214836687378,10.0,64.0,0.9664719777043724,63.0,6.0,7.0,11.0,20.0,0.09375,0.109375,0.171875,0.3125,100.0,True
relu,act,1,64,1,False,,0,112.0,112.0,102400,5.708736793172974,9.296434387040721,0.14525678729751126,18.01240144179596,0.28144377252806185,3.7999764623748677,0.05937463222460731,4.4027105673212175,10,64,0.2188413757485439,63,20,28,44,57,0.3125,0.4375,0.6875,0.890625,resnet50,ResNet50_Weights.IMAGENET1K_V1,synthetic,1600.0,True,,,,,,6400.0,0.002119593566215286,3.7534574519013257,0.058647772685958215,5.975361025353565,0.09336501602114945,2.3895979146428323,0.037337467416294255,4.358613155104647,10.0,64.0,0.2208759505467861,63.0,6.0,10.0,27.0,50.0,0.09375,0.15625,0.421875,0.78125,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,102400,1.4230491725083143,10.676853975649047,0.16682584336951636,15.589156954536294,0.2435805774146296,4.791320122421895,0.0748643769128421,9.825861526776075,10,64,0.3676323140317185,59,14,18,27,41,0.21875,0.28125,0.421875,0.640625,resnet50,ResNet50_Weights.IMAGENET1K_V1,synthetic,1600.0,True,0.21875,0.28125,0.421875,0.640625,1.0,6400.0,0.011040666246187207,1.1738089133040555,0.018340764270375867,1.6068103809017256,0.025106412201589462,1.0838418477088547,0.016935028870450855,9.334611895291335,10.0,64.0,0.35338360448295225,59.0,1.0,3.0,12.0,27.0,0.015625,0.046875,0.1875,0.421875,100.0,True
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,102400,0.21806845574460246,11.81721766182412,0.18464402596600188,18.348132880267688,0.2866895762541826,5.058454224299036,0.07903834725467243,9.719227302051667,10,64,0.2905295421111913,59,18,25,36,45,0.28125,0.390625,0.5625,0.703125,resnet50,ResNet50_Weights.IMAGENET1K_V1,synthetic,1600.0,True,,,,,,6400.0,0.0009997881436105147,1.3344841956492606,0.020851315557019696,2.1918349490763096,0.03424742107931734,1.1563768930489353,0.018068388953889614,11.179324688449089,10.0,64.0,0.32102880082905727,59.0,3.0,8.0,21.0,37.0,0.046875,0.125,0.328125,0.578125,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,102400,0.565354576960668,8.95106527560997,0.13986039493140578,12.957344756343662,0.20245851181786972,5.57167703710138,0.08705745370470906,7.219614105437585,10,64,0.2947087591654076,61,12,16,31,49,0.1875,0.25,0.484375,0.765625,resnet50,ResNet50_Weights.IMAGENET1K_V1,synthetic,1600.0,True,0.1875,0.25,0.484375,0.765625,1.0,6400.0,0.001936554445865245,1.2839882577175576,0.020062316526836838,1.8621162154557998,0.02909556586649687,1.1350341188530837,0.017734908107079433,8.35821789553766,10.0,64.0,0.36685239053515406,61.0,2.0,4.0,10.0,24.0,0.03125,0.0625,0.15625,0.375,100.0,True
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,102400,0.31596153736815535,10.971746520170212,0.17143353937765957,15.875587073246347,0.24805604801947417,5.948572500423103,0.09294644531911099,14.907930916579502,10,64,0.2809854121391213,55,15,20,32,45,0.234375,0.3125,0.5,0.703125,resnet50,ResNet50_Weights.IMAGENET1K_V1,synthetic,1600.0,True,,,,,,6400.0,0.0008899586430073545,1.4849557970835066,0.02320243432942979,2.4856972718632084,0.03883901987286263,1.223391065349679,0.019115485396088733,8.936748979575801,10.0,64.0,0.3786948276578439,57.0,3.0,6.0,17.0,36.0,0.046875,0.09375,0.265625,0.5625,100.0,True
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,102400,0.3099298228707808,4.7498419677790205,0.0185540701866368,8.078141045446545,0.031555238458775565,2.460965486394291,0.009613146431227699,11.86323715080027,10,256,0.747229995403842,139,9,12,18,29,0.03515625,0.046875,0.0703125,0.11328125,resnet50,ResNet50_Weights.IMAGENET1K_V1,synthetic,400.0,True,0.140625,0.1875,0.28125,0.453125,0.25,6400.0,0.0006911495988130988,1.3677435554198771,0.005342748263358895,2.0613110498344365,0.008051996288415767,1.1727949390769816,0.0045812302307694595,11.748350248723519,10.0,256.0,0.7709926279855389,141.0,2.0,4.0,10.0,22.0,0.0078125,0.015625,0.0390625,0.0859375,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,10.748773328749985,2.9117993888238964,0.011374216362593345,5.855566357270287,0.022873306083087058,1.801535532220788,0.007037248172737453,12.981123211198316,10,256,0.7522757351734126,143,9,14,27,45,0.03515625,0.0546875,0.10546875,0.17578125,resnet50,ResNet50_Weights.IMAGENET1K_V1,synthetic,400.0,True,0.140625,0.21875,0.421875,0.703125,0.25,6400.0,0.019459603655178428,1.3647903050892605,0.005331212129254924,2.2264910982023127,0.008697230852352784,1.1706501907496027,0.004572852307615636,12.436290078758669,10.0,256.0,0.7482876610026558,147.0,2.0,7.0,20.0,39.0,0.0078125,0.02734375,0.078125,0.15234375,25.0,False
layer1.0.relu,act,8,256,1,False,,2,56.0,56.0,102400,3.9161188115238517,12.740095939487738,0.049765999763623975,28.5558156892664,0.11154615503619687,4.339369565706084,0.01695066236603939,5.894884756291533,10,256,0.22350536066909021,229,31,51,116,178,0.12109375,0.19921875,0.453125,0.6953125,resnet50,ResNet50_Weights.IMAGENET1K_V1,synthetic,400.0,True,,,,,,6400.0,0.008472480518654778,4.06623937767354,0.015883747569037265,8.577751978111342,0.03350684366449743,2.288571036509255,0.008939730611364277,6.287936199466709,10.0,256.0,0.24340548536401851,230.0,13.0,19.0,58.0,143.0,0.05078125,0.07421875,0.2265625,0.55859375,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,3.9268885450391764,12.580233597778113,0.049141537491320754,28.376121011505848,0.11084422270119472,4.294531215031718,0.016775512558717648,6.0684797279642995,10,256,0.2283645396952989,229,31,51,116,178,0.12109375,0.19921875,0.453125,0.6953125,resnet50,ResNet50_Weights.IMAGENET1K_V1,synthetic,400.0,True,,,,,,6400.0,0.008472480518654778,4.06623937767354,0.015883747569037265,8.577751978111342,0.03350684366449743,2.288571036509255,0.008939730611364277,6.287936199466709,10.0,256.0,0.24340548536401851,230.0,13.0,19.0,58.0,143.0,0.05078125,0.07421875,0.2265625,0.55859375,25.0,False
