layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,6.433135739977814,7.421999849871737,0.11596874765424589,14.834370294233283,0.23178703584739505,4.136185914721657,0.06462790491752589,1.8710524868484522,10,64,0.9404181832013313,64,22,32,51,62,0.34375,0.5,0.796875,0.96875,1,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,6.433135739977814,7.421999849871737,0.11596874765424589,14.834370294233283,0.23178703584739505,4.136185914721657,0.06462790491752589,1.8710524868484522,10,64,0.9404181832013313,64,22,32,51,62,0.34375,0.5,0.796875,0.96875,2,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,6.433135739977814,7.421999849871737,0.11596874765424589,14.834370294233283,0.23178703584739505,4.136185914721657,0.06462790491752589,1.8710524868484522,10,64,0.9404181832013313,64,22,32,51,62,0.34375,0.5,0.796875,0.96875,5,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,6.46277481035082,7.323658060148694,0.11443215718982334,14.841374905094904,0.23189648289210787,4.025850902398161,0.06290392034997126,1.8008418688829881,10,64,0.943670150899485,64,22,33,52,62,0.34375,0.515625,0.8125,0.96875,10,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,6.282845114653981,7.58354854735625,0.1184929460524414,15.440291392708852,0.24125455301107582,4.033307817630953,0.06302043465048364,1.7703325680467983,10,64,0.9447763221140325,64,23,34,53,63,0.359375,0.53125,0.828125,0.984375,25,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,6.286590079880895,7.491123480870767,0.11704880438860574,15.335662272239162,0.2396197230037369,3.8968749222875365,0.06088867066074276,1.7465692957525245,10,64,0.944922239800127,64,23,34,53,63,0.359375,0.53125,0.828125,0.984375,50,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,6.319806202087337,7.37706641288729,0.1152666627013639,15.15137746969231,0.23674027296394234,3.8657139941208074,0.060401781158137616,1.7331578402811172,10,64,0.9444064719704018,64,23,34,53,63,0.359375,0.53125,0.828125,0.984375,100,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,6.305981318531295,7.379092028525648,0.11529831294571324,15.159919360258026,0.23687374000403166,3.8920098512814065,0.06081265392627198,1.734823646992567,10,64,0.9443645553926503,64,23,34,53,63,0.359375,0.53125,0.828125,0.984375,250,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,512,2.195243670282532,11.271485402978188,0.17611695942153419,23.440054814903483,0.3662508564828669,5.105558023594636,0.07977434411866619,1.2725844710278553,10,64,0.9770298184199349,64,34,45,59,64,0.53125,0.703125,0.921875,1.0,1,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,512,2.195243670282532,11.271485402978188,0.17611695942153419,23.440054814903483,0.3662508564828669,5.105558023594636,0.07977434411866619,1.2725844710278553,10,64,0.9770298184199349,64,34,45,59,64,0.53125,0.703125,0.921875,1.0,2,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,512,2.195243670282532,11.271485402978188,0.17611695942153419,23.440054814903483,0.3662508564828669,5.105558023594636,0.07977434411866619,1.2725844710278553,10,64,0.9770298184199349,64,34,45,59,64,0.53125,0.703125,0.921875,1.0,5,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,1024,2.2116259623260413,11.047674426494433,0.17261991291397552,23.490543872142858,0.36703974800223216,4.845494998917116,0.07571085935807993,1.1680425057098691,10,64,0.9867594020590259,64,35,46,60,64,0.546875,0.71875,0.9375,1.0,10,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,2048,2.173912618757285,11.58916929084333,0.18108077016942703,24.51362030742585,0.3830253173035289,4.987459750834059,0.07792905860678218,1.1202706725223444,10,64,0.9885732799179255,64,36,47,60,64,0.5625,0.734375,0.9375,1.0,25,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,3584,2.1598232784416007,11.907795858342556,0.18605931028660244,25.057662914480623,0.39152598303875974,5.10668230255311,0.07979191097739234,1.105896120318274,10,64,0.9904199362993036,64,37,48,60,64,0.578125,0.75,0.9375,1.0,50,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,6656,2.162910067696819,11.8022994973464,0.1844109296460375,24.93721202077516,0.3896439378246119,5.061153469275763,0.0790805229574338,1.1037343219313356,10,64,0.991788938521217,64,37,48,61,64,0.578125,0.75,0.953125,1.0,100,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,16384,2.15560439307087,11.929320698913035,0.18639563592051617,25.11927430976029,0.3924886610900045,5.150240224091555,0.08047250350143055,1.0960918144644738,10,64,0.9916367327869411,64,37,48,61,64,0.578125,0.75,0.953125,1.0,250,resnet50_random
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,6.859664972980894,5.617274897736743,0.0877699202771366,10.617352178939825,0.16589612779593477,3.2970382793381794,0.05151622311465905,3.53697589855033,10,64,0.7143021992837042,64,15,24,39,52,0.234375,0.375,0.609375,0.8125,1,resnet50_random
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,6.859664972980894,5.617274897736743,0.0877699202771366,10.617352178939825,0.16589612779593477,3.2970382793381794,0.05151622311465905,3.53697589855033,10,64,0.7143021992837042,64,15,24,39,52,0.234375,0.375,0.609375,0.8125,2,resnet50_random
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,6.859664972980894,5.617274897736743,0.0877699202771366,10.617352178939825,0.16589612779593477,3.2970382793381794,0.05151622311465905,3.53697589855033,10,64,0.7143021992837042,64,15,24,39,52,0.234375,0.375,0.609375,0.8125,5,resnet50_random
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,6.748844142784276,5.67263694424517,0.08863495225383078,10.72059587423382,0.16750931053490345,3.3364809237342654,0.0521325144333479,3.486332041177795,10,64,0.7037123054467007,64,16,24,40,53,0.25,0.375,0.625,0.828125,10,resnet50_random
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,2048,6.93457167563548,5.51786401602223,0.08621662525034735,10.465173537623908,0.16351833652537356,3.2281628154568693,0.05044004399151358,3.4637729138014404,10,64,0.7001987964053827,64,15,24,40,53,0.234375,0.375,0.625,0.828125,25,resnet50_random
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,3584,6.872890928129402,5.55831164723304,0.08684861948801625,10.569141694079734,0.16514283896999585,3.269052751141691,0.05107894923658892,3.449373485955954,10,64,0.7000975584189041,64,16,24,40,53,0.25,0.375,0.625,0.828125,50,resnet50_random
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,6656,6.8764436382810485,5.506569191430751,0.08604014361610549,10.483578481919645,0.16380591377999446,3.258900825790765,0.0509203254029807,3.4371854559531148,10,64,0.6986087470873257,64,16,24,40,53,0.25,0.375,0.625,0.828125,100,resnet50_random
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,16384,6.856275686017978,5.53058335085273,0.0864153648570739,10.530524714160986,0.1645394486587654,3.286395790928451,0.051349934233257045,3.432274038943773,10,64,0.6981680301405219,64,16,24,40,53,0.25,0.375,0.625,0.828125,250,resnet50_random
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,512,3.117194861858167,5.621252271970583,0.08783206674954036,11.074797770209264,0.17304371515951975,3.0230380673685695,0.0472349698026339,9.861100627345122,10,64,0.16610035328541706,59,17,25,41,52,0.265625,0.390625,0.640625,0.8125,1,resnet50_random
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,512,3.117194861858167,5.621252271970583,0.08783206674954036,11.074797770209264,0.17304371515951975,3.0230380673685695,0.0472349698026339,9.861100627345122,10,64,0.16610035328541706,59,17,25,41,52,0.265625,0.390625,0.640625,0.8125,2,resnet50_random
