layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,6.251273277313375,7.483612760499757,0.11693144938280871,15.377882636146955,0.24027941618979617,3.9346553773290975,0.06147899027076715,1.7314939893818622,10,64,0.9442271217533461,64,23,34,53,63,0.359375,0.53125,0.828125,0.984375,resnet50_random,random_init(seed=0),synthetic,1600.0,True,0.359375,0.53125,0.828125,0.984375,1.0,6400.0,0.00014323670574495362,5.945873684478737,0.09290427631998027,9.065180962089071,0.14164345253264174,3.230889108823071,0.05048264232536048,5.162348480276638,10.0,64.0,0.9775417609768655,64.0,10.0,12.0,18.0,32.0,0.15625,0.1875,0.28125,0.5,100.0,True
relu,act,1,64,1,False,,0,112.0,112.0,102400,2.1334704651548764,12.049623869188117,0.18827537295606434,25.321799848278772,0.3956531226293558,5.211980503640308,0.08143719536937981,1.0914770926813309,10,64,0.9907249568909717,64,37,48,61,64,0.578125,0.75,0.953125,1.0,resnet50_random,random_init(seed=0),synthetic,1600.0,True,,,,,,6400.0,0.0022703489807924153,5.227642992925171,0.0816819217644558,6.549454480716286,0.10233522626119197,3.5092858247595164,0.054832591011867444,1.9174492906954528,10.0,64.0,0.9982566524204782,64.0,5.0,6.0,20.0,53.0,0.078125,0.09375,0.3125,0.828125,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,102400,6.821533888648551,5.560120292523595,0.08687687957068117,10.589801247690225,0.16546564449515977,3.3130065801197826,0.0517657278143716,3.427049143474413,10,64,0.697199097541018,64,16,25,40,53,0.25,0.390625,0.625,0.828125,resnet50_random,random_init(seed=0),synthetic,1600.0,True,0.25,0.390625,0.625,0.828125,1.0,6400.0,0.011219642334400228,2.108078235069206,0.03293872242295635,4.368604208634403,0.06825944075991254,1.4723519703681758,0.023005499537002747,3.4521878338329883,10.0,64.0,0.6982248252339927,64.0,6.0,13.0,32.0,49.0,0.09375,0.203125,0.5,0.765625,100.0,True
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,102400,3.2459232043963153,5.408864658257921,0.08451351028528002,10.882894937315157,0.17004523339554933,2.8740104111902602,0.044906412674847816,5.685436455693499,10,64,0.3030101486746437,63,17,26,42,52,0.265625,0.40625,0.65625,0.8125,resnet50_random,random_init(seed=0),synthetic,1600.0,True,,,,,,6400.0,0.006323018647982959,3.093590029314552,0.048337344208039874,6.145238052448997,0.09601934456951558,1.8488578760466536,0.028888404313228963,4.928993119633784,10.0,64.0,0.5195902168862144,64.0,7.0,13.0,33.0,49.0,0.109375,0.203125,0.515625,0.765625,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,102400,6.260696257626805,7.764398144161084,0.12131872100251694,18.508708686877313,0.289198573232458,3.2327492841503864,0.05051170756484979,1.275818735566489,10,64,0.9797301463457228,64,30,42,58,64,0.46875,0.65625,0.90625,1.0,resnet50_random,random_init(seed=0),synthetic,1600.0,True,0.46875,0.65625,0.90625,1.0,1.0,6400.0,0.011218605660584347,3.4362970184796247,0.053692140913744135,6.554363234463039,0.10241192553848498,1.9891117517839214,0.031079871121623772,3.3042842612980876,10.0,64.0,0.9221172556681321,64.0,7.0,13.0,29.0,48.0,0.109375,0.203125,0.453125,0.75,100.0,True
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,102400,2.734795907389943,7.983401915543527,0.12474065493036761,17.38888627516975,0.27170134804952734,3.3948134142456405,0.05304395959758813,2.7337026836171825,10,64,0.7021615752631698,64,25,34,47,57,0.390625,0.53125,0.734375,0.890625,resnet50_random,random_init(seed=0),synthetic,1600.0,True,,,,,,6400.0,0.0061856348431432225,3.5231799696272326,0.05504968702542551,6.802189423921956,0.10628420974878056,2.0347262615852846,0.03179259783727007,2.965605641302672,10.0,64.0,0.8000993405979497,64.0,7.0,14.0,33.0,52.0,0.109375,0.21875,0.515625,0.8125,100.0,True
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,102400,5.535182593994274,8.364441152872375,0.03267359825340772,16.95506500208806,0.06623072266440648,3.5898437564020615,0.014022827173445553,10.603867628705537,10,256,0.8302280401346798,156,23,31,45,56,0.08984375,0.12109375,0.17578125,0.21875,resnet50_random,random_init(seed=0),synthetic,400.0,True,0.359375,0.484375,0.703125,0.875,0.25,6400.0,0.013008416597996755,3.47191831427291,0.013562180915128555,6.597551107142768,0.025771684012276436,2.008629978720356,0.00784621085437639,10.185291458307894,10.0,256.0,0.8440434996238728,161.0,7.0,12.0,31.0,50.0,0.02734375,0.046875,0.12109375,0.1953125,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,6.9372540115050825,5.909375579940957,0.023083498359144364,12.399182079835139,0.04843430499935601,3.2605218790085733,0.01273641358987724,10.322129004125964,10,256,0.7847387844366635,157,23,37,56,63,0.08984375,0.14453125,0.21875,0.24609375,resnet50_random,random_init(seed=0),synthetic,400.0,True,0.359375,0.578125,0.875,0.984375,0.25,6400.0,0.008809588789794315,2.7596386817127154,0.010779838600440295,6.485754486128689,0.025334978461440193,1.702910327276854,0.006651993465925211,10.567829113947822,10.0,256.0,0.7950594795489762,162.0,10.0,24.0,50.0,62.0,0.0390625,0.09375,0.1953125,0.2421875,25.0,False
layer1.0.relu,act,8,256,1,False,,2,56.0,56.0,102400,5.337134468461921,8.24986974938234,0.032226053708524764,24.25231861326123,0.09473561958305168,3.472405202969617,0.013564082824100066,2.5584818342994278,10,256,0.562597732443542,254,46,78,156,212,0.1796875,0.3046875,0.609375,0.828125,resnet50_random,random_init(seed=0),synthetic,400.0,True,,,,,,6400.0,0.011564578069666842,4.230055222175686,0.016523653211623773,9.027213223754394,0.0352625516552906,2.251133502233653,0.008793490243100208,2.996788810460158,10.0,256.0,0.42789965610838643,255.0,10.0,24.0,86.0,184.0,0.0390625,0.09375,0.3359375,0.71875,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,5.35301999875988,8.21945123428464,0.03210723138392438,24.14305248206405,0.0943087987580627,3.467803521175877,0.01354610750459327,2.7132891358871998,10,256,0.40744267170168413,254,46,78,156,212,0.1796875,0.3046875,0.609375,0.828125,resnet50_random,random_init(seed=0),synthetic,400.0,True,,,,,,6400.0,0.011564578069666842,4.230055222175686,0.016523653211623773,9.027213223754394,0.0352625516552906,2.251133502233653,0.008793490243100208,2.996788810460158,10.0,256.0,0.42789965610838643,255.0,10.0,24.0,86.0,184.0,0.0390625,0.09375,0.3359375,0.71875,25.0,False
