layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,180.07950053846574,4.176743087011884,0.06526161073456069,6.2439758706710995,0.09756212297923593,2.7443046186077384,0.04287975966574591,6.2596988084096035,10,64,0.9116162146257413,63,6,9,18,30,0.09375,0.140625,0.28125,0.46875,1,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,180.07950053846574,4.176743087011884,0.06526161073456069,6.2439758706710995,0.09756212297923593,2.7443046186077384,0.04287975966574591,6.2596988084096035,10,64,0.9116162146257413,63,6,9,18,30,0.09375,0.140625,0.28125,0.46875,2,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,180.07950053846574,4.176743087011884,0.06526161073456069,6.2439758706710995,0.09756212297923593,2.7443046186077384,0.04287975966574591,6.2596988084096035,10,64,0.9116162146257413,63,6,9,18,30,0.09375,0.140625,0.28125,0.46875,5,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,180.07950053846574,4.176743087011884,0.06526161073456069,6.2439758706710995,0.09756212297923593,2.7443046186077384,0.04287975966574591,6.2596988084096035,10,64,0.9116162146257413,63,6,9,18,30,0.09375,0.140625,0.28125,0.46875,10,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,180.07950053846574,4.176743087011884,0.06526161073456069,6.2439758706710995,0.09756212297923593,2.7443046186077384,0.04287975966574591,6.2596988084096035,10,64,0.9116162146257413,63,6,9,18,30,0.09375,0.140625,0.28125,0.46875,25,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,4096,198.848142405835,4.782568668520878,0.07472763544563872,7.151443913288173,0.1117413111451277,2.8173262621542574,0.04402072284616027,7.481189133947993,10,64,0.5126945602567636,63,6,10,19,31,0.09375,0.15625,0.296875,0.484375,50,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,8192,196.52238230885183,4.860412674072397,0.0759439480323812,7.202105971720664,0.11253290580813538,2.8016533589354125,0.04377583373336582,7.382411124104137,10,64,0.5273584304999128,63,6,9,19,31,0.09375,0.140625,0.296875,0.484375,100,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,184.64988006265915,4.917412627478764,0.07683457230435568,7.35832741071426,0.11497386579241031,2.767163629513567,0.043236931711149486,6.157477856561124,10,64,0.9111822189403834,63,7,10,19,31,0.109375,0.15625,0.296875,0.484375,250,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,2048,2.712458995591738,7.789054762277542,0.12170398066058659,15.096284470183189,0.23587944484661233,3.7322044954028204,0.05831569524066907,2.8496114498931155,10,64,0.8388806843691037,63,19,27,43,56,0.296875,0.421875,0.671875,0.875,1,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,2048,2.712458995591738,7.789054762277542,0.12170398066058659,15.096284470183189,0.23587944484661233,3.7322044954028204,0.05831569524066907,2.8496114498931155,10,64,0.8388806843691037,63,19,27,43,56,0.296875,0.421875,0.671875,0.875,2,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,2048,2.712458995591738,7.789054762277542,0.12170398066058659,15.096284470183189,0.23587944484661233,3.7322044954028204,0.05831569524066907,2.8496114498931155,10,64,0.8388806843691037,63,19,27,43,56,0.296875,0.421875,0.671875,0.875,5,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,2048,2.712458995591738,7.789054762277542,0.12170398066058659,15.096284470183189,0.23587944484661233,3.7322044954028204,0.05831569524066907,2.8496114498931155,10,64,0.8388806843691037,63,19,27,43,56,0.296875,0.421875,0.671875,0.875,10,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,2048,2.712458995591738,7.789054762277542,0.12170398066058659,15.096284470183189,0.23587944484661233,3.7322044954028204,0.05831569524066907,2.8496114498931155,10,64,0.8388806843691037,63,19,27,43,56,0.296875,0.421875,0.671875,0.875,25,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,4096,3.0472705201903514,8.980321100162945,0.140317517190046,17.14147241238862,0.2678355064435722,3.8302789726678457,0.05984810894793509,2.7501254337345173,10,64,0.8345122710591142,63,21,29,45,57,0.328125,0.453125,0.703125,0.890625,50,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,8192,2.9759384896876035,8.74930795713997,0.13670793683031204,16.957839593134455,0.26496624364272586,3.6957948948678765,0.05774679523231057,2.6886434784972897,10,64,0.8487419268037193,63,21,29,45,57,0.328125,0.453125,0.703125,0.890625,100,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,16384,2.8768133053634446,8.965970911218015,0.1400932954877815,17.319025384844906,0.27060977163820166,3.706972612559359,0.05792144707123999,4.222840467721793,10,64,0.19824900376879195,63,21,29,45,57,0.328125,0.453125,0.703125,0.890625,250,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,2048,3.5117872123550633,4.320787369559045,0.06751230264936008,7.0547329156842835,0.11023020180756693,2.442594645417234,0.03816554133464428,10.12025177257064,10,64,0.3977529684803951,59,7,11,18,31,0.109375,0.171875,0.28125,0.484375,1,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,2048,3.5117872123550633,4.320787369559045,0.06751230264936008,7.0547329156842835,0.11023020180756693,2.442594645417234,0.03816554133464428,10.12025177257064,10,64,0.3977529684803951,59,7,11,18,31,0.109375,0.171875,0.28125,0.484375,2,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,2048,3.5117872123550633,4.320787369559045,0.06751230264936008,7.0547329156842835,0.11023020180756693,2.442594645417234,0.03816554133464428,10.12025177257064,10,64,0.3977529684803951,59,7,11,18,31,0.109375,0.171875,0.28125,0.484375,5,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,2048,3.5117872123550633,4.320787369559045,0.06751230264936008,7.0547329156842835,0.11023020180756693,2.442594645417234,0.03816554133464428,10.12025177257064,10,64,0.3977529684803951,59,7,11,18,31,0.109375,0.171875,0.28125,0.484375,10,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,2048,3.5117872123550633,4.320787369559045,0.06751230264936008,7.0547329156842835,0.11023020180756693,2.442594645417234,0.03816554133464428,10.12025177257064,10,64,0.3977529684803951,59,7,11,18,31,0.109375,0.171875,0.28125,0.484375,25,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,4096,4.154293862334647,4.15630097762771,0.06494220277543297,7.019749931456246,0.10968359267900385,2.3183845868519835,0.03622475916956224,10.09935060091429,10,64,0.39535541756863923,59,8,11,18,32,0.125,0.171875,0.28125,0.5,50,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,8192,4.099171447903116,4.28780988588003,0.06699702946687547,7.080100487494106,0.11062657011709541,2.4123802497622195,0.03769344140253468,10.062675181911365,10,64,0.3964756542065442,59,8,11,18,32,0.125,0.171875,0.28125,0.5,100,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,16384,4.0184880894258574,4.4019120079097185,0.06877987512358935,7.242647366174779,0.11316636509648093,2.445431444617939,0.0382098663221553,10.070014104523043,10,64,0.39560131125150444,59,8,11,18,32,0.125,0.171875,0.28125,0.5,250,resnet50
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,2048,0.5540877597531169,4.932001668585278,0.07706252607164497,11.075692129996058,0.1730576895311884,2.537004893225753,0.03964070145665239,8.687528899374424,10,64,0.20961320865206645,59,17,26,44,55,0.265625,0.40625,0.6875,0.859375,1,resnet50
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,2048,0.5540877597531169,4.932001668585278,0.07706252607164497,11.075692129996058,0.1730576895311884,2.537004893225753,0.03964070145665239,8.687528899374424,10,64,0.20961320865206645,59,17,26,44,55,0.265625,0.40625,0.6875,0.859375,2,resnet50
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,2048,0.5540877597531169,4.932001668585278,0.07706252607164497,11.075692129996058,0.1730576895311884,2.537004893225753,0.03964070145665239,8.687528899374424,10,64,0.20961320865206645,59,17,26,44,55,0.265625,0.40625,0.6875,0.859375,5,resnet50
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,2048,0.5540877597531169,4.932001668585278,0.07706252607164497,11.075692129996058,0.1730576895311884,2.537004893225753,0.03964070145665239,8.687528899374424,10,64,0.20961320865206645,59,17,26,44,55,0.265625,0.40625,0.6875,0.859375,10,resnet50
