layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,409600,177.91544885602303,4.76237369109651,0.07441208892338297,7.184036491877718,0.11225057018558934,2.689869542707808,0.0420292116048095,7.359803165923583,10,64,0.5339697665383971,63,6,10,19,31,0.09375,0.15625,0.296875,0.484375,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],6400.0,True,0.09375,0.15625,0.296875,0.484375,1.0,6400.0,42.95068320194224,2.74563729818291,0.042900582784107966,2.8683478502404545,0.0448179351600071,2.197429946853951,0.03433484291959298,8.836894320536699,10.0,64.0,0.7912907410280028,51.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
relu,act,1,64,1,False,,0,112.0,112.0,409600,2.788040865650312,8.824035272903359,0.13787555113911498,17.121740694440714,0.26752719835063615,3.6617032649095163,0.05721411351421119,2.706754602688054,10,64,0.8496599289581874,63,21,29,45,57,0.328125,0.453125,0.703125,0.890625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],6400.0,True,,,,,,6400.0,0.4985578964560842,3.2792149810199,0.05123773407843594,4.130003510091763,0.0645313048451838,2.45019646813043,0.03828431981453797,4.0894252835498275,10.0,64.0,0.9539625493512861,63.0,3.0,5.0,11.0,27.0,0.046875,0.078125,0.171875,0.421875,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,409600,3.794284614200548,4.465324209179923,0.0697706907684363,7.288337102763567,0.11388026723068073,2.4962282233613315,0.039003565990020805,11.153582328430039,10,64,0.4016843557780633,59,8,11,18,32,0.125,0.171875,0.28125,0.5,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],6400.0,True,0.125,0.171875,0.28125,0.5,1.0,6400.0,0.7281527778683711,2.479309231800658,0.03873920674688528,3.5684279973079547,0.05575668745793679,1.76634879368265,0.027599199901291407,11.474143903119348,10.0,64.0,0.4551605790568175,59.0,4.0,5.0,10.0,16.0,0.0625,0.078125,0.15625,0.25,100.0,True
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,409600,0.5987131839346653,5.471012318809054,0.08548456748139147,11.89668423240727,0.1858856911313636,2.838493644728861,0.044351463198888455,7.327559417108076,10,64,0.17841176171029083,59,18,28,45,56,0.28125,0.4375,0.703125,0.875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],6400.0,True,,,,,,6400.0,0.12201663752319693,2.9232239910205333,0.04567537485969583,4.637233396481312,0.0724567718200205,2.075175825018099,0.032424622265907796,6.612158544384772,10.0,64.0,0.2211694892012871,59.0,5.0,9.0,20.0,42.0,0.078125,0.140625,0.3125,0.65625,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,409600,2.064541634051334,4.993816600565713,0.07802838438383927,9.342148881049049,0.1459710762663914,2.5176383768473243,0.03933809963823944,7.615754092205227,10,64,0.3160072090217846,61,11,15,25,46,0.171875,0.234375,0.390625,0.71875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],6400.0,True,0.171875,0.234375,0.390625,0.71875,1.0,6400.0,0.41204202667936424,2.3064656201233,0.03603852531442656,3.4070218582353013,0.053234716534926584,1.6500915811308252,0.025782680955169144,9.433840300036154,10.0,64.0,0.4328861978610572,61.0,4.0,5.0,10.0,19.0,0.0625,0.078125,0.15625,0.296875,100.0,True
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,409600,0.9343564582066091,5.609690969277908,0.08765142139496732,12.94549448989946,0.20227335140467906,2.5721629425996526,0.04019004597811957,7.236946924918081,10,64,0.14694479251736015,60,17,24,42,56,0.265625,0.375,0.65625,0.875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],6400.0,True,,,,,,6400.0,0.18488787514627755,2.439606312852472,0.03811884863831987,4.0493425535743075,0.06327097739959855,1.6825859084488497,0.026290404819513277,4.427595519872746,10.0,64.0,0.37655907465121785,60.0,5.0,8.0,18.0,40.0,0.078125,0.125,0.28125,0.625,100.0,True
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,409600,1.5578444866100951,1.7811252007225582,0.006957520315322493,3.4506815962475863,0.013479224985342134,1.3426729040393683,0.005244816031403783,11.36056243927739,10,256,0.7480080054387108,138,6,10,18,29,0.0234375,0.0390625,0.0703125,0.11328125,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.09375,0.15625,0.28125,0.453125,0.25,6400.0,0.40154053299978276,1.3139404026709676,0.005132579697933467,1.7945040930337681,0.007009781613413157,1.1515876786425678,0.004498389369697531,10.846863187558974,10.0,256.0,0.7424485357234305,141.0,2.0,3.0,7.0,16.0,0.0078125,0.01171875,0.02734375,0.0625,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,409600,10.467694631496137,5.131253410096205,0.0200439586331883,8.092785376201844,0.03161244287578845,3.009010861939243,0.011753948679450168,12.173518433820808,10,256,0.7063573967523487,137,8,11,23,40,0.03125,0.04296875,0.08984375,0.15625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.125,0.171875,0.359375,0.625,0.25,6400.0,2.754765083818785,4.125117683304537,0.016113740950408347,5.08858526848713,0.019877286205027853,2.8320015731709742,0.011062506145199118,11.28982102412687,10.0,256.0,0.7239653338483079,147.0,4.0,5.0,10.0,19.0,0.015625,0.01953125,0.0390625,0.07421875,25.0,False
layer1.0.relu,act,8,256,1,False,,2,56.0,56.0,409600,4.280270639916897,23.296514960114294,0.09100201156294646,42.40364705912448,0.165639246324705,9.159526789237082,0.03577940152045735,5.6954192244799575,10,256,0.1846506709168565,230,46,76,151,209,0.1796875,0.296875,0.58984375,0.81640625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.7044048443968344,8.31988305243447,0.03249954317357215,13.539852941409713,0.05289005055238169,4.411371126367466,0.017231918462372913,5.681767272363596,10.0,256.0,0.26290904277707383,230.0,13.0,20.0,50.0,126.0,0.05078125,0.078125,0.1953125,0.4921875,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,409600,4.27520431700325,23.268978986030984,0.09089444916418353,42.37517771073252,0.16552803793254892,9.130521585987148,0.0356660999452623,5.6844626045306486,10,256,0.18556266523738818,230,46,76,151,209,0.1796875,0.296875,0.58984375,0.81640625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.7044048443968344,8.31988305243447,0.03249954317357215,13.539852941409713,0.05289005055238169,4.411371126367466,0.017231918462372913,5.681767272363596,10.0,256.0,0.26290904277707383,230.0,13.0,20.0,50.0,126.0,0.05078125,0.078125,0.1953125,0.4921875,25.0,False
