layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,178.1388438797773,4.330766290635234,0.06766822329117553,6.626160783968029,0.10353376224950045,2.5830840676120723,0.04036068855643863,6.384558876598223,10,64,0.9167498938709385,63,6,9,18,30,0.09375,0.140625,0.28125,0.46875,1,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,178.1388438797773,4.330766290635234,0.06766822329117553,6.626160783968029,0.10353376224950045,2.5830840676120723,0.04036068855643863,6.384558876598223,10,64,0.9167498938709385,63,6,9,18,30,0.09375,0.140625,0.28125,0.46875,2,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,178.1388438797773,4.330766290635234,0.06766822329117553,6.626160783968029,0.10353376224950045,2.5830840676120723,0.04036068855643863,6.384558876598223,10,64,0.9167498938709385,63,6,9,18,30,0.09375,0.140625,0.28125,0.46875,5,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,198.35749076156063,4.655904234420106,0.07274850366281416,7.168904592311015,0.11201413425485961,2.6358907852845235,0.04118579352007068,7.493996300507965,10,64,0.516805105391559,63,7,10,19,31,0.109375,0.15625,0.296875,0.484375,10,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,193.74489429969037,4.704591184405863,0.0735092372563416,7.217108013736857,0.11276731271463838,2.6366133239349834,0.041197083186484115,6.161210108009901,10,64,0.9153358288794745,63,7,10,19,31,0.109375,0.15625,0.296875,0.484375,25,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,185.95959703655487,4.77034984772353,0.07453671637068016,7.310826383155103,0.11423166223679848,2.635026206395473,0.041172284474929266,6.131299619263935,10,64,0.9157659700891239,63,7,10,19,31,0.109375,0.15625,0.296875,0.484375,50,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,181.00088251224412,4.66867280854853,0.07294801263357079,7.211997579680731,0.11268746218251142,2.5775750779089512,0.04027461059232736,7.293298053094857,10,64,0.5377482823743575,63,7,10,19,31,0.109375,0.15625,0.296875,0.484375,100,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,177.70015009972502,4.6135028919675,0.07208598268699219,7.0957399824319065,0.11087093722549854,2.5594817282259648,0.0399919020035307,6.114147276746982,10,64,0.9125180935474794,63,6,9,19,31,0.09375,0.140625,0.296875,0.484375,250,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,512,2.8391611706720647,7.43031623825391,0.11609869122271735,14.069313233118839,0.21983301926748186,3.464943226013234,0.05413973790645678,4.4940802174350125,10,64,0.2173683720691374,63,17,24,41,55,0.265625,0.375,0.640625,0.859375,1,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,512,2.8391611706720647,7.43031623825391,0.11609869122271735,14.069313233118839,0.21983301926748186,3.464943226013234,0.05413973790645678,4.4940802174350125,10,64,0.2173683720691374,63,17,24,41,55,0.265625,0.375,0.640625,0.859375,2,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,512,2.8391611706720647,7.43031623825391,0.11609869122271735,14.069313233118839,0.21983301926748186,3.464943226013234,0.05413973790645678,4.4940802174350125,10,64,0.2173683720691374,63,17,24,41,55,0.265625,0.375,0.640625,0.859375,5,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,1024,3.0717284864038943,8.238907064575228,0.12873292288398794,15.922681694211061,0.24879190147204783,3.544606449445965,0.0553844757725932,2.8422794695716873,10,64,0.8569280914549914,63,19,27,44,56,0.296875,0.421875,0.6875,0.875,10,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,2048,3.027591242395248,8.43105584150314,0.13173524752348656,16.379355270059005,0.25592742609467195,3.5738307441325246,0.055841105377070696,2.723277370997862,10,64,0.8567031608893065,63,20,28,45,57,0.3125,0.4375,0.703125,0.890625,25,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,3584,2.957774647932826,8.772542191186433,0.13707097173728802,16.994747157936786,0.2655429243427623,3.6272381368123954,0.05667559588769368,2.708580533162431,10,64,0.8628463395179679,63,20,29,45,57,0.3125,0.453125,0.703125,0.890625,50,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,6656,2.8483782133553754,8.554797497237852,0.13366871089434143,16.88542211341674,0.2638347205221366,3.5295380551607143,0.05514903211188616,4.214561461051887,10,64,0.19737276752048527,63,20,29,45,57,0.3125,0.453125,0.703125,0.890625,100,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,16384,2.77589231122606,8.351302061974605,0.1304890947183532,16.64576247023181,0.260090038597372,3.4559203781009407,0.0539987559078272,4.184364230150663,10,64,0.199209930695337,63,20,29,45,57,0.3125,0.453125,0.703125,0.890625,250,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,4.033210108658115,4.317560769251091,0.06746188701954829,6.9763580830334915,0.1090055950473983,2.440000318785653,0.03812500498102583,11.324402835961143,10,64,0.4148770067433446,59,7,11,17,30,0.109375,0.171875,0.265625,0.46875,1,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,4.033210108658115,4.317560769251091,0.06746188701954829,6.9763580830334915,0.1090055950473983,2.440000318785653,0.03812500498102583,11.324402835961143,10,64,0.4148770067433446,59,7,11,17,30,0.109375,0.171875,0.265625,0.46875,2,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,4.033210108658115,4.317560769251091,0.06746188701954829,6.9763580830334915,0.1090055950473983,2.440000318785653,0.03812500498102583,11.324402835961143,10,64,0.4148770067433446,59,7,11,17,30,0.109375,0.171875,0.265625,0.46875,5,resnet50
