layer,kind,depth_index,C,groups,is_depthwise,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
features.0.0,conv,0,96,1,False,0,56,56,800000,2.829273581748664,8.278280891458765,0.08623209261936214,11.439717858468926,0.11916372769238465,4.183309611754612,0.04357614178911054,14.081011890892455,10,96,0.9451418978642785,71,11,14,18,23,0.11458333333333333,0.14583333333333334,0.1875,0.23958333333333334,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],8333.333333333334,True,50000,0.5243092812991933,2.8380144265707505,0.02956265027677865,2.9620813964692863,0.030855014546555065,2.256243524310125,0.023502536711563802,10.844448456784892,10,96,0.9800968941250303,69,3,3,3,6,0.03125,0.03125,0.03125,0.0625,520.8333333333334,True
features.1.0.block.0,conv,1,96,96,True,0,56,56,800000,0.04719155631158725,20.763237992211874,0.21628372908554036,30.44600369712197,0.3171458718450205,10.511917316379366,0.10949913871228506,5.072404151640561,10,96,0.49579076919805987,96,30,41,59,75,0.3125,0.4270833333333333,0.6145833333333334,0.78125,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],8333.333333333334,True,50000,0.00029043012917785087,1.960773438136523,0.020424723313922113,3.157676080421436,0.032892459171056626,1.4332967403463366,0.014930174378607672,6.532323281079122,10,96,0.6277827125592699,94,3,6,10,23,0.03125,0.0625,0.10416666666666667,0.23958333333333334,520.8333333333334,True
features.1.0.block.4,act,2,56,1,False,0,56,384,800000,24.056027433344493,22.842683293113723,0.4079050588056022,42.54472575994776,0.7597272457133528,5.6987965722000595,0.10176422450357249,0.18489305402000686,10,56,0.8651090082899857,56,48,52,56,56,0.8571428571428571,0.9285714285714286,1.0,1.0,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],14285.714285714286,True,50000,0.2346030930299846,2.115529299310089,0.03777730891625159,3.8697649514952377,0.06910294556241496,1.4941887059633523,0.026681941177917005,1.5905825417623116,10,56,0.9982301970889672,56,4,8,31,53,0.07142857142857142,0.14285714285714285,0.5535714285714286,0.9464285714285714,892.8571428571429,True
features.1.1.block.0,conv,3,96,96,True,0,56,56,800000,0.1292880982783281,16.78825914488697,0.17487769942590592,33.57515129842276,0.3497411593585704,6.577187361623086,0.06851236835024048,2.0869594351527723,10,96,0.6216053802372161,96,43,57,78,89,0.4479166666666667,0.59375,0.8125,0.9270833333333334,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],8333.333333333334,True,50000,0.033964913976100436,6.001193232277277,0.06251242950288831,8.622596736426146,0.08981871600443903,3.271551190363787,0.03407865823295612,5.874349045593713,10,96,0.9664925379143778,96,8,11,17,24,0.08333333333333333,0.11458333333333333,0.17708333333333334,0.25,520.8333333333334,True
features.1.1.block.4,act,4,56,1,False,0,56,384,800000,6.013228891576318,3.7510111164697344,0.06698234136553097,11.037987881338648,0.19710692645247585,1.992214933837922,0.03557526667567718,0.8211170214661913,10,56,0.9923534254971743,56,28,40,53,56,0.5,0.7142857142857143,0.9464285714285714,1.0,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],14285.714285714286,True,50000,0.010621800212701787,2.2168435524352166,0.03958649200777172,4.465320448022485,0.07973786514325866,1.5245643417783894,0.027224363246042667,1.5892491725268085,10,56,0.9906145885448935,56,6,13,37,54,0.10714285714285714,0.23214285714285715,0.6607142857142857,0.9642857142857143,892.8571428571429,True
features.1.2.block.0,conv,5,96,96,True,0,56,56,800000,0.055485575181506326,50.708266250323334,0.5282111067742014,64.86860510926401,0.6757146365548334,20.434884187987215,0.21286337695820015,1.715873467509743,10,96,0.5792628535672019,96,58,70,85,92,0.6041666666666666,0.7291666666666666,0.8854166666666666,0.9583333333333334,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],8333.333333333334,True,50000,0.0014588585830174023,3.9068365004759618,0.0406962135466246,6.626287054774692,0.06902382348723637,2.1850046379076122,0.022760464978204293,4.012814763300508,10,96,0.9897981224140489,96,7,10,15,31,0.07291666666666667,0.10416666666666667,0.15625,0.3229166666666667,520.8333333333334,True
features.1.2.block.4,act,6,56,1,False,0,56,384,800000,5.121514347422221,45.05007090178797,0.8044655518176423,52.29841499147578,0.9339002677049246,12.293098223214841,0.21951961112883644,0.09805712899120919,10,56,0.9795694898485505,56,50,53,56,56,0.8928571428571429,0.9464285714285714,1.0,1.0,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],14285.714285714286,True,50000,0.006802235853791297,2.980486556907517,0.053222974230491375,7.1525856867410536,0.12772474440609025,1.7868303307708042,0.03190768447805008,1.1912775303557985,10,56,0.994689196751612,56,14,26,49,56,0.25,0.4642857142857143,0.875,1.0,892.8571428571429,True
features.2.1,conv,7,192,1,False,0,28,28,800000,1.1437059213590577,25.849888308251877,0.13463483493881187,43.51687911343783,0.22665041204915537,11.11358513102061,0.057883255890732344,3.4473709371647456,10,192,0.8593950210607875,192,45,61,93,134,0.234375,0.3177083333333333,0.484375,0.6979166666666666,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],4166.666666666667,True,50000,0.17001451456050162,9.84406995975902,0.05127119770707823,14.573029926962775,0.07590119753626445,5.506437656508505,0.02867936279431513,4.956475051881232,10,192,0.9513633792231699,192,13,19,34,64,0.06770833333333333,0.09895833333333333,0.17708333333333334,0.3333333333333333,260.4166666666667,True
features.3.0.block.0,conv,8,192,192,True,0,28,28,800000,0.1925613007972212,66.13006653795843,0.34442742988520014,98.46896893464078,0.512859213201254,20.081898471127214,0.10459322120378757,1.6711943241652352,10,192,0.7764461379808151,192,95,122,163,185,0.4947916666666667,0.6354166666666666,0.8489583333333334,0.9635416666666666,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],4166.666666666667,True,50000,0.035012151923366534,18.69289181799131,0.09735881155203807,25.37253621747045,0.1321486261326586,9.292492365456704,0.04839839773675367,4.6020280351424105,10,192,0.9627804442159034,192,23,28,38,67,0.11979166666666667,0.14583333333333334,0.19791666666666666,0.3489583333333333,260.4166666666667,True
features.3.0.block.4,act,9,28,1,False,0,28,768,800000,1.5707394796336367,10.305927702100057,0.36806884650357347,17.94584620485396,0.6409230787447843,3.799515817035134,0.1356969934655405,0.7875257061561876,10,28,0.9932279230165073,28,21,25,28,28,0.75,0.8928571428571429,1.0,1.0,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],28571.428571428572,True,50000,0.0023175764339649785,3.5777388605357334,0.12777638787627618,7.144368913126591,0.255156032611664,2.0062702035242252,0.07165250726872233,1.8514663658102317,10,28,0.9975863749849484,28,10,15,24,28,0.35714285714285715,0.5357142857142857,0.8571428571428571,1.0,1785.7142857142858,True
