layer,kind,depth_index,C,groups,is_depthwise,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
features.0.0,conv,0,96,1,False,0,56,56,1024,2.146599693069458,1.5996460550121954,0.016662979739710367,2.3486183510963654,0.02446477449058714,1.2874189652732868,0.013410614221596737,9.313334226883764,10,96,0.9020611558724982,71,2,4,10,21,0.020833333333333332,0.041666666666666664,0.10416666666666667,0.21875,1,convnext_tiny_random
features.0.0,conv,0,96,1,False,0,56,56,1024,2.146599693069458,1.5996460550121954,0.016662979739710367,2.3486183510963654,0.02446477449058714,1.2874189652732868,0.013410614221596737,9.313334226883764,10,96,0.9020611558724982,71,2,4,10,21,0.020833333333333332,0.041666666666666664,0.10416666666666667,0.21875,2,convnext_tiny_random
features.0.0,conv,0,96,1,False,0,56,56,1024,2.146599693069458,1.5996460550121954,0.016662979739710367,2.3486183510963654,0.02446477449058714,1.2874189652732868,0.013410614221596737,9.313334226883764,10,96,0.9020611558724982,71,2,4,10,21,0.020833333333333332,0.041666666666666664,0.10416666666666667,0.21875,5,convnext_tiny_random
features.0.0,conv,0,96,1,False,0,56,56,1024,2.146599693069458,1.5996460550121954,0.016662979739710367,2.3486183510963654,0.02446477449058714,1.2874189652732868,0.013410614221596737,9.313334226883764,10,96,0.9020611558724982,71,2,4,10,21,0.020833333333333332,0.041666666666666664,0.10416666666666667,0.21875,10,convnext_tiny_random
features.0.0,conv,0,96,1,False,0,56,56,3072,2.250987690221447,1.6486364564296132,0.017173296421141803,2.417258724012368,0.025179778375128834,1.3113294504713027,0.013659681775742736,9.47047798647285,10,96,0.8890212941319767,71,2,4,10,20,0.020833333333333332,0.041666666666666664,0.10416666666666667,0.20833333333333334,25,convnext_tiny_random
features.0.0,conv,0,96,1,False,0,56,56,5120,2.3187174035421396,1.663309602262662,0.017326141690236063,2.4463650427597345,0.0254829691954139,1.317927411131497,0.013728410532619759,9.881695729362773,10,96,0.8680963482675084,71,2,4,10,21,0.020833333333333332,0.041666666666666664,0.10416666666666667,0.21875,50,convnext_tiny_random
features.0.0,conv,0,96,1,False,0,56,56,10240,2.298731281195157,1.6550558255610353,0.017240164849594116,2.4744724207452236,0.025775754382762747,1.3108151568768138,0.013654324550800144,9.8652864082312,10,96,0.8711975968860027,70,2,4,10,21,0.020833333333333332,0.041666666666666664,0.10416666666666667,0.21875,100,convnext_tiny_random
features.0.0,conv,0,96,1,False,0,56,56,24576,2.2625994110440124,1.6247857735142888,0.016924851807440508,2.4581440800823424,0.025605667500857732,1.2943999609200763,0.013483332926250794,10.392555169377095,10,96,0.8673455268474937,72,2,4,10,21,0.020833333333333332,0.041666666666666664,0.10416666666666667,0.21875,250,convnext_tiny_random
features.1.0.block.0,conv,1,96,96,True,0,56,56,1024,1.821657235205231,3.8787362181648777,0.04040350227255081,10.866257434707022,0.11319018161153148,2.073451730883243,0.021598455530033783,1.5090287925076804,10,96,0.9611774182107393,96,25,43,76,93,0.2604166666666667,0.4479166666666667,0.7916666666666666,0.96875,1,convnext_tiny_random
features.1.0.block.0,conv,1,96,96,True,0,56,56,1024,1.821657235205231,3.8787362181648777,0.04040350227255081,10.866257434707022,0.11319018161153148,2.073451730883243,0.021598455530033783,1.5090287925076804,10,96,0.9611774182107393,96,25,43,76,93,0.2604166666666667,0.4479166666666667,0.7916666666666666,0.96875,2,convnext_tiny_random
