scheme,mode,acc,acc_full,sum_subspace_resid,sum_cssp_resid,widths
a18_ruler_act_0.999,subspace,73.13,73.2,0.008529951762418123,0.011207703328670429,48 64 127 128 255 255 255 510 510 510 509 510 505
a18_ruler_act_0.999,cssp,73.12,73.2,0.008529951762418123,0.011207703328670429,48 64 127 128 255 255 255 510 510 510 509 510 505
a18_ruler_act_0.95,subspace,69.78,73.2,0.6412888930533585,1.0127155656391187,18 44 89 101 201 205 212 418 418 428 411 426 313
a18_ruler_act_0.95,cssp,59.13,73.2,0.6412888930533585,1.0127155656391187,18 44 89 101 201 205 212 418 418 428 411 426 313
kstar_0.95,subspace,69.74,73.2,0.6420839706029967,1.0136839640593829,18 44 89 101 201 205 212 417 418 428 410 426 314
kstar_0.95,cssp,59.17,73.2,0.6420839706029967,1.0136839640593829,18 44 89 101 201 205 212 417 418 428 410 426 314
kstar_0.99,subspace,72.64,73.2,0.12383096321957288,0.18366246532530348,30 58 117 122 243 244 246 489 489 492 487 492 451
kstar_0.99,cssp,72.27,73.2,0.12383096321957288,0.18366246532530348,30 58 117 122 243 244 246 489 489 492 487 492 451
kstar_0.999,subspace,73.13,73.2,0.008529951762418123,0.011207703328670429,48 64 127 128 255 255 255 510 510 510 509 510 505
kstar_0.999,cssp,73.12,73.2,0.008529951762418123,0.011207703328670429,48 64 127 128 255 255 255 510 510 510 509 510 505
