layer,C,tau,m,subspace_resid,cssp_resid,ratio,acc_subspace,acc_cssp
features.2,64,0.95,18,0.04845999368872524,0.09056526532307589,1.8688666347091767,73.1,71.07
features.2,64,0.99,30,0.009131925752092644,0.014763983342144987,1.6167436905366557,73.25,73.24
features.2,64,0.999,48,0.0009694084403591738,0.001414852007498441,1.4595004010633812,73.12,73.17
features.5,64,0.95,44,0.049022942595048566,0.08420148480471198,1.7175934439565146,72.7,72.17
features.5,64,0.99,58,0.009290240617417548,0.014740031914481833,1.5866146552595093,73.03,73.09
features.5,64,0.999,64,0.0,0.0,,73.2,73.2
features.9,128,0.95,89,0.04913270484936292,0.08456076084743454,1.721068707833027,72.92,72.71
features.9,128,0.99,117,0.009885397018431196,0.01602637992756736,1.621217630175741,73.04,73.18
features.9,128,0.999,127,0.0007582052147477177,0.0012168923197175268,1.6049643237054638,73.18,73.18
features.12,128,0.95,101,0.048478662072257,0.07933493720520009,1.636491887646406,72.36,71.92
features.12,128,0.99,122,0.008551764652489729,0.013799340636898295,1.613624929783446,73.05,72.97
features.12,128,0.999,128,0.0,0.0,,73.2,73.2
features.16,256,0.95,201,0.04929737873199119,0.07540554557314715,1.5296055797022172,73.12,72.8
features.16,256,0.99,243,0.009267381676241304,0.013451440130905858,1.451482263365842,73.09,73.0
features.16,256,0.999,255,0.0005568902526109062,0.0006860555008960527,1.2319402210391945,73.17,73.11
features.19,256,0.95,205,0.04972268136289158,0.07610235851225518,1.5305360939173114,73.1,72.78
features.19,256,0.99,244,0.009611210215270723,0.014137528807429505,1.4709415870404294,73.17,72.96
features.19,256,0.999,255,0.0006957849236109736,0.000957486034215377,1.3761235717011964,73.18,73.17
features.22,256,0.95,212,0.049513457083879706,0.07305391386448204,1.4754355314096315,72.5,72.43
features.22,256,0.99,246,0.009320369935997878,0.013107812231559001,1.4063617991098143,73.23,73.09
features.22,256,0.999,255,0.0006973849355789178,0.0008056435032400185,1.1552350246442196,73.2,73.08
features.26,512,0.95,417,0.049953759518062656,0.07024904713032194,1.406281485278816,73.09,72.99
features.26,512,0.99,489,0.009889806345090395,0.013107460423124556,1.3253505645872938,73.15,73.07
features.26,512,0.999,510,0.0006871408285930538,0.0007987585428906372,1.162437901595987,73.18,73.12
features.29,512,0.95,418,0.04963270299236962,0.06897726209397607,1.3897542937482255,73.16,73.16
features.29,512,0.99,489,0.00978778731952711,0.012708513902350487,1.298405194910231,73.14,73.11
features.29,512,0.999,510,0.0006588863411132685,0.0007584984038700507,1.1511824673561688,73.19,73.2
features.32,512,0.95,428,0.049516910757445264,0.06736555842211488,1.3604555977270034,72.64,72.77
features.32,512,0.99,492,0.009782413266040272,0.012557070092351857,1.2836372529817186,73.01,73.1
features.32,512,0.999,510,0.0008191746317397014,0.0009584420217963024,1.1700094029533548,73.12,73.16
features.36,512,0.95,410,0.04982553946539433,0.07199809181539951,1.445003758873596,73.24,73.0
features.36,512,0.99,487,0.009811106691727295,0.013706732054761134,1.3970627866394136,73.2,73.23
features.36,512,0.999,509,0.0009740642722423924,0.0011972444742280638,1.2291226650494924,73.16,73.12
features.39,512,0.95,426,0.04990567460274452,0.07357895947409936,1.4743605824347066,73.18,72.86
features.39,512,0.99,492,0.009578673148460688,0.013182439624941186,1.3762281498309221,73.16,73.11
features.39,512,0.999,510,0.0008288083732260944,0.0010356579940264596,1.2495747237630015,73.2,73.24
features.42,512,0.95,314,0.0496215628828242,0.09829077899316438,1.980807803761988,73.21,72.9
features.42,512,0.99,451,0.009922886580786092,0.018373732236787434,1.8516519449456275,73.11,73.11
features.42,512,0.999,505,0.0008842035485959218,0.001378172526291501,1.5586598000878658,73.18,73.13
