scheme,mode,acc,acc_full,sum_subspace_resid,sum_cssp_resid,widths
a18_ruler_act_0.999,subspace,93.86,93.83,0.00983583110251311,0.01507674985100206,47 64 127 128 255 255 254 504 486 469 347 285 168
a18_ruler_act_0.999,cssp,93.81,93.83,0.00983583110251311,0.01507674985100206,47 64 127 128 255 255 254 504 486 469 347 285 168
a18_ruler_act_0.95,subspace,92.8,93.83,0.6301853725773604,1.1155388158143547,18 45 96 106 212 215 212 350 214 137 38 36 36
a18_ruler_act_0.95,cssp,88.74,93.83,0.6301853725773604,1.1155388158143547,18 45 96 106 212 215 212 350 214 137 38 36 36
kstar_0.95,subspace,92.92,93.83,0.6228969012506763,1.1037616835063393,18 46 96 106 212 215 213 352 215 138 38 36 36
kstar_0.95,cssp,88.9,93.83,0.6228969012506763,1.1037616835063393,18 46 96 106 212 215 213 352 215 138 38 36 36
kstar_0.99,subspace,93.7,93.83,0.12512206127585399,0.21281548638191172,30 59 120 123 246 246 245 463 386 318 120 77 42
kstar_0.99,cssp,93.44,93.83,0.12512206127585399,0.21281548638191172,30 59 120 123 246 246 245 463 386 318 120 77 42
kstar_0.999,subspace,93.86,93.83,0.009814005785935085,0.015033702099292277,47 64 127 128 255 255 254 504 486 469 349 285 168
kstar_0.999,cssp,93.81,93.83,0.009814005785935085,0.015033702099292277,47 64 127 128 255 255 254 504 486 469 349 285 168
