layer,C,tau,m,subspace_resid,cssp_resid,ratio,acc_subspace,acc_cssp
features.2,64,0.95,18,0.0491498060172457,0.09521788028052837,1.93729920820274,93.74,93.33
features.2,64,0.99,30,0.009366850900477518,0.016032240619705946,1.7115934469383545,93.86,93.71
features.2,64,0.999,47,0.0008159677036387584,0.0014004049556169795,1.716250470909521,93.82,93.83
features.5,64,0.95,46,0.046129337645556455,0.08023745320035128,1.7394018057850953,93.69,93.58
features.5,64,0.99,59,0.008403133088312321,0.013057548860811428,1.5538905219736197,93.8,93.77
features.5,64,0.999,64,0.0,0.0,,93.83,93.83
features.9,128,0.95,96,0.04856879595393822,0.07896600963106852,1.6258589096167522,93.73,93.54
features.9,128,0.99,120,0.0088952865925128,0.013986988116742533,1.572404438156657,93.84,93.81
features.9,128,0.999,127,0.00043694465667368243,0.0004440373847931569,1.0162325548811355,93.84,93.82
features.12,128,0.95,106,0.04955212966516787,0.06986579010059905,1.4099452550817497,93.54,93.48
features.12,128,0.99,123,0.009597214607494277,0.013161043530876944,1.371339921960247,93.84,93.82
features.12,128,0.999,128,0.0,0.0,,93.83,93.83
features.16,256,0.95,212,0.04997605812208629,0.06889105618184979,1.3784811922051983,93.65,93.6
features.16,256,0.99,246,0.009547848059950105,0.012302110664204922,1.2884694631670972,93.78,93.81
features.16,256,0.999,255,0.000853231958587133,0.0010712696572968668,1.2555432863424179,93.86,93.82
features.19,256,0.95,215,0.049639864994115865,0.0671861708569215,1.3534720705804801,93.92,93.58
features.19,256,0.99,246,0.009954000860626712,0.012530896348454704,1.2588803762335368,93.88,93.85
features.19,256,0.999,255,0.0008188474636154826,0.0009095641575390976,1.110785827586338,93.83,93.83
features.22,256,0.95,213,0.049557375622719425,0.06655389397819525,1.3429664735451372,93.69,93.66
features.22,256,0.99,245,0.009911383520941768,0.012635146832844307,1.274811614962482,93.8,93.82
features.22,256,0.999,254,0.0009527246841257496,0.0011027694587463059,1.1574901722612994,93.81,93.82
features.26,512,0.95,352,0.049569548559400683,0.0703940010732439,1.4201057528068597,93.87,93.81
features.26,512,0.99,463,0.009967586720561583,0.01329891040447444,1.3342156709849189,93.79,93.83
features.26,512,0.999,504,0.0009967232115441053,0.0012175411649773685,1.2215439059467432,93.8,93.81
features.29,512,0.95,215,0.04981051618012673,0.08607343125169328,1.728017251225247,93.86,93.79
features.29,512,0.99,386,0.009874530681271535,0.016031721604836714,1.62354263937254,93.84,93.88
features.29,512,0.999,486,0.0009773108322540369,0.001404996217422069,1.437614493826527,93.83,93.82
features.32,512,0.95,138,0.04957645241810488,0.09377413223587189,1.8915054962994169,93.83,93.84
features.32,512,0.99,318,0.009999541870350263,0.016866107451772406,1.6866880173563013,93.78,93.82
features.32,512,0.999,469,0.000978608259046852,0.0014282010331725587,1.4594205801651443,93.81,93.81
features.36,512,0.95,38,0.04678951047701566,0.12313315094920502,2.6316400768862827,93.72,93.74
features.36,512,0.99,120,0.009914307721020506,0.021635014314237356,2.182201210919284,93.83,93.84
features.36,512,0.999,349,0.0009894992160465008,0.0019035331627464255,1.9237338765682968,93.83,93.82
features.39,512,0.95,36,0.0450592075971999,0.12799646669250422,2.840628442397604,93.87,93.75
features.39,512,0.99,77,0.009957833803187632,0.02668328058606307,2.679627026665318,93.84,93.81
features.39,512,0.999,285,0.0009986454235451014,0.002155330095908803,2.158253615439978,93.83,93.83
features.42,512,0.95,36,0.039518297997998705,0.07547224707430715,1.9098051003646268,93.86,93.74
features.42,512,0.99,42,0.009732542849146965,0.024594477046886942,2.527035064535328,93.81,93.79
features.42,512,0.999,168,0.000995502376857683,0.001996054811072646,2.005072873229314,93.83,93.85
