model,scheme,tau,block,H,m,subspace_resid,cssp_resid
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.0.blocks.0.mlp,384,364,0.0009344983822130807,0.0013508878005858067
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.0.blocks.1.mlp,384,376,0.0008100851874433735,0.00089115666702499
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.0.blocks.2.mlp,384,380,0.0007246400184628593,0.0007474138005645093
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.1.blocks.0.mlp,768,709,0.000974905606897117,0.0010732273010307558
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.1.blocks.1.mlp,768,705,0.000982747754821667,0.0011153115407493584
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.1.blocks.2.mlp,768,729,0.0009748236889029181,0.001092846483823934
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.2.blocks.0.mlp,1536,1436,0.000988725096335015,0.001111749369145222
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.2.blocks.1.mlp,1536,1515,0.0009553854703058272,0.0009970147969393564
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.2.blocks.2.mlp,1536,1521,0.0009416466260757711,0.0010138615864108442
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.2.blocks.3.mlp,1536,1503,0.0009620161230492027,0.001000320665854613
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.2.blocks.4.mlp,1536,1516,0.0009623254325859722,0.0010347308158214468
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.2.blocks.5.mlp,1536,1508,0.000949412934851716,0.0010204812920318917
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.2.blocks.6.mlp,1536,1463,0.0009823591654558644,0.001098488948488504
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.2.blocks.7.mlp,1536,1479,0.0009812034108561375,0.0011062078717131187
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.2.blocks.8.mlp,1536,1519,0.0009570497412040074,0.0010356394627712942
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.3.blocks.0.mlp,3072,3026,0.0009723085759693229,0.0010643270609634323
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.3.blocks.1.mlp,3072,3030,0.0009727096168538196,0.0010191919348656845
convnext_tiny.fb_in1k,tau_0.999,0.999,stages.3.blocks.2.mlp,3072,3024,0.0009930077205764852,0.0010827353863495951
convnext_tiny.fb_in1k,tau_0.99,0.99,stages.0.blocks.0.mlp,384,282,0.009948998404942648,0.014731122450429571
convnext_tiny.fb_in1k,tau_0.99,0.99,stages.0.blocks.1.mlp,384,345,0.009856968384579886,0.015233284658423276
convnext_tiny.fb_in1k,tau_0.99,0.99,stages.0.blocks.2.mlp,384,359,0.009752403425559459,0.0160290007734115
convnext_tiny.fb_in1k,tau_0.99,0.99,stages.1.blocks.0.mlp,768,595,0.009951549450599739,0.011750688283978494
convnext_tiny.fb_in1k,tau_0.99,0.99,stages.1.blocks.1.mlp,768,620,0.009948686366866027,0.010754309375203969
convnext_tiny.fb_in1k,tau_0.99,0.99,stages.1.blocks.2.mlp,768,672,0.009798189505002008,0.010580859030904643
convnext_tiny.fb_in1k,tau_0.99,0.99,stages.2.blocks.0.mlp,1536,1252,0.009988108304727569,0.01086011755168069
convnext_tiny.fb_in1k,tau_0.99,0.99,stages.2.blocks.1.mlp,1536,1449,0.009951597563735069,0.012159573653462753
convnext_tiny.fb_in1k,tau_0.99,0.99,stages.2.blocks.2.mlp,1536,1458,0.009923854698154011,0.01263516929214044
convnext_tiny.fb_in1k,tau_0.99,0.99,stages.2.blocks.3.mlp,1536,1415,0.009870251374296686,0.010790580881247862
