model,scheme,tau,block,H,m,subspace_resid,cssp_resid
deit_small_patch16_224.fb_in1k,tau_0.999,0.999,blocks.0.mlp,1536,1350,0.0009929708338932614,0.001379588964943663
deit_small_patch16_224.fb_in1k,tau_0.999,0.999,blocks.1.mlp,1536,1441,0.0009948272680952103,0.0010898947610245909
deit_small_patch16_224.fb_in1k,tau_0.999,0.999,blocks.2.mlp,1536,1427,0.0009859567560967124,0.0011661993485900088
deit_small_patch16_224.fb_in1k,tau_0.999,0.999,blocks.3.mlp,1536,1428,0.000998980493291409,0.0012415011838370009
deit_small_patch16_224.fb_in1k,tau_0.999,0.999,blocks.4.mlp,1536,1430,0.000997340101102114,0.0012389208816990817
deit_small_patch16_224.fb_in1k,tau_0.999,0.999,blocks.5.mlp,1536,1437,0.0009846328988105464,0.0012522240880341498
deit_small_patch16_224.fb_in1k,tau_0.999,0.999,blocks.6.mlp,1536,1462,0.0009697347033295476,0.0009960413303181197
deit_small_patch16_224.fb_in1k,tau_0.999,0.999,blocks.7.mlp,1536,1453,0.0009950942757472063,0.0010034903585175053
deit_small_patch16_224.fb_in1k,tau_0.999,0.999,blocks.8.mlp,1536,1456,0.0009895388041505043,0.0009949212085026483
deit_small_patch16_224.fb_in1k,tau_0.999,0.999,blocks.9.mlp,1536,1424,0.0009933148928840988,0.0010032098412171475
deit_small_patch16_224.fb_in1k,tau_0.999,0.999,blocks.10.mlp,1536,1464,0.0009972592418619284,0.0010330788491525083
deit_small_patch16_224.fb_in1k,tau_0.999,0.999,blocks.11.mlp,1536,1477,0.0009824795053303321,0.0011288733955803609
deit_small_patch16_224.fb_in1k,tau_0.99,0.99,blocks.0.mlp,1536,1068,0.009985149524292523,0.01443527266897944
deit_small_patch16_224.fb_in1k,tau_0.99,0.99,blocks.1.mlp,1536,1278,0.009957255478081047,0.013073822985279765
deit_small_patch16_224.fb_in1k,tau_0.99,0.99,blocks.2.mlp,1536,1258,0.009956246137775475,0.0113368084331353
