model,scheme,tau,block,H,m,subspace_resid,cssp_resid
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.999,0.999,blocks.0.mlp,3072,1809,0.0009997138601627797,0.0011920718200762984
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.999,0.999,blocks.1.mlp,3072,2510,0.0009989700769101884,0.001195565223001581
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.999,0.999,blocks.2.mlp,3072,2677,0.0009983521568661695,0.0012277257398165982
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.999,0.999,blocks.3.mlp,3072,2608,0.0009969644806236092,0.0012276414120326242
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.999,0.999,blocks.4.mlp,3072,2779,0.000997334604183249,0.0012321872132486204
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.999,0.999,blocks.5.mlp,3072,2910,0.0009924141699988703,0.0011849070143589383
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.999,0.999,blocks.6.mlp,3072,2976,0.0009807932424543391,0.001067057133165371
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.999,0.999,blocks.7.mlp,3072,3001,0.0009940094838027035,0.0010744723024739109
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.999,0.999,blocks.8.mlp,3072,2987,0.0009846480809798488,0.0010090135334333914
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.999,0.999,blocks.9.mlp,3072,2916,0.0009984640646837348,0.001011910811006087
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.999,0.999,blocks.10.mlp,3072,2767,0.0009983959014590658,0.0010107988384251664
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.999,0.999,blocks.11.mlp,3072,2716,0.0009989696918311654,0.0010858666380099498
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.99,0.99,blocks.0.mlp,3072,1246,0.009965207360104556,0.013108496328330835
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.99,0.99,blocks.1.mlp,3072,1897,0.009995314984848118,0.011923836565911682
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.99,0.99,blocks.2.mlp,3072,1999,0.009970394524825567,0.011219126336814841
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.99,0.99,blocks.3.mlp,3072,1910,0.009967406871686854,0.011135290380393936
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.99,0.99,blocks.4.mlp,3072,2314,0.009968276848376022,0.010881592984547701
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.99,0.99,blocks.5.mlp,3072,2608,0.00999291808631135,0.011011493928019738
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.99,0.99,blocks.6.mlp,3072,2751,0.009951504741606224,0.011028547087678621
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.99,0.99,blocks.7.mlp,3072,2775,0.009947940828872012,0.010942693262342597
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.99,0.99,blocks.8.mlp,3072,2730,0.009969166235618356,0.01066825979942356
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.99,0.99,blocks.9.mlp,3072,2552,0.009996073128342903,0.01043069750739607
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.99,0.99,blocks.10.mlp,3072,2136,0.009994906659293278,0.01021454503663373
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.99,0.99,blocks.11.mlp,3072,1869,0.009992703841752845,0.011107426514984833
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.95,0.95,blocks.0.mlp,3072,716,0.04994725627286043,0.06474679390731936
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.95,0.95,blocks.1.mlp,3072,1294,0.04993504368896349,0.07024023962706852
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.95,0.95,blocks.2.mlp,3072,1448,0.04991140314986807,0.06289875203926161
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.95,0.95,blocks.3.mlp,3072,1358,0.049989657648007925,0.06134240479191393
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.95,0.95,blocks.4.mlp,3072,1800,0.049980502638844154,0.06165776697061447
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.95,0.95,blocks.5.mlp,3072,2080,0.0499796080170858,0.06079557513760394
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.95,0.95,blocks.6.mlp,3072,2232,0.0499480096881877,0.05961186457662967
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.95,0.95,blocks.7.mlp,3072,2249,0.04991707131241223,0.058770222496829234
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.95,0.95,blocks.8.mlp,3072,2205,0.04994331941955971,0.056140554025096
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.95,0.95,blocks.9.mlp,3072,1920,0.049925236216588384,0.05387629006885232
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.95,0.95,blocks.10.mlp,3072,1391,0.049905335315708337,0.052464107195933925
vit_base_patch16_224.augreg_in21k_ft_in1k,tau_0.95,0.95,blocks.11.mlp,3072,858,0.04993835666754673,0.05325741276218214
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.0.mlp,3072,1904,0.0008174835706639119,0.0009999785476911265
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.1.mlp,3072,2558,0.000824980344055092,0.0009961240371124881
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.2.mlp,3072,2723,0.0008124969135368438,0.0009991727433984788
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.3.mlp,3072,2657,0.0008116678765385161,0.0009969977736810844
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.4.mlp,3072,2814,0.0008041636451841994,0.0009970391349486815
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.5.mlp,3072,2926,0.0008162986964055117,0.0009945177727913152
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.6.mlp,3072,2980,0.0009046438624223646,0.0009878391199534937
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.7.mlp,3072,3005,0.0009084071455374514,0.000983145218415083
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.8.mlp,3072,2988,0.0009658026759171917,0.0009898644559929923
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.9.mlp,3072,2917,0.0009859507450926475,0.000999157308558153
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.10.mlp,3072,2769,0.0009863182529971795,0.0009985186683427129
