model,scheme,site,C,m,subspace_resid,cssp_resid
resnet50,tau_0.999,layer1.0.bn1,64,56,0.0007758062614878879,0.0016010235698648782
resnet50,tau_0.999,layer1.0.bn2,64,56,0.0008069435912781289,0.0014291685426349157
resnet50,tau_0.999,layer1.1.bn1,64,59,0.0007183962067502507,0.0007822054221584218
resnet50,tau_0.999,layer1.1.bn2,64,64,0.0,0.0
resnet50,tau_0.999,layer1.2.bn1,64,64,0.0,0.0
resnet50,tau_0.999,layer1.2.bn2,64,64,0.0,0.0
resnet50,tau_0.999,layer2.0.bn1,128,126,0.0009905169818668613,0.001638050018528826
resnet50,tau_0.999,layer2.0.bn2,128,127,0.0008066073949384824,0.0015503202805498691
resnet50,tau_0.999,layer2.1.bn1,128,107,0.0009723007968371589,0.001843505739237911
resnet50,tau_0.999,layer2.1.bn2,128,124,0.0008879750617307116,0.0013440442000047994
resnet50,tau_0.999,layer2.2.bn1,128,125,0.0009670520898200175,0.0017247195319722915
resnet50,tau_0.999,layer2.2.bn2,128,128,0.0,0.0
resnet50,tau_0.999,layer2.3.bn1,128,128,0.0,0.0
resnet50,tau_0.999,layer2.3.bn2,128,128,0.0,0.0
resnet50,tau_0.999,layer3.0.bn1,256,255,0.000507683022620832,0.000845754983233396
resnet50,tau_0.999,layer3.0.bn2,256,254,0.0008147108828844135,0.0013344712471172666
resnet50,tau_0.999,layer3.1.bn1,256,253,0.0007693049124719329,0.0012665036087941598
resnet50,tau_0.999,layer3.1.bn2,256,255,0.0005313157099766406,0.0009634635676539528
resnet50,tau_0.999,layer3.2.bn1,256,254,0.0008543290962007616,0.001395404536351605
resnet50,tau_0.999,layer3.2.bn2,256,255,0.0006962605397046811,0.0010573422022674274
resnet50,tau_0.999,layer3.3.bn1,256,255,0.0005931518419169871,0.001066920556212491
resnet50,tau_0.999,layer3.3.bn2,256,255,0.0008797288875449718,0.001241180800337027
resnet50,tau_0.999,layer3.4.bn1,256,255,0.0006387543833575377,0.000890853883957646
resnet50,tau_0.999,layer3.4.bn2,256,255,0.0009196199812680717,0.0012471900946202255
resnet50,tau_0.999,layer3.5.bn1,256,255,0.0007172997081721613,0.0009007384695570919
resnet50,tau_0.999,layer3.5.bn2,256,255,0.0006666286038292614,0.0008536414735083063
resnet50,tau_0.999,layer4.0.bn1,512,510,0.0009146762218535319,0.0013374413785368108
resnet50,tau_0.999,layer4.0.bn2,512,510,0.0009020247760664645,0.0013555847678136553
resnet50,tau_0.999,layer4.1.bn1,512,510,0.0006876929064012934,0.0010700337347004977
resnet50,tau_0.999,layer4.1.bn2,512,511,0.0005110936155562221,0.0006034454845878841
resnet50,tau_0.999,layer4.2.bn1,512,510,0.0008933947099043206,0.001126036831652691
resnet50,tau_0.999,layer4.2.bn2,512,510,0.0009049473847057193,0.0013417357627929162
resnet50,tau_0.99,layer1.0.bn1,64,45,0.009582898150224858,0.01563249277857104
resnet50,tau_0.99,layer1.0.bn2,64,42,0.009084100539782916,0.015343965273856635
resnet50,tau_0.99,layer1.1.bn1,64,52,0.009522328904002625,0.015481749929816052
resnet50,tau_0.99,layer1.1.bn2,64,58,0.008517486951551407,0.012277996720391237
resnet50,tau_0.99,layer1.2.bn1,64,58,0.009691918860114506,0.016556503111328866
resnet50,tau_0.99,layer1.2.bn2,64,62,0.006884711981757958,0.010617860989726923
resnet50,tau_0.99,layer2.0.bn1,128,116,0.00978901552513279,0.01772515202007245
resnet50,tau_0.99,layer2.0.bn2,128,119,0.009621124898767167,0.018370843857036932
resnet50,tau_0.99,layer2.1.bn1,128,76,0.009954125534260883,0.01838361324921017
resnet50,tau_0.99,layer2.1.bn2,128,105,0.009584538311137389,0.017541612923793568
resnet50,tau_0.99,layer2.2.bn1,128,114,0.009949242388121128,0.01885243974469406
resnet50,tau_0.99,layer2.2.bn2,128,121,0.009089098135966056,0.01653279761856506
resnet50,tau_0.99,layer2.3.bn1,128,120,0.009882852768566907,0.016680246029816728
resnet50,tau_0.99,layer2.3.bn2,128,123,0.009940003160160717,0.01551967428111799
resnet50,tau_0.99,layer3.0.bn1,256,240,0.009558773439724914,0.01678579977678413
resnet50,tau_0.99,layer3.0.bn2,256,237,0.009889035316611533,0.017622695824429487
resnet50,tau_0.99,layer3.1.bn1,256,229,0.009739503799934284,0.016684596489836615
resnet50,tau_0.99,layer3.1.bn2,256,242,0.009616561098413858,0.015913764024538486
resnet50,tau_0.99,layer3.2.bn1,256,237,0.009551778194357997,0.016169081288298418
resnet50,tau_0.99,layer3.2.bn2,256,244,0.0098365786145913,0.015102389567881232
resnet50,tau_0.99,layer3.3.bn1,256,242,0.00984174116108611,0.016552669359384292
resnet50,tau_0.99,layer3.3.bn2,256,246,0.009763894804083125,0.014488933695414838
resnet50,tau_0.99,layer3.4.bn1,256,244,0.009380507122724601,0.014171271990791283
resnet50,tau_0.99,layer3.4.bn2,256,246,0.009800739672309952,0.014512581140007072
resnet50,tau_0.99,layer3.5.bn1,256,244,0.009884797979965915,0.014395359527746435
resnet50,tau_0.99,layer3.5.bn2,256,244,0.009219713278451124,0.012904855751515856
resnet50,tau_0.99,layer4.0.bn1,512,492,0.009748426800179786,0.014278123480270574
resnet50,tau_0.99,layer4.0.bn2,512,492,0.009544467404491393,0.014611316473459307
resnet50,tau_0.99,layer4.1.bn1,512,491,0.009812284878488906,0.015098075148979095
resnet50,tau_0.99,layer4.1.bn2,512,496,0.009660162914904092,0.012658333581934121
resnet50,tau_0.99,layer4.2.bn1,512,492,0.00998259992897886,0.014104351434595602
resnet50,tau_0.99,layer4.2.bn2,512,492,0.009713515392429452,0.015203079591975024
resnet50,tau_0.95,layer1.0.bn1,64,28,0.0467206089563345,0.07285159801664139
resnet50,tau_0.95,layer1.0.bn2,64,24,0.048122566849123465,0.07656094535527032
resnet50,tau_0.95,layer1.1.bn1,64,37,0.04957997054693886,0.07883207436258444
resnet50,tau_0.95,layer1.1.bn2,64,44,0.04928928899378105,0.07530019817482611
resnet50,tau_0.95,layer1.2.bn1,64,44,0.04889501988168048,0.08442447516773462
resnet50,tau_0.95,layer1.2.bn2,64,53,0.046213954161878464,0.07668031888076146
resnet50,tau_0.95,layer2.0.bn1,128,88,0.048722745630547626,0.08859733505282465
resnet50,tau_0.95,layer2.0.bn2,128,95,0.0494149250226932,0.09359654314311686
resnet50,tau_0.95,layer2.1.bn1,128,40,0.0483403689229163,0.08450993263411688
resnet50,tau_0.95,layer2.1.bn2,128,68,0.048906012162810875,0.09168921183994698
resnet50,tau_0.95,layer2.2.bn1,128,85,0.04952640727316588,0.08722670397411286
resnet50,tau_0.95,layer2.2.bn2,128,99,0.048460220360670304,0.08458341094492303
resnet50,tau_0.95,layer2.3.bn1,128,96,0.049757167949891684,0.0876470630510864
resnet50,tau_0.95,layer2.3.bn2,128,107,0.049009573022194934,0.07687849509082621
resnet50,tau_0.95,layer3.0.bn1,256,191,0.0492566953955899,0.08511967096249166
resnet50,tau_0.95,layer3.0.bn2,256,185,0.049915669679757205,0.09149091982017771
resnet50,tau_0.95,layer3.1.bn1,256,167,0.049219308808440686,0.08747880578201017
resnet50,tau_0.95,layer3.1.bn2,256,200,0.049913102119823874,0.07984129124571605
resnet50,tau_0.95,layer3.2.bn1,256,183,0.04950951273202153,0.08344326988929211
resnet50,tau_0.95,layer3.2.bn2,256,206,0.04999971536120734,0.07812377097621512
resnet50,tau_0.95,layer3.3.bn1,256,200,0.04919775344786989,0.0804990563515923
resnet50,tau_0.95,layer3.3.bn2,256,212,0.04985873381302048,0.07521936586294904
resnet50,tau_0.95,layer3.4.bn1,256,205,0.04929558281820639,0.07731090336590318
resnet50,tau_0.95,layer3.4.bn2,256,212,0.0497391990057069,0.07400512203961755
resnet50,tau_0.95,layer3.5.bn1,256,206,0.04918592456798669,0.07427293587690453
resnet50,tau_0.95,layer3.5.bn2,256,203,0.04917026062631722,0.07232413501541649
resnet50,tau_0.95,layer4.0.bn1,512,421,0.049919090795741125,0.07496329550372716
resnet50,tau_0.95,layer4.0.bn2,512,419,0.04969685388292606,0.07794825484284751
resnet50,tau_0.95,layer4.1.bn1,512,421,0.049889231944154025,0.07843051743907299
resnet50,tau_0.95,layer4.1.bn2,512,439,0.049881811821868884,0.0693629587743913
resnet50,tau_0.95,layer4.2.bn1,512,425,0.04958159895823378,0.07356939572868162
resnet50,tau_0.95,layer4.2.bn2,512,422,0.04991003112370083,0.0816355603065772
resnet50,eps_0.001,layer1.0.bn1,64,57,0.00031901985170884053,0.00086258927263127
resnet50,eps_0.001,layer1.0.bn2,64,57,0.0005281578034842516,0.000984020534338603
resnet50,eps_0.001,layer1.1.bn1,64,59,0.0007183962067502507,0.0007822054221584218
resnet50,eps_0.001,layer1.1.bn2,64,64,0.0,0.0
resnet50,eps_0.001,layer1.2.bn1,64,64,0.0,0.0
resnet50,eps_0.001,layer1.2.bn2,64,64,0.0,0.0
resnet50,eps_0.001,layer2.0.bn1,128,127,0.0003145404757875469,0.0003567484542155482
resnet50,eps_0.001,layer2.0.bn2,128,128,0.0,0.0
resnet50,eps_0.001,layer2.1.bn1,128,112,0.00048775016432752014,0.0009317172602725698
resnet50,eps_0.001,layer2.1.bn2,128,125,0.000637657422931251,0.0009504754374666942
resnet50,eps_0.001,layer2.2.bn1,128,127,0.00024048564183917596,0.00037024786887692053
resnet50,eps_0.001,layer2.2.bn2,128,128,0.0,0.0
resnet50,eps_0.001,layer2.3.bn1,128,128,0.0,0.0
resnet50,eps_0.001,layer2.3.bn2,128,128,0.0,0.0
resnet50,eps_0.001,layer3.0.bn1,256,255,0.000507683022620832,0.000845754983233396
resnet50,eps_0.001,layer3.0.bn2,256,255,0.00038349887286764716,0.000620688739433597
resnet50,eps_0.001,layer3.1.bn1,256,254,0.0004953021312599049,0.0008228023139036993
resnet50,eps_0.001,layer3.1.bn2,256,255,0.0005313157099766406,0.0009634635676539528
resnet50,eps_0.001,layer3.2.bn1,256,255,0.00042158128430985417,0.0006970464292644175
resnet50,eps_0.001,layer3.2.bn2,256,256,0.0,0.0
resnet50,eps_0.001,layer3.3.bn1,256,256,0.0,0.0
resnet50,eps_0.001,layer3.3.bn2,256,256,0.0,0.0
resnet50,eps_0.001,layer3.4.bn1,256,255,0.0006387543833575377,0.000890853883957646
resnet50,eps_0.001,layer3.4.bn2,256,256,0.0,0.0
resnet50,eps_0.001,layer3.5.bn1,256,255,0.0007172997081721613,0.0009007384695570919
resnet50,eps_0.001,layer3.5.bn2,256,255,0.0006666286038292614,0.0008536414735083063
resnet50,eps_0.001,layer4.0.bn1,512,511,0.0004482169866987072,0.0006677126919713411
resnet50,eps_0.001,layer4.0.bn2,512,511,0.00044692054464275994,0.0006771669631335871
resnet50,eps_0.001,layer4.1.bn1,512,511,0.00029072950589465087,0.0004963693494574405
resnet50,eps_0.001,layer4.1.bn2,512,511,0.0005110936155562221,0.0006034454845878841
resnet50,eps_0.001,layer4.2.bn1,512,511,0.00044267629633247015,0.0005520010665835485
resnet50,eps_0.001,layer4.2.bn2,512,511,0.0004489174524133455,0.0006642425715849274
resnet50,eps_0.01,layer1.0.bn1,64,49,0.005515310663683787,0.009640138253185878
resnet50,eps_0.01,layer1.0.bn2,64,46,0.00553767147753697,0.0099918597345789
resnet50,eps_0.01,layer1.1.bn1,64,55,0.005016983618890517,0.00808256250459204
resnet50,eps_0.01,layer1.1.bn2,64,59,0.006669724480285774,0.009767273182600981
resnet50,eps_0.01,layer1.2.bn1,64,60,0.006051616250631296,0.009760881451769714
resnet50,eps_0.01,layer1.2.bn2,64,63,0.0032541643563469254,0.004838574598973293
resnet50,eps_0.01,layer2.0.bn1,128,121,0.0050477359953388515,0.008869254892331098
resnet50,eps_0.01,layer2.0.bn2,128,123,0.0048698498642170285,0.008858704460086915
resnet50,eps_0.01,layer2.1.bn1,128,87,0.005357164001841463,0.009880960511474522
resnet50,eps_0.01,layer2.1.bn2,128,113,0.005097589049311568,0.008922621823687816
resnet50,eps_0.01,layer2.2.bn1,128,120,0.004538807066357659,0.00884781401496902
resnet50,eps_0.01,layer2.2.bn2,128,124,0.004961772690562841,0.008827082684642704
resnet50,eps_0.01,layer2.3.bn1,128,123,0.005940583615935184,0.009598771356229453
resnet50,eps_0.01,layer2.3.bn2,128,125,0.005824084547070055,0.00889227254982122
resnet50,eps_0.01,layer3.0.bn1,256,247,0.005075627942739295,0.008913845813270576
resnet50,eps_0.01,layer3.0.bn2,256,245,0.0053076025422155015,0.009262587440572479
resnet50,eps_0.01,layer3.1.bn1,256,238,0.005909909864163573,0.009843909993610359
resnet50,eps_0.01,layer3.1.bn2,256,247,0.00582886648948656,0.009827241016247377
resnet50,eps_0.01,layer3.2.bn1,256,244,0.005713826029077267,0.009587632675736946
resnet50,eps_0.01,layer3.2.bn2,256,248,0.0063312312407107245,0.009592808003710937
resnet50,eps_0.01,layer3.3.bn1,256,248,0.005331858730915616,0.00900641759856234
resnet50,eps_0.01,layer3.3.bn2,256,249,0.006692523467883278,0.009931673893840628
resnet50,eps_0.01,layer3.4.bn1,256,248,0.006024141972368867,0.00887755241260105
resnet50,eps_0.01,layer3.4.bn2,256,249,0.006747019661927718,0.009884458970803074
resnet50,eps_0.01,layer3.5.bn1,256,248,0.006350053628708721,0.00917332906225055
resnet50,eps_0.01,layer3.5.bn2,256,247,0.006752556091523983,0.00936001776966115
resnet50,eps_0.01,layer4.0.bn1,512,498,0.006717866923317924,0.009793710292561377
resnet50,eps_0.01,layer4.0.bn2,512,499,0.006108020037500321,0.009254884673747585
resnet50,eps_0.01,layer4.1.bn1,512,498,0.006298261310146504,0.009567366232767233
resnet50,eps_0.01,layer4.1.bn2,512,500,0.0071287135120798205,0.00920738832496638
resnet50,eps_0.01,layer4.2.bn1,512,498,0.006827796256112415,0.00948669353032679
resnet50,eps_0.01,layer4.2.bn2,512,499,0.006187012323709274,0.00955738068188734
