model,scheme,site,C,m,subspace_resid,cssp_resid
timm:resnet50.a1_in1k,tau_0.999,layer1.0.bn1,64,40,0.0009267189773378739,0.001366189201568144
timm:resnet50.a1_in1k,tau_0.999,layer1.0.bn2,64,30,0.0009554990167632564,0.0015237916822508546
timm:resnet50.a1_in1k,tau_0.999,layer1.1.bn1,64,59,0.0009898051732308826,0.0010392161293719707
timm:resnet50.a1_in1k,tau_0.999,layer1.1.bn2,64,59,0.0009498569731747716,0.0012675912554673452
timm:resnet50.a1_in1k,tau_0.999,layer1.2.bn1,64,62,0.00010265940835716508,0.00010267774479099984
timm:resnet50.a1_in1k,tau_0.999,layer1.2.bn2,64,63,0.0004400929707955816,0.0004675656251283738
timm:resnet50.a1_in1k,tau_0.999,layer2.0.bn1,128,123,0.0005842568744207011,0.0005863079376369599
timm:resnet50.a1_in1k,tau_0.999,layer2.0.bn2,128,125,0.000838496135984966,0.0008519191075001433
timm:resnet50.a1_in1k,tau_0.999,layer2.1.bn1,128,113,0.0009892008269442563,0.0010053358365628825
timm:resnet50.a1_in1k,tau_0.999,layer2.1.bn2,128,117,0.0007607817155524226,0.0007665378387792309
timm:resnet50.a1_in1k,tau_0.999,layer2.2.bn1,128,124,0.0009173605834376213,0.0009367752554628353
timm:resnet50.a1_in1k,tau_0.999,layer2.2.bn2,128,127,0.00028523992338738474,0.0003064053924342968
timm:resnet50.a1_in1k,tau_0.999,layer2.3.bn1,128,119,0.0007887592332398909,0.0007960151817020765
timm:resnet50.a1_in1k,tau_0.999,layer2.3.bn2,128,120,0.0008725421971087428,0.000875326679558376
timm:resnet50.a1_in1k,tau_0.999,layer3.0.bn1,256,250,0.0009291311058720115,0.0010346860400422962
timm:resnet50.a1_in1k,tau_0.999,layer3.0.bn2,256,254,0.0005530198340037796,0.000579927303151662
timm:resnet50.a1_in1k,tau_0.999,layer3.1.bn1,256,247,0.0008061466317911745,0.0008552798394092101
timm:resnet50.a1_in1k,tau_0.999,layer3.1.bn2,256,242,0.0008867444847674844,0.0009030178002498029
timm:resnet50.a1_in1k,tau_0.999,layer3.2.bn1,256,246,0.0009404326531982813,0.0009797388121187585
timm:resnet50.a1_in1k,tau_0.999,layer3.2.bn2,256,240,0.0008801950625682623,0.0009653257896769945
timm:resnet50.a1_in1k,tau_0.999,layer3.3.bn1,256,247,0.0008161700543043381,0.00103621583719381
timm:resnet50.a1_in1k,tau_0.999,layer3.3.bn2,256,247,0.0009583378883455658,0.0010746152300470102
timm:resnet50.a1_in1k,tau_0.999,layer3.4.bn1,256,252,0.0006877455348301914,0.0007263238791364665
timm:resnet50.a1_in1k,tau_0.999,layer3.4.bn2,256,253,0.0008233378988975233,0.0009121394184394379
timm:resnet50.a1_in1k,tau_0.999,layer3.5.bn1,256,253,0.0007620580274147798,0.0008748519496150242
timm:resnet50.a1_in1k,tau_0.999,layer3.5.bn2,256,254,0.0007876640466503308,0.000999537031879444
timm:resnet50.a1_in1k,tau_0.999,layer4.0.bn1,512,507,0.0006309441446078268,0.0006745454987899544
timm:resnet50.a1_in1k,tau_0.999,layer4.0.bn2,512,509,0.0006680405740106021,0.0007688146467774282
timm:resnet50.a1_in1k,tau_0.999,layer4.1.bn1,512,504,0.0008929492038052559,0.0009364622104542672
timm:resnet50.a1_in1k,tau_0.999,layer4.1.bn2,512,504,0.0007409184743941232,0.0007747640266518173
timm:resnet50.a1_in1k,tau_0.999,layer4.2.bn1,512,496,0.0009274954462636616,0.001003760941034217
timm:resnet50.a1_in1k,tau_0.999,layer4.2.bn2,512,497,0.0009358950032294195,0.0009677619136598914
timm:resnet50.a1_in1k,tau_0.99,layer1.0.bn1,64,17,0.009670295231344545,0.011843686403136829
timm:resnet50.a1_in1k,tau_0.99,layer1.0.bn2,64,14,0.0096023093617806,0.012380653365072462
timm:resnet50.a1_in1k,tau_0.99,layer1.1.bn1,64,50,0.009416461213280065,0.011093461415930837
timm:resnet50.a1_in1k,tau_0.99,layer1.1.bn2,64,53,0.008896122296872158,0.01154036965063846
timm:resnet50.a1_in1k,tau_0.99,layer1.2.bn1,64,57,0.008828954054462783,0.012602418049735052
timm:resnet50.a1_in1k,tau_0.99,layer1.2.bn2,64,58,0.008044484012430835,0.009681529829842179
timm:resnet50.a1_in1k,tau_0.99,layer2.0.bn1,128,114,0.008943743527943089,0.012899504441534529
