model,scheme,site,C,m,subspace_resid,cssp_resid
timm:resnet50.tv2_in1k,tau_0.999,layer1.0.bn1,64,62,0.0005063334395406943,0.0007262961011697089
timm:resnet50.tv2_in1k,tau_0.999,layer1.0.bn2,64,57,0.0007908918492629792,0.0009600375372565838
timm:resnet50.tv2_in1k,tau_0.999,layer1.1.bn1,64,61,0.0006743932410431755,0.0006768398172880562
timm:resnet50.tv2_in1k,tau_0.999,layer1.1.bn2,64,62,0.0007350977242720666,0.0007362708308235363
timm:resnet50.tv2_in1k,tau_0.999,layer1.2.bn1,64,63,4.271251105660092e-05,4.2713279543360644e-05
timm:resnet50.tv2_in1k,tau_0.999,layer1.2.bn2,64,63,5.4376103268552024e-05,5.4379665124427095e-05
timm:resnet50.tv2_in1k,tau_0.999,layer2.0.bn1,128,128,0.0,0.0
timm:resnet50.tv2_in1k,tau_0.999,layer2.0.bn2,128,127,0.0004958316546721542,0.0005350088845663911
timm:resnet50.tv2_in1k,tau_0.999,layer2.1.bn1,128,123,0.0009055943300789372,0.0013099757970759444
timm:resnet50.tv2_in1k,tau_0.999,layer2.1.bn2,128,125,0.0007775644742009837,0.0009732308285267864
timm:resnet50.tv2_in1k,tau_0.999,layer2.2.bn1,128,124,0.0008474397928018687,0.0008870430138620981
timm:resnet50.tv2_in1k,tau_0.999,layer2.2.bn2,128,123,0.0008601049233348583,0.0009019273907427371
timm:resnet50.tv2_in1k,tau_0.999,layer2.3.bn1,128,125,0.0008462395769518192,0.001164387979895178
timm:resnet50.tv2_in1k,tau_0.999,layer2.3.bn2,128,126,0.0006448804750920189,0.0007166780011097995
timm:resnet50.tv2_in1k,tau_0.999,layer3.0.bn1,256,254,0.0005859973051593173,0.0006760715653980761
timm:resnet50.tv2_in1k,tau_0.999,layer3.0.bn2,256,253,0.0009859628517160136,0.0015950533761091787
timm:resnet50.tv2_in1k,tau_0.999,layer3.1.bn1,256,246,0.0009736901818517456,0.001540115947449526
timm:resnet50.tv2_in1k,tau_0.999,layer3.1.bn2,256,248,0.0009550304941296187,0.001056579361929212
timm:resnet50.tv2_in1k,tau_0.999,layer3.2.bn1,256,249,0.0009270068422787851,0.000993635680177922
timm:resnet50.tv2_in1k,tau_0.999,layer3.2.bn2,256,250,0.0008377441507624895,0.0009153738083359083
timm:resnet50.tv2_in1k,tau_0.999,layer3.3.bn1,256,253,0.0009091110884452088,0.0010139714074320183
timm:resnet50.tv2_in1k,tau_0.999,layer3.3.bn2,256,252,0.0008115662905165244,0.0008392684796751343
timm:resnet50.tv2_in1k,tau_0.999,layer3.4.bn1,256,252,0.0008482602293767379,0.0009483413410504345
timm:resnet50.tv2_in1k,tau_0.999,layer3.4.bn2,256,253,0.0007640693281369073,0.0008101763686489485
timm:resnet50.tv2_in1k,tau_0.999,layer3.5.bn1,256,255,0.0003796467068715104,0.0005019095908281801
timm:resnet50.tv2_in1k,tau_0.999,layer3.5.bn2,256,255,0.000690104777637294,0.0007478690069592736
timm:resnet50.tv2_in1k,tau_0.999,layer4.0.bn1,512,510,0.0008572350544087151,0.0011378511751595638
timm:resnet50.tv2_in1k,tau_0.999,layer4.0.bn2,512,510,0.0009241549382940747,0.0012505494170464819
timm:resnet50.tv2_in1k,tau_0.999,layer4.1.bn1,512,506,0.0007972083838431959,0.0010582169177858407
timm:resnet50.tv2_in1k,tau_0.999,layer4.1.bn2,512,508,0.0007087291769648146,0.000802115711352929
timm:resnet50.tv2_in1k,tau_0.999,layer4.2.bn1,512,504,0.0008814101677498857,0.0009796975054099648
timm:resnet50.tv2_in1k,tau_0.999,layer4.2.bn2,512,506,0.0009735048083112278,0.0010178212935472457
timm:resnet50.tv2_in1k,tau_0.99,layer1.0.bn1,64,51,0.009891689116239787,0.014277138822460933
timm:resnet50.tv2_in1k,tau_0.99,layer1.0.bn2,64,41,0.009345724769316431,0.013751214780729866
timm:resnet50.tv2_in1k,tau_0.99,layer1.1.bn1,64,57,0.008046500691442448,0.011738538244339278
timm:resnet50.tv2_in1k,tau_0.99,layer1.1.bn2,64,59,0.008270472801616777,0.009628174385259017
timm:resnet50.tv2_in1k,tau_0.99,layer1.2.bn1,64,59,0.008236492615191784,0.010451589190434861
timm:resnet50.tv2_in1k,tau_0.99,layer1.2.bn2,64,60,0.008645961190326837,0.013925687047776013
timm:resnet50.tv2_in1k,tau_0.99,layer2.0.bn1,128,121,0.009551385838608734,0.01397449162970421
timm:resnet50.tv2_in1k,tau_0.99,layer2.0.bn2,128,119,0.009705188671336447,0.014040491291654843
timm:resnet50.tv2_in1k,tau_0.99,layer2.1.bn1,128,107,0.009979337935957941,0.014874842429108819
timm:resnet50.tv2_in1k,tau_0.99,layer2.1.bn2,128,116,0.008974630703523319,0.010168100014322189
timm:resnet50.tv2_in1k,tau_0.99,layer2.2.bn1,128,114,0.008686093003555275,0.0103094229348826
timm:resnet50.tv2_in1k,tau_0.99,layer2.2.bn2,128,114,0.008505332828704717,0.009490066042049496
timm:resnet50.tv2_in1k,tau_0.99,layer2.3.bn1,128,118,0.00981069144345254,0.01560784544701037
