model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999
resnet18,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.34483468166996456,306285185.3830581,0.04567102742894882,57,7,381279.1083765905,True,1.0,True,0.125,0.296875,0.0625,0.0625,1.0,True,0.171875,0.359375,0.109375,0.109375,1.0,True,0.296875,0.515625,0.421875,0.359375,1.0,True,0.484375,0.71875,0.953125,0.75
resnet18,layer1.0.conv1,1,64,64,9,576,64,307200,533.3333333333334,0.5358304662349513,9.63458025943358,0.5376920491651619,64,0,9.63458025943358,True,0.984375,True,0.21875,0.515625,1.0,0.375,1.0,True,0.296875,0.65625,1.0,0.5625,1.0,True,0.5625,0.890625,1.0,0.859375,1.0,True,0.875,0.984375,1.0,0.984375
resnet18,layer1.0.conv2,2,64,64,9,576,64,307200,533.3333333333334,0.6612503928678628,7.962941714537997,1.0,64,0,7.962941714537997,True,0.984375,True,0.28125,0.609375,1.0,0.53125,1.0,True,0.421875,0.734375,1.0,0.71875,1.0,True,0.71875,0.921875,1.0,0.921875,1.0,True,0.9375,0.984375,1.0,1.0
resnet18,layer1.1.conv1,3,64,64,9,576,64,307200,533.3333333333334,0.653725085969539,6.277218925235871,1.0,64,0,6.277218925235871,True,0.984375,True,0.40625,0.625,1.0,0.59375,1.0,True,0.53125,0.765625,1.0,0.75,1.0,True,0.796875,0.953125,1.0,0.9375,1.0,True,0.96875,1.0,1.0,1.0
resnet18,layer1.1.conv2,4,64,64,9,576,64,307200,533.3333333333334,0.7311899386135936,5.408225463178272,1.0,64,0,5.408225463178272,True,0.984375,True,0.484375,0.65625,1.0,0.6875,1.0,True,0.625,0.78125,1.0,0.8125,1.0,True,0.859375,0.9375,1.0,0.953125,1.0,True,0.984375,1.0,1.0,1.0
resnet18,layer2.0.conv1,5,64,128,9,576,128,307200,533.3333333333334,0.6813963410719597,6.676322871243873,1.0,128,0,6.676322871243873,True,0.984375,True,0.3359375,0.6015625,1.0,0.578125,0.9921875,True,0.453125,0.734375,1.0,0.734375,1.0,True,0.703125,0.921875,1.0,0.9296875,1.0,True,0.9296875,0.9921875,1.0,0.9921875
resnet18,layer2.0.conv2,6,128,128,9,1152,128,307200,266.6666666666667,0.7017724148406267,5.585825167924331,1.0,128,0,5.585825167924331,True,0.9921875,True,0.4453125,0.6484375,1.0,0.6875,1.0,True,0.59375,0.78125,1.0,0.828125,1.0,True,0.859375,0.9453125,1.0,0.9609375,1.0,True,0.984375,1.0,1.0,1.0
resnet18,layer2.0.downsample.0,7,64,128,1,64,64,307200,4800.0,0.5204835613266389,14.874151632883114,0.659268251327749,64,0,14.874151632883114,True,1.0,True,0.328125,0.46875,0.625,0.625,1.0,True,0.4375,0.59375,0.765625,0.765625,1.0,True,0.6875,0.828125,0.9375,0.9375,1.0,True,0.921875,0.96875,1.0,1.0
resnet18,layer2.1.conv1,8,128,128,9,1152,128,307200,266.6666666666667,0.762028668676868,4.503190289522138,1.0,128,0,4.503190289522138,True,0.9765625,True,0.4609375,0.6953125,1.0,0.6796875,0.9921875,True,0.6171875,0.8203125,1.0,0.8125,1.0,True,0.8671875,0.9609375,1.0,0.9609375,1.0,True,0.984375,1.0,1.0,1.0
resnet18,layer2.1.conv2,9,128,128,9,1152,128,307200,266.6666666666667,0.6948394059023528,7.631253349431705,1.0,128,0,7.631253349431705,True,1.0,True,0.5078125,0.671875,1.0,0.75,1.0,True,0.6640625,0.796875,1.0,0.8671875,1.0,True,0.890625,0.9453125,1.0,0.9765625,1.0,True,0.9921875,1.0,1.0,1.0
