model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,out_0.9,kernel_0.9,data_0.9,ortho_0.9,out_0.95,kernel_0.95,data_0.95,ortho_0.95,out_0.99,kernel_0.99,data_0.99,ortho_0.99,out_0.999,kernel_0.999,data_0.999,ortho_0.999
resnet50_random,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.8007680246887412,4.355951870091435,0.0455118093993365,0.0625,0.6875,0.0625,0.046875,0.109375,0.8125,0.109375,0.078125,0.328125,0.953125,0.421875,0.3125,0.671875,1.0,0.953125,0.6875
resnet50_random,layer1.0.conv1,1,64,64,1,64,64,307200,4800.0,0.5974986650943095,131.52075797195417,0.08867887017686607,0.09375,0.515625,0.109375,0.109375,0.171875,0.609375,0.21875,0.21875,0.4375,0.765625,0.703125,0.703125,0.734375,0.890625,0.96875,0.96875
resnet50_random,layer1.0.conv2,2,64,64,9,576,64,307200,533.3333333333334,0.9429031999588993,1.9677091775362021,0.20200937701616134,0.234375,0.828125,0.34375,0.25,0.421875,0.90625,1.0,0.4375,0.796875,0.984375,1.0,0.828125,0.984375,1.0,1.0,0.984375
resnet50_random,layer1.0.conv3,3,64,256,1,64,64,307200,4800.0,0.8762110821656205,2.9236030633592462,0.16048538486075375,0.203125,0.765625,0.234375,0.234375,0.359375,0.859375,0.40625,0.40625,0.640625,0.96875,0.6875,0.6875,0.859375,1.0,0.890625,0.890625
resnet50_random,layer1.0.downsample.0,4,64,256,1,64,64,307200,4800.0,0.8868565434329352,2.711025951732678,0.08866181959438522,0.109375,0.78125,0.109375,0.109375,0.21875,0.875,0.21875,0.21875,0.640625,0.96875,0.703125,0.703125,0.9375,1.0,0.96875,0.96875
resnet50_random,layer1.1.conv1,5,256,64,1,256,64,307200,1200.0,0.8780370453272549,2.8681764858747063,0.18806786837633213,0.21875,0.765625,0.3125,0.234375,0.359375,0.859375,0.671875,0.40625,0.71875,0.96875,1.0,0.765625,0.953125,1.0,1.0,0.96875
resnet50_random,layer1.1.conv2,6,64,64,9,576,64,307200,533.3333333333334,0.945621380927855,1.8974214296675131,0.26016076687413026,0.296875,0.828125,0.625,0.3125,0.5,0.90625,1.0,0.53125,0.84375,0.984375,1.0,0.859375,0.984375,1.0,1.0,0.984375
resnet50_random,layer1.1.conv3,7,64,256,1,64,64,307200,4800.0,0.8886767260756443,2.7108181741379522,0.18054418158977048,0.265625,0.765625,0.28125,0.28125,0.40625,0.875,0.4375,0.4375,0.65625,0.96875,0.671875,0.671875,0.828125,1.0,0.84375,0.84375
resnet50_random,layer1.2.conv1,8,256,64,1,256,64,307200,1200.0,0.8830027837957869,2.7475599908758257,0.2324314364000262,0.25,0.78125,0.421875,0.265625,0.421875,0.875,0.8125,0.453125,0.765625,0.96875,1.0,0.8125,0.96875,1.0,1.0,0.984375
resnet50_random,layer1.2.conv2,9,64,64,9,576,64,307200,533.3333333333334,0.947788868845968,1.9613552959229756,0.3016661792497091,0.34375,0.828125,0.796875,0.34375,0.546875,0.90625,1.0,0.5625,0.859375,0.984375,1.0,0.875,0.984375,1.0,1.0,0.984375
