model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,out_0.9,kernel_0.9,data_0.9,ortho_0.9,out_0.95,kernel_0.95,data_0.95,ortho_0.95,out_0.99,kernel_0.99,data_0.99,ortho_0.99,out_0.999,kernel_0.999,data_0.999,ortho_0.999
timm:densenet121.tv_in1k,features.conv0,0,3,64,49,147,64,307200,2089.795918367347,0.3566750108645383,53394642.921066515,0.045397489572442135,0.109375,0.3125,0.0625,0.0625,0.15625,0.375,0.109375,0.109375,0.296875,0.515625,0.421875,0.359375,0.484375,0.765625,0.953125,0.765625
timm:densenet121.tv_in1k,features.denseblock1.denselayer1.conv1,1,64,128,1,64,64,307200,4800.0,0.38796087760259695,23917116.494851112,0.18151061261348944,0.109375,0.3125,0.25,0.25,0.140625,0.40625,0.40625,0.40625,0.28125,0.625,0.671875,0.671875,0.515625,0.78125,0.8125,0.8125
timm:densenet121.tv_in1k,features.denseblock1.denselayer1.conv2,2,128,32,9,1152,32,307200,266.6666666666667,0.7121793704717717,6.917195348811741,1.0,0.375,0.65625,1.0,0.5,0.5,0.75,1.0,0.65625,0.75,0.9375,1.0,0.90625,0.96875,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock1.denselayer2.conv1,3,96,128,1,96,96,307200,3200.0,0.3622486256439686,37391643.92674406,0.236264131288874,0.13541666666666666,0.3229166666666667,0.3333333333333333,0.3333333333333333,0.19791666666666666,0.4270833333333333,0.5,0.5,0.3541666666666667,0.6458333333333334,0.7708333333333334,0.7708333333333334,0.5833333333333334,0.8645833333333334,0.9270833333333334,0.9270833333333334
timm:densenet121.tv_in1k,features.denseblock1.denselayer2.conv2,4,128,32,9,1152,32,307200,266.6666666666667,0.7929717814201273,6.281836577423509,1.0,0.53125,0.71875,1.0,0.59375,0.6875,0.8125,1.0,0.75,0.875,0.9375,1.0,0.9375,0.96875,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock1.denselayer3.conv1,5,128,128,1,128,128,307200,2400.0,0.3741460594290197,412456675.7685758,0.333091720508677,0.1484375,0.328125,0.3671875,0.3671875,0.1953125,0.4296875,0.5,0.5,0.3515625,0.6171875,0.75,0.75,0.578125,0.8046875,0.8984375,0.8984375
timm:densenet121.tv_in1k,features.denseblock1.denselayer3.conv2,6,128,32,9,1152,32,307200,266.6666666666667,0.828006336840706,2.9992655307359835,1.0,0.59375,0.75,1.0,0.75,0.71875,0.84375,1.0,0.84375,0.9375,0.96875,1.0,0.96875,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock1.denselayer4.conv1,7,160,128,1,160,128,307200,1920.0,0.3687264168466131,340.1754885511237,0.3897978472920848,0.15625,0.328125,0.3828125,0.375,0.2109375,0.421875,0.515625,0.5078125,0.34375,0.6171875,0.7421875,0.734375,0.5625,0.8046875,0.9609375,0.9296875
timm:densenet121.tv_in1k,features.denseblock1.denselayer4.conv2,8,128,32,9,1152,32,307200,266.6666666666667,0.8816365384812409,2.822388848478372,1.0,0.65625,0.78125,1.0,0.78125,0.78125,0.875,1.0,0.875,0.9375,0.96875,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock1.denselayer5.conv1,9,192,128,1,192,128,307200,1600.0,0.4084171531573624,39.981051784988836,0.5531860781326351,0.1953125,0.375,0.5625,0.4921875,0.265625,0.5,0.75,0.6484375,0.4609375,0.71875,1.0,0.8671875,0.71875,0.90625,1.0,0.9765625
timm:densenet121.tv_in1k,features.denseblock1.denselayer5.conv2,10,128,32,9,1152,32,307200,266.6666666666667,0.8409539342009307,3.2536060642900315,1.0,0.59375,0.75,1.0,0.75,0.71875,0.875,1.0,0.875,0.90625,0.96875,1.0,0.96875,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock1.denselayer6.conv1,11,224,128,1,224,128,307200,1371.4285714285713,0.40657467031994726,81.62311911068343,0.49781171736414226,0.171875,0.359375,0.4921875,0.453125,0.2265625,0.46875,0.6796875,0.6171875,0.390625,0.6796875,0.96875,0.8671875,0.6484375,0.875,1.0,0.9765625
timm:densenet121.tv_in1k,features.denseblock1.denselayer6.conv2,12,128,32,9,1152,32,307200,266.6666666666667,0.9156959851477288,2.620915315005523,1.0,0.71875,0.8125,1.0,0.78125,0.8125,0.875,1.0,0.875,0.9375,0.96875,1.0,0.96875,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.transition1.conv,13,256,128,1,256,128,307200,1200.0,0.5172033800900542,22.991577093893376,0.8297116245861489,0.28125,0.4375,0.84375,0.5625,0.3671875,0.546875,1.0,0.7109375,0.5625,0.7734375,1.0,0.90625,0.8203125,0.953125,1.0,0.984375
timm:densenet121.tv_in1k,features.denseblock2.denselayer1.conv1,14,128,128,1,128,128,307200,2400.0,0.17727750752159155,8609668576.763922,0.13105083694524797,0.0390625,0.1640625,0.1796875,0.1796875,0.0625,0.21875,0.2734375,0.2734375,0.1328125,0.34375,0.4609375,0.4609375,0.2578125,0.484375,0.5859375,0.5859375
timm:densenet121.tv_in1k,features.denseblock2.denselayer1.conv2,15,128,32,9,1152,32,307200,266.6666666666667,0.5435830150499146,8.998329446763526,1.0,0.375,0.5,1.0,0.59375,0.46875,0.625,1.0,0.75,0.6875,0.875,1.0,0.9375,0.90625,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock2.denselayer2.conv1,16,160,128,1,160,128,307200,1920.0,0.3327162084052753,97.1453065339549,0.43302799500550415,0.1171875,0.296875,0.5078125,0.46875,0.171875,0.40625,0.6796875,0.625,0.3359375,0.6328125,0.9609375,0.8671875,0.6015625,0.84375,1.0,0.984375
timm:densenet121.tv_in1k,features.denseblock2.denselayer2.conv2,17,128,32,9,1152,32,307200,266.6666666666667,0.8196039536647349,3.934297208296903,1.0,0.5625,0.71875,1.0,0.75,0.71875,0.84375,1.0,0.84375,0.90625,0.96875,1.0,0.96875,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock2.denselayer3.conv1,18,192,128,1,192,128,307200,1600.0,0.37389649714264883,54.20122447823275,0.5065374448094674,0.15625,0.3359375,0.53125,0.46875,0.2109375,0.4453125,0.71875,0.6171875,0.3828125,0.6796875,1.0,0.859375,0.6328125,0.8828125,1.0,0.984375
timm:densenet121.tv_in1k,features.denseblock2.denselayer3.conv2,19,128,32,9,1152,32,307200,266.6666666666667,0.8187283474473559,3.416891550964456,1.0,0.625,0.75,1.0,0.75,0.75,0.84375,1.0,0.84375,0.90625,0.96875,1.0,0.96875,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock2.denselayer4.conv1,20,224,128,1,224,128,307200,1371.4285714285713,0.4436314111457845,23.236771925463817,0.7533932820450295,0.203125,0.421875,0.8359375,0.5625,0.2890625,0.5625,1.0,0.71875,0.5390625,0.796875,1.0,0.921875,0.828125,0.9609375,1.0,0.9921875
