model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:densenet121.tv_in1k_random,features.conv0,0,3,64,49,147,64,307200,2089.795918367347,0.7991816426814382,4.487465731371985,0.045397489572442135,64,0,4.487465731371985,True,0.453125,True,0.015625,True,0.0625,0.6875,0.0625,0.0625,0.5625,True,0.015625,True,0.109375,0.8125,0.109375,0.09375,0.78125,True,0.03125,True,0.3125,0.953125,0.421875,0.328125,0.953125,True,0.21875,True,0.65625,1.0,0.953125,0.703125,-0.06973443223443222,-0.03326603243000321
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer1.conv1,1,64,128,1,64,64,307200,4800.0,0.7744876696230137,5.390941099905676,0.08773028521460242,64,0,5.390941099905676,True,0.859375,True,0.015625,True,0.109375,0.671875,0.109375,0.109375,0.9375,True,0.015625,True,0.203125,0.78125,0.21875,0.21875,1.0,True,0.046875,True,0.5625,0.9375,0.6875,0.6875,1.0,True,0.390625,True,0.890625,1.0,0.96875,0.96875,-0.0570054945054945,-0.1714285714285714
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer1.conv2,2,128,32,9,1152,32,307200,266.6666666666667,0.9867753292763527,1.3930091084359812,0.46629054739679227,32,0,1.3930091084359812,True,0.59375,True,0.25,True,0.40625,0.875,0.9375,0.40625,0.78125,True,0.4375,True,0.59375,0.9375,1.0,0.625,0.96875,True,0.8125,True,0.90625,1.0,1.0,0.90625,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.15469208211143692,0.03574063511737135
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer2.conv1,3,96,128,1,96,96,307200,3200.0,0.6813522675167328,13.077173987280581,0.07534901919998317,96,0,13.077173987280581,True,0.9375,True,0.010416666666666666,True,0.10416666666666667,0.5833333333333334,0.11458333333333333,0.11458333333333333,0.9583333333333334,True,0.010416666666666666,True,0.20833333333333334,0.6979166666666666,0.2604166666666667,0.2604166666666667,0.9895833333333334,True,0.010416666666666666,True,0.5,0.8645833333333334,0.6770833333333334,0.6770833333333334,1.0,True,0.07291666666666667,True,0.8020833333333334,0.96875,0.9270833333333334,0.9270833333333334,-0.028920238741182856,0.15621269669017904
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer2.conv2,4,128,32,9,1152,32,307200,266.6666666666667,0.985223924431021,1.3925603800437902,0.47426917630707993,32,0,1.3925603800437902,True,0.5625,True,0.1875,True,0.375,0.875,1.0,0.34375,0.75,True,0.375,True,0.59375,0.9375,1.0,0.5625,0.9375,True,0.8125,True,0.875,1.0,1.0,0.875,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.20931085043988265,-0.011579809287492667
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer3.conv1,5,128,128,1,128,128,307200,2400.0,0.6099953377936275,1716.673179498006,0.0659686697955097,128,0,1716.673179498006,True,0.9921875,True,0.0078125,True,0.1015625,0.515625,0.109375,0.109375,0.9921875,True,0.0078125,True,0.203125,0.6171875,0.2578125,0.2578125,1.0,True,0.0078125,True,0.46875,0.7734375,0.640625,0.640625,1.0,True,0.0078125,True,0.71875,0.890625,0.890625,0.890625,-0.08743247573704449,0.09857166291713536
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer3.conv2,6,128,32,9,1152,32,307200,266.6666666666667,0.9867187931788683,1.325352136525466,0.5031300166915759,32,0,1.325352136525466,True,0.5625,True,0.25,True,0.375,0.875,1.0,0.375,0.75,True,0.4375,True,0.59375,0.9375,1.0,0.625,0.9375,True,0.84375,True,0.90625,1.0,1.0,0.90625,1.0,True,1.0,True,1.0,1.0,1.0,1.0,0.1378299120234604,0.043152320514122926
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer4.conv1,7,160,128,1,160,128,307200,1920.0,0.6675754467129996,17.984456937780873,0.07563463524642453,128,0,17.984456937780873,True,0.9609375,True,0.0078125,True,0.125,0.5625,0.1328125,0.1328125,0.9765625,True,0.0078125,True,0.234375,0.671875,0.328125,0.296875,1.0,True,0.0078125,True,0.5234375,0.84375,0.7890625,0.6875,1.0,True,0.03125,True,0.796875,0.9609375,1.0,0.921875,-0.10445660135506317,-0.014447497193607004
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer4.conv2,8,128,32,9,1152,32,307200,266.6666666666667,0.985030880104554,1.3930741511498084,0.6511498472063193,32,0,1.3930741511498084,True,0.65625,True,0.25,True,0.46875,0.875,1.0,0.4375,0.8125,True,0.46875,True,0.65625,0.9375,1.0,0.65625,0.96875,True,0.84375,True,0.90625,1.0,1.0,0.9375,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.15762463343108502,-0.0004522115240329646
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer5.conv1,9,192,128,1,192,128,307200,1600.0,0.7118589578825678,9.109201910545718,0.08241599847857368,128,0,9.109201910545718,True,0.921875,True,0.0078125,True,0.1171875,0.609375,0.1640625,0.1484375,0.953125,True,0.0078125,True,0.2421875,0.71875,0.3828125,0.3203125,0.9921875,True,0.015625,True,0.5546875,0.8828125,0.9375,0.703125,1.0,True,0.203125,True,0.84375,0.984375,1.0,0.9375,0.012125755356161875,-0.10248561062077957
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer5.conv2,10,128,32,9,1152,32,307200,266.6666666666667,0.9850736783853314,1.3876482075441474,0.45729801385124474,32,0,1.3876482075441474,True,0.5625,True,0.1875,True,0.34375,0.875,1.0,0.34375,0.75,True,0.375,True,0.59375,0.9375,1.0,0.59375,0.96875,True,0.8125,True,0.90625,1.0,1.0,0.90625,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.19208211143695011,0.006862294712484434
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer6.conv1,11,224,128,1,224,128,307200,1371.4285714285713,0.7483553565509783,6.691719641621659,0.08841315278419094,128,0,6.691719641621659,True,0.890625,True,0.0078125,True,0.125,0.640625,0.1796875,0.15625,0.9375,True,0.0078125,True,0.25,0.75,0.4296875,0.3359375,0.984375,True,0.0234375,True,0.5703125,0.9140625,1.0,0.71875,1.0,True,0.375,True,0.8671875,0.9921875,1.0,0.9453125,0.07669154001098699,-0.0017640271002090785
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer6.conv2,12,128,32,9,1152,32,307200,266.6666666666667,0.9851933834104564,1.3703300401026122,0.5147121620644524,32,0,1.3703300401026122,True,0.625,True,0.25,True,0.4375,0.875,1.0,0.4375,0.78125,True,0.46875,True,0.65625,0.9375,1.0,0.65625,0.96875,True,0.84375,True,0.90625,1.0,1.0,0.9375,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.0502199413489736,-0.003459496012815544
timm:densenet121.tv_in1k_random,features.transition1.conv,13,256,128,1,256,128,307200,1200.0,0.7802192078776632,5.863478334647763,0.09289302396262183,128,0,5.863478334647763,True,0.8828125,True,0.0078125,True,0.140625,0.671875,0.1953125,0.15625,0.9296875,True,0.0078125,True,0.28125,0.78125,0.484375,0.34375,0.984375,True,0.03125,True,0.6171875,0.9296875,1.0,0.734375,1.0,True,0.4609375,True,0.8984375,0.9921875,1.0,0.953125,-0.049441494231825665,-0.03903691259060145
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer1.conv1,14,128,128,1,128,128,307200,2400.0,0.610048044030742,335.3058331748411,0.057557750262644126,128,0,335.3058331748411,True,0.9609375,True,0.0078125,True,0.078125,0.515625,0.0859375,0.0859375,0.96875,True,0.0078125,True,0.15625,0.6171875,0.1796875,0.1796875,0.984375,True,0.0078125,True,0.375,0.7734375,0.5078125,0.5078125,0.984375,True,0.0078125,True,0.640625,0.890625,0.7734375,0.7734375,-0.0017224409448818893,-0.05145038758690073
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer1.conv2,15,128,32,9,1152,32,307200,266.6666666666667,0.9862610474376077,1.3445008626227268,0.5120733473576269,32,0,1.3445008626227268,True,0.53125,True,0.25,True,0.375,0.875,0.9375,0.375,0.71875,True,0.4375,True,0.5625,0.9375,1.0,0.59375,0.9375,True,0.8125,True,0.875,1.0,1.0,0.875,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.06964809384164222,0.004893840473368612
