model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,out_0.9,kernel_0.9,data_0.9,ortho_0.9,out_0.95,kernel_0.95,data_0.95,ortho_0.95,out_0.99,kernel_0.99,data_0.99,ortho_0.99,out_0.999,kernel_0.999,data_0.999,ortho_0.999
timm:efficientnet_b0.ra_in1k,conv_stem,0,3,32,9,27,27,307200,11377.777777777777,0.2691267629654175,176.7074845332441,0.07300233248040319,0.14814814814814814,0.2222222222222222,0.07407407407407407,0.07407407407407407,0.18518518518518517,0.2962962962962963,0.14814814814814814,0.14814814814814814,0.25925925925925924,0.5185185185185185,0.25925925925925924,0.25925925925925924,0.2962962962962963,0.7037037037037037,0.48148148148148145,0.48148148148148145
timm:efficientnet_b0.ra_in1k,blocks.0.0.conv_pw,3,32,16,1,32,16,307200,9600.0,0.814932585841811,3.591143057452702,0.8739519660615392,0.625,0.75,0.8125,0.625,0.75,0.875,1.0,0.75,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0
timm:efficientnet_b0.ra_in1k,blocks.1.0.conv_pw,4,16,96,1,16,16,307200,19200.0,0.7722343342559294,3.286673499984052,0.7379060558467195,0.5625,0.75,0.6875,0.6875,0.6875,0.875,0.8125,0.8125,0.875,1.0,0.9375,0.9375,1.0,1.0,1.0,1.0
timm:efficientnet_b0.ra_in1k,blocks.1.0.conv_pwl,7,96,24,1,96,24,307200,3200.0,0.8244051549727769,3.336104773644576,1.0,0.5416666666666666,0.7083333333333334,1.0,0.5833333333333334,0.6666666666666666,0.8333333333333334,1.0,0.7083333333333334,0.8333333333333334,0.9583333333333334,1.0,0.875,1.0,1.0,1.0,1.0
timm:efficientnet_b0.ra_in1k,blocks.1.1.conv_pw,8,24,144,1,24,24,307200,12800.0,0.8164807588164426,3.3780569732549406,0.6091769234046653,0.375,0.75,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.875,0.7083333333333334,0.7083333333333334,0.7916666666666666,1.0,0.875,0.875,0.9583333333333334,1.0,1.0,1.0
timm:efficientnet_b0.ra_in1k,blocks.1.1.conv_pwl,11,144,24,1,144,24,307200,2133.3333333333335,0.8140767164845758,4.808779904949049,1.0,0.625,0.75,1.0,0.75,0.75,0.8333333333333334,1.0,0.875,0.9166666666666666,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,1.0
timm:efficientnet_b0.ra_in1k,blocks.2.0.conv_pw,12,24,144,1,24,24,307200,12800.0,0.8978533099518772,2.2990495373425133,0.7969680782296927,0.625,0.8333333333333334,0.75,0.75,0.75,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0
timm:efficientnet_b0.ra_in1k,blocks.2.0.conv_pwl,15,144,40,1,144,40,307200,2133.3333333333335,0.9109288301627941,2.774161207107355,1.0,0.575,0.8,1.0,0.6,0.7,0.875,1.0,0.725,0.9,0.975,1.0,0.9,0.975,1.0,1.0,1.0
timm:efficientnet_b0.ra_in1k,blocks.2.1.conv_pw,16,40,240,1,40,40,307200,7680.0,0.8028850127038117,4.4988238307119355,0.7237154113854685,0.475,0.725,0.65,0.65,0.6,0.825,0.775,0.775,0.85,0.95,0.925,0.925,0.975,1.0,1.0,1.0
timm:efficientnet_b0.ra_in1k,blocks.2.1.conv_pwl,19,240,40,1,240,40,307200,1280.0,0.8071801800114748,4.256403424576505,1.0,0.625,0.725,1.0,0.75,0.75,0.825,1.0,0.85,0.925,0.95,1.0,0.975,1.0,1.0,1.0,1.0
