model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,out_0.9,kernel_0.9,data_0.9,ortho_0.9,out_0.95,kernel_0.95,data_0.95,ortho_0.95,out_0.99,kernel_0.99,data_0.99,ortho_0.99,out_0.999,kernel_0.999,data_0.999,ortho_0.999
timm:mobilenetv3_large_100.ra_in1k,conv_stem,0,3,16,9,27,16,307200,11377.777777777777,0.39784680488918234,74.13629348817447,0.12300732190443857,0.25,0.375,0.125,0.125,0.375,0.4375,0.25,0.1875,0.4375,0.625,0.4375,0.375,0.5,0.75,0.8125,0.6875
timm:mobilenetv3_large_100.ra_in1k,blocks.0.0.conv_pw,1,16,16,1,16,16,307200,19200.0,0.5408238758671368,41.5879698344449,0.5782619307546951,0.4375,0.5625,0.5,0.5,0.5,0.625,0.625,0.625,0.625,0.75,0.8125,0.8125,0.75,0.9375,1.0,1.0
timm:mobilenetv3_large_100.ra_in1k,blocks.1.0.conv_pw,2,16,64,1,16,16,307200,19200.0,0.8061796002892643,3.7554335525614655,0.6578317233743933,0.5625,0.75,0.625,0.625,0.6875,0.875,0.75,0.75,0.875,1.0,0.875,0.875,0.9375,1.0,1.0,1.0
timm:mobilenetv3_large_100.ra_in1k,blocks.1.0.conv_pwl,3,64,24,1,64,24,307200,4800.0,0.8311611660542081,5.367072946014532,1.0,0.5416666666666666,0.7083333333333334,1.0,0.625,0.6666666666666666,0.8333333333333334,1.0,0.75,0.875,0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0
timm:mobilenetv3_large_100.ra_in1k,blocks.1.1.conv_pw,4,24,72,1,24,24,307200,12800.0,0.699781559059185,8.676779296625092,0.5479567350362845,0.2916666666666667,0.625,0.5833333333333334,0.5833333333333334,0.4583333333333333,0.75,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.9166666666666666,0.875,0.875,0.9166666666666666,1.0,0.9583333333333334,0.9583333333333334
timm:mobilenetv3_large_100.ra_in1k,blocks.1.1.conv_pwl,5,72,24,1,72,24,307200,4266.666666666667,0.7091923153732322,8.023582239262465,1.0,0.5416666666666666,0.6666666666666666,1.0,0.75,0.6666666666666666,0.75,1.0,0.875,0.8333333333333334,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0
timm:mobilenetv3_large_100.ra_in1k,blocks.2.0.conv_pw,6,24,72,1,24,24,307200,12800.0,0.8767647439174597,2.9091480471891678,0.714209420073107,0.5833333333333334,0.7916666666666666,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.875,0.7916666666666666,0.7916666666666666,0.875,1.0,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0
timm:mobilenetv3_large_100.ra_in1k,blocks.2.0.conv_pwl,9,72,40,1,72,40,307200,4266.666666666667,0.842108773506923,5.697328446433786,0.8958165869870689,0.525,0.7,0.95,0.575,0.65,0.8,1.0,0.725,0.825,0.925,1.0,0.9,0.95,1.0,1.0,0.975
timm:mobilenetv3_large_100.ra_in1k,blocks.2.1.conv_pw,10,40,120,1,40,40,307200,7680.0,0.6891347187571655,17.714759824750136,0.6114062161981473,0.35,0.6,0.575,0.575,0.45,0.7,0.675,0.675,0.675,0.85,0.825,0.825,0.925,0.975,0.95,0.95
timm:mobilenetv3_large_100.ra_in1k,blocks.2.1.conv_pwl,13,120,40,1,120,40,307200,2560.0,0.7069654418478175,10.22672097224155,1.0,0.5,0.6,1.0,0.675,0.625,0.725,1.0,0.8,0.85,0.9,1.0,0.95,0.975,0.975,1.0,1.0
timm:mobilenetv3_large_100.ra_in1k,blocks.2.2.conv_pw,14,40,120,1,40,40,307200,7680.0,0.6972471167345458,10.529423714869994,0.7127974825163932,0.425,0.625,0.675,0.675,0.55,0.75,0.775,0.775,0.775,0.9,0.925,0.925,0.95,0.975,1.0,1.0
timm:mobilenetv3_large_100.ra_in1k,blocks.2.2.conv_pwl,17,120,40,1,120,40,307200,2560.0,0.7510392359063907,7.92034933077133,1.0,0.6,0.625,1.0,0.725,0.7,0.75,1.0,0.825,0.875,0.9,1.0,0.975,0.975,0.975,1.0,1.0
timm:mobilenetv3_large_100.ra_in1k,blocks.3.0.conv_pw,18,40,240,1,40,40,307200,7680.0,0.8563743524935272,2.8641221316183167,0.7448507588805322,0.5,0.775,0.675,0.675,0.625,0.875,0.8,0.8,0.875,0.975,0.95,0.95,0.975,1.0,1.0,1.0
timm:mobilenetv3_large_100.ra_in1k,blocks.3.0.conv_pwl,19,240,80,1,240,80,307200,1280.0,0.8444954952354381,4.257174411287765,0.9638778877669522,0.5,0.7125,1.0,0.5625,0.6375,0.825,1.0,0.7125,0.85,0.95,1.0,0.9125,0.975,1.0,1.0,0.9875
timm:mobilenetv3_large_100.ra_in1k,blocks.3.1.conv_pw,20,80,200,1,80,80,307200,3840.0,0.6922135823962746,8.9975105707065,0.6281882850554873,0.3375,0.6,0.5875,0.5875,0.475,0.725,0.7125,0.7125,0.7375,0.9,0.875,0.875,0.925,0.9875,0.975,0.975
timm:mobilenetv3_large_100.ra_in1k,blocks.3.1.conv_pwl,21,200,80,1,200,80,307200,1536.0,0.6387988813315102,9.270763650541655,1.0,0.5125,0.5875,1.0,0.75,0.65,0.7125,1.0,0.8625,0.8625,0.9,1.0,0.975,0.975,0.9875,1.0,1.0
timm:mobilenetv3_large_100.ra_in1k,blocks.3.2.conv_pw,22,80,184,1,80,80,307200,3840.0,0.6830365060437285,8.082735670715886,0.7259845841543398,0.4,0.625,0.675,0.675,0.5375,0.7375,0.8,0.8,0.7875,0.9125,0.9375,0.9375,0.9625,0.9875,0.9875,0.9875
timm:mobilenetv3_large_100.ra_in1k,blocks.3.2.conv_pwl,23,184,80,1,184,80,307200,1669.5652173913043,0.6541632179001355,9.452268894142497,1.0,0.5625,0.6,1.0,0.7625,0.6875,0.725,1.0,0.8625,0.875,0.9,1.0,0.9625,0.9875,0.9875,1.0,1.0
timm:mobilenetv3_large_100.ra_in1k,blocks.3.3.conv_pw,24,80,184,1,80,80,307200,3840.0,0.6355006080155093,13.63457743031397,0.7652457384019739,0.3875,0.5875,0.7,0.7,0.5375,0.7,0.8125,0.8125,0.7875,0.8875,0.95,0.95,0.95,0.975,1.0,1.0
timm:mobilenetv3_large_100.ra_in1k,blocks.3.3.conv_pwl,25,184,80,1,184,80,307200,1669.5652173913043,0.6728897319192884,9.923918262854603,1.0,0.5625,0.6,1.0,0.7875,0.6875,0.7125,1.0,0.875,0.875,0.8875,1.0,0.975,0.9875,0.9875,1.0,1.0
timm:mobilenetv3_large_100.ra_in1k,blocks.4.0.conv_pw,26,80,480,1,80,80,307200,3840.0,0.8325138288437437,3.741362146907982,0.7884177252765878,0.5375,0.7625,0.725,0.725,0.6875,0.8625,0.825,0.825,0.9,0.975,0.95,0.95,0.9875,1.0,1.0,1.0
timm:mobilenetv3_large_100.ra_in1k,blocks.4.0.conv_pwl,29,480,112,1,480,112,307200,640.0,0.8545743894809043,3.5286620728218265,1.0,0.5625,0.7767857142857143,1.0,0.6517857142857143,0.7232142857142857,0.875,1.0,0.7857142857142857,0.9196428571428571,0.9732142857142857,1.0,0.9464285714285714,0.9910714285714286,1.0,1.0,1.0
timm:mobilenetv3_large_100.ra_in1k,blocks.4.1.conv_pw,30,112,672,1,112,112,307200,2742.8571428571427,0.7761937752221338,4.481157075036456,0.6603942984385086,0.39285714285714285,0.7232142857142857,0.625,0.625,0.5446428571428571,0.8392857142857143,0.7678571428571429,0.7678571428571429,0.8214285714285714,0.9642857142857143,0.9375,0.9375,0.9732142857142857,1.0,0.9910714285714286,0.9910714285714286
timm:mobilenetv3_large_100.ra_in1k,blocks.4.1.conv_pwl,33,672,112,1,672,112,307200,457.14285714285717,0.8033572749646816,5.540861184143681,1.0,0.7142857142857143,0.7410714285714286,1.0,0.8214285714285714,0.8303571428571429,0.8482142857142857,1.0,0.9107142857142857,0.9553571428571429,0.9642857142857143,1.0,0.9821428571428571,1.0,1.0,1.0,1.0
timm:mobilenetv3_large_100.ra_in1k,blocks.5.0.conv_pw,34,112,672,1,112,112,307200,2742.8571428571427,0.7795283414045864,4.125452606129636,0.7423723150091517,0.42857142857142855,0.7589285714285714,0.7053571428571429,0.7053571428571429,0.6071428571428571,0.8660714285714286,0.8303571428571429,0.8303571428571429,0.875,0.9732142857142857,0.9553571428571429,0.9553571428571429,0.9910714285714286,1.0,1.0,1.0
