model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999
timm:resnet50.a1_in1k,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.4242678664612686,63.075305737242125,0.0455118093993365,64,0,63.075305737242125,True,0.953125,True,0.046875,0.390625,0.0625,0.046875,0.96875,True,0.078125,0.5,0.109375,0.09375,0.984375,True,0.171875,0.6875,0.421875,0.296875,1.0,True,0.375,0.875,0.953125,0.6875
timm:resnet50.a1_in1k,layer1.0.conv1,1,64,64,1,64,64,307200,4800.0,0.367419550216554,1.654512244140046e+16,0.04594931550467123,52,12,21619.854142041797,True,1.0,True,0.09375,0.328125,0.0625,0.0625,1.0,True,0.140625,0.40625,0.125,0.125,1.0,True,0.265625,0.546875,0.46875,0.46875,1.0,True,0.453125,0.703125,0.875,0.875
timm:resnet50.a1_in1k,layer1.0.conv2,2,64,64,9,576,64,307200,533.3333333333334,0.466801302716738,516334987824519.7,0.07815207338537122,44,20,226.199222193139,True,1.0,True,0.109375,0.40625,0.125,0.078125,1.0,True,0.1875,0.46875,0.234375,0.109375,1.0,True,0.34375,0.578125,1.0,0.296875,1.0,True,0.53125,0.609375,1.0,0.765625
timm:resnet50.a1_in1k,layer1.0.conv3,3,64,256,1,64,64,307200,4800.0,0.43408754224151047,327086959418587.75,0.021365689427593332,44,20,138.6617886062991,True,0.609375,True,0.015625,0.421875,0.015625,0.015625,0.609375,True,0.015625,0.484375,0.015625,0.015625,0.609375,True,0.015625,0.59375,0.21875,0.21875,0.609375,True,0.25,0.625,0.46875,0.46875
timm:resnet50.a1_in1k,layer1.0.downsample.0,4,64,256,1,64,64,307200,4800.0,0.6192557812796923,16.826528121914436,0.04604823192662712,64,0,16.826528121914436,True,0.9375,True,0.03125,0.5625,0.0625,0.0625,0.96875,True,0.0625,0.65625,0.125,0.125,0.984375,True,0.203125,0.84375,0.46875,0.46875,1.0,True,0.546875,0.96875,0.875,0.875
timm:resnet50.a1_in1k,layer1.1.conv1,5,256,64,1,256,64,307200,1200.0,0.643589219763281,8.065351015823971,0.7546738558392307,64,0,8.065351015823971,True,0.953125,True,0.234375,0.578125,0.890625,0.40625,0.984375,True,0.3125,0.703125,1.0,0.578125,1.0,True,0.5625,0.90625,1.0,0.84375,1.0,True,0.875,1.0,1.0,0.96875
timm:resnet50.a1_in1k,layer1.1.conv2,6,64,64,9,576,64,307200,533.3333333333334,0.7662096329189234,6.759715513648445,0.9641514398547895,64,0,6.759715513648445,True,0.96875,True,0.34375,0.671875,1.0,0.46875,0.984375,True,0.484375,0.796875,1.0,0.625,1.0,True,0.765625,0.9375,1.0,0.890625,1.0,True,0.953125,1.0,1.0,0.984375
timm:resnet50.a1_in1k,layer1.1.conv3,7,64,256,1,64,64,307200,4800.0,0.7237219750081368,7.1888446076421015,0.4897647611557195,64,0,7.1888446076421015,True,0.90625,True,0.359375,0.6875,0.484375,0.484375,0.921875,True,0.46875,0.796875,0.609375,0.609375,0.953125,True,0.71875,0.953125,0.828125,0.828125,0.96875,True,0.90625,1.0,0.921875,0.921875
timm:resnet50.a1_in1k,layer1.2.conv1,8,256,64,1,256,64,307200,1200.0,0.655603726586903,71218492.90331045,1.0,63,1,7.363543445524397,True,0.984375,True,0.296875,0.609375,1.0,0.5,1.0,True,0.40625,0.734375,1.0,0.671875,1.0,True,0.703125,0.90625,1.0,0.90625,1.0,True,0.921875,0.984375,1.0,1.0
timm:resnet50.a1_in1k,layer1.2.conv2,9,64,64,9,576,64,307200,533.3333333333334,0.8086144909432013,4.067706628670912,1.0,64,0,4.067706628670912,True,0.96875,True,0.5,0.703125,1.0,0.640625,0.984375,True,0.640625,0.828125,1.0,0.78125,1.0,True,0.859375,0.953125,1.0,0.953125,1.0,True,0.984375,1.0,1.0,1.0
timm:resnet50.a1_in1k,layer1.2.conv3,10,64,256,1,64,64,307200,4800.0,0.7310431330223858,7.405259221219373,0.6078336720020895,64,0,7.405259221219373,True,0.953125,True,0.390625,0.6875,0.59375,0.59375,0.984375,True,0.53125,0.796875,0.75,0.75,1.0,True,0.78125,0.9375,0.90625,0.90625,1.0,True,0.953125,1.0,0.984375,0.984375
timm:resnet50.a1_in1k,layer2.0.conv1,11,256,128,1,256,128,307200,1200.0,0.5350053621251843,18.93411298266401,0.7329464494144766,128,0,18.93411298266401,True,1.0,True,0.21875,0.4921875,0.796875,0.5078125,1.0,True,0.3046875,0.6171875,1.0,0.6796875,1.0,True,0.5625,0.8359375,1.0,0.8984375,1.0,True,0.84375,0.96875,1.0,0.984375
timm:resnet50.a1_in1k,layer2.0.conv2,12,128,128,9,1152,128,307200,266.6666666666667,0.8195582870758377,5.09854488277102,1.0,128,0,5.09854488277102,True,0.9609375,True,0.4453125,0.703125,1.0,0.59375,0.984375,True,0.5703125,0.8046875,1.0,0.7421875,1.0,True,0.8046875,0.9453125,1.0,0.9296875,1.0,True,0.9609375,0.9921875,1.0,0.9921875
timm:resnet50.a1_in1k,layer2.0.conv3,13,128,512,1,128,128,307200,2400.0,0.6862764711436355,9.73802991819245,0.6227559593653993,128,0,9.73802991819245,True,0.9765625,True,0.3984375,0.5859375,0.59375,0.59375,0.984375,True,0.515625,0.6875,0.734375,0.734375,0.9921875,True,0.734375,0.875,0.921875,0.921875,1.0,True,0.9296875,0.984375,0.9765625,0.9765625
timm:resnet50.a1_in1k,layer2.0.downsample.0,14,256,512,1,256,256,307200,1200.0,0.5262364373766111,27972170369479.03,0.36265446645254457,254,2,186.6810864357327,True,0.984375,True,0.1640625,0.48046875,0.39453125,0.39453125,0.98828125,True,0.25,0.61328125,0.5546875,0.5546875,0.98828125,True,0.484375,0.83203125,0.8046875,0.8046875,0.98828125,True,0.78515625,0.9609375,0.9375,0.9375
timm:resnet50.a1_in1k,layer2.1.conv1,15,512,128,1,512,128,307200,600.0,0.6536371365234056,76.68666214878304,0.8885043525444558,128,0,76.68666214878304,True,1.0,True,0.21875,0.59375,1.0,0.40625,1.0,True,0.328125,0.7265625,1.0,0.578125,1.0,True,0.625,0.9140625,1.0,0.8515625,1.0,True,0.90625,0.984375,1.0,0.9765625
timm:resnet50.a1_in1k,layer2.1.conv2,16,128,128,9,1152,128,307200,266.6666666666667,0.7089190096075788,38.71334071830596,0.6110822491214553,128,0,38.71334071830596,True,1.0,True,0.3203125,0.625,1.0,0.453125,1.0,True,0.4296875,0.7578125,1.0,0.6171875,1.0,True,0.7109375,0.921875,1.0,0.8671875,1.0,True,0.9375,0.984375,1.0,0.9765625
timm:resnet50.a1_in1k,layer2.1.conv3,17,128,512,1,128,128,307200,2400.0,0.7113479996020189,54.67061469756878,0.5775287411685511,128,0,54.67061469756878,True,0.9609375,True,0.40625,0.6484375,0.5390625,0.5390625,0.96875,True,0.53125,0.765625,0.671875,0.671875,0.9765625,True,0.75,0.9140625,0.8359375,0.8359375,0.984375,True,0.8984375,0.984375,0.9140625,0.9140625
timm:resnet50.a1_in1k,layer2.2.conv1,18,512,128,1,512,128,307200,600.0,0.6156770876417598,9.80987301260947,1.0,128,0,9.80987301260947,True,0.984375,True,0.25,0.5703125,1.0,0.5078125,0.9921875,True,0.359375,0.703125,1.0,0.6796875,1.0,True,0.640625,0.8984375,1.0,0.90625,1.0,True,0.9140625,0.9921875,1.0,0.9921875
timm:resnet50.a1_in1k,layer2.2.conv2,19,128,128,9,1152,128,307200,266.6666666666667,0.7639442561480786,4.479730569298606,1.0,128,0,4.479730569298606,True,0.9609375,True,0.3828125,0.6796875,1.0,0.59375,0.984375,True,0.53125,0.8046875,1.0,0.7578125,1.0,True,0.8046875,0.953125,1.0,0.9375,1.0,True,0.96875,1.0,1.0,0.9921875
