model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:resnet50.a1_in1k_random,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.8007680246887412,4.355951870091435,0.0455118093993365,64,0,4.355951870091435,True,0.40625,True,0.015625,True,0.0625,0.6875,0.0625,0.046875,0.53125,True,0.015625,True,0.109375,0.8125,0.109375,0.078125,0.765625,True,0.03125,True,0.328125,0.953125,0.421875,0.3125,0.953125,True,0.203125,True,0.671875,1.0,0.953125,0.6875,-0.36927655677655674,0.12158244140360382
timm:resnet50.a1_in1k_random,layer1.0.conv1,1,64,64,1,64,64,307200,4800.0,0.5974986650943095,131.52075797195417,0.08867887017686607,64,0,131.52075797195417,True,1.0,True,0.015625,True,0.09375,0.515625,0.109375,0.109375,1.0,True,0.015625,True,0.171875,0.609375,0.21875,0.21875,1.0,True,0.015625,True,0.4375,0.765625,0.703125,0.703125,1.0,True,0.015625,True,0.734375,0.890625,0.96875,0.96875,0.20384615384615382,-0.20155677655677653
timm:resnet50.a1_in1k_random,layer1.0.conv2,2,64,64,9,576,64,307200,533.3333333333334,0.9429031999588993,1.9677091775362021,0.20200937701616134,64,0,1.9677091775362021,True,0.609375,True,0.0625,True,0.234375,0.828125,0.34375,0.25,0.78125,True,0.140625,True,0.421875,0.90625,1.0,0.4375,0.953125,True,0.53125,True,0.796875,0.984375,1.0,0.828125,1.0,True,0.921875,True,0.984375,1.0,1.0,0.984375,-0.07934981684981685,-0.00940050937583423
timm:resnet50.a1_in1k_random,layer1.0.conv3,3,64,256,1,64,64,307200,4800.0,0.8762110821656205,2.9236030633592462,0.16048538486075375,64,0,2.9236030633592462,True,0.65625,True,0.03125,True,0.203125,0.765625,0.234375,0.234375,0.734375,True,0.0625,True,0.359375,0.859375,0.40625,0.40625,0.875,True,0.296875,True,0.640625,0.96875,0.6875,0.6875,0.953125,True,0.703125,True,0.859375,1.0,0.890625,0.890625,0.17834249084249082,0.13305860805860806
timm:resnet50.a1_in1k_random,layer1.0.downsample.0,4,64,256,1,64,64,307200,4800.0,0.8868565434329352,2.711025951732678,0.08866181959438522,64,0,2.711025951732678,True,0.59375,True,0.015625,True,0.109375,0.78125,0.109375,0.109375,0.765625,True,0.046875,True,0.21875,0.875,0.21875,0.21875,0.953125,True,0.15625,True,0.640625,0.96875,0.703125,0.703125,1.0,True,0.765625,True,0.9375,1.0,0.96875,0.96875,-0.2146062271062271,-0.12788461538461535
timm:resnet50.a1_in1k_random,layer1.1.conv1,5,256,64,1,256,64,307200,1200.0,0.8780370453272549,2.8681764858747063,0.13543623321080664,64,0,2.8681764858747063,True,0.625,True,0.015625,True,0.15625,0.765625,0.1875,0.140625,0.765625,True,0.046875,True,0.28125,0.859375,0.46875,0.296875,0.9375,True,0.1875,True,0.65625,0.96875,1.0,0.6875,1.0,True,0.734375,True,0.9375,1.0,1.0,0.953125,-0.26753663003663003,0.0008461392525137545
timm:resnet50.a1_in1k_random,layer1.1.conv2,6,64,64,9,576,64,307200,533.3333333333334,0.945621380927855,1.8974214296675131,0.2808314883174332,64,0,1.8974214296675131,True,0.671875,True,0.09375,True,0.3125,0.828125,0.609375,0.328125,0.828125,True,0.203125,True,0.515625,0.90625,1.0,0.53125,0.96875,True,0.640625,True,0.84375,0.984375,1.0,0.875,1.0,True,0.953125,True,0.984375,1.0,1.0,0.984375,0.04848901098901098,-0.03493029897747958
timm:resnet50.a1_in1k_random,layer1.1.conv3,7,64,256,1,64,64,307200,4800.0,0.8886767260756443,2.7108181741379522,0.19843174956410606,64,0,2.7108181741379522,True,0.65625,True,0.046875,True,0.265625,0.765625,0.296875,0.296875,0.734375,True,0.09375,True,0.421875,0.875,0.453125,0.453125,0.859375,True,0.375,True,0.671875,0.96875,0.703125,0.703125,0.9375,True,0.734375,True,0.859375,1.0,0.875,0.875,0.037271062271062264,-0.09812271062271061
timm:resnet50.a1_in1k_random,layer1.2.conv1,8,256,64,1,256,64,307200,1200.0,0.8830027837957869,2.7475599908758257,0.13508077411746455,64,0,2.7475599908758257,True,0.609375,True,0.03125,True,0.140625,0.78125,0.1875,0.140625,0.765625,True,0.046875,True,0.28125,0.875,0.46875,0.296875,0.9375,True,0.21875,True,0.640625,0.96875,1.0,0.6875,1.0,True,0.75,True,0.9375,1.0,1.0,0.953125,-0.2722069597069597,-0.01357541263517359
timm:resnet50.a1_in1k_random,layer1.2.conv2,9,64,64,9,576,64,307200,533.3333333333334,0.947788868845968,1.9613552959229756,0.27096164550610385,64,0,1.9613552959229756,True,0.65625,True,0.078125,True,0.28125,0.828125,0.5625,0.296875,0.8125,True,0.15625,True,0.46875,0.90625,1.0,0.5,0.953125,True,0.578125,True,0.828125,0.984375,1.0,0.859375,1.0,True,0.9375,True,0.984375,1.0,1.0,0.984375,0.1683150183150183,0.07662191936509004
timm:resnet50.a1_in1k_random,layer1.2.conv3,10,64,256,1,64,64,307200,4800.0,0.8858949052334119,2.9367563414464795,0.16586650438975775,64,0,2.9367563414464795,True,0.65625,True,0.03125,True,0.25,0.765625,0.25,0.25,0.734375,True,0.0625,True,0.390625,0.875,0.40625,0.40625,0.84375,True,0.3125,True,0.65625,0.96875,0.6875,0.6875,0.921875,True,0.703125,True,0.84375,1.0,0.859375,0.859375,-0.075,-0.14578533026113671
timm:resnet50.a1_in1k_random,layer2.0.conv1,11,256,128,1,256,128,307200,1200.0,0.777119004942534,5.6959293984226,0.06779896769604826,128,0,5.6959293984226,True,0.7578125,True,0.0078125,True,0.078125,0.6640625,0.09375,0.078125,0.859375,True,0.0078125,True,0.1796875,0.78125,0.234375,0.1953125,0.9609375,True,0.0234375,True,0.46875,0.9296875,0.7890625,0.546875,1.0,True,0.2890625,True,0.8203125,0.9921875,1.0,0.8984375,-0.05389924006592199,0.10159893758300133
timm:resnet50.a1_in1k_random,layer2.0.conv2,12,128,128,9,1152,128,307200,266.6666666666667,0.9456068210849324,1.9602217081178959,0.13303958967106905,128,0,1.9602217081178959,True,0.578125,True,0.0390625,True,0.1875,0.828125,0.3046875,0.1953125,0.75,True,0.09375,True,0.3828125,0.90625,0.984375,0.40625,0.9375,True,0.4921875,True,0.7734375,0.984375,1.0,0.8046875,1.0,True,0.9140625,True,0.96875,1.0,1.0,0.9765625,0.09923777696392601,0.04029599478577419
timm:resnet50.a1_in1k_random,layer2.0.conv3,13,128,512,1,128,128,307200,2400.0,0.8832094581147274,2.90531426228033,0.09819793551750369,128,0,2.90531426228033,True,0.6171875,True,0.015625,True,0.1640625,0.765625,0.1796875,0.1796875,0.71875,True,0.03125,True,0.3125,0.8671875,0.34375,0.34375,0.8359375,True,0.234375,True,0.6171875,0.96875,0.6640625,0.6640625,0.9140625,True,0.6875,True,0.828125,1.0,0.84375,0.84375,0.016360327778795092,-0.076466187718461
timm:resnet50.a1_in1k_random,layer2.0.downsample.0,14,256,512,1,256,256,307200,1200.0,0.7793340300929247,5.529904859265248,0.03417836978801647,256,0,5.529904859265248,True,0.609375,True,0.00390625,True,0.04296875,0.66796875,0.046875,0.046875,0.73046875,True,0.00390625,True,0.10546875,0.77734375,0.1171875,0.1171875,0.87890625,True,0.015625,True,0.33203125,0.9296875,0.39453125,0.39453125,0.9453125,True,0.19140625,True,0.70703125,0.9921875,0.79296875,0.79296875,0.0470438029297322,0.053128438626446596
timm:resnet50.a1_in1k_random,layer2.1.conv1,15,512,128,1,512,128,307200,600.0,0.8813225759336044,2.9144418044463176,0.08443594058845097,128,0,2.9144418044463176,True,0.5625,True,0.015625,True,0.09375,0.765625,0.1328125,0.1015625,0.7265625,True,0.0234375,True,0.21875,0.8671875,0.3359375,0.234375,0.9296875,True,0.140625,True,0.5703125,0.96875,1.0,0.625,0.9921875,True,0.6640625,True,0.90625,1.0,1.0,0.9375,-0.00037767808093755716,-0.06023908042570687
timm:resnet50.a1_in1k_random,layer2.1.conv2,16,128,128,9,1152,128,307200,266.6666666666667,0.9472255246481532,1.9562620856496014,0.19103601993451644,128,0,1.9562620856496014,True,0.640625,True,0.0546875,True,0.25,0.828125,0.4453125,0.2578125,0.7890625,True,0.1328125,True,0.453125,0.90625,1.0,0.4765625,0.953125,True,0.5625,True,0.8125,0.984375,1.0,0.8359375,1.0,True,0.9296875,True,0.9765625,1.0,1.0,0.984375,-0.08270577733015931,0.003565992227885843
timm:resnet50.a1_in1k_random,layer2.1.conv3,17,128,512,1,128,128,307200,2400.0,0.8813674776844793,2.8947912258704758,0.139089237035585,128,0,2.8947912258704758,True,0.703125,True,0.0234375,True,0.234375,0.765625,0.265625,0.265625,0.78125,True,0.0546875,True,0.3984375,0.8671875,0.4453125,0.4453125,0.8828125,True,0.3359375,True,0.6953125,0.96875,0.7421875,0.7421875,0.9453125,True,0.7578125,True,0.875,1.0,0.8828125,0.8828125,0.09492881340413843,0.042328725038402445
timm:resnet50.a1_in1k_random,layer2.2.conv1,18,512,128,1,512,128,307200,600.0,0.880314532530739,3.0399391791432557,0.08452350331622967,128,0,3.0399391791432557,True,0.59375,True,0.015625,True,0.1015625,0.765625,0.1328125,0.109375,0.75,True,0.0234375,True,0.21875,0.859375,0.3359375,0.2421875,0.9375,True,0.140625,True,0.5703125,0.96875,1.0,0.6328125,0.9921875,True,0.6484375,True,0.90625,1.0,1.0,0.9375,0.038609000183116644,0.05847558578091156
timm:resnet50.a1_in1k_random,layer2.2.conv2,19,128,128,9,1152,128,307200,266.6666666666667,0.9462101388697883,1.9860273931433226,0.2557805334333158,128,0,1.9860273931433226,True,0.671875,True,0.0625,True,0.28125,0.828125,0.6484375,0.296875,0.8125,True,0.15625,True,0.484375,0.90625,1.0,0.5078125,0.9609375,True,0.5859375,True,0.828125,0.984375,1.0,0.8515625,1.0,True,0.9375,True,0.9765625,1.0,1.0,0.984375,0.08362708295184032,-0.02778538201364938
timm:resnet50.a1_in1k_random,layer2.2.conv3,20,128,512,1,128,128,307200,2400.0,0.8819969181718773,2.9253887207483493,0.13381552638890323,128,0,2.9253887207483493,True,0.6328125,True,0.0234375,True,0.2265625,0.765625,0.2578125,0.2578125,0.703125,True,0.0546875,True,0.3671875,0.859375,0.4140625,0.4140625,0.8203125,True,0.3125,True,0.625,0.96875,0.65625,0.65625,0.9296875,True,0.671875,True,0.8125,1.0,0.828125,0.828125,0.11583272294451565,-0.012074662542182228
timm:resnet50.a1_in1k_random,layer2.3.conv1,21,512,128,1,512,128,307200,600.0,0.8816264448059186,2.8702794382426617,0.08445104747580467,128,0,2.8702794382426617,True,0.5703125,True,0.015625,True,0.109375,0.765625,0.1328125,0.109375,0.734375,True,0.0234375,True,0.2265625,0.8671875,0.3359375,0.2421875,0.9296875,True,0.15625,True,0.578125,0.96875,1.0,0.640625,0.9921875,True,0.6796875,True,0.9140625,1.0,1.0,0.9453125,-0.06690624427760483,-0.029887540437232782
timm:resnet50.a1_in1k_random,layer2.3.conv2,22,128,128,9,1152,128,307200,266.6666666666667,0.9452302414407396,1.9552301146789042,0.22180442381961823,128,0,1.9552301146789042,True,0.6796875,True,0.0625,True,0.296875,0.828125,0.6171875,0.3046875,0.8203125,True,0.1640625,True,0.5,0.90625,1.0,0.53125,0.9609375,True,0.609375,True,0.8359375,0.984375,1.0,0.8671875,1.0,True,0.9453125,True,0.984375,1.0,1.0,0.984375,-0.08398759384728072,-0.023981994342072172
timm:resnet50.a1_in1k_random,layer2.3.conv3,23,128,512,1,128,128,307200,2400.0,0.8808052576857002,2.9512113781867835,0.15413278591069884,128,0,2.9512113781867835,True,0.6875,True,0.0234375,True,0.265625,0.765625,0.28125,0.28125,0.7578125,True,0.0625,True,0.421875,0.8671875,0.453125,0.453125,0.859375,True,0.3359375,True,0.6796875,0.96875,0.7109375,0.7109375,0.9453125,True,0.7265625,True,0.859375,1.0,0.8671875,0.8671875,-0.11647935359824207,-0.007719511078557041
timm:resnet50.a1_in1k_random,layer3.0.conv1,24,512,256,1,512,256,307200,600.0,0.7760751534931172,5.658513959722186,0.04232325908861832,256,0,5.658513959722186,True,0.7109375,True,0.00390625,True,0.05859375,0.6640625,0.06640625,0.05859375,0.82421875,True,0.00390625,True,0.1328125,0.77734375,0.16796875,0.14453125,0.94921875,True,0.015625,True,0.40625,0.9296875,0.68359375,0.484375,0.99609375,True,0.2265625,True,0.7890625,0.9921875,1.0,0.875,-0.07758711947814144,-0.06801985757203555
timm:resnet50.a1_in1k_random,layer3.0.conv2,25,256,256,9,2304,256,307200,133.33333333333334,0.9457946256940357,1.9749488231372356,0.10772829901904354,256,0,1.9749488231372356,True,0.59765625,True,0.03125,True,0.203125,0.82421875,0.29296875,0.20703125,0.76171875,True,0.09375,True,0.3984375,0.90625,0.97265625,0.421875,0.94140625,True,0.5078125,True,0.78515625,0.98046875,1.0,0.8125,0.99609375,True,0.91796875,True,0.97265625,1.0,1.0,0.9765625,-0.05544890135042343,0.013035908257809032
timm:resnet50.a1_in1k_random,layer3.0.conv3,26,256,1024,1,256,256,307200,1200.0,0.8816614717285606,2.9713797553384818,0.09687320259059566,256,0,2.9713797553384818,True,0.62890625,True,0.01171875,True,0.1953125,0.76171875,0.21484375,0.21484375,0.70703125,True,0.03125,True,0.33984375,0.86328125,0.37890625,0.37890625,0.81640625,True,0.26171875,True,0.6171875,0.96875,0.65625,0.65625,0.90234375,True,0.66796875,True,0.80859375,0.99609375,0.82421875,0.82421875,0.11332255664911878,0.004450530640191715
timm:resnet50.a1_in1k_random,layer3.0.downsample.0,27,512,1024,1,512,512,307200,600.0,0.7786398051454564,5.832975120890712,0.02176642684964906,512,0,5.832975120890712,True,0.58203125,True,0.001953125,True,0.033203125,0.6640625,0.033203125,0.033203125,0.697265625,True,0.001953125,True,0.08203125,0.77734375,0.0859375,0.0859375,0.837890625,True,0.0078125,True,0.30078125,0.927734375,0.345703125,0.345703125,0.9140625,True,0.130859375,True,0.671875,0.990234375,0.748046875,0.748046875,-0.03584195935043087,-0.016655674731276108
timm:resnet50.a1_in1k_random,layer3.1.conv1,28,1024,256,1,1024,256,307200,300.0,0.8813834375701799,2.9452783270725327,0.052280797505750445,256,0,2.9452783270725327,True,0.5,True,0.0078125,True,0.07421875,0.76171875,0.08984375,0.07421875,0.67578125,True,0.01171875,True,0.16796875,0.86328125,0.2421875,0.17578125,0.90625,True,0.1015625,True,0.51171875,0.96875,1.0,0.55859375,0.9921875,True,0.59765625,True,0.88671875,1.0,1.0,0.91796875,-0.10282816433966581,-0.05883669911690117
timm:resnet50.a1_in1k_random,layer3.1.conv2,29,256,256,9,2304,256,307200,133.33333333333334,0.9460663379473455,1.9669213420323328,0.15649924872442045,256,0,1.9669213420323328,True,0.61328125,True,0.04296875,True,0.2265625,0.82421875,0.390625,0.234375,0.7734375,True,0.1171875,True,0.421875,0.90625,1.0,0.4453125,0.9453125,True,0.53125,True,0.79296875,0.98046875,1.0,0.8203125,0.99609375,True,0.921875,True,0.97265625,1.0,1.0,0.98046875,-0.024339808880750737,0.025455753570168778
timm:resnet50.a1_in1k_random,layer3.1.conv3,30,256,1024,1,256,256,307200,1200.0,0.8812209376840566,2.94918291835331,0.12486281044542658,256,0,2.94918291835331,True,0.671875,True,0.01953125,True,0.234375,0.76171875,0.25390625,0.25390625,0.75,True,0.046875,True,0.390625,0.86328125,0.4296875,0.4296875,0.86328125,True,0.30859375,True,0.66796875,0.96875,0.69921875,0.69921875,0.95703125,True,0.71484375,True,0.85546875,0.99609375,0.87109375,0.87109375,-0.10915398260471502,-0.10418502517738612
timm:resnet50.a1_in1k_random,layer3.2.conv1,31,1024,256,1,1024,256,307200,300.0,0.8812275644186779,3.0726796135421686,0.05239524403356134,256,0,3.0726796135421686,True,0.5390625,True,0.0078125,True,0.08203125,0.76171875,0.09375,0.08203125,0.70703125,True,0.01171875,True,0.1796875,0.859375,0.2421875,0.19140625,0.91796875,True,0.1015625,True,0.52734375,0.96484375,1.0,0.578125,0.9921875,True,0.59375,True,0.890625,0.99609375,1.0,0.92578125,-0.046071040283817796,0.09273938643544294
timm:resnet50.a1_in1k_random,layer3.2.conv2,32,256,256,9,2304,256,307200,133.33333333333334,0.9463191449532106,1.9630832919647696,0.18655090193988869,256,0,1.9630832919647696,True,0.6328125,True,0.046875,True,0.2421875,0.82421875,0.51171875,0.25390625,0.78515625,True,0.125,True,0.44140625,0.90625,1.0,0.46875,0.94921875,True,0.5546875,True,0.8046875,0.98046875,1.0,0.83203125,0.99609375,True,0.92578125,True,0.9765625,1.0,1.0,0.98046875,0.01796249141680018,-0.01164976129885116
timm:resnet50.a1_in1k_random,layer3.2.conv3,33,256,1024,1,256,256,307200,1200.0,0.8824209510994506,2.884761305585101,0.12132619819179026,256,0,2.884761305585101,True,0.66015625,True,0.015625,True,0.2421875,0.76171875,0.265625,0.265625,0.734375,True,0.05078125,True,0.39453125,0.86328125,0.43359375,0.43359375,0.8359375,True,0.328125,True,0.65625,0.96875,0.6875,0.6875,0.93359375,True,0.70703125,True,0.83203125,1.0,0.84375,0.84375,-0.01772287708857862,-0.051767311255210745
timm:resnet50.a1_in1k_random,layer3.3.conv1,34,1024,256,1,1024,256,307200,300.0,0.8834119489821765,2.944988317308042,0.052403098726305886,256,0,2.944988317308042,True,0.5,True,0.0078125,True,0.0703125,0.765625,0.09375,0.07421875,0.67578125,True,0.01171875,True,0.16796875,0.86328125,0.2421875,0.17578125,0.91015625,True,0.1015625,True,0.5078125,0.96875,1.0,0.5625,0.9921875,True,0.59765625,True,0.8828125,0.99609375,1.0,0.921875,-0.017969644083314258,0.010641235918178426
timm:resnet50.a1_in1k_random,layer3.3.conv2,35,256,256,9,2304,256,307200,133.33333333333334,0.9461893070364403,1.9820177702711936,0.17033394323759746,256,0,1.9820177702711936,True,0.6328125,True,0.04296875,True,0.234375,0.82421875,0.4453125,0.24609375,0.78515625,True,0.1171875,True,0.4375,0.90625,1.0,0.4609375,0.94921875,True,0.54296875,True,0.80078125,0.98046875,1.0,0.828125,0.99609375,True,0.92578125,True,0.9765625,1.0,1.0,0.98046875,-0.033837834744792857,0.02299396775370487
timm:resnet50.a1_in1k_random,layer3.3.conv3,36,256,1024,1,256,256,307200,1200.0,0.8827642436771814,2.928582337716428,0.11730235842322163,256,0,2.928582337716428,True,0.66015625,True,0.015625,True,0.22265625,0.76171875,0.24609375,0.24609375,0.74609375,True,0.046875,True,0.375,0.86328125,0.41796875,0.41796875,0.859375,True,0.3046875,True,0.65625,0.96484375,0.69140625,0.69140625,0.93359375,True,0.7109375,True,0.8515625,1.0,0.8671875,0.8671875,0.06180046921492331,-0.045955158638258456
timm:resnet50.a1_in1k_random,layer3.4.conv1,37,1024,256,1,1024,256,307200,300.0,0.881865443969259,2.9502770534216114,0.05233269207053738,256,0,2.9502770534216114,True,0.515625,True,0.0078125,True,0.08203125,0.76171875,0.08984375,0.08203125,0.6875,True,0.01171875,True,0.17578125,0.86328125,0.2421875,0.1875,0.91015625,True,0.109375,True,0.52734375,0.96484375,1.0,0.57421875,0.9921875,True,0.609375,True,0.890625,1.0,1.0,0.921875,-0.0872589551384756,-0.005964533153339341
timm:resnet50.a1_in1k_random,layer3.4.conv2,38,256,256,9,2304,256,307200,133.33333333333334,0.9453057304282064,1.9481392509694533,0.172771105934829,256,0,1.9481392509694533,True,0.625,True,0.04296875,True,0.23828125,0.82421875,0.484375,0.25,0.78125,True,0.125,True,0.4375,0.90625,1.0,0.46484375,0.94921875,True,0.5546875,True,0.80078125,0.98046875,1.0,0.828125,0.99609375,True,0.92578125,True,0.97265625,1.0,1.0,0.98046875,0.040285248340581364,-0.04345309830352107
timm:resnet50.a1_in1k_random,layer3.4.conv3,39,256,1024,1,256,256,307200,1200.0,0.8808397014615158,2.957589342843946,0.09806004638194686,256,0,2.957589342843946,True,0.61328125,True,0.01171875,True,0.2109375,0.76171875,0.2265625,0.2265625,0.69140625,True,0.03515625,True,0.3515625,0.859375,0.3828125,0.3828125,0.83203125,True,0.2734375,True,0.61328125,0.96484375,0.640625,0.640625,0.93359375,True,0.65625,True,0.82421875,1.0,0.83984375,0.83984375,-0.10279168574044403,0.04473787054191756
timm:resnet50.a1_in1k_random,layer3.5.conv1,40,1024,256,1,1024,256,307200,300.0,0.8821331991835242,2.9191315029837495,0.052389119904908056,256,0,2.9191315029837495,True,0.49609375,True,0.0078125,True,0.0703125,0.76171875,0.09375,0.07421875,0.66796875,True,0.01171875,True,0.16796875,0.86328125,0.2421875,0.17578125,0.90625,True,0.1015625,True,0.51171875,0.96875,1.0,0.55859375,0.98828125,True,0.59765625,True,0.8828125,1.0,1.0,0.91796875,0.001356860837720302,0.01225721803005267
