model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999
timm:resnet50.tv2_in1k,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.4158159353511289,71.82651173530317,0.0455118093993365,64,0,71.82651173530317,True,0.96875,True,0.109375,0.359375,0.0625,0.046875,0.984375,True,0.171875,0.4375,0.109375,0.09375,1.0,True,0.3125,0.609375,0.421875,0.3125,1.0,True,0.53125,0.8125,0.953125,0.703125
timm:resnet50.tv2_in1k,layer1.0.conv1,1,64,64,1,64,64,307200,4800.0,0.4806002825872297,1215.3886353491666,0.16488600044943347,64,0,1215.3886353491666,True,1.0,True,0.125,0.390625,0.265625,0.265625,1.0,True,0.171875,0.484375,0.453125,0.453125,1.0,True,0.328125,0.625,0.828125,0.828125,1.0,True,0.5625,0.796875,0.96875,0.96875
timm:resnet50.tv2_in1k,layer1.0.conv2,2,64,64,9,576,64,307200,533.3333333333334,0.5763150104766729,12.418823320142526,0.4669905117379533,64,0,12.418823320142526,True,0.984375,True,0.171875,0.53125,1.0,0.328125,1.0,True,0.28125,0.65625,1.0,0.46875,1.0,True,0.53125,0.859375,1.0,0.8125,1.0,True,0.8125,0.984375,1.0,0.984375
timm:resnet50.tv2_in1k,layer1.0.conv3,3,64,256,1,64,64,307200,4800.0,0.5773544100525304,14.949732525939657,0.05066770275000042,64,0,14.949732525939657,True,0.921875,True,0.015625,0.578125,0.140625,0.140625,0.9375,True,0.015625,0.703125,0.3125,0.3125,0.984375,True,0.15625,0.890625,0.640625,0.640625,1.0,True,0.5,0.984375,0.890625,0.890625
timm:resnet50.tv2_in1k,layer1.0.downsample.0,4,64,256,1,64,64,307200,4800.0,0.5617698617539657,23.461342593309,0.16509375789679115,64,0,23.461342593309,True,1.0,True,0.03125,0.5625,0.265625,0.265625,1.0,True,0.109375,0.671875,0.453125,0.453125,1.0,True,0.34375,0.84375,0.828125,0.828125,1.0,True,0.65625,0.96875,0.96875,0.96875
timm:resnet50.tv2_in1k,layer1.1.conv1,5,256,64,1,256,64,307200,1200.0,0.677597514584702,6959374848.789555,0.9810459436576253,63,1,8.907705892522435,True,0.984375,True,0.28125,0.59375,1.0,0.46875,1.0,True,0.390625,0.71875,1.0,0.640625,1.0,True,0.625,0.90625,1.0,0.890625,1.0,True,0.890625,0.96875,1.0,0.984375
timm:resnet50.tv2_in1k,layer1.1.conv2,6,64,64,9,576,64,307200,533.3333333333334,0.7791548684852907,3.9791868068452767,1.0,64,0,3.9791868068452767,True,0.96875,True,0.53125,0.6875,1.0,0.65625,0.984375,True,0.640625,0.8125,1.0,0.796875,1.0,True,0.875,0.953125,1.0,0.953125,1.0,True,0.984375,1.0,1.0,1.0
timm:resnet50.tv2_in1k,layer1.1.conv3,7,64,256,1,64,64,307200,4800.0,0.7457404007675714,5.944416030446298,0.7275065060778655,64,0,5.944416030446298,True,0.953125,True,0.453125,0.640625,0.640625,0.640625,0.96875,True,0.546875,0.75,0.78125,0.78125,1.0,True,0.765625,0.921875,0.921875,0.921875,1.0,True,0.953125,1.0,0.96875,0.96875
timm:resnet50.tv2_in1k,layer1.2.conv1,8,256,64,1,256,64,307200,1200.0,0.6757805224707617,7.460839719537878,1.0,64,0,7.460839719537878,True,0.984375,True,0.359375,0.609375,1.0,0.5625,1.0,True,0.46875,0.734375,1.0,0.71875,1.0,True,0.71875,0.921875,1.0,0.9375,1.0,True,0.9375,1.0,1.0,1.0
timm:resnet50.tv2_in1k,layer1.2.conv2,9,64,64,9,576,64,307200,533.3333333333334,0.7746410952402842,4.599339520533847,1.0,64,0,4.599339520533847,True,0.984375,True,0.5,0.671875,1.0,0.703125,1.0,True,0.625,0.796875,1.0,0.828125,1.0,True,0.859375,0.953125,1.0,0.96875,1.0,True,0.984375,1.0,1.0,1.0
